,scores,cavity
849,17.656999588012695,1
850,17.656999588012695,1
851,17.656999588012695,1
852,16.759000778198242,1
864,17.656999588012695,1
865,20.01099967956543,1
866,20.01099967956543,1
867,20.01099967956543,1
879,17.656999588012695,1
880,20.01099967956543,1
881,20.01099967956543,1
882,20.01099967956543,1
895,20.01099967956543,1
896,20.01099967956543,1
897,20.01099967956543,1
910,19.260000228881836,1
911,19.260000228881836,1
912,19.260000228881836,1
1254,17.656999588012695,1
1255,17.656999588012695,1
1256,17.656999588012695,1
1257,16.759000778198242,1
1269,17.656999588012695,1
1270,20.01099967956543,1
1271,20.01099967956543,1
1272,20.01099967956543,1
1284,17.656999588012695,1
1285,20.01099967956543,1
1286,20.01099967956543,1
1287,20.01099967956543,1
1300,20.01099967956543,1
1301,20.01099967956543,1
1302,20.01099967956543,1
1315,19.260000228881836,1
1316,19.260000228881836,1
1317,19.260000228881836,1
1659,17.656999588012695,1
1660,17.656999588012695,1
1661,17.656999588012695,1
1662,16.759000778198242,1
1674,17.656999588012695,1
1675,20.01099967956543,1
1676,20.01099967956543,1
1677,20.01099967956543,1
1689,17.656999588012695,1
1690,20.01099967956543,1
1691,20.01099967956543,1
1692,20.01099967956543,1
1705,20.01099967956543,1
1706,20.01099967956543,1
1707,20.01099967956543,1
1720,19.260000228881836,1
1721,19.260000228881836,1
1722,19.260000228881836,1
2080,17.051000595092773,1
2081,17.051000595092773,1
2082,17.051000595092773,1
2095,17.051000595092773,1
2096,17.051000595092773,1
2097,17.051000595092773,1
2110,17.051000595092773,1
2111,17.051000595092773,1
2112,17.051000595092773,1
2558,18.240999221801758,1
2559,18.240999221801758,1
2560,18.240999221801758,1
2561,16.21299934387207,1
2571,16.797000885009766,1
2572,17.097000122070312,1
2573,18.240999221801758,1
2574,18.240999221801758,1
2575,18.240999221801758,1
2576,16.21299934387207,1
2586,16.797000885009766,1
2587,17.097000122070312,1
2588,18.240999221801758,1
2589,18.240999221801758,1
2590,18.240999221801758,1
2591,16.21299934387207,1
2601,16.797000885009766,1
2602,17.097000122070312,1
2603,17.097000122070312,1
2604,17.097000122070312,1
2616,16.759000778198242,1
2949,16.94099998474121,1
2950,16.94099998474121,1
2951,16.94099998474121,1
2962,19.117000579833984,1
2963,19.117000579833984,1
2964,19.117000579833984,1
2965,18.97599983215332,1
2966,17.65999984741211,1
2976,21.024999618530273,1
2977,21.024999618530273,1
2978,21.024999618530273,1
2979,20.320999145507812,1
2980,18.97599983215332,1
2981,17.65999984741211,1
2991,21.024999618530273,1
2992,21.024999618530273,1
2993,21.024999618530273,1
2994,20.320999145507812,1
2995,18.97599983215332,1
2996,17.65999984741211,1
3006,21.024999618530273,1
3007,21.024999618530273,1
3008,21.024999618530273,1
3009,20.320999145507812,1
3010,18.55299949645996,1
3021,20.820999145507812,1
3022,20.820999145507812,1
3023,20.820999145507812,1
