,scores,cavity
908,12.89799976348877,1
909,12.89799976348877,1
953,15.456000328063965,1
954,15.456000328063965,1
975,15.456000328063965,1
997,15.456000328063965,1
1301,11.994999885559082,1
1302,11.994999885559082,1
1303,11.994999885559082,1
1323,11.994999885559082,1
1324,12.196000099182129,1
1325,12.196000099182129,1
1326,12.89799976348877,1
1327,12.89799976348877,1
1345,11.994999885559082,1
1346,12.196000099182129,1
1347,13.767999649047852,1
1348,13.767999649047852,1
1349,13.767999649047852,1
1368,12.196000099182129,1
1369,15.39900016784668,1
1370,15.39900016784668,1
1371,15.456000328063965,1
1391,15.39900016784668,1
1392,17.052000045776367,1
1393,17.052000045776367,1
1394,17.052000045776367,1
1413,15.39900016784668,1
1414,17.052000045776367,1
1415,17.052000045776367,1
1416,17.052000045776367,1
1435,14.335000038146973,1
1436,17.052000045776367,1
1437,17.052000045776367,1
1438,17.052000045776367,1
1718,10.814000129699707,1
1719,11.994999885559082,1
1720,11.994999885559082,1
1721,11.994999885559082,1
1741,11.994999885559082,1
1742,12.196000099182129,1
1743,12.196000099182129,1
1744,12.89799976348877,1
1745,12.89799976348877,1
1746,12.89799976348877,1
1764,12.833999633789062,1
1765,13.767999649047852,1
1766,13.767999649047852,1
1767,13.767999649047852,1
1785,12.184000015258789,1
1786,15.269000053405762,1
1787,15.435999870300293,1
1788,15.996000289916992,1
1789,15.996000289916992,1
1790,15.996000289916992,1
1807,12.184000015258789,1
1808,15.269000053405762,1
1809,15.435999870300293,1
1810,17.052000045776367,1
1811,17.052000045776367,1
1812,17.052000045776367,1
1829,12.184000015258789,1
1830,15.269000053405762,1
1831,15.435999870300293,1
1832,17.052000045776367,1
1833,17.052000045776367,1
1834,17.052000045776367,1
1852,12.185999870300293,1
1853,14.335000038146973,1
1854,17.052000045776367,1
1855,17.052000045776367,1
1856,17.052000045776367,1
1954,16.636999130249023,1
1974,17.808000564575195,1
1975,17.808000564575195,1
1976,17.808000564575195,1
1996,17.808000564575195,1
1997,17.808000564575195,1
1998,17.808000564575195,1
1999,16.350000381469727,1
2018,17.808000564575195,1
2019,17.808000564575195,1
2020,17.808000564575195,1
2021,16.350000381469727,1
2040,17.26300048828125,1
2041,17.26300048828125,1
2042,17.26300048828125,1
2043,16.350000381469727,1
2136,10.814000129699707,1
2137,11.994999885559082,1
2138,11.994999885559082,1
2139,11.994999885559082,1
2159,11.994999885559082,1
2160,12.196000099182129,1
2161,12.196000099182129,1
2162,12.196000099182129,1
2182,12.833999633789062,1
2183,13.767999649047852,1
2184,13.767999649047852,1
2185,13.767999649047852,1
2203,12.6850004196167,1
2204,15.269000053405762,1
2205,15.435999870300293,1
2206,15.996000289916992,1
2207,15.996000289916992,1
2208,15.996000289916992,1
2225,12.6850004196167,1
2226,15.269000053405762,1
2227,15.435999870300293,1
2228,17.052000045776367,1
2229,17.052000045776367,1
2230,17.052000045776367,1
2247,12.6850004196167,1
2248,15.269000053405762,1
2249,15.435999870300293,1
2250,17.052000045776367,1
2251,17.052000045776367,1
2252,17.052000045776367,1
2270,13.795000076293945,1
2271,14.336000442504883,1
2272,17.052000045776367,1
2273,17.052000045776367,1
2274,17.052000045776367,1
2372,16.636999130249023,1
2373,15.519000053405762,1
2392,17.808000564575195,1
2393,17.808000564575195,1
2394,17.808000564575195,1
2395,16.11199951171875,1
2414,17.808000564575195,1
2415,17.808000564575195,1
2416,17.808000564575195,1
2417,16.350000381469727,1
2436,17.808000564575195,1
2437,17.808000564575195,1
2438,17.808000564575195,1
2439,16.350000381469727,1
2458,17.26300048828125,1
2459,17.26300048828125,1
2460,17.26300048828125,1
2461,16.350000381469727,1
2554,10.814000129699707,1
2555,11.786999702453613,1
2556,11.786999702453613,1
2557,11.786999702453613,1
2600,12.833999633789062,1
2601,13.303000450134277,1
2602,13.303000450134277,1
2603,13.303000450134277,1
2621,12.861000061035156,1
2622,15.269000053405762,1
2623,15.435999870300293,1
2624,15.996000289916992,1
2625,15.996000289916992,1
2626,15.996000289916992,1
2643,12.861000061035156,1
2644,15.269000053405762,1
2645,15.435999870300293,1
2646,15.996000289916992,1
2647,15.996000289916992,1
2648,15.996000289916992,1
2649,15.52299976348877,1
2665,12.861000061035156,1
2666,15.269000053405762,1
2667,15.435999870300293,1
2668,15.996000289916992,1
2669,15.996000289916992,1
2670,15.996000289916992,1
2688,13.795000076293945,1
2689,14.336000442504883,1
2690,15.597999572753906,1
2691,15.597999572753906,1
2692,15.597999572753906,1
2711,13.890999794006348,1
2712,13.890999794006348,1
2790,16.636999130249023,1
2791,15.519000053405762,1
2810,17.808000564575195,1
2811,17.808000564575195,1
2812,17.808000564575195,1
2813,16.11199951171875,1
2832,17.808000564575195,1
2833,17.808000564575195,1
2834,17.808000564575195,1
2835,16.350000381469727,1
2854,17.808000564575195,1
2855,17.808000564575195,1
2856,17.808000564575195,1
2857,16.350000381469727,1
2876,17.26300048828125,1
2877,17.26300048828125,1
2878,17.26300048828125,1
2879,16.350000381469727,1
3017,11.262999534606934,1
3018,11.262999534606934,1
3019,11.262999534606934,1
3039,12.861000061035156,1
3040,14.428000450134277,1
3041,14.428000450134277,1
3042,14.428000450134277,1
3043,13.67199993133545,1
3061,12.861000061035156,1
3062,14.428000450134277,1
3063,14.428000450134277,1
3064,14.557999610900879,1
3065,14.557999610900879,1
3066,14.557999610900879,1
3083,12.861000061035156,1
3084,14.428000450134277,1
3085,14.428000450134277,1
3086,14.557999610900879,1
3087,14.557999610900879,1
3088,14.557999610900879,1
3106,13.795000076293945,1
3107,14.336000442504883,1
3108,14.557999610900879,1
3109,14.557999610900879,1
3110,14.557999610900879,1
3129,13.890999794006348,1
3130,13.890999794006348,1
