,scores,cavity
226,20.923999786376953,1
227,20.923999786376953,1
228,20.923999786376953,1
237,20.923999786376953,1
238,20.923999786376953,1
239,20.923999786376953,1
325,20.923999786376953,1
326,20.923999786376953,1
327,20.923999786376953,1
336,20.923999786376953,1
337,20.923999786376953,1
338,20.923999786376953,1
619,18.209999084472656,1
620,18.209999084472656,1
621,18.209999084472656,1
634,17.988000869750977,1
645,17.988000869750977,1
718,18.76799964904785,1
719,18.76799964904785,1
720,18.76799964904785,1
729,18.76799964904785,1
730,19.0,1
731,19.0,1
732,19.0,1
733,17.988000869750977,1
740,18.76799964904785,1
741,19.0,1
742,19.0,1
743,19.0,1
744,17.988000869750977,1
752,19.0,1
753,19.0,1
754,19.0,1
817,18.76799964904785,1
818,18.76799964904785,1
819,18.76799964904785,1
828,18.76799964904785,1
829,19.0,1
830,19.0,1
831,19.0,1
832,17.988000869750977,1
839,18.76799964904785,1
840,19.0,1
841,19.0,1
842,19.0,1
843,17.988000869750977,1
851,19.0,1
852,19.0,1
853,19.0,1
916,18.76799964904785,1
917,18.76799964904785,1
918,18.76799964904785,1
927,18.76799964904785,1
928,19.0,1
929,19.0,1
930,19.0,1
938,18.76799964904785,1
939,19.0,1
940,19.0,1
941,19.0,1
950,19.0,1
951,19.0,1
952,19.0,1
1136,17.95800018310547,1
1137,17.95800018310547,1
1234,17.95800018310547,1
1235,17.95800018310547,1
1236,17.95800018310547,1
1245,17.95800018310547,1
1246,17.95800018310547,1
1247,17.95800018310547,1
1256,17.95800018310547,1
1257,17.95800018310547,1
1258,17.95800018310547,1
3312,12.234000205993652,1
3313,12.234000205993652,1
3314,12.234000205993652,1
3315,11.89799976348877,1
3345,14.420000076293945,1
3346,14.420000076293945,1
3347,14.968999862670898,1
3348,14.968999862670898,1
3349,14.968999862670898,1
3379,15.427000045776367,1
3380,15.427000045776367,1
3381,15.427000045776367,1
3382,14.968999862670898,1
3383,14.968999862670898,1
3413,15.427000045776367,1
3414,15.512999534606934,1
3415,15.512999534606934,1
3416,15.512999534606934,1
3417,14.968999862670898,1
3447,15.427000045776367,1
3448,15.512999534606934,1
3449,15.512999534606934,1
3450,15.512999534606934,1
3481,13.302000045776367,1
3482,15.512999534606934,1
3483,15.512999534606934,1
3484,15.512999534606934,1
3515,12.543999671936035,1
3516,14.291999816894531,1
3517,14.291999816894531,1
3518,14.291999816894531,1
3991,12.21500015258789,1
3992,12.21500015258789,1
3993,12.21500015258789,1
4024,13.347000122070312,1
4025,13.347000122070312,1
4026,13.347000122070312,1
4027,12.85099983215332,1
4028,12.85099983215332,1
4057,16.709999084472656,1
4058,16.709999084472656,1
4059,16.709999084472656,1
4060,15.803000450134277,1
4061,15.269000053405762,1
4062,15.269000053405762,1
4063,13.14799976348877,1
4091,16.709999084472656,1
4092,16.709999084472656,1
4093,16.709999084472656,1
4097,15.142999649047852,1
4125,16.709999084472656,1
4126,16.709999084472656,1
4127,17.29800033569336,1
4131,15.142999649047852,1
4159,13.24899959564209,1
4160,13.553999900817871,1
4161,17.29800033569336,1
4162,17.836999893188477,1
4163,17.836999893188477,1
4164,17.836999893188477,1
4165,16.288000106811523,1
4166,12.687999725341797,1
4194,13.07800006866455,1
4195,17.29800033569336,1
4196,17.836999893188477,1
4197,17.836999893188477,1
4198,17.836999893188477,1
4199,16.996000289916992,1
4200,12.687999725341797,1
4228,12.378999710083008,1
4229,15.49899959564209,1
4230,17.836999893188477,1
4231,17.836999893188477,1
4232,17.836999893188477,1
4233,16.996000289916992,1
4234,12.687999725341797,1
4263,15.076000213623047,1
4264,17.514999389648438,1
4265,17.514999389648438,1
4266,17.514999389648438,1
4267,16.996000289916992,1
4268,12.293000221252441,1
4297,14.178000450134277,1
4298,15.145999908447266,1
4299,15.145999908447266,1
4300,15.145999908447266,1
4301,13.892000198364258,1
4302,12.293000221252441,1
4332,12.151000022888184,1
4333,12.151000022888184,1
4334,12.151000022888184,1
4704,11.960000038146973,1
4705,11.960000038146973,1
4706,11.960000038146973,1
4737,12.14799976348877,1
4738,15.324999809265137,1
4739,15.324999809265137,1
4740,15.324999809265137,1
4741,14.53600025177002,1
4742,13.842000007629395,1
4770,12.75,1
4771,16.131000518798828,1
4772,16.131000518798828,1
4773,16.131000518798828,1
4774,15.800999641418457,1
4775,15.800999641418457,1
4776,15.180000305175781,1
4777,12.190999984741211,1
4804,12.75,1
4805,16.709999084472656,1
4806,18.19499969482422,1
4807,18.19499969482422,1
4808,18.19499969482422,1
4809,17.94300079345703,1
4810,16.447999954223633,1
4811,13.230999946594238,1
4838,12.75,1
4839,16.709999084472656,1
4840,18.19499969482422,1
4841,18.19499969482422,1
4842,18.19499969482422,1
4843,18.009000778198242,1
4844,18.009000778198242,1
4845,15.142999649047852,1
4873,16.709999084472656,1
4874,18.19499969482422,1
4875,18.19499969482422,1
4876,18.19499969482422,1
4877,18.059999465942383,1
4878,18.059999465942383,1
4879,17.99799919128418,1
4907,13.342000007629395,1
4908,16.59600067138672,1
4909,17.7810001373291,1
4910,18.059999465942383,1
4911,18.059999465942383,1
4912,18.059999465942383,1
4913,17.99799919128418,1
4914,14.890999794006348,1
4942,16.44300079345703,1
4943,17.7810001373291,1
4944,18.059999465942383,1
4945,19.30299949645996,1
4946,19.30299949645996,1
4947,19.30299949645996,1
4948,16.41699981689453,1
4976,14.201000213623047,1
4977,16.132999420166016,1
4978,17.836999893188477,1
4979,19.30299949645996,1
4980,19.30299949645996,1
4981,19.30299949645996,1
4982,16.41699981689453,1
5011,15.914999961853027,1
5012,17.643999099731445,1
5013,19.30299949645996,1
5014,19.30299949645996,1
5015,19.30299949645996,1
5016,16.41699981689453,1
5045,14.89900016784668,1
5046,15.840999603271484,1
5047,18.135000228881836,1
5048,18.135000228881836,1
5049,18.135000228881836,1
5050,16.09600067138672,1
5080,14.763999938964844,1
5081,14.763999938964844,1
5082,14.763999938964844,1
5083,13.329999923706055,1
5084,12.9399995803833,1
5115,11.92199993133545,1
5116,11.92199993133545,1
5117,11.92199993133545,1
5451,13.463000297546387,1
5452,14.01200008392334,1
5453,14.01200008392334,1
5454,14.01200008392334,1
5455,13.840999603271484,1
5483,14.597000122070312,1
5484,14.597000122070312,1
5485,15.800999641418457,1
5486,15.90999984741211,1
5487,15.90999984741211,1
5488,15.90999984741211,1
5489,15.536999702453613,1
5490,13.842000007629395,1
5517,14.597000122070312,1
5518,14.656999588012695,1
5519,16.635000228881836,1
5520,16.635000228881836,1
5521,16.635000228881836,1
5522,15.920999526977539,1
5523,15.800999641418457,1
5524,15.180000305175781,1
5525,12.190999984741211,1
5551,14.597000122070312,1
5552,14.656999588012695,1
5553,17.354000091552734,1
5554,18.19499969482422,1
5555,18.19499969482422,1
5556,18.19499969482422,1
5557,17.94300079345703,1
5558,16.447999954223633,1
5559,13.230999946594238,1
5586,14.656999588012695,1
5587,17.354000091552734,1
5588,18.19499969482422,1
5589,18.961000442504883,1
5590,19.30299949645996,1
5591,19.30299949645996,1
5592,19.30299949645996,1
5593,16.197999954223633,1
5620,14.038999557495117,1
5621,17.354000091552734,1
5622,18.19499969482422,1
5623,18.961000442504883,1
5624,19.30299949645996,1
5625,19.30299949645996,1
5626,19.30299949645996,1
5627,17.99799919128418,1
5654,14.038999557495117,1
5655,14.291999816894531,1
5656,17.26099967956543,1
5657,18.961000442504883,1
5658,19.30299949645996,1
5659,19.30299949645996,1
5660,19.30299949645996,1
5661,17.99799919128418,1
5662,14.890999794006348,1
5689,13.003999710083008,1
5690,16.766000747680664,1
5691,17.7810001373291,1
5692,18.961000442504883,1
5693,19.30299949645996,1
5694,19.30299949645996,1
5695,19.30299949645996,1
5696,16.562999725341797,1
5724,15.871000289916992,1
5725,16.82699966430664,1
5726,18.961000442504883,1
5727,19.30299949645996,1
5728,19.30299949645996,1
5729,19.30299949645996,1
5730,16.562999725341797,1
5759,16.82699966430664,1
5760,17.643999099731445,1
5761,19.30299949645996,1
5762,19.30299949645996,1
5763,19.30299949645996,1
5764,16.562999725341797,1
5793,14.89900016784668,1
5794,17.29800033569336,1
5795,18.135000228881836,1
5796,18.135000228881836,1
5797,18.135000228881836,1
5798,16.09600067138672,1
5827,13.437000274658203,1
5828,17.29800033569336,1
5829,17.29800033569336,1
5830,17.29800033569336,1
5831,17.003000259399414,1
5832,13.08899974822998,1
5861,12.940999984741211,1
5862,14.196999549865723,1
5863,14.196999549865723,1
5864,14.196999549865723,1
5865,13.947999954223633,1
6197,14.147000312805176,1
6198,14.586999893188477,1
6199,14.970999717712402,1
6200,14.970999717712402,1
6201,15.560999870300293,1
6202,15.560999870300293,1
6203,15.560999870300293,1
6234,17.003000259399414,1
6235,17.003000259399414,1
6236,16.01799964904785,1
6237,16.01799964904785,1
6238,13.842000007629395,1
6268,18.19499969482422,1
6269,17.003000259399414,1
6270,16.17799949645996,1
6271,16.01799964904785,1
6272,15.180000305175781,1
6273,12.190999984741211,1
6302,18.19499969482422,1
6303,18.19499969482422,1
6304,18.19499969482422,1
6305,17.94300079345703,1
6306,16.447999954223633,1
6307,13.230999946594238,1
6333,15.22599983215332,1
6334,18.19499969482422,1
6335,18.19499969482422,1
6336,18.19499969482422,1
6337,19.22599983215332,1
6338,19.30299949645996,1
6339,19.30299949645996,1
6340,19.30299949645996,1
6341,16.197999954223633,1
6367,13.222000122070312,1
6368,16.59600067138672,1
6369,17.354000091552734,1
6370,18.19499969482422,1
6371,19.22599983215332,1
6372,19.30299949645996,1
6373,19.30299949645996,1
6374,19.30299949645996,1
6375,17.99799919128418,1
6402,14.038999557495117,1
6403,14.859000205993652,1
6404,17.584999084472656,1
6405,19.22599983215332,1
6406,19.30299949645996,1
6407,19.30299949645996,1
6408,19.30299949645996,1
6409,17.99799919128418,1
6410,14.890999794006348,1
6437,14.859000205993652,1
6438,16.788999557495117,1
6439,17.7810001373291,1
6440,19.22599983215332,1
6441,19.30299949645996,1
6442,19.30299949645996,1
6443,19.30299949645996,1
6444,16.562999725341797,1
6472,15.871000289916992,1
6473,16.854999542236328,1
6474,19.22599983215332,1
6475,19.30299949645996,1
6476,19.30299949645996,1
6477,19.30299949645996,1
6478,16.562999725341797,1
6506,12.369000434875488,1
6507,16.854999542236328,1
6508,18.179000854492188,1
6509,19.30299949645996,1
6510,19.30299949645996,1
6511,19.30299949645996,1
6512,16.562999725341797,1
6541,15.744000434875488,1
6542,18.179000854492188,1
6543,19.30299949645996,1
