,scores,cavity
34539,10.72700023651123,1
34580,10.729000091552734,1
34581,10.729000091552734,1
34621,10.729000091552734,1
34622,10.729000091552734,1
34662,10.729000091552734,1
34663,10.729000091552734,1
35520,11.071999549865723,1
35561,11.527000427246094,1
35566,10.333999633789062,1
35602,11.895999908447266,1
35607,10.430000305175781,1
35642,11.39900016784668,1
35643,11.895999908447266,1
35644,13.28600025177002,1
35645,13.28600025177002,1
35646,13.28600025177002,1
35648,10.430000305175781,1
35682,11.083999633789062,1
35685,13.28600025177002,1
35686,13.28600025177002,1
35687,13.28600025177002,1
35688,10.430000305175781,1
35689,10.430000305175781,1
35723,11.083999633789062,1
35727,12.256999969482422,1
35728,11.781999588012695,1
35729,10.729000091552734,1
35730,10.406999588012695,1
35762,10.843000411987305,1
35763,10.843000411987305,1
35764,11.083999633789062,1
35768,12.256999969482422,1
35769,11.322999954223633,1
35770,10.729000091552734,1
35803,10.843000411987305,1
35804,10.843000411987305,1
35805,10.843000411987305,1
35810,10.729000091552734,1
35811,10.729000091552734,1
35844,10.843000411987305,1
35845,10.843000411987305,1
35846,10.843000411987305,1
35963,10.342000007629395,1
35964,10.342000007629395,1
36003,10.342000007629395,1
36004,10.342000007629395,1
36044,10.342000007629395,1
36045,10.342000007629395,1
36587,10.71500015258789,1
36588,10.71500015258789,1
36589,10.71500015258789,1
36627,11.059000015258789,1
36628,11.059000015258789,1
36629,11.059000015258789,1
36630,11.012999534606934,1
36631,11.012999534606934,1
36632,10.29699993133545,1
36668,11.071999549865723,1
36669,11.373000144958496,1
36670,11.527000427246094,1
36671,11.779000282287598,1
36672,11.779000282287598,1
36673,11.779000282287598,1
36707,12.8149995803833,1
36708,12.8149995803833,1
36709,12.8149995803833,1
36710,12.527999877929688,1
36711,12.527999877929688,1
36712,12.416000366210938,1
36713,11.958999633789062,1
36714,11.958999633789062,1
36747,11.237000465393066,1
36748,13.130000114440918,1
36749,13.28600025177002,1
36750,13.28600025177002,1
36751,13.28600025177002,1
36752,13.28600025177002,1
36753,13.28600025177002,1
36754,11.958999633789062,1
36755,11.958999633789062,1
36788,11.237000465393066,1
36789,13.130000114440918,1
36790,13.28600025177002,1
36791,13.28600025177002,1
36792,13.28600025177002,1
36793,13.28600025177002,1
36794,13.28600025177002,1
36795,12.166999816894531,1
36796,11.958999633789062,1
36829,11.237000465393066,1
36830,13.130000114440918,1
36831,13.28600025177002,1
36832,13.28600025177002,1
36833,13.28600025177002,1
36834,13.28600025177002,1
36835,13.28600025177002,1
36836,12.166999816894531,1
36837,11.322999954223633,1
36838,11.024999618530273,1
36839,11.024999618530273,1
36840,11.024999618530273,1
36869,10.60099983215332,1
36870,13.196000099182129,1
36871,13.196000099182129,1
36872,13.196000099182129,1
36873,12.477999687194824,1
36874,12.628000259399414,1
36875,12.628000259399414,1
36876,12.628000259399414,1
36877,12.166999816894531,1
36878,10.79699993133545,1
36879,11.024999618530273,1
36880,11.024999618530273,1
36881,11.024999618530273,1
36908,12.295999526977539,1
36909,12.295999526977539,1
36910,12.295999526977539,1
36911,13.196000099182129,1
36912,13.196000099182129,1
36913,13.196000099182129,1
36914,12.477999687194824,1
36915,12.477999687194824,1
36916,12.477999687194824,1
36917,12.418000221252441,1
36918,10.769000053405762,1
36919,10.769000053405762,1
36920,11.024999618530273,1
36921,11.024999618530273,1
36922,11.024999618530273,1
36949,12.295999526977539,1
36950,12.295999526977539,1
36951,12.295999526977539,1
36952,13.196000099182129,1
36953,13.196000099182129,1
36954,13.196000099182129,1
36955,12.343000411987305,1
36956,12.418000221252441,1
36957,12.418000221252441,1
36958,12.418000221252441,1
36959,10.769000053405762,1
36960,10.769000053405762,1
36990,12.295999526977539,1
36991,12.295999526977539,1
36992,12.295999526977539,1
36993,11.991000175476074,1
36994,12.343000411987305,1
