,scores,cavity
17727,1.0980000495910645,1
17728,1.0980000495910645,1
17729,1.0980000495910645,1
17747,1.281000018119812,1
17748,2.0920000076293945,1
17749,2.0920000076293945,1
17750,2.0920000076293945,1
17751,1.2109999656677246,1
17769,1.281000018119812,1
17770,2.0920000076293945,1
17771,2.0920000076293945,1
17772,2.0920000076293945,1
17773,1.4930000305175781,1
17789,1.253999948501587,1
17790,1.4639999866485596,1
17791,1.5980000495910645,1
17792,2.2739999294281006,1
17793,2.2739999294281006,1
17794,2.2739999294281006,1
17795,1.4930000305175781,1
17796,1.315000057220459,1
17811,1.253999948501587,1
17812,1.7960000038146973,1
17813,2.615999937057495,1
17814,2.621999979019165,1
17815,2.621999979019165,1
17816,2.621999979019165,1
17817,1.4930000305175781,1
17818,1.315000057220459,1
17833,1.253999948501587,1
17834,1.7960000038146973,1
17835,2.615999937057495,1
17836,2.621999979019165,1
17837,2.621999979019165,1
17838,2.621999979019165,1
17839,1.3619999885559082,1
17840,1.315000057220459,1
17855,1.0149999856948853,1
17856,1.7960000038146973,1
17857,2.615999937057495,1
17858,2.621999979019165,1
17859,2.621999979019165,1
17860,2.621999979019165,1
17861,1.3619999885559082,1
17878,1.4470000267028809,1
17879,1.4470000267028809,1
17880,1.4470000267028809,1
17881,1.315000057220459,1
18095,1.215999960899353,1
18096,1.4620000123977661,1
18097,1.4620000123977661,1
18098,1.4620000123977661,1
18099,1.0870000123977661,1
18100,1.0870000123977661,1
18101,1.0870000123977661,1
18116,2.4639999866485596,1
18117,2.7639999389648438,1
18118,3.4809999465942383,1
18119,3.4809999465942383,1
18120,3.4809999465942383,1
18121,2.302999973297119,1
18122,2.302999973297119,1
18123,1.8250000476837158,1
18124,1.218000054359436,1
18138,2.953000068664551,1
18139,4.664999961853027,1
18140,5.464000225067139,1
18141,5.464000225067139,1
18142,5.464000225067139,1
18143,4.506999969482422,1
18144,3.2790000438690186,1
18145,3.01200008392334,1
18146,2.690999984741211,1
18147,2.690999984741211,1
18148,2.4019999504089355,1
18160,3.8269999027252197,1
18161,5.932000160217285,1
18162,5.98199987411499,1
18163,5.98199987411499,1
18164,5.98199987411499,1
18165,5.630000114440918,1
18166,4.5970001220703125,1
18167,3.361999988555908,1
18168,3.1589999198913574,1
18169,3.1589999198913574,1
18170,3.1579999923706055,1
18182,4.209000110626221,1
18183,5.932000160217285,1
18184,6.446000099182129,1
18185,6.446000099182129,1
18186,6.446000099182129,1
18187,6.130000114440918,1
18188,5.5970001220703125,1
18189,5.373000144958496,1
18190,5.373000144958496,1
18191,3.6019999980926514,1
18192,3.1579999923706055,1
18204,4.209000110626221,1
18205,5.932000160217285,1
18206,6.446000099182129,1
18207,6.446000099182129,1
18208,6.446000099182129,1
18209,6.130000114440918,1
18210,5.5970001220703125,1
18211,5.373000144958496,1
18212,5.373000144958496,1
18213,4.65500020980835,1
18214,3.1579999923706055,1
18226,4.209000110626221,1
18227,5.208000183105469,1
18228,6.446000099182129,1
18229,6.446000099182129,1
18230,6.446000099182129,1
18231,6.130000114440918,1
18232,5.5970001220703125,1
18233,5.373000144958496,1
18234,5.373000144958496,1
18235,4.669000148773193,1
18236,3.111999988555908,1
18248,3.2860000133514404,1
18249,4.788000106811523,1
18250,5.4770002365112305,1
18251,5.854000091552734,1
18252,5.854000091552734,1
18253,5.854000091552734,1
18254,5.396999835968018,1
18255,4.855000019073486,1
18256,4.802999973297119,1
18257,4.669000148773193,1
18258,3.111999988555908,1
18270,2.4679999351501465,1
18271,3.5810000896453857,1
18272,4.817999839782715,1
18273,4.817999839782715,1
18274,5.396999835968018,1
18275,5.396999835968018,1
18276,5.396999835968018,1
18277,4.802999973297119,1
18278,4.802999973297119,1
18279,4.669000148773193,1
18280,2.868000030517578,1
18293,1.3480000495910645,1
18294,1.9160000085830688,1
18295,2.2679998874664307,1
18296,3.2660000324249268,1
18297,3.2660000324249268,1
18298,3.2660000324249268,1
18299,3.111999988555908,1
18300,3.111999988555908,1
18301,2.5820000171661377,1
18302,2.2790000438690186,1
18318,1.187000036239624,1
18319,1.7960000038146973,1
