,scores,cavity
1452,17.54400062561035,1
1453,17.54400062561035,1
1454,17.54400062561035,1
1473,17.54400062561035,1
1474,17.54400062561035,1
1475,17.54400062561035,1
1494,17.54400062561035,1
1495,17.54400062561035,1
1496,17.54400062561035,1
2144,17.990999221801758,1
2145,17.990999221801758,1
2146,17.990999221801758,1
2147,17.54400062561035,1
2165,17.990999221801758,1
2166,18.034000396728516,1
2167,18.034000396728516,1
2168,18.034000396728516,1
2169,17.645000457763672,1
2186,17.990999221801758,1
2187,18.034000396728516,1
2188,18.034000396728516,1
2189,18.034000396728516,1
2190,17.645000457763672,1
2208,18.034000396728516,1
2209,18.034000396728516,1
2210,18.034000396728516,1
2211,17.645000457763672,1
2816,18.910999298095703,1
2817,18.910999298095703,1
2818,18.910999298095703,1
2837,20.031999588012695,1
2838,20.031999588012695,1
2839,20.031999588012695,1
2840,17.54400062561035,1
2858,20.031999588012695,1
2859,20.031999588012695,1
2860,20.031999588012695,1
2861,18.034000396728516,1
2862,17.645000457763672,1
2879,20.031999588012695,1
2880,20.031999588012695,1
2881,20.031999588012695,1
2882,18.034000396728516,1
2883,17.645000457763672,1
2901,18.034000396728516,1
2902,18.034000396728516,1
2903,18.034000396728516,1
2904,17.645000457763672,1
3509,18.910999298095703,1
3510,18.910999298095703,1
3511,18.910999298095703,1
3530,20.031999588012695,1
3531,20.031999588012695,1
3532,20.031999588012695,1
3533,19.253999710083008,1
3551,20.031999588012695,1
3552,20.031999588012695,1
3553,20.031999588012695,1
3554,19.253999710083008,1
3555,17.645000457763672,1
3572,20.031999588012695,1
3573,20.031999588012695,1
3574,20.031999588012695,1
3575,19.253999710083008,1
3576,17.645000457763672,1
3594,18.385000228881836,1
3595,18.385000228881836,1
3596,18.385000228881836,1
3597,17.645000457763672,1
4202,18.910999298095703,1
4203,18.910999298095703,1
4204,18.910999298095703,1
4223,20.031999588012695,1
4224,20.031999588012695,1
4225,20.031999588012695,1
4226,19.253999710083008,1
4244,20.031999588012695,1
4245,20.031999588012695,1
4246,20.031999588012695,1
4247,19.253999710083008,1
4265,20.031999588012695,1
4266,20.031999588012695,1
4267,20.031999588012695,1
4268,19.253999710083008,1
4287,18.385000228881836,1
4288,18.385000228881836,1
4289,18.385000228881836,1
4917,19.253999710083008,1
4918,19.253999710083008,1
4919,19.253999710083008,1
4938,19.253999710083008,1
4939,19.253999710083008,1
4940,19.253999710083008,1
4959,19.253999710083008,1
4960,19.253999710083008,1
4961,19.253999710083008,1
4980,18.385000228881836,1
4981,18.385000228881836,1
4982,18.385000228881836,1
9550,17.540000915527344,1
9551,17.540000915527344,1
9552,17.540000915527344,1
9571,17.540000915527344,1
9572,17.540000915527344,1
9573,17.540000915527344,1
9592,17.540000915527344,1
9593,17.540000915527344,1
9594,17.540000915527344,1
9990,17.974000930786133,1
9991,17.974000930786133,1
9992,17.974000930786133,1
10011,17.974000930786133,1
10012,17.974000930786133,1
10013,17.974000930786133,1
10032,17.974000930786133,1
10033,17.974000930786133,1
10034,17.974000930786133,1
10243,17.540000915527344,1
10244,17.540000915527344,1
10245,17.540000915527344,1
10264,17.540000915527344,1
10265,17.540000915527344,1
10266,17.540000915527344,1
10285,17.540000915527344,1
10286,17.540000915527344,1
10287,17.540000915527344,1
10683,17.974000930786133,1
10684,17.974000930786133,1
10685,17.974000930786133,1
10704,17.974000930786133,1
10705,17.974000930786133,1
10706,17.974000930786133,1
10725,17.974000930786133,1
10726,17.974000930786133,1
10727,17.974000930786133,1
10789,18.430999755859375,1
10790,18.430999755859375,1
10791,18.430999755859375,1
10810,18.430999755859375,1
10811,18.430999755859375,1
10812,18.430999755859375,1
10831,18.430999755859375,1
10832,18.430999755859375,1
10833,18.430999755859375,1
10935,17.236000061035156,1
10936,17.540000915527344,1
10937,17.540000915527344,1
10938,17.540000915527344,1
10956,18.360000610351562,1
10957,18.360000610351562,1
10958,18.360000610351562,1
10959,17.540000915527344,1
10976,17.715999603271484,1
10977,18.360000610351562,1
10978,18.360000610351562,1
10979,18.360000610351562,1
10980,17.540000915527344,1
10997,17.715999603271484,1
10998,18.360000610351562,1
10999,18.360000610351562,1
11000,18.360000610351562,1
11018,17.715999603271484,1
11019,17.715999603271484,1
11020,17.715999603271484,1
11021,17.40399932861328,1
11376,17.974000930786133,1
11377,17.974000930786133,1
11378,17.974000930786133,1
11397,18.408000946044922,1
11398,18.408000946044922,1
11399,18.408000946044922,1
11418,18.408000946044922,1
11419,18.408000946044922,1
11420,18.408000946044922,1
11439,18.408000946044922,1
11440,18.408000946044922,1
11441,18.408000946044922,1
11482,18.430999755859375,1
11483,18.430999755859375,1
11484,18.430999755859375,1
11503,18.430999755859375,1
11504,18.430999755859375,1
11505,18.430999755859375,1
11524,18.430999755859375,1
11525,18.430999755859375,1
11526,18.430999755859375,1
11628,17.236000061035156,1
11629,17.236000061035156,1
11630,17.236000061035156,1
11649,18.360000610351562,1
11650,18.360000610351562,1
11651,18.360000610351562,1
11669,18.448999404907227,1
11670,18.448999404907227,1
11671,18.448999404907227,1
11672,18.360000610351562,1
11690,18.448999404907227,1
11691,18.448999404907227,1
11692,18.448999404907227,1
11693,18.360000610351562,1
11711,18.448999404907227,1
11712,18.448999404907227,1
11713,18.448999404907227,1
11714,17.40399932861328,1
11732,18.368999481201172,1
11733,18.368999481201172,1
11734,18.368999481201172,1
11981,17.490999221801758,1
11982,17.490999221801758,1
11983,17.490999221801758,1
12002,17.490999221801758,1
12003,17.490999221801758,1
12004,17.490999221801758,1
12023,17.490999221801758,1
12024,17.490999221801758,1
12025,17.490999221801758,1
12090,18.408000946044922,1
12091,18.408000946044922,1
12092,18.408000946044922,1
12111,18.408000946044922,1
12112,18.408000946044922,1
12113,18.408000946044922,1
12132,18.408000946044922,1
12133,18.408000946044922,1
12134,18.408000946044922,1
12175,18.430999755859375,1
12176,18.430999755859375,1
12177,18.430999755859375,1
12196,18.430999755859375,1
12197,18.430999755859375,1
12198,18.430999755859375,1
12217,18.430999755859375,1
12218,18.430999755859375,1
12219,18.430999755859375,1
12259,17.20199966430664,1
12260,17.20199966430664,1
12261,17.20199966430664,1
12280,17.20199966430664,1
12281,17.20199966430664,1
12282,17.20199966430664,1
12301,17.20199966430664,1
12302,17.20199966430664,1
12303,17.20199966430664,1
12321,17.236000061035156,1
12322,17.236000061035156,1
12323,17.236000061035156,1
12342,18.360000610351562,1
12343,18.360000610351562,1
12344,18.360000610351562,1
12362,18.448999404907227,1
12363,18.448999404907227,1
12364,18.448999404907227,1
12365,18.360000610351562,1
12383,18.448999404907227,1
12384,18.448999404907227,1
12385,18.448999404907227,1
12386,18.360000610351562,1
12404,18.448999404907227,1
12405,18.448999404907227,1
12406,18.448999404907227,1
12407,17.40399932861328,1
12425,18.368999481201172,1
12426,18.368999481201172,1
12427,18.368999481201172,1
12674,17.490999221801758,1
12675,17.490999221801758,1
12676,17.490999221801758,1
12695,17.490999221801758,1
12696,17.490999221801758,1
12697,17.490999221801758,1
12716,17.490999221801758,1
12717,17.490999221801758,1
12718,17.490999221801758,1
12783,18.408000946044922,1
12784,18.408000946044922,1
12785,18.408000946044922,1
12804,18.408000946044922,1
12805,18.408000946044922,1
12806,18.408000946044922,1
12825,18.408000946044922,1
12826,18.408000946044922,1
12827,18.408000946044922,1
12952,17.20199966430664,1
12953,17.20199966430664,1
12954,17.20199966430664,1
12973,17.20199966430664,1
12974,17.20199966430664,1
12975,17.20199966430664,1
12994,17.20199966430664,1
12995,17.20199966430664,1
12996,17.20199966430664,1
13055,18.448999404907227,1
13056,18.448999404907227,1
13057,18.448999404907227,1
13076,18.448999404907227,1
13077,18.448999404907227,1
13078,18.448999404907227,1
13097,18.448999404907227,1
13098,18.448999404907227,1
13099,18.448999404907227,1
13118,18.368999481201172,1
13119,18.368999481201172,1
13120,18.368999481201172,1
13367,17.490999221801758,1
13368,17.490999221801758,1
13369,17.490999221801758,1
13388,17.490999221801758,1
13389,17.490999221801758,1
13390,17.490999221801758,1
13409,17.490999221801758,1
13410,17.490999221801758,1
13411,17.490999221801758,1
13645,17.20199966430664,1
13646,17.20199966430664,1
13647,17.20199966430664,1
13666,17.20199966430664,1
13667,17.20199966430664,1
13668,17.20199966430664,1
13687,17.20199966430664,1
13688,17.20199966430664,1
13689,17.20199966430664,1
13748,17.26099967956543,1
13749,17.26099967956543,1
13750,17.26099967956543,1
13769,17.97599983215332,1
13770,17.97599983215332,1
13771,17.97599983215332,1
13790,17.97599983215332,1
13791,17.97599983215332,1
13792,17.97599983215332,1
13811,17.97599983215332,1
13812,17.97599983215332,1
13813,17.97599983215332,1
14102,17.649999618530273,1
14103,17.649999618530273,1
14104,17.649999618530273,1
14123,17.649999618530273,1
14124,17.649999618530273,1
14125,17.649999618530273,1
14144,17.649999618530273,1
14145,17.649999618530273,1
14146,17.649999618530273,1
14795,17.649999618530273,1
14796,18.639999389648438,1
14797,18.639999389648438,1
14798,18.639999389648438,1
14816,18.947999954223633,1
14817,18.947999954223633,1
14818,18.947999954223633,1
14819,18.639999389648438,1
14837,18.947999954223633,1
14838,18.947999954223633,1
14839,18.947999954223633,1
14840,18.639999389648438,1
14858,18.947999954223633,1
14859,18.947999954223633,1
14860,18.947999954223633,1
15488,17.649999618530273,1
15489,18.639999389648438,1
15490,18.639999389648438,1
15491,18.639999389648438,1
15509,18.947999954223633,1
15510,18.947999954223633,1
15511,18.947999954223633,1
15512,18.639999389648438,1
15530,18.947999954223633,1
15531,18.947999954223633,1
15532,18.947999954223633,1
15533,18.639999389648438,1
15551,18.947999954223633,1
15552,18.947999954223633,1
15553,18.947999954223633,1
16182,18.639999389648438,1
16183,18.639999389648438,1
