,scores,cavity
1431,13.286999702453613,1
1432,13.286999702453613,1
1449,14.236000061035156,1
1450,14.236000061035156,1
1451,14.236000061035156,1
1468,14.236000061035156,1
1469,14.236000061035156,1
1470,14.236000061035156,1
1487,14.236000061035156,1
1488,14.236000061035156,1
1489,14.236000061035156,1
1903,14.039999961853027,1
1904,14.039999961853027,1
1905,14.039999961853027,1
1906,13.78499984741211,1
1907,13.78499984741211,1
1908,13.78499984741211,1
1924,14.444999694824219,1
1925,14.444999694824219,1
1926,14.444999694824219,1
1927,14.418000221252441,1
1943,14.444999694824219,1
1944,14.468000411987305,1
1945,14.468000411987305,1
1946,14.468000411987305,1
1962,14.444999694824219,1
1963,14.468000411987305,1
1964,14.468000411987305,1
1965,14.468000411987305,1
1981,14.236000061035156,1
1982,14.468000411987305,1
1983,14.468000411987305,1
1984,14.468000411987305,1
2000,14.236000061035156,1
2001,14.236000061035156,1
2002,14.236000061035156,1
2003,13.906000137329102,1
2399,13.98799991607666,1
2400,13.98799991607666,1
2401,13.98799991607666,1
2415,13.357000350952148,1
2416,14.039999961853027,1
2417,14.039999961853027,1
2418,14.039999961853027,1
2419,13.98799991607666,1
2420,15.003000259399414,1
2421,15.003000259399414,1
2422,15.003000259399414,1
2437,14.444999694824219,1
2438,14.444999694824219,1
2439,15.003000259399414,1
2440,15.003000259399414,1
2441,15.003000259399414,1
2456,14.852999687194824,1
2457,14.852999687194824,1
2458,15.003000259399414,1
2459,15.003000259399414,1
2460,15.003000259399414,1
2475,14.852999687194824,1
2476,14.852999687194824,1
2477,14.852999687194824,1
2478,14.829000473022461,1
2479,13.635000228881836,1
2494,14.852999687194824,1
2495,14.852999687194824,1
2496,14.852999687194824,1
2497,14.829000473022461,1
2498,13.635000228881836,1
2513,14.236000061035156,1
2514,14.236000061035156,1
2515,14.236000061035156,1
2516,13.906000137329102,1
2517,13.234000205993652,1
2912,13.98799991607666,1
2913,13.98799991607666,1
2914,13.98799991607666,1
2929,14.039999961853027,1
2930,14.039999961853027,1
2931,14.039999961853027,1
2932,13.98799991607666,1
2933,15.003000259399414,1
2934,15.003000259399414,1
2935,15.003000259399414,1
2950,14.444999694824219,1
2951,14.444999694824219,1
2952,15.003000259399414,1
2953,15.003000259399414,1
2954,15.003000259399414,1
2969,14.852999687194824,1
2970,14.852999687194824,1
2971,15.003000259399414,1
2972,15.003000259399414,1
2973,15.003000259399414,1
2988,14.852999687194824,1
2989,14.852999687194824,1
2990,14.852999687194824,1
2991,14.829000473022461,1
2992,14.64799976348877,1
3007,14.852999687194824,1
3008,14.852999687194824,1
3009,14.852999687194824,1
3010,14.829000473022461,1
3011,13.741000175476074,1
3029,13.906000137329102,1
3030,13.741000175476074,1
3425,13.98799991607666,1
3426,13.98799991607666,1
3427,13.98799991607666,1
3443,13.831999778747559,1
3446,15.003000259399414,1
3447,15.003000259399414,1
3448,15.003000259399414,1
3462,13.831999778747559,1
3465,15.003000259399414,1
3466,15.003000259399414,1
3467,15.003000259399414,1
3481,13.831999778747559,1
3482,14.852999687194824,1
3483,14.852999687194824,1
3484,15.003000259399414,1
3485,15.003000259399414,1
3486,15.003000259399414,1
3501,14.852999687194824,1
3502,14.852999687194824,1
3503,14.852999687194824,1
3504,14.829000473022461,1
3505,14.64799976348877,1
3520,14.852999687194824,1
3521,14.852999687194824,1
3522,14.852999687194824,1
3523,14.829000473022461,1
3524,13.741000175476074,1
3543,13.741000175476074,1
3978,14.64799976348877,1
3979,14.64799976348877,1
3980,14.64799976348877,1
3997,14.64799976348877,1
3998,14.64799976348877,1
3999,14.64799976348877,1
4016,14.64799976348877,1
4017,14.64799976348877,1
4018,14.64799976348877,1
4056,13.741000175476074,1
4152,14.390999794006348,1
4153,14.390999794006348,1
4154,14.390999794006348,1
4171,14.390999794006348,1
4172,14.390999794006348,1
4173,14.390999794006348,1
4190,14.390999794006348,1
4191,14.390999794006348,1
4192,14.390999794006348,1
4664,13.697999954223633,1
4665,19.145000457763672,1
4666,19.145000457763672,1
4667,19.145000457763672,1
4684,19.145000457763672,1
4685,19.145000457763672,1
4686,19.145000457763672,1
4703,19.145000457763672,1
4704,19.145000457763672,1
4705,19.145000457763672,1
5177,13.697999954223633,1
5178,19.145000457763672,1
5179,19.145000457763672,1
5180,19.145000457763672,1
5197,19.145000457763672,1
5198,19.145000457763672,1
5199,19.145000457763672,1
5216,19.145000457763672,1
5217,19.145000457763672,1
5218,19.145000457763672,1
5690,13.697999954223633,1
5691,19.145000457763672,1
5692,19.145000457763672,1
5693,19.145000457763672,1
5710,19.145000457763672,1
5711,19.145000457763672,1
5712,19.145000457763672,1
5729,19.145000457763672,1
5730,19.145000457763672,1
5731,19.145000457763672,1
6284,14.107999801635742,1
6285,14.107999801635742,1
6286,14.107999801635742,1
6303,14.107999801635742,1
6304,14.107999801635742,1
6305,14.107999801635742,1
