,scores,cavity
653,10.387999534606934,1
654,11.005999565124512,1
655,11.005999565124512,1
656,11.005999565124512,1
670,10.387999534606934,1
671,11.005999565124512,1
672,11.005999565124512,1
673,11.005999565124512,1
687,10.387999534606934,1
688,11.005999565124512,1
689,11.005999565124512,1
690,11.005999565124512,1
889,10.50100040435791,1
890,10.50100040435791,1
891,10.50100040435791,1
906,10.50100040435791,1
907,10.50100040435791,1
908,10.50100040435791,1
909,11.005999565124512,1
910,11.005999565124512,1
911,11.005999565124512,1
923,10.50100040435791,1
924,10.50100040435791,1
925,10.50100040435791,1
926,11.005999565124512,1
927,11.005999565124512,1
928,11.005999565124512,1
941,10.484999656677246,1
942,10.484999656677246,1
943,11.005999565124512,1
944,11.005999565124512,1
945,11.005999565124512,1
1093,10.454000473022461,1
1094,10.454000473022461,1
1095,10.454000473022461,1
1110,10.482999801635742,1
1111,10.482999801635742,1
1112,10.482999801635742,1
1113,10.539999961853027,1
1114,12.104999542236328,1
1115,12.104999542236328,1
1116,12.104999542236328,1
1127,10.482999801635742,1
1128,10.482999801635742,1
1129,10.482999801635742,1
1130,10.539999961853027,1
1131,12.104999542236328,1
1132,12.104999542236328,1
1133,12.104999542236328,1
1144,10.50100040435791,1
1145,10.50100040435791,1
1146,10.50100040435791,1
1147,10.539999961853027,1
1148,12.104999542236328,1
1149,12.104999542236328,1
1150,12.104999542236328,1
1160,10.21500015258789,1
1161,10.727999687194824,1
1162,10.727999687194824,1
1163,10.727999687194824,1
1164,11.005999565124512,1
1165,11.005999565124512,1
1166,11.005999565124512,1
1177,10.21500015258789,1
1178,10.913999557495117,1
1179,10.913999557495117,1
1180,10.913999557495117,1
1181,11.005999565124512,1
1182,11.005999565124512,1
1183,11.005999565124512,1
1194,10.21500015258789,1
1195,10.913999557495117,1
1196,10.913999557495117,1
1197,10.913999557495117,1
1198,11.005999565124512,1
1199,11.005999565124512,1
1200,11.005999565124512,1
1212,10.913999557495117,1
1213,10.913999557495117,1
1214,10.913999557495117,1
1347,12.22599983215332,1
1348,12.22599983215332,1
1349,12.22599983215332,1
1350,10.454000473022461,1
1364,12.22599983215332,1
1365,12.22599983215332,1
1366,12.22599983215332,1
1367,10.531999588012695,1
1368,10.539999961853027,1
1369,12.472999572753906,1
1370,12.472999572753906,1
1371,12.472999572753906,1
1381,12.22599983215332,1
1382,12.22599983215332,1
1383,12.22599983215332,1
1384,10.531999588012695,1
1385,10.539999961853027,1
1386,13.357000350952148,1
1387,13.357000350952148,1
1388,13.357000350952148,1
1399,10.531999588012695,1
1400,10.531999588012695,1
1401,10.531999588012695,1
1403,13.357000350952148,1
1404,13.357000350952148,1
1405,13.357000350952148,1
1415,11.788999557495117,1
1416,11.788999557495117,1
1421,13.357000350952148,1
1422,13.357000350952148,1
1432,14.470000267028809,1
1433,14.470000267028809,1
1434,14.470000267028809,1
1449,14.470000267028809,1
1450,14.470000267028809,1
1451,14.470000267028809,1
1466,14.470000267028809,1
1467,14.470000267028809,1
1468,14.470000267028809,1
1567,10.854999542236328,1
1568,15.404999732971191,1
1569,15.404999732971191,1
1570,15.404999732971191,1
1584,13.756999969482422,1
1585,16.19300079345703,1
1586,16.19300079345703,1
1587,16.19300079345703,1
1588,12.994000434875488,1
1601,13.756999969482422,1
1602,16.19300079345703,1
1603,16.19300079345703,1
1604,16.19300079345703,1
1605,12.994000434875488,1
1618,13.756999969482422,1
1619,16.19300079345703,1
1620,16.19300079345703,1
1621,16.19300079345703,1
1622,12.994000434875488,1
1624,12.472999572753906,1
1625,12.472999572753906,1
1626,12.472999572753906,1
1635,10.411999702453613,1
1636,12.22599983215332,1
1637,12.22599983215332,1
1638,12.22599983215332,1
1641,13.357000350952148,1
1642,13.357000350952148,1
1643,13.357000350952148,1
1654,10.531999588012695,1
1655,10.531999588012695,1
1658,13.357000350952148,1
1659,13.357000350952148,1
1660,13.357000350952148,1
1670,11.788999557495117,1
1671,12.475000381469727,1
1677,13.357000350952148,1
1687,14.470000267028809,1
1688,14.470000267028809,1
1689,14.470000267028809,1
1704,14.470000267028809,1
1705,14.470000267028809,1
1706,14.470000267028809,1
1721,14.470000267028809,1
1722,14.470000267028809,1
1723,14.470000267028809,1
1822,10.854999542236328,1
1823,15.404999732971191,1
1824,15.404999732971191,1
1825,15.404999732971191,1
1839,22.336999893188477,1
1840,22.336999893188477,1
1841,22.336999893188477,1
1842,20.75,1
1843,13.940999984741211,1
1856,22.336999893188477,1
1857,22.336999893188477,1
1858,22.336999893188477,1
1859,20.75,1
1860,13.940999984741211,1
1873,22.336999893188477,1
1874,22.336999893188477,1
1875,22.336999893188477,1
1876,20.75,1
1877,13.940999984741211,1
1879,12.472999572753906,1
1880,12.472999572753906,1
1881,12.472999572753906,1
1890,11.770000457763672,1
1891,17.288000106811523,1
1892,17.288000106811523,1
1893,17.288000106811523,1
1894,12.529000282287598,1
1896,13.357000350952148,1
1897,13.357000350952148,1
1898,13.357000350952148,1
1907,11.59000015258789,1
1908,13.024999618530273,1
1909,13.024999618530273,1
1910,13.024999618530273,1
1911,12.383999824523926,1
1913,13.357000350952148,1
1914,13.357000350952148,1
1915,13.357000350952148,1
1924,12.07800006866455,1
1925,14.34000015258789,1
1926,14.368000030517578,1
1927,14.368000030517578,1
1928,14.368000030517578,1
1941,12.07800006866455,1
1942,14.470000267028809,1
1943,14.470000267028809,1
1944,14.470000267028809,1
1958,12.07800006866455,1
1959,15.461000442504883,1
1960,15.461000442504883,1
1961,15.461000442504883,1
1975,11.963000297546387,1
1976,15.461000442504883,1
1977,15.461000442504883,1
1978,15.461000442504883,1
1993,15.461000442504883,1
1994,15.461000442504883,1
1995,15.461000442504883,1
2076,12.89900016784668,1
2077,13.362000465393066,1
2078,15.404999732971191,1
2079,15.404999732971191,1
2080,15.404999732971191,1
2093,14.34000015258789,1
2094,22.336999893188477,1
2095,22.336999893188477,1
2096,22.336999893188477,1
2097,20.75,1
2098,13.940999984741211,1
2110,14.34000015258789,1
2111,22.336999893188477,1
2112,22.336999893188477,1
2113,22.336999893188477,1
2114,20.75,1
2115,13.940999984741211,1
2127,14.34000015258789,1
2128,22.336999893188477,1
2129,22.336999893188477,1
2130,22.336999893188477,1
2131,20.75,1
2132,13.940999984741211,1
2134,12.218000411987305,1
2145,16.910999298095703,1
2146,17.288000106811523,1
2147,17.288000106811523,1
2148,17.288000106811523,1
2149,13.307000160217285,1
2162,13.928999900817871,1
2163,15.329000473022461,1
2164,15.329000473022461,1
2165,15.329000473022461,1
2179,13.930999755859375,1
2180,15.57800006866455,1
2181,15.57800006866455,1
2182,15.57800006866455,1
2183,14.368000030517578,1
2196,15.055000305175781,1
2197,15.57800006866455,1
2198,15.57800006866455,1
2199,15.57800006866455,1
2213,15.055000305175781,1
2214,15.57800006866455,1
2215,15.57800006866455,1
2216,15.57800006866455,1
2230,15.055000305175781,1
2231,15.461000442504883,1
2232,15.461000442504883,1
2233,15.461000442504883,1
2248,15.461000442504883,1
2249,15.461000442504883,1
2250,15.461000442504883,1
2331,12.89900016784668,1
2332,13.362000465393066,1
2333,13.482000350952148,1
2334,13.482000350952148,1
2335,13.482000350952148,1
2348,14.34000015258789,1
2349,22.336999893188477,1
2350,22.336999893188477,1
2351,22.336999893188477,1
2352,20.75,1
2353,13.940999984741211,1
2365,14.34000015258789,1
2366,22.336999893188477,1
2367,22.336999893188477,1
2368,22.336999893188477,1
2369,20.75,1
2370,13.940999984741211,1
2382,14.34000015258789,1
2383,22.336999893188477,1
2384,22.336999893188477,1
2385,22.336999893188477,1
2386,20.75,1
2387,13.940999984741211,1
2400,16.910999298095703,1
2401,17.288000106811523,1
2402,17.288000106811523,1
2403,17.288000106811523,1
2416,11.220000267028809,1
2417,14.230999946594238,1
2418,15.329000473022461,1
2419,15.329000473022461,1
2420,15.329000473022461,1
2433,11.220000267028809,1
2434,14.230999946594238,1
2435,15.57800006866455,1
2436,15.57800006866455,1
2450,11.220000267028809,1
2451,15.055000305175781,1
2452,15.57800006866455,1
2453,15.57800006866455,1
2468,15.055000305175781,1
2469,15.57800006866455,1
2470,15.57800006866455,1
2485,15.055000305175781,1
2486,15.461000442504883,1
2503,15.461000442504883,1
2586,12.89900016784668,1
2587,13.362000465393066,1
2588,13.482000350952148,1
2589,13.482000350952148,1
2590,13.482000350952148,1
2603,14.34000015258789,1
2604,16.6299991607666,1
2605,16.6299991607666,1
2606,16.6299991607666,1
2607,16.476999282836914,1
2608,13.928000450134277,1
2620,14.34000015258789,1
2621,16.910999298095703,1
2622,16.910999298095703,1
2623,16.910999298095703,1
2624,16.476999282836914,1
2637,14.34000015258789,1
2638,16.910999298095703,1
2639,16.910999298095703,1
2640,16.910999298095703,1
2641,16.476999282836914,1
2655,16.910999298095703,1
2656,16.910999298095703,1
2657,16.910999298095703,1
2671,11.220000267028809,1
2672,14.230999946594238,1
2673,15.329000473022461,1
2674,15.329000473022461,1
2688,11.96399974822998,1
2689,14.230999946594238,1
2690,15.57800006866455,1
2691,15.57800006866455,1
2705,11.96399974822998,1
2706,15.055000305175781,1
2707,15.57800006866455,1
2722,11.96399974822998,1
2723,15.055000305175781,1
2724,15.57800006866455,1
2740,15.055000305175781,1
2841,10.682000160217285,1
2842,10.710000038146973,1
2843,13.482000350952148,1
2844,13.482000350952148,1
2845,13.482000350952148,1
2858,10.682000160217285,1
2859,11.1899995803833,1
2860,16.231000900268555,1
2861,16.231000900268555,1
2862,16.231000900268555,1
2863,13.369000434875488,1
2875,10.682000160217285,1
2876,14.432000160217285,1
2877,16.231000900268555,1
2878,16.231000900268555,1
2893,14.432000160217285,1
2894,16.231000900268555,1
2895,16.231000900268555,1
2910,14.432000160217285,1
2911,14.710000038146973,1
2912,14.710000038146973,1
2926,12.817000389099121,1
2927,14.230999946594238,1
2928,14.230999946594238,1
2929,14.230999946594238,1
2943,12.817000389099121,1
2944,14.230999946594238,1
2945,14.230999946594238,1
2946,14.230999946594238,1
2960,12.817000389099121,1
2961,14.230999946594238,1
3115,12.826000213623047,1
3116,12.826000213623047,1
3117,12.826000213623047,1
3131,12.496999740600586,1
3132,12.826000213623047,1
3148,12.496999740600586,1
3149,12.826000213623047,1
3165,12.496999740600586,1
3166,12.496999740600586,1
3181,12.817000389099121,1
3182,13.534000396728516,1
3183,13.534000396728516,1
3198,12.817000389099121,1
3199,13.534000396728516,1
3215,12.817000389099121,1
3436,12.817000389099121,1
3437,12.817000389099121,1
3453,12.817000389099121,1
3470,12.817000389099121,1
3667,15.435999870300293,1
3668,15.435999870300293,1
3669,15.435999870300293,1
3922,15.435999870300293,1
3923,15.435999870300293,1
3924,15.435999870300293,1
3940,15.435999870300293,1
3941,15.435999870300293,1
3957,15.435999870300293,1
3958,15.435999870300293,1
6373,12.100000381469727,1
6397,13.142000198364258,1
6398,13.699999809265137,1
6399,13.699999809265137,1
6400,13.699999809265137,1
6424,13.885000228881836,1
6425,13.885000228881836,1
6426,13.885000228881836,1
6427,12.100000381469727,1
6428,11.616000175476074,1
6429,11.616000175476074,1
6450,13.885000228881836,1
6451,13.885000228881836,1
6452,13.885000228881836,1
6453,11.97599983215332,1
6454,10.961999893188477,1
6476,13.885000228881836,1
6477,13.885000228881836,1
6478,13.885000228881836,1
6479,11.722000122070312,1
7049,10.666000366210938,1
7074,11.07699966430664,1
7075,11.07699966430664,1
7100,12.065999984741211,1
7101,13.345000267028809,1
7125,13.142000198364258,1
7126,13.829999923706055,1
7127,14.59000015258789,1
7128,14.59000015258789,1
7129,14.59000015258789,1
7131,12.303999900817871,1
7152,14.383000373840332,1
7153,14.59000015258789,1
7154,14.59000015258789,1
7155,14.59000015258789,1
7156,13.11400032043457,1
7157,12.303999900817871,1
7158,10.359000205993652,1
7178,14.383000373840332,1
7179,14.59000015258789,1
7180,14.59000015258789,1
7181,14.59000015258789,1
7182,13.11400032043457,1
7183,10.928999900817871,1
