,scores,cavity
60790,9.079999923706055,1
60791,9.079999923706055,1
60792,9.079999923706055,1
60794,9.11299991607666,1
60795,9.510000228881836,1
60816,9.194000244140625,1
60817,9.194000244140625,1
60818,9.194000244140625,1
60820,9.11299991607666,1
60821,9.510000228881836,1
60842,9.194000244140625,1
60843,9.194000244140625,1
60844,9.194000244140625,1
60846,9.11299991607666,1
60847,9.510000228881836,1
60848,9.510000228881836,1
60868,9.194000244140625,1
60869,9.194000244140625,1
60870,9.194000244140625,1
60872,8.6899995803833,1
60873,8.6899995803833,1
61782,8.873000144958496,1
61783,8.873000144958496,1
61804,9.079999923706055,1
61805,9.079999923706055,1
61806,9.814000129699707,1
61807,9.814000129699707,1
61808,9.814000129699707,1
61809,9.510000228881836,1
61829,9.11299991607666,1
61830,9.194000244140625,1
61831,9.194000244140625,1
61832,9.814000129699707,1
61833,9.814000129699707,1
61834,9.814000129699707,1
61835,9.510000228881836,1
61855,9.11299991607666,1
61856,9.194000244140625,1
61857,9.194000244140625,1
61858,9.814000129699707,1
61859,9.814000129699707,1
61860,9.814000129699707,1
61861,9.510000228881836,1
61862,9.510000228881836,1
61881,9.11299991607666,1
61882,9.194000244140625,1
61883,9.194000244140625,1
61884,9.194000244140625,1
61885,8.689000129699707,1
61886,8.6899995803833,1
61887,8.6899995803833,1
62771,8.836999893188477,1
62772,8.836999893188477,1
62773,8.836999893188477,1
62774,8.75,1
62775,9.439000129699707,1
62776,9.439000129699707,1
62777,9.439000129699707,1
62796,9.071999549865723,1
62797,9.071999549865723,1
62798,9.439000129699707,1
62799,9.814000129699707,1
62800,9.814000129699707,1
62801,9.814000129699707,1
62802,9.439000129699707,1
62803,9.439000129699707,1
62817,8.6899995803833,1
62818,9.079999923706055,1
62819,9.439000129699707,1
62820,9.814000129699707,1
62821,9.814000129699707,1
62822,9.814000129699707,1
62823,9.510000228881836,1
62824,9.510000228881836,1
62825,9.814000129699707,1
62826,9.814000129699707,1
62827,9.814000129699707,1
62828,9.439000129699707,1
62829,9.439000129699707,1
62843,9.11299991607666,1
62844,9.194000244140625,1
62845,9.439000129699707,1
62846,9.814000129699707,1
62847,9.814000129699707,1
