,scores,cavity
709,13.142000198364258,1
710,13.142000198364258,1
711,13.142000198364258,1
724,15.12600040435791,1
725,15.12600040435791,1
726,15.12600040435791,1
727,14.972000122070312,1
739,16.858999252319336,1
740,17.378999710083008,1
741,17.378999710083008,1
742,17.378999710083008,1
754,16.858999252319336,1
755,17.954999923706055,1
756,17.954999923706055,1
757,17.954999923706055,1
769,16.858999252319336,1
770,17.954999923706055,1
771,17.954999923706055,1
772,17.954999923706055,1
784,13.515999794006348,1
785,17.954999923706055,1
786,17.954999923706055,1
787,17.954999923706055,1
800,16.57200050354004,1
801,16.57200050354004,1
802,16.57200050354004,1
994,12.050999641418457,1
995,12.050999641418457,1
996,12.050999641418457,1
1009,16.476999282836914,1
1010,16.476999282836914,1
1011,16.476999282836914,1
1012,12.505000114440918,1
1024,16.476999282836914,1
1025,16.6560001373291,1
1026,16.6560001373291,1
1027,16.6560001373291,1
1028,13.71399974822998,1
1039,17.29800033569336,1
1040,18.134000778198242,1
1041,18.134000778198242,1
1042,18.134000778198242,1
1043,14.781000137329102,1
1054,17.29800033569336,1
1055,18.969999313354492,1
1056,18.969999313354492,1
1057,18.969999313354492,1
1058,14.781000137329102,1
1069,17.29800033569336,1
1070,18.969999313354492,1
1071,18.969999313354492,1
1072,18.969999313354492,1
1073,14.781000137329102,1
1084,13.515999794006348,1
1085,19.74799919128418,1
1086,19.74799919128418,1
1087,19.74799919128418,1
1088,16.981000900268555,1
1100,19.74799919128418,1
1101,19.74799919128418,1
1102,19.74799919128418,1
1103,16.981000900268555,1
1115,19.74799919128418,1
1116,19.74799919128418,1
1117,19.74799919128418,1
1118,16.981000900268555,1
1247,14.125,1
1248,14.125,1
1249,14.125,1
1250,12.618000030517578,1
1262,14.125,1
1263,14.125,1
1264,14.125,1
1265,12.618000030517578,1
1277,14.125,1
1278,14.125,1
1279,14.125,1
1280,12.618000030517578,1
1294,12.050999641418457,1
1295,12.050999641418457,1
1296,12.050999641418457,1
1309,16.476999282836914,1
1310,16.476999282836914,1
1311,16.476999282836914,1
1312,12.505000114440918,1
1324,16.476999282836914,1
1325,16.6560001373291,1
1326,16.6560001373291,1
1327,16.6560001373291,1
1328,13.71399974822998,1
1339,17.29800033569336,1
1340,18.134000778198242,1
1341,18.134000778198242,1
1342,18.134000778198242,1
1343,14.781000137329102,1
1354,17.29800033569336,1
1355,18.969999313354492,1
1356,18.969999313354492,1
1357,18.969999313354492,1
1358,14.781000137329102,1
1369,17.29800033569336,1
1370,19.38800048828125,1
1371,19.38800048828125,1
1372,19.38800048828125,1
1373,14.840999603271484,1
1388,19.200000762939453,1
1403,19.200000762939453,1
1418,19.200000762939453,1
1430,16.11400032043457,1
1431,16.11400032043457,1
1432,16.11400032043457,1
1534,11.725000381469727,1
1535,11.725000381469727,1
1536,11.725000381469727,1
1547,14.125,1
1548,14.125,1
1549,14.125,1
1550,12.618000030517578,1
1551,11.725000381469727,1
1562,14.125,1
1563,14.125,1
1564,14.125,1
1577,14.125,1
1578,14.125,1
1579,14.125,1
1609,16.476999282836914,1
1610,16.476999282836914,1
1611,16.476999282836914,1
1612,12.505000114440918,1
1624,16.476999282836914,1
1625,16.6560001373291,1
1626,16.6560001373291,1
1627,16.6560001373291,1
1628,13.71399974822998,1
1639,17.29800033569336,1
1640,18.134000778198242,1
1641,18.134000778198242,1
1642,18.134000778198242,1
1643,14.781000137329102,1
1654,17.29800033569336,1
1655,18.969999313354492,1
1656,18.969999313354492,1
1657,18.969999313354492,1
1658,14.781000137329102,1
1669,17.29800033569336,1
1670,19.38800048828125,1
1671,19.38800048828125,1
1672,19.38800048828125,1
1673,14.840999603271484,1
1688,19.200000762939453,1
1703,19.200000762939453,1
1718,19.200000762939453,1
1732,16.11400032043457,1
1834,11.725000381469727,1
1835,11.725000381469727,1
1836,11.725000381469727,1
1847,14.125,1
1848,14.125,1
1849,14.125,1
1850,13.6850004196167,1
1851,13.6850004196167,1
1852,13.6850004196167,1
1862,14.125,1
1863,14.125,1
1864,14.125,1
1865,13.6850004196167,1
1866,13.6850004196167,1
1867,13.6850004196167,1
1879,14.125,1
1880,13.6850004196167,1
1881,13.6850004196167,1
1882,13.6850004196167,1
1940,13.901000022888184,1
1941,13.901000022888184,1
1942,13.901000022888184,1
1955,15.704999923706055,1
1956,15.704999923706055,1
1957,15.704999923706055,1
1970,19.38800048828125,1
1971,19.38800048828125,1
1972,19.38800048828125,1
1973,14.840999603271484,1
1988,19.200000762939453,1
2003,19.200000762939453,1
2018,19.200000762939453,1
2019,14.10099983215332,1
2020,14.10099983215332,1
2032,16.11400032043457,1
2033,14.10099983215332,1
2034,14.10099983215332,1
2035,14.10099983215332,1
2036,12.295999526977539,1
2048,14.10099983215332,1
2049,14.10099983215332,1
2050,14.10099983215332,1
2051,12.295999526977539,1
2064,12.295999526977539,1
2065,12.295999526977539,1
2066,12.295999526977539,1
2134,11.725000381469727,1
2149,11.725000381469727,1
2320,14.10099983215332,1
2332,15.781999588012695,1
2333,14.10099983215332,1
2334,14.10099983215332,1
2335,14.10099983215332,1
2348,14.10099983215332,1
2349,14.10099983215332,1
2350,14.10099983215332,1
2364,12.295999526977539,1
2365,12.295999526977539,1
2366,12.295999526977539,1
2633,14.10099983215332,1
2634,14.10099983215332,1
2635,14.10099983215332,1
2647,13.29800033569336,1
2648,14.10099983215332,1
2649,14.10099983215332,1
2650,14.10099983215332,1
2664,12.295999526977539,1
2665,12.295999526977539,1
2666,12.295999526977539,1
2779,13.157999992370605,1
2949,11.633000373840332,1
3759,24.45599937438965,1
3760,24.45599937438965,1
3761,24.45599937438965,1
3774,24.45599937438965,1
3775,24.45599937438965,1
3776,24.45599937438965,1
3789,24.45599937438965,1
3790,24.45599937438965,1
3791,24.45599937438965,1
4062,13.95300006866455,1
4077,13.95300006866455,1
4089,28.281999588012695,1
4090,28.281999588012695,1
4091,28.281999588012695,1
4092,13.95300006866455,1
6010,11.767999649047852,1
6011,11.767999649047852,1
6012,11.767999649047852,1
6013,10.39900016784668,1
6036,11.767999649047852,1
6037,11.767999649047852,1
6038,11.767999649047852,1
6683,8.446999549865723,1
6684,8.446999549865723,1
6685,8.446999549865723,1
6706,8.416000366210938,1
6707,8.62399959564209,1
6708,8.62399959564209,1
6709,9.392999649047852,1
6710,9.392999649047852,1
6711,9.392999649047852,1
6712,8.949999809265137,1
6732,8.416000366210938,1
6733,8.925999641418457,1
6734,8.925999641418457,1
6738,8.949999809265137,1
6758,8.416000366210938,1
6759,8.925999641418457,1
6760,8.925999641418457,1
6785,8.925999641418457,1
6786,8.925999641418457,1
6896,8.404999732971191,1
6897,8.404999732971191,1
6898,8.404999732971191,1
6922,8.404999732971191,1
6923,8.404999732971191,1
6924,9.090999603271484,1
6925,9.090999603271484,1
6926,9.090999603271484,1
6948,8.404999732971191,1
6949,8.404999732971191,1
6950,9.090999603271484,1
6951,9.090999603271484,1
6952,9.090999603271484,1
6976,9.090999603271484,1
6977,9.090999603271484,1
6978,9.090999603271484,1
7178,9.27400016784668,1
7204,9.27400016784668,1
7251,8.491999626159668,1
7252,8.67199993133545,1
7277,9.151000022888184,1
7278,9.418999671936035,1
7283,11.902000427246094,1
7284,10.380999565124512,1
7285,10.321000099182129,1
7286,8.390999794006348,1
