,scores,cavity
1365,15.003999710083008,1
1393,15.003999710083008,1
1419,15.003999710083008,1
1420,15.003999710083008,1
1421,15.003999710083008,1
1432,16.003999710083008,1
1433,16.003999710083008,1
1434,16.003999710083008,1
1459,18.381999969482422,1
1460,18.381999969482422,1
1461,18.381999969482422,1
1462,16.003999710083008,1
1486,16.32699966430664,1
1487,18.381999969482422,1
1488,18.381999969482422,1
1489,18.381999969482422,1
1490,16.003999710083008,1
1514,16.32699966430664,1
1515,18.381999969482422,1
1516,18.381999969482422,1
1517,18.381999969482422,1
1518,15.791000366210938,1
1542,16.32699966430664,1
1543,17.260000228881836,1
1544,17.260000228881836,1
1545,17.260000228881836,1
1546,15.423999786376953,1
1570,15.866000175476074,1
1571,15.866000175476074,1
1572,15.866000175476074,1
1573,15.795000076293945,1
1969,17.516000747680664,1
1970,17.516000747680664,1
1971,17.516000747680664,1
1979,15.003999710083008,1
1980,15.003999710083008,1
1981,15.003999710083008,1
1997,17.516000747680664,1
1998,17.87700080871582,1
1999,17.969999313354492,1
2000,17.969999313354492,1
2001,17.969999313354492,1
2019,18.381999969482422,1
2020,18.381999969482422,1
2021,18.381999969482422,1
2024,16.170000076293945,1
2025,17.516000747680664,1
2026,17.87700080871582,1
2027,17.969999313354492,1
2028,17.969999313354492,1
2029,17.969999313354492,1
2046,16.665000915527344,1
2047,20.944000244140625,1
2048,20.944000244140625,1
2049,20.944000244140625,1
2050,18.851999282836914,1
2051,14.932000160217285,1
2054,17.87700080871582,1
2055,17.969999313354492,1
2056,17.969999313354492,1
2057,17.969999313354492,1
2074,16.665000915527344,1
2075,22.871000289916992,1
2076,22.871000289916992,1
2077,22.871000289916992,1
2078,19.642000198364258,1
2102,16.665000915527344,1
2103,22.871000289916992,1
2104,22.871000289916992,1
2105,22.871000289916992,1
2106,19.642000198364258,1
2130,16.222999572753906,1
2131,22.871000289916992,1
2132,22.871000289916992,1
2133,22.871000289916992,1
2134,19.642000198364258,1
2159,15.529999732971191,1
2160,18.339000701904297,1
2161,18.339000701904297,1
2162,18.339000701904297,1
2529,17.516000747680664,1
2530,17.516000747680664,1
2531,17.516000747680664,1
2557,17.516000747680664,1
2558,17.87700080871582,1
2559,17.972000122070312,1
2560,17.972000122070312,1
2561,17.972000122070312,1
2579,18.381999969482422,1
2580,18.381999969482422,1
2581,18.381999969482422,1
2585,17.516000747680664,1
2586,17.87700080871582,1
2587,17.972000122070312,1
2588,17.972000122070312,1
2589,17.972000122070312,1
2607,20.944000244140625,1
2608,20.944000244140625,1
2609,20.944000244140625,1
2610,18.851999282836914,1
2611,15.364999771118164,1
2613,17.308000564575195,1
2614,17.87700080871582,1
2615,17.972000122070312,1
2616,17.972000122070312,1
2617,17.972000122070312,1
2634,18.315000534057617,1
2635,23.83099937438965,1
2636,23.83099937438965,1
2637,23.83099937438965,1
2638,21.85700035095215,1
2639,16.21299934387207,1
2643,17.179000854492188,1
2644,17.179000854492188,1
2645,17.179000854492188,1
2662,18.315000534057617,1
2663,27.18600082397461,1
2664,27.18600082397461,1
2665,27.18600082397461,1
2666,21.85700035095215,1
2667,17.180999755859375,1
2690,18.315000534057617,1
2691,27.18600082397461,1
2692,27.18600082397461,1
2693,27.18600082397461,1
2694,21.85700035095215,1
2695,17.180999755859375,1
2719,27.18600082397461,1
2720,27.18600082397461,1
2721,27.18600082397461,1
2722,18.339000701904297,1
2723,17.180999755859375,1
3089,17.516000747680664,1
3090,17.516000747680664,1
3091,17.516000747680664,1
3117,17.516000747680664,1
3118,17.87700080871582,1
3119,17.972000122070312,1
3120,17.972000122070312,1
3121,17.972000122070312,1
3139,17.819000244140625,1
3140,17.819000244140625,1
3141,17.819000244140625,1
3145,17.516000747680664,1
3146,18.902000427246094,1
3147,18.902000427246094,1
3148,18.902000427246094,1
3149,17.972000122070312,1
3150,17.249000549316406,1
3167,20.944000244140625,1
3168,20.944000244140625,1
3169,20.944000244140625,1
3170,18.851999282836914,1
3172,16.249000549316406,1
3173,17.433000564575195,1
3174,18.902000427246094,1
3175,18.902000427246094,1
3176,18.902000427246094,1
3177,17.972000122070312,1
3178,17.249000549316406,1
3194,18.315000534057617,1
3195,23.83099937438965,1
3196,23.83099937438965,1
3197,23.83099937438965,1
3198,21.85700035095215,1
3199,16.249000549316406,1
3200,16.249000549316406,1
3201,17.433000564575195,1
3202,18.902000427246094,1
3203,18.902000427246094,1
3204,18.902000427246094,1
3205,17.249000549316406,1
3206,17.249000549316406,1
3222,18.315000534057617,1
3223,27.18600082397461,1
3224,27.18600082397461,1
3225,27.18600082397461,1
3226,22.29199981689453,1
3227,18.84000015258789,1
3250,18.315000534057617,1
3251,27.18600082397461,1
3252,27.18600082397461,1
3253,27.18600082397461,1
3254,22.29199981689453,1
3255,18.84000015258789,1
3279,27.18600082397461,1
3280,27.18600082397461,1
3281,27.18600082397461,1
3282,22.29199981689453,1
3283,18.84000015258789,1
3438,17.200000762939453,1
3439,17.200000762939453,1
3440,17.200000762939453,1
3466,18.885000228881836,1
3467,18.885000228881836,1
3468,18.885000228881836,1
3494,18.885000228881836,1
3495,18.885000228881836,1
3496,18.885000228881836,1
3522,18.885000228881836,1
3523,18.885000228881836,1
3524,18.885000228881836,1
3550,17.708999633789062,1
3551,17.708999633789062,1
3552,17.708999633789062,1
3579,15.61299991607666,1
3677,17.308000564575195,1
3678,17.308000564575195,1
3679,17.972000122070312,1
3680,17.972000122070312,1
3681,17.972000122070312,1
3705,17.433000564575195,1
3706,18.902000427246094,1
3707,18.902000427246094,1
3708,18.902000427246094,1
3709,17.972000122070312,1
3710,17.249000549316406,1
3727,20.54800033569336,1
3728,20.54800033569336,1
3729,20.54800033569336,1
3730,18.197999954223633,1
3732,16.249000549316406,1
3733,19.81399917602539,1
3734,19.81399917602539,1
3735,19.81399917602539,1
3736,18.902000427246094,1
3737,17.972000122070312,1
3738,17.249000549316406,1
3754,18.315000534057617,1
3755,23.83099937438965,1
3756,23.83099937438965,1
3757,23.83099937438965,1
3758,21.85700035095215,1
3760,17.68199920654297,1
3761,19.81399917602539,1
3762,19.81399917602539,1
3763,19.81399917602539,1
3764,18.902000427246094,1
3765,17.249000549316406,1
3766,17.249000549316406,1
3782,18.315000534057617,1
3783,27.18600082397461,1
3784,27.18600082397461,1
3785,27.18600082397461,1
3786,22.29199981689453,1
3787,19.30699920654297,1
3788,17.85300064086914,1
3789,19.81399917602539,1
3790,19.81399917602539,1
3791,19.81399917602539,1
3810,18.315000534057617,1
3811,27.18600082397461,1
3812,27.18600082397461,1
3813,27.18600082397461,1
3814,22.29199981689453,1
3815,19.30699920654297,1
3816,17.85300064086914,1
3817,17.68199920654297,1
3818,17.68199920654297,1
3839,27.18600082397461,1
3840,27.18600082397461,1
3841,27.18600082397461,1
3842,22.29199981689453,1
3843,19.30699920654297,1
3844,17.85300064086914,1
3998,18.163000106811523,1
3999,18.163000106811523,1
4000,18.163000106811523,1
4026,23.5049991607666,1
4027,23.5049991607666,1
4028,23.5049991607666,1
4029,17.6200008392334,1
4054,23.5049991607666,1
4055,23.5049991607666,1
4056,23.5049991607666,1
4057,17.6200008392334,1
4082,23.5049991607666,1
4083,23.5049991607666,1
4084,23.5049991607666,1
4085,17.6200008392334,1
4110,17.708999633789062,1
4111,17.708999633789062,1
4112,17.708999633789062,1
4139,15.61299991607666,1
4265,17.433000564575195,1
4266,18.902000427246094,1
4267,18.902000427246094,1
4268,18.902000427246094,1
4269,17.249000549316406,1
4270,17.249000549316406,1
4289,17.667999267578125,1
4293,19.81399917602539,1
4294,19.81399917602539,1
4295,19.81399917602539,1
4296,18.902000427246094,1
4297,17.249000549316406,1
4298,17.249000549316406,1
4315,22.798999786376953,1
4316,22.798999786376953,1
4317,22.798999786376953,1
4318,20.83300018310547,1
4320,17.68199920654297,1
4321,19.81399917602539,1
4322,19.81399917602539,1
4323,19.81399917602539,1
4324,18.902000427246094,1
4325,17.249000549316406,1
4326,17.249000549316406,1
4343,23.02400016784668,1
