,scores,cavity
871,16.889999389648438,1
872,16.889999389648438,1
873,16.889999389648438,1
874,16.52899932861328,1
893,17.506999969482422,1
894,17.538000106811523,1
895,17.538000106811523,1
896,17.538000106811523,1
915,17.506999969482422,1
916,17.538000106811523,1
917,17.538000106811523,1
918,17.538000106811523,1
937,17.506999969482422,1
938,17.538000106811523,1
939,17.538000106811523,1
940,17.538000106811523,1
1244,15.996999740600586,1
1245,15.996999740600586,1
1246,15.996999740600586,1
1266,17.628000259399414,1
1267,18.482999801635742,1
1268,18.482999801635742,1
1269,18.482999801635742,1
1270,17.23200035095215,1
1288,17.628000259399414,1
1289,19.85099983215332,1
1290,19.85099983215332,1
1291,19.85099983215332,1
1292,19.702999114990234,1
1310,17.628000259399414,1
1311,19.85099983215332,1
1312,19.85099983215332,1
1313,19.85099983215332,1
1314,19.702999114990234,1
1332,17.43199920654297,1
1333,19.85099983215332,1
1334,19.85099983215332,1
1335,19.85099983215332,1
1336,19.702999114990234,1
1640,15.996999740600586,1
1641,15.996999740600586,1
1642,15.996999740600586,1
1662,17.628000259399414,1
1663,18.482999801635742,1
1664,18.482999801635742,1
1665,18.482999801635742,1
1666,17.268999099731445,1
1684,18.347000122070312,1
1685,19.85099983215332,1
1686,19.85099983215332,1
1687,19.85099983215332,1
1688,19.702999114990234,1
1689,17.565000534057617,1
1706,18.347000122070312,1
1707,19.85099983215332,1
1708,19.85099983215332,1
1709,19.85099983215332,1
1710,19.702999114990234,1
1711,17.565000534057617,1
1728,18.347000122070312,1
1729,19.85099983215332,1
1730,19.85099983215332,1
1731,19.85099983215332,1
1732,19.702999114990234,1
1733,17.565000534057617,1
1751,16.909000396728516,1
1752,16.909000396728516,1
1753,16.909000396728516,1
2036,15.996999740600586,1
2037,15.996999740600586,1
2038,15.996999740600586,1
2058,17.628000259399414,1
2059,18.482999801635742,1
2060,18.482999801635742,1
2061,18.482999801635742,1
2062,17.268999099731445,1
2080,18.347000122070312,1
2081,19.85099983215332,1
2082,19.85099983215332,1
2083,19.85099983215332,1
2084,19.702999114990234,1
2085,17.565000534057617,1
2102,18.347000122070312,1
2103,19.85099983215332,1
2104,19.85099983215332,1
2105,19.85099983215332,1
2106,19.702999114990234,1
2107,17.565000534057617,1
2124,18.347000122070312,1
2125,19.85099983215332,1
2126,19.85099983215332,1
2127,19.85099983215332,1
2128,19.702999114990234,1
2129,17.565000534057617,1
2147,16.909000396728516,1
2148,17.815000534057617,1
2149,17.815000534057617,1
2150,17.815000534057617,1
2151,17.371000289916992,1
2454,17.238000869750977,1
2455,17.448999404907227,1
2456,17.448999404907227,1
2457,17.448999404907227,1
2458,17.268999099731445,1
2476,18.347000122070312,1
2477,19.264999389648438,1
2478,19.268999099731445,1
2479,19.268999099731445,1
2480,19.268999099731445,1
2481,17.565000534057617,1
2498,18.347000122070312,1
2499,19.264999389648438,1
2500,19.268999099731445,1
2501,19.268999099731445,1
2502,19.268999099731445,1
2503,17.565000534057617,1
2520,18.347000122070312,1
2521,19.264999389648438,1
2522,19.268999099731445,1
2523,19.268999099731445,1
2524,19.268999099731445,1
2525,17.565000534057617,1
2526,17.006999969482422,1
2527,15.864999771118164,1
2543,16.909000396728516,1
2544,17.815000534057617,1
2545,17.815000534057617,1
2546,17.815000534057617,1
2547,17.371000289916992,1
2548,17.006999969482422,1
2549,15.864999771118164,1
2568,17.006999969482422,1
2569,17.006999969482422,1
2570,17.006999969482422,1
2571,15.864999771118164,1
2591,15.112000465393066,1
2592,15.112000465393066,1
2593,15.112000465393066,1
2850,15.704999923706055,1
2851,15.704999923706055,1
2852,16.04400062561035,1
2853,16.04400062561035,1
2854,16.04400062561035,1
2873,17.867000579833984,1
2874,18.344999313354492,1
2875,18.344999313354492,1
2876,18.344999313354492,1
2877,16.31999969482422,1
2895,17.867000579833984,1
2896,18.344999313354492,1
2897,18.344999313354492,1
2898,18.344999313354492,1
2899,17.371000289916992,1
2900,16.53700065612793,1
2901,16.53700065612793,1
2917,17.867000579833984,1
2918,18.344999313354492,1
2919,18.344999313354492,1
2920,18.344999313354492,1
2921,17.69300079345703,1
2922,17.69300079345703,1
2923,17.69300079345703,1
2939,16.488000869750977,1
2940,17.815000534057617,1
2941,17.815000534057617,1
2942,17.815000534057617,1
2943,17.69300079345703,1
2944,17.69300079345703,1
2945,17.69300079345703,1
2964,17.006999969482422,1
2965,17.69300079345703,1
2966,17.69300079345703,1
2967,17.69300079345703,1
2986,16.993999481201172,1
2987,16.993999481201172,1
2988,16.993999481201172,1
2989,16.54199981689453,1
3049,15.178000450134277,1
3069,15.178000450134277,1
3070,15.178000450134277,1
3071,15.178000450134277,1
3091,15.178000450134277,1
3092,15.178000450134277,1
3093,15.178000450134277,1
3272,15.079999923706055,1
3295,16.53700065612793,1
3296,16.53700065612793,1
3297,16.53700065612793,1
3316,17.006999969482422,1
3317,17.69300079345703,1
3318,17.69300079345703,1
3319,17.69300079345703,1
3338,17.413000106811523,1
3339,18.079999923706055,1
3340,18.079999923706055,1
3341,18.079999923706055,1
3360,17.413000106811523,1
3361,18.079999923706055,1
3362,18.079999923706055,1
3363,18.079999923706055,1
3381,16.402999877929688,1
3382,17.413000106811523,1
3383,18.079999923706055,1
3384,18.079999923706055,1
3385,18.079999923706055,1
3402,16.270000457763672,1
3403,17.523000717163086,1
3404,17.523000717163086,1
3405,17.523000717163086,1
3424,17.424999237060547,1
3425,17.523000717163086,1
3426,17.523000717163086,1
3427,17.523000717163086,1
3446,17.424999237060547,1
3447,17.523000717163086,1
3448,17.523000717163086,1
3449,17.523000717163086,1
3465,15.178000450134277,1
3466,15.178000450134277,1
3467,15.178000450134277,1
3468,17.424999237060547,1
3469,17.424999237060547,1
3470,17.424999237060547,1
3471,14.734999656677246,1
3487,15.178000450134277,1
3488,15.178000450134277,1
3489,15.178000450134277,1
3691,16.53700065612793,1
3692,16.53700065612793,1
3693,16.53700065612793,1
3712,16.68400001525879,1
3713,17.69300079345703,1
3714,17.69300079345703,1
3715,17.69300079345703,1
3734,17.413000106811523,1
3735,18.69300079345703,1
3736,18.69300079345703,1
3737,18.69300079345703,1
3745,15.472000122070312,1
3749,29.06999969482422,1
3756,17.413000106811523,1
3757,18.69300079345703,1
3758,18.69300079345703,1
3759,18.69300079345703,1
3767,15.472000122070312,1
3768,15.472000122070312,1
3769,15.472000122070312,1
3771,29.06999969482422,1
3777,16.402999877929688,1
3778,17.413000106811523,1
3779,18.69300079345703,1
3780,18.69300079345703,1
3781,18.69300079345703,1
3789,15.472000122070312,1
3790,15.472000122070312,1
3791,15.472000122070312,1
3792,15.232999801635742,1
3793,29.06999969482422,1
3798,16.270000457763672,1
3799,17.523000717163086,1
3800,17.523000717163086,1
3801,17.523000717163086,1
3802,15.668000221252441,1
3803,15.668000221252441,1
3815,28.634000778198242,1
3820,17.424999237060547,1
3821,17.523000717163086,1
3822,17.523000717163086,1
3823,17.523000717163086,1
3824,15.045000076293945,1
3842,17.424999237060547,1
3843,17.523000717163086,1
3844,17.523000717163086,1
3845,17.523000717163086,1
3846,15.045000076293945,1
3861,15.178000450134277,1
3862,15.178000450134277,1
3863,15.178000450134277,1
3864,17.424999237060547,1
3865,17.424999237060547,1
3866,17.424999237060547,1
3867,17.084999084472656,1
3883,15.178000450134277,1
3884,15.178000450134277,1
3885,15.178000450134277,1
4108,16.68400001525879,1
4109,16.8439998626709,1
4110,16.8439998626709,1
4111,16.8439998626709,1
4130,17.413000106811523,1
4131,18.69300079345703,1
4132,18.69300079345703,1
4133,18.69300079345703,1
4140,14.696000099182129,1
4141,15.472000122070312,1
4145,29.06999969482422,1
4152,17.413000106811523,1
4153,18.69300079345703,1
4154,18.69300079345703,1
4155,18.69300079345703,1
4162,14.696000099182129,1
4163,15.472000122070312,1
4164,15.472000122070312,1
4165,15.472000122070312,1
4167,29.06999969482422,1
4174,17.413000106811523,1
4175,18.69300079345703,1
4176,18.69300079345703,1
4177,18.69300079345703,1
4184,14.696000099182129,1
4185,15.472000122070312,1
4186,15.472000122070312,1
4187,15.472000122070312,1
4188,15.232999801635742,1
4189,29.06999969482422,1
4194,16.270000457763672,1
4195,17.523000717163086,1
4196,17.523000717163086,1
4197,17.523000717163086,1
4198,15.668000221252441,1
4199,15.668000221252441,1
4211,28.634000778198242,1
4216,17.424999237060547,1
4217,17.523000717163086,1
4218,17.523000717163086,1
4219,17.523000717163086,1
4220,15.668000221252441,1
4238,17.424999237060547,1
4239,17.523000717163086,1
4240,17.523000717163086,1
4241,17.523000717163086,1
4242,15.668000221252441,1
4260,17.424999237060547,1
4261,17.424999237060547,1
4262,17.424999237060547,1
4263,17.084999084472656,1
4505,16.8439998626709,1
4506,16.8439998626709,1
4507,16.8439998626709,1
4527,18.69300079345703,1
4528,18.69300079345703,1
4529,18.69300079345703,1
4536,14.696000099182129,1
4537,15.472000122070312,1
4541,29.06999969482422,1
4549,18.69300079345703,1
4550,18.69300079345703,1
4551,18.69300079345703,1
4558,14.696000099182129,1
4559,15.472000122070312,1
4560,15.472000122070312,1
4561,15.472000122070312,1
4562,15.232999801635742,1
4563,29.06999969482422,1
4571,18.69300079345703,1
4572,18.69300079345703,1
4573,18.69300079345703,1
4580,14.696000099182129,1
4581,15.472000122070312,1
4582,15.472000122070312,1
4583,15.472000122070312,1
4584,15.232999801635742,1
4585,29.06999969482422,1
4591,17.3439998626709,1
4592,17.3439998626709,1
4593,17.3439998626709,1
4594,15.668000221252441,1
4595,15.668000221252441,1
4607,28.634000778198242,1
4612,16.731000900268555,1
4613,17.3439998626709,1
4614,17.3439998626709,1
4615,17.3439998626709,1
4616,15.668000221252441,1
4634,16.731000900268555,1
4635,17.3439998626709,1
4636,17.3439998626709,1
4637,17.3439998626709,1
4638,15.668000221252441,1
4656,16.731000900268555,1
4657,17.084999084472656,1
4658,17.084999084472656,1
4659,17.084999084472656,1
4923,17.128000259399414,1
4924,17.128000259399414,1
4925,17.128000259399414,1
4932,14.696000099182129,1
4933,15.418999671936035,1
4945,17.128000259399414,1
4946,17.128000259399414,1
4947,17.128000259399414,1
4954,14.696000099182129,1
4955,15.418999671936035,1
4956,15.418999671936035,1
4957,15.418999671936035,1
4959,27.82200050354004,1
4967,17.128000259399414,1
4968,17.128000259399414,1
4969,17.128000259399414,1
4976,14.696000099182129,1
4977,15.418999671936035,1
4978,15.418999671936035,1
4979,15.418999671936035,1
4981,27.82200050354004,1
4987,17.18899917602539,1
4988,17.18899917602539,1
4989,17.18899917602539,1
4990,15.668000221252441,1
5003,27.82200050354004,1
5008,15.239999771118164,1
5009,17.18899917602539,1
5010,17.18899917602539,1
5011,17.18899917602539,1
5012,15.668000221252441,1
5030,15.239999771118164,1
5031,17.18899917602539,1
5032,17.18899917602539,1
5033,17.18899917602539,1
5034,15.668000221252441,1
5052,15.239999771118164,1
5053,16.378999710083008,1
5054,16.378999710083008,1
5055,16.378999710083008,1
5405,15.836000442504883,1
5406,15.836000442504883,1
5407,15.836000442504883,1
5427,15.836000442504883,1
5428,15.836000442504883,1
5429,15.836000442504883,1
5449,15.836000442504883,1
5450,15.836000442504883,1
5451,15.836000442504883,1
