,scores,cavity
1247,17.684999465942383,1
1248,18.04800033569336,1
1249,18.04800033569336,1
1250,18.04800033569336,1
1270,17.684999465942383,1
1271,18.04800033569336,1
1272,18.04800033569336,1
1273,18.04800033569336,1
1290,17.865999221801758,1
1291,17.865999221801758,1
1292,17.726999282836914,1
1313,17.865999221801758,1
1314,17.865999221801758,1
1315,17.726999282836914,1
1336,17.865999221801758,1
1337,17.865999221801758,1
1338,17.726999282836914,1
1845,19.45800018310547,1
1846,21.29199981689453,1
1847,21.29199981689453,1
1848,21.29199981689453,1
1849,18.159000396728516,1
1868,19.45800018310547,1
1869,21.29199981689453,1
1870,21.29199981689453,1
1871,21.29199981689453,1
1872,18.159000396728516,1
1891,17.85300064086914,1
1892,17.85300064086914,1
1893,17.85300064086914,1
1894,17.65999984741211,1
1895,17.65999984741211,1
2443,19.45800018310547,1
2444,21.29199981689453,1
2445,21.29199981689453,1
2446,21.29199981689453,1
2447,18.159000396728516,1
2466,19.45800018310547,1
2467,21.29199981689453,1
2468,21.29199981689453,1
2469,21.29199981689453,1
2470,18.159000396728516,1
2489,17.85300064086914,1
2490,17.85300064086914,1
2491,17.85300064086914,1
2492,17.65999984741211,1
2493,17.65999984741211,1
3041,19.45800018310547,1
3042,21.29199981689453,1
3043,21.29199981689453,1
3044,21.29199981689453,1
3045,18.159000396728516,1
3064,19.45800018310547,1
3065,21.29199981689453,1
3066,21.29199981689453,1
3067,21.29199981689453,1
3068,18.159000396728516,1
3087,17.85300064086914,1
3088,17.85300064086914,1
3089,17.85300064086914,1
3090,17.65999984741211,1
3091,17.65999984741211,1
4028,18.474000930786133,1
4029,18.474000930786133,1
4030,18.474000930786133,1
4051,19.08099937438965,1
4052,19.08099937438965,1
4053,19.08099937438965,1
4074,19.08099937438965,1
4075,19.08099937438965,1
4076,19.08099937438965,1
4097,19.08099937438965,1
4098,19.08099937438965,1
4099,19.08099937438965,1
4234,17.631000518798828,1
4235,17.959999084472656,1
4236,17.959999084472656,1
4237,17.959999084472656,1
4257,17.94300079345703,1
4258,17.959999084472656,1
4259,17.959999084472656,1
4260,17.959999084472656,1
4280,17.94300079345703,1
4281,17.959999084472656,1
4282,17.959999084472656,1
4283,17.959999084472656,1
4303,17.94300079345703,1
4304,17.94300079345703,1
4305,17.94300079345703,1
4626,18.625,1
4627,18.625,1
4628,18.625,1
4649,19.08099937438965,1
4650,19.08099937438965,1
4651,19.08099937438965,1
4672,19.104999542236328,1
4673,19.104999542236328,1
4674,19.104999542236328,1
4695,19.104999542236328,1
4696,19.104999542236328,1
4697,19.104999542236328,1
4718,19.104999542236328,1
4719,19.104999542236328,1
4720,19.104999542236328,1
4832,17.631000518798828,1
4833,17.959999084472656,1
4834,17.959999084472656,1
4835,17.959999084472656,1
4855,17.94300079345703,1
4856,17.959999084472656,1
4857,17.959999084472656,1
4858,17.959999084472656,1
4878,18.104999542236328,1
4879,18.606000900268555,1
4880,18.606000900268555,1
4881,18.606000900268555,1
4882,17.926000595092773,1
4901,18.104999542236328,1
4902,18.606000900268555,1
4903,18.606000900268555,1
4904,18.606000900268555,1
4905,17.926000595092773,1
4924,18.104999542236328,1
4925,18.606000900268555,1
4926,18.606000900268555,1
4927,18.606000900268555,1
4928,17.926000595092773,1
5054,18.76300048828125,1
5055,18.76300048828125,1
5056,18.76300048828125,1
5076,21.628999710083008,1
5077,21.628999710083008,1
5078,21.628999710083008,1
5079,20.608999252319336,1
5099,21.628999710083008,1
5100,21.628999710083008,1
5101,21.628999710083008,1
5102,20.608999252319336,1
5122,21.628999710083008,1
5123,21.628999710083008,1
5124,21.628999710083008,1
5125,20.608999252319336,1
5126,20.608999252319336,1
5202,18.591999053955078,1
5203,18.591999053955078,1
5224,18.625,1
5225,19.00200080871582,1
5226,19.00200080871582,1
5227,19.00200080871582,1
5247,19.08099937438965,1
5248,19.08099937438965,1
5249,19.08099937438965,1
5250,19.00200080871582,1
5270,19.104999542236328,1
5271,19.104999542236328,1
5272,19.104999542236328,1
5273,19.00200080871582,1
5293,19.104999542236328,1
5294,19.104999542236328,1
5295,19.104999542236328,1
5296,18.339000701904297,1
5316,19.104999542236328,1
5317,19.104999542236328,1
5318,19.104999542236328,1
5430,17.631000518798828,1
5431,17.959999084472656,1
5432,17.959999084472656,1
5433,17.959999084472656,1
5453,17.94300079345703,1
5454,17.959999084472656,1
5455,17.959999084472656,1
5456,17.959999084472656,1
5476,18.104999542236328,1
5477,18.606000900268555,1
5478,18.606000900268555,1
5479,18.606000900268555,1
5480,17.926000595092773,1
5499,18.104999542236328,1
5500,18.606000900268555,1
5501,18.606000900268555,1
5502,18.606000900268555,1
5503,17.926000595092773,1
5522,18.104999542236328,1
5523,18.606000900268555,1
5524,18.606000900268555,1
5525,18.606000900268555,1
5526,17.926000595092773,1
5652,20.184999465942383,1
5653,20.184999465942383,1
5654,20.184999465942383,1
5673,19.864999771118164,1
5674,21.628999710083008,1
5675,21.628999710083008,1
5676,21.628999710083008,1
5677,20.608999252319336,1
5696,20.493999481201172,1
5697,21.628999710083008,1
5698,21.628999710083008,1
5699,21.628999710083008,1
5700,20.608999252319336,1
5719,20.493999481201172,1
