,scores,cavity
827,14.343999862670898,1
828,14.343999862670898,1
829,14.343999862670898,1
851,14.343999862670898,1
852,14.343999862670898,1
853,14.343999862670898,1
875,14.343999862670898,1
876,14.343999862670898,1
877,14.343999862670898,1
1095,58.944000244140625,1
1096,14.736000061035156,1
1097,14.736000061035156,1
1119,58.944000244140625,1
1120,15.418000221252441,1
1121,15.418000221252441,1
1122,15.418000221252441,1
1134,22.965999603271484,1
1143,58.944000244140625,1
1144,15.418000221252441,1
1145,15.418000221252441,1
1146,15.418000221252441,1
1158,22.965999603271484,1
1161,53.0,1
1162,53.0,1
1163,61.20800018310547,1
1164,61.20800018310547,1
1165,61.20800018310547,1
1182,22.965999603271484,1
1183,61.96799850463867,1
1184,62.763999938964844,1
1185,62.763999938964844,1
1186,62.763999938964844,1
1187,61.948001861572266,1
1188,61.20800018310547,1
1189,61.20800018310547,1
1207,61.96799850463867,1
1208,62.763999938964844,1
1209,62.763999938964844,1
1210,62.763999938964844,1
1211,61.948001861572266,1
1212,61.20800018310547,1
1213,61.20800018310547,1
1214,55.81999969482422,1
1215,55.81999969482422,1
1231,61.96799850463867,1
1232,62.763999938964844,1
1233,62.763999938964844,1
1234,62.763999938964844,1
1235,61.948001861572266,1
1237,55.81999969482422,1
1238,55.81999969482422,1
1239,55.81999969482422,1
1261,55.81999969482422,1
1262,55.81999969482422,1
1263,55.81999969482422,1
1285,55.279998779296875,1
1286,55.279998779296875,1
1287,55.279998779296875,1
1431,59.87200164794922,1
1432,14.968000411987305,1
1433,14.968000411987305,1
1446,22.700000762939453,1
1455,59.87200164794922,1
1456,15.418000221252441,1
1457,15.418000221252441,1
1458,15.418000221252441,1
1470,23.52400016784668,1
1479,59.87200164794922,1
1494,25.79800033569336,1
1495,57.604000091552734,1
1496,60.67599868774414,1
1497,60.67599868774414,1
1498,60.67599868774414,1
1499,61.20800018310547,1
1500,61.20800018310547,1
1501,61.20800018310547,1
1518,25.79800033569336,1
1519,61.96799850463867,1
1520,62.763999938964844,1
1521,62.763999938964844,1
1522,62.763999938964844,1
1523,61.948001861572266,1
1524,61.20800018310547,1
1525,61.20800018310547,1
1542,25.79800033569336,1
1543,61.96799850463867,1
1544,62.763999938964844,1
1545,62.763999938964844,1
1546,62.763999938964844,1
1547,61.948001861572266,1
1548,61.20800018310547,1
1549,61.20800018310547,1
1550,55.81999969482422,1
1551,55.81999969482422,1
1567,61.96799850463867,1
1568,62.763999938964844,1
1569,62.763999938964844,1
1570,62.763999938964844,1
1571,61.948001861572266,1
1573,55.81999969482422,1
1574,55.81999969482422,1
1575,55.81999969482422,1
1597,55.81999969482422,1
1598,55.81999969482422,1
1599,55.81999969482422,1
1621,55.279998779296875,1
1622,55.279998779296875,1
1623,55.279998779296875,1
1742,63.14400100708008,1
1743,63.14400100708008,1
1744,15.78600025177002,1
1745,14.039999961853027,1
1766,63.14400100708008,1
1767,63.14400100708008,1
1768,15.78600025177002,1
1769,15.644000053405762,1
1782,22.700000762939453,1
1790,63.14400100708008,1
1791,63.14400100708008,1
1793,15.644000053405762,1
1794,15.418000221252441,1
1806,23.52400016784668,1
1807,53.54800033569336,1
1808,53.54800033569336,1
1809,53.54800033569336,1
1810,47.79600143432617,1
1815,62.57600021362305,1
1830,25.79800033569336,1
1831,57.604000091552734,1
1832,60.67599868774414,1
1833,60.67599868774414,1
1834,60.67599868774414,1
1835,61.20800018310547,1
1836,61.20800018310547,1
1837,61.20800018310547,1
1855,61.96799850463867,1
1856,62.763999938964844,1
1857,62.763999938964844,1
1858,62.763999938964844,1
1879,61.96799850463867,1
1880,62.763999938964844,1
1881,62.763999938964844,1
1882,62.763999938964844,1
1887,55.81999969482422,1
1903,61.96799850463867,1
1904,62.763999938964844,1
1905,62.763999938964844,1
1906,62.763999938964844,1
1911,55.81999969482422,1
1935,55.81999969482422,1
1957,55.279998779296875,1
1958,55.279998779296875,1
1959,55.279998779296875,1
2070,21.944000244140625,1
2078,63.14400100708008,1
2079,63.14400100708008,1
2080,15.78600025177002,1
2081,14.493000030517578,1
2094,21.944000244140625,1
2102,63.14400100708008,1
2103,63.14400100708008,1
2104,15.78600025177002,1
2105,15.644000053405762,1
2118,23.01799964904785,1
2126,63.14400100708008,1
2127,63.14400100708008,1
2129,15.644000053405762,1
2142,27.224000930786133,1
2143,53.54800033569336,1
2144,53.54800033569336,1
2145,53.54800033569336,1
2146,47.79600143432617,1
2151,62.57600021362305,1
2166,27.224000930786133,1
2167,57.604000091552734,1
2168,60.67599868774414,1
2169,60.67599868774414,1
2170,60.67599868774414,1
2171,49.71200180053711,1
2188,13.612000465393066,1
2189,13.612000465393066,1
2190,27.224000930786133,1
2191,59.28799819946289,1
2192,61.28799819946289,1
2193,61.28799819946289,1
2194,61.28799819946289,1
2195,49.71200180053711,1
2215,59.28799819946289,1
2216,61.28799819946289,1
2217,61.28799819946289,1
2218,61.28799819946289,1
2219,49.71200180053711,1
2239,59.28799819946289,1
2240,61.28799819946289,1
2241,61.28799819946289,1
2242,61.28799819946289,1
2406,21.944000244140625,1
2414,63.14400100708008,1
2415,63.14400100708008,1
2416,15.78600025177002,1
2417,14.493000030517578,1
2430,23.083999633789062,1
2438,63.14400100708008,1
2439,63.14400100708008,1
2454,23.083999633789062,1
2462,63.14400100708008,1
2463,63.14400100708008,1
2464,16.28499984741211,1
2465,16.28499984741211,1
2466,16.28499984741211,1
2478,27.224000930786133,1
2479,53.54800033569336,1
2480,53.54800033569336,1
2481,53.54800033569336,1
2482,47.79600143432617,1
2487,62.57600021362305,1
2502,27.224000930786133,1
2503,56.13600158691406,1
2504,56.13600158691406,1
2505,56.13600158691406,1
2506,55.448001861572266,1
2507,47.15999984741211,1
2511,61.90800094604492,1
2526,27.224000930786133,1
2527,56.13600158691406,1
2528,56.13600158691406,1
2529,56.13600158691406,1
2530,55.448001861572266,1
2531,47.15999984741211,1
2550,25.45800018310547,1
2551,56.13600158691406,1
2552,56.13600158691406,1
2553,56.13600158691406,1
2554,55.448001861572266,1
2555,47.15999984741211,1
2738,13.366000175476074,1
2739,13.366000175476074,1
2740,13.366000175476074,1
2741,12.557999610900879,1
2742,21.944000244140625,1
2751,57.97200012207031,1
2752,14.493000030517578,1
2762,13.366000175476074,1
2763,13.366000175476074,1
2764,13.366000175476074,1
2765,12.557999610900879,1
2766,23.083999633789062,1
2775,60.65599822998047,1
2786,13.366000175476074,1
2787,13.366000175476074,1
2788,13.366000175476074,1
2789,13.156000137329102,1
2790,23.083999633789062,1
2799,61.90800094604492,1
2811,13.41100025177002,1
2812,13.612000465393066,1
2813,13.612000465393066,1
2814,27.224000930786133,1
2823,61.90800094604492,1
2838,27.224000930786133,1
2847,61.90800094604492,1
2862,27.224000930786133,1
2872,16.80900001525879,1
2886,25.45800018310547,1
2895,62.90399932861328,1
2896,16.80900001525879,1
2919,62.90399932861328,1
2920,16.80900001525879,1
2943,62.90399932861328,1
3074,13.366000175476074,1
3075,13.366000175476074,1
3076,13.366000175476074,1
3077,12.557999610900879,1
3088,15.486000061035156,1
3089,15.486000061035156,1
3090,15.486000061035156,1
3098,13.366000175476074,1
3099,13.366000175476074,1
3100,13.366000175476074,1
3101,12.557999610900879,1
3102,23.083999633789062,1
3111,60.65599822998047,1
3122,13.366000175476074,1
3123,13.366000175476074,1
3124,13.366000175476074,1
3125,13.156000137329102,1
3126,23.083999633789062,1
3135,61.90800094604492,1
3147,13.41100025177002,1
3150,26.25200080871582,1
3159,61.90800094604492,1
3160,17.54599952697754,1
3174,26.25200080871582,1
3182,61.332000732421875,1
