,scores,cavity
28525,11.824999809265137,1
28526,11.824999809265137,1
28527,11.824999809265137,1
28545,11.86299991607666,1
28546,11.86299991607666,1
28547,11.86299991607666,1
28548,11.192000389099121,1
28565,12.4350004196167,1
28566,13.79800033569336,1
28567,13.79800033569336,1
28568,13.79800033569336,1
28585,12.4350004196167,1
28586,13.79800033569336,1
28587,13.79800033569336,1
28588,13.79800033569336,1
28605,12.4350004196167,1
28606,13.79800033569336,1
28607,13.79800033569336,1
28608,13.79800033569336,1
28625,11.807000160217285,1
28626,12.711000442504883,1
28627,12.711000442504883,1
28628,12.711000442504883,1
28645,11.680000305175781,1
28665,11.680000305175781,1
29025,11.128999710083008,1
29026,11.128999710083008,1
29027,11.128999710083008,1
29044,11.609000205993652,1
29045,12.534000396728516,1
29046,12.534000396728516,1
29047,12.534000396728516,1
29048,11.0600004196167,1
29064,11.609000205993652,1
29065,12.869999885559082,1
29066,12.869999885559082,1
29067,12.869999885559082,1
29068,12.699999809265137,1
29084,11.609000205993652,1
29085,13.982999801635742,1
29086,13.982999801635742,1
29087,13.982999801635742,1
29088,13.79800033569336,1
29104,11.097999572753906,1
29105,13.982999801635742,1
29106,13.982999801635742,1
29107,13.982999801635742,1
29108,13.869999885559082,1
29109,11.73799991607666,1
29124,11.088000297546387,1
29125,13.982999801635742,1
29126,13.982999801635742,1
29127,13.982999801635742,1
29128,13.869999885559082,1
29129,13.246999740600586,1
29145,11.861000061035156,1
29146,13.869999885559082,1
29147,13.869999885559082,1
29148,13.869999885559082,1
29149,13.246999740600586,1
29165,11.680000305175781,1
29185,11.680000305175781,1
29525,12.470999717712402,1
29526,12.470999717712402,1
29527,12.470999717712402,1
29545,13.982999801635742,1
29546,13.982999801635742,1
29547,13.982999801635742,1
29548,13.79800033569336,1
29564,11.755000114440918,1
29565,13.982999801635742,1
29566,13.982999801635742,1
29567,13.982999801635742,1
29568,13.79800033569336,1
29584,11.755000114440918,1
29585,13.982999801635742,1
29586,13.982999801635742,1
29587,13.982999801635742,1
29588,13.79800033569336,1
29604,11.755000114440918,1
29605,13.982999801635742,1
29606,13.982999801635742,1
29607,13.982999801635742,1
29608,13.79800033569336,1
29609,11.538000106811523,1
29624,11.097999572753906,1
29625,13.982999801635742,1
29626,13.982999801635742,1
29627,13.982999801635742,1
29628,13.869999885559082,1
29629,12.375,1
29644,11.088000297546387,1
29645,13.982999801635742,1
29646,13.982999801635742,1
29647,13.982999801635742,1
29648,13.982999801635742,1
29649,13.79800033569336,1
29650,11.276000022888184,1
29664,12.093000411987305,1
29665,12.967000007629395,1
29666,13.982999801635742,1
29667,14.107999801635742,1
29668,14.107999801635742,1
29669,14.107999801635742,1
29670,12.116000175476074,1
29684,12.093000411987305,1
