,scores,cavity
978,19.288000106811523,1
991,19.288000106811523,1
992,19.288000106811523,1
993,19.288000106811523,1
1004,19.288000106811523,1
1005,19.288000106811523,1
1006,19.288000106811523,1
1329,19.288000106811523,1
1341,15.491999626159668,1
1342,19.288000106811523,1
1343,19.288000106811523,1
1344,19.288000106811523,1
1354,15.491999626159668,1
1355,19.288000106811523,1
1356,19.288000106811523,1
1357,19.288000106811523,1
1367,15.491999626159668,1
1368,15.491999626159668,1
1369,15.491999626159668,1
1680,19.288000106811523,1
1692,15.491999626159668,1
1693,19.288000106811523,1
1694,19.288000106811523,1
1695,19.288000106811523,1
1705,15.491999626159668,1
1706,19.288000106811523,1
1707,19.288000106811523,1
1708,19.288000106811523,1
1718,15.491999626159668,1
1719,15.491999626159668,1
1720,15.491999626159668,1
2043,15.491999626159668,1
2056,15.491999626159668,1
2069,15.491999626159668,1
2070,15.491999626159668,1
2071,15.491999626159668,1
3569,18.165000915527344,1
3582,18.165000915527344,1
3583,17.483999252319336,1
3593,18.165000915527344,1
3594,18.165000915527344,1
3598,18.134000778198242,1
3611,18.134000778198242,1
3624,18.134000778198242,1
3891,17.003000259399414,1
3892,17.003000259399414,1
3893,17.003000259399414,1
3920,18.165000915527344,1
3921,16.777999877929688,1
3933,18.165000915527344,1
3944,18.165000915527344,1
3945,18.165000915527344,1
3958,17.957000732421875,1
4271,18.165000915527344,1
4272,17.034000396728516,1
4284,18.165000915527344,1
4295,18.165000915527344,1
4296,18.165000915527344,1
4307,16.915000915527344,1
4308,18.011999130249023,1
4309,18.011999130249023,1
4336,18.011999130249023,1
4605,16.636999130249023,1
4618,16.636999130249023,1
4622,17.270000457763672,1
4623,17.034000396728516,1
4631,16.636999130249023,1
4635,17.957000732421875,1
4646,17.270000457763672,1
4647,18.094999313354492,1
4648,18.094999313354492,1
4658,16.915000915527344,1
4659,18.011999130249023,1
4660,18.32200050354004,1
4661,19.094999313354492,1
4673,18.56599998474121,1
4674,19.764999389648438,1
4682,15.767000198364258,1
4683,16.06999969482422,1
4686,18.56599998474121,1
4687,19.764999389648438,1
4688,19.764999389648438,1
4689,19.764999389648438,1
4690,17.74799919128418,1
4699,18.56599998474121,1
4700,19.764999389648438,1
4701,19.764999389648438,1
4702,19.764999389648438,1
4712,17.847000122070312,1
4713,18.9950008392334,1
4714,18.9950008392334,1
4715,18.9950008392334,1
4943,16.527000427246094,1
4956,16.636999130249023,1
4969,16.636999130249023,1
4970,16.636999130249023,1
4972,17.034000396728516,1
4973,17.034000396728516,1
4974,17.034000396728516,1
4982,16.636999130249023,1
4983,16.636999130249023,1
4985,17.034000396728516,1
4986,17.8700008392334,1
4994,16.048999786376953,1
4995,16.048999786376953,1
4996,16.06999969482422,1
4998,18.094999313354492,1
4999,18.094999313354492,1
5000,19.858999252319336,1
5001,19.858999252319336,1
5002,19.858999252319336,1
5007,16.048999786376953,1
5008,16.06999969482422,1
5009,16.915000915527344,1
5010,18.011999130249023,1
5011,18.32200050354004,1
5012,19.094999313354492,1
5013,19.858999252319336,1
5014,19.858999252319336,1
5015,19.858999252319336,1
5020,16.048999786376953,1
5021,16.06999969482422,1
5022,16.937999725341797,1
5023,18.011999130249023,1
5024,18.56599998474121,1
5025,19.764999389648438,1
5026,19.858999252319336,1
5027,19.858999252319336,1
5028,19.858999252319336,1
5033,15.767000198364258,1
5034,16.06999969482422,1
5035,16.937999725341797,1
5036,18.011999130249023,1
5037,18.56599998474121,1
5038,19.764999389648438,1
5039,19.764999389648438,1
5040,19.764999389648438,1
5041,17.74799919128418,1
5048,16.937999725341797,1
5049,16.937999725341797,1
5050,18.56599998474121,1
5051,19.764999389648438,1
5052,19.764999389648438,1
5053,19.764999389648438,1
5054,17.74799919128418,1
5063,17.847000122070312,1
