,scores,cavity
302,15.305999755859375,1
303,15.722999572753906,1
304,15.722999572753906,1
305,15.722999572753906,1
314,15.305999755859375,1
315,15.722999572753906,1
316,15.722999572753906,1
317,15.722999572753906,1
326,15.305999755859375,1
327,15.722999572753906,1
328,15.722999572753906,1
329,15.722999572753906,1
339,14.791999816894531,1
340,14.791999816894531,1
341,14.791999816894531,1
425,13.647000312805176,1
426,13.647000312805176,1
427,13.647000312805176,1
434,15.305999755859375,1
435,15.722999572753906,1
436,15.722999572753906,1
437,15.722999572753906,1
446,15.305999755859375,1
447,15.722999572753906,1
448,15.722999572753906,1
449,15.722999572753906,1
450,14.930999755859375,1
451,14.930999755859375,1
452,14.930999755859375,1
458,15.305999755859375,1
459,15.722999572753906,1
460,15.722999572753906,1
461,15.722999572753906,1
462,14.930999755859375,1
463,14.930999755859375,1
464,14.930999755859375,1
471,15.076000213623047,1
472,15.076000213623047,1
473,15.076000213623047,1
474,14.930999755859375,1
475,14.930999755859375,1
476,14.930999755859375,1
477,14.126999855041504,1
487,14.126999855041504,1
488,14.126999855041504,1
489,14.126999855041504,1
500,14.126999855041504,1
501,14.126999855041504,1
557,13.647000312805176,1
558,13.647000312805176,1
559,13.647000312805176,1
566,15.305999755859375,1
567,15.722999572753906,1
568,15.722999572753906,1
569,15.722999572753906,1
578,15.305999755859375,1
579,15.722999572753906,1
580,15.722999572753906,1
581,15.722999572753906,1
582,14.930999755859375,1
583,14.930999755859375,1
584,14.930999755859375,1
590,15.305999755859375,1
591,15.722999572753906,1
592,15.722999572753906,1
593,15.722999572753906,1
594,14.930999755859375,1
595,14.930999755859375,1
596,14.930999755859375,1
603,15.076000213623047,1
604,15.076000213623047,1
605,15.076000213623047,1
606,14.930999755859375,1
607,14.930999755859375,1
608,14.930999755859375,1
609,14.126999855041504,1
619,14.126999855041504,1
620,14.126999855041504,1
621,14.126999855041504,1
632,14.126999855041504,1
633,14.126999855041504,1
689,13.647000312805176,1
690,13.647000312805176,1
691,13.647000312805176,1
701,14.067999839782715,1
711,15.076000213623047,1
712,15.076000213623047,1
713,15.076000213623047,1
714,14.930999755859375,1
715,14.930999755859375,1
716,14.930999755859375,1
723,15.076000213623047,1
724,15.076000213623047,1
725,15.076000213623047,1
726,14.930999755859375,1
727,14.930999755859375,1
728,14.930999755859375,1
735,15.076000213623047,1
736,15.076000213623047,1
737,15.076000213623047,1
738,14.930999755859375,1
739,14.930999755859375,1
740,14.930999755859375,1
741,14.126999855041504,1
748,12.86400032043457,1
751,14.126999855041504,1
752,14.126999855041504,1
753,14.126999855041504,1
764,14.126999855041504,1
765,14.126999855041504,1
845,13.769000053405762,1
857,13.769000053405762,1
869,13.769000053405762,1
870,13.769000053405762,1
871,13.769000053405762,1
2101,6.0920000076293945,1
2102,6.0920000076293945,1
2103,6.0920000076293945,1
2104,5.808000087738037,1
2121,6.894999980926514,1
2122,6.894999980926514,1
2123,6.894999980926514,1
2124,6.173999786376953,1
2140,5.7820000648498535,1
2141,6.894999980926514,1
2142,6.894999980926514,1
2143,6.894999980926514,1
2144,6.173999786376953,1
2160,5.7820000648498535,1
2161,7.164000034332275,1
2162,7.164000034332275,1
2163,7.164000034332275,1
2164,6.324999809265137,1
2179,5.986000061035156,1
2180,5.986000061035156,1
2181,7.164000034332275,1
2182,7.164000034332275,1
2183,7.164000034332275,1
2184,6.324999809265137,1
2199,5.986000061035156,1
2200,5.986000061035156,1
2201,7.164000034332275,1
2202,7.164000034332275,1
2203,7.164000034332275,1
2204,6.324999809265137,1
2219,5.986000061035156,1
2220,5.986000061035156,1
2221,6.5320000648498535,1
2222,6.5320000648498535,1
2223,6.5320000648498535,1
2381,6.065999984741211,1
2382,6.065999984741211,1
2383,6.065999984741211,1
2400,5.682000160217285,1
2401,7.00600004196167,1
2402,7.00600004196167,1
2403,7.00600004196167,1
2419,5.591000080108643,1
2420,6.021999835968018,1
2421,7.00600004196167,1
2422,7.00600004196167,1
2423,7.00600004196167,1
2435,5.6479997634887695,1
2436,5.6479997634887695,1
2437,5.6479997634887695,1
2439,5.591000080108643,1
2440,6.526000022888184,1
2441,7.230999946594238,1
2442,7.230999946594238,1
2443,7.230999946594238,1
2455,5.6479997634887695,1
2456,5.6479997634887695,1
2457,5.6479997634887695,1
2459,5.591000080108643,1
2460,6.526000022888184,1
2461,7.230999946594238,1
2462,7.230999946594238,1
2463,7.230999946594238,1
2464,6.000999927520752,1
2475,5.6479997634887695,1
2476,5.6479997634887695,1
2477,5.6479997634887695,1
2479,6.436999797821045,1
2480,6.526000022888184,1
2481,7.230999946594238,1
2482,7.230999946594238,1
2483,7.230999946594238,1
2484,6.650000095367432,1
2485,5.723999977111816,1
2498,5.781000137329102,1
2499,6.436999797821045,1
2500,6.436999797821045,1
2501,7.184999942779541,1
2502,7.664000034332275,1
2503,7.664000034332275,1
2504,7.664000034332275,1
2505,5.723999977111816,1
2518,5.781000137329102,1
2519,6.436999797821045,1
2520,6.436999797821045,1
2521,6.894999980926514,1
2522,7.664000034332275,1
2523,7.664000034332275,1
2524,7.664000034332275,1
2525,5.723999977111816,1
2538,5.781000137329102,1
2539,6.616000175476074,1
2540,6.894999980926514,1
2541,7.164000034332275,1
2542,7.664000034332275,1
2543,7.664000034332275,1
2544,7.664000034332275,1
2556,5.986000061035156,1
2557,5.986000061035156,1
2558,6.03000020980835,1
2559,7.164000034332275,1
2560,7.164000034332275,1
2561,7.664000034332275,1
2562,7.664000034332275,1
2563,7.664000034332275,1
2564,6.324999809265137,1
2576,5.986000061035156,1
2577,5.986000061035156,1
2578,6.03000020980835,1
2579,7.164000034332275,1
2580,7.164000034332275,1
2581,7.664000034332275,1
2582,7.664000034332275,1
2583,7.664000034332275,1
2584,6.324999809265137,1
2596,5.986000061035156,1
2597,5.986000061035156,1
2598,6.03000020980835,1
2599,7.164000034332275,1
2600,7.164000034332275,1
2601,7.664000034332275,1
2602,7.664000034332275,1
2603,7.664000034332275,1
2619,6.552999973297119,1
2620,6.552999973297119,1
2621,6.552999973297119,1
2622,6.239999771118164,1
2623,6.239999771118164,1
2758,6.021999835968018,1
2759,6.021999835968018,1
2760,6.021999835968018,1
2761,6.650000095367432,1
2762,6.650000095367432,1
2763,6.650000095367432,1
2776,5.921999931335449,1
2777,5.921999931335449,1
2778,6.021999835968018,1
2779,6.021999835968018,1
2780,6.021999835968018,1
2781,7.664000034332275,1
2782,7.664000034332275,1
2783,7.664000034332275,1
2795,6.633999824523926,1
2796,6.633999824523926,1
2797,6.752999782562256,1
2798,6.752999782562256,1
2799,7.230999946594238,1
2800,7.230999946594238,1
2801,7.664000034332275,1
2802,7.664000034332275,1
2803,7.664000034332275,1
2804,6.769000053405762,1
2814,5.815999984741211,1
2815,6.633999824523926,1
2816,6.633999824523926,1
2817,6.752999782562256,1
2818,7.769000053405762,1
2819,8.803000450134277,1
2820,8.803000450134277,1
2821,8.803000450134277,1
2822,7.664000034332275,1
2823,7.664000034332275,1
2824,6.978000164031982,1
2834,5.815999984741211,1
2835,6.633999824523926,1
2836,6.633999824523926,1
2837,6.752999782562256,1
2838,7.769000053405762,1
2839,8.803000450134277,1
2840,8.803000450134277,1
2841,8.803000450134277,1
2842,7.664000034332275,1
2843,7.230999946594238,1
2844,6.978000164031982,1
2854,5.815999984741211,1
2855,5.815999984741211,1
2856,5.815999984741211,1
2857,6.019999980926514,1
2858,7.769000053405762,1
2859,8.803000450134277,1
2860,8.803000450134277,1
2861,8.803000450134277,1
2862,8.803000450134277,1
2863,8.803000450134277,1
2864,8.803000450134277,1
2865,5.723999977111816,1
2876,6.440999984741211,1
2877,6.440999984741211,1
2878,7.184999942779541,1
2879,7.184999942779541,1
2880,7.664000034332275,1
2881,8.225000381469727,1
2882,8.803000450134277,1
2883,8.803000450134277,1
2884,8.803000450134277,1
2885,5.723999977111816,1
2895,7.304999828338623,1
2896,7.747000217437744,1
2897,7.747000217437744,1
2898,7.747000217437744,1
2899,7.184999942779541,1
2900,7.769000053405762,1
2901,8.803000450134277,1
2902,8.803000450134277,1
2903,8.803000450134277,1
2904,8.803000450134277,1
2905,5.723999977111816,1
2915,7.304999828338623,1
2916,7.747000217437744,1
2917,7.747000217437744,1
2918,7.747000217437744,1
2919,7.184999942779541,1
2920,8.225000381469727,1
2921,8.803000450134277,1
2922,8.803000450134277,1
2923,8.803000450134277,1
2924,7.664000034332275,1
2935,7.304999828338623,1
2936,7.747000217437744,1
2937,7.747000217437744,1
2938,8.225000381469727,1
2939,8.664999961853027,1
2940,8.664999961853027,1
2941,8.803000450134277,1
2942,8.803000450134277,1
2943,8.803000450134277,1
2944,6.324999809265137,1
2955,6.03000020980835,1
2956,6.978000164031982,1
2957,7.304999828338623,1
2958,8.225000381469727,1
2959,8.664999961853027,1
2960,8.664999961853027,1
2961,8.664999961853027,1
2962,8.664999961853027,1
