,scores,cavity
912,17.413999557495117,1
913,17.413999557495117,1
914,17.413999557495117,1
933,17.413999557495117,1
934,17.413999557495117,1
935,17.413999557495117,1
954,17.413999557495117,1
955,17.413999557495117,1
956,17.413999557495117,1
1290,17.413999557495117,1
1291,17.413999557495117,1
1292,17.413999557495117,1
1311,17.413999557495117,1
1312,17.413999557495117,1
1313,17.413999557495117,1
1332,17.413999557495117,1
1333,17.413999557495117,1
1334,17.413999557495117,1
1668,17.413999557495117,1
1669,17.413999557495117,1
1670,17.413999557495117,1
1689,17.413999557495117,1
1690,17.413999557495117,1
1691,17.413999557495117,1
1710,17.413999557495117,1
1711,17.413999557495117,1
1712,17.413999557495117,1
2092,16.573999404907227,1
2093,16.573999404907227,1
2094,16.573999404907227,1
2113,16.573999404907227,1
2114,16.573999404907227,1
2115,16.573999404907227,1
2144,17.21500015258789,1
2145,17.21500015258789,1
2146,17.21500015258789,1
2165,17.21500015258789,1
2166,17.21500015258789,1
2167,17.21500015258789,1
2186,17.21500015258789,1
2187,17.21500015258789,1
2188,17.21500015258789,1
2189,16.589000701904297,1
2208,16.589000701904297,1
2209,16.589000701904297,1
2210,16.589000701904297,1
2470,16.573999404907227,1
2471,16.573999404907227,1
2472,16.573999404907227,1
2516,16.339000701904297,1
2517,16.339000701904297,1
2522,17.21500015258789,1
2523,17.21500015258789,1
2524,17.21500015258789,1
2537,16.339000701904297,1
2538,16.339000701904297,1
2543,17.21500015258789,1
2544,17.21500015258789,1
2545,17.21500015258789,1
2558,16.339000701904297,1
2559,16.339000701904297,1
2564,17.21500015258789,1
2565,17.21500015258789,1
2566,17.21500015258789,1
2567,16.589000701904297,1
2586,16.589000701904297,1
2587,16.589000701904297,1
2588,16.589000701904297,1
2827,16.44499969482422,1
2828,16.44499969482422,1
2829,16.44499969482422,1
2848,16.573999404907227,1
2849,16.573999404907227,1
2850,16.746999740600586,1
2851,16.746999740600586,1
2852,16.746999740600586,1
2871,16.746999740600586,1
2872,16.746999740600586,1
2873,16.746999740600586,1
2893,16.746999740600586,1
2894,16.746999740600586,1
2895,16.339000701904297,1
2900,17.21500015258789,1
2901,17.21500015258789,1
2902,17.21500015258789,1
2915,16.339000701904297,1
2916,16.339000701904297,1
2921,17.21500015258789,1
2922,17.21500015258789,1
2923,17.21500015258789,1
2936,16.339000701904297,1
2937,16.339000701904297,1
2942,17.21500015258789,1
2943,17.21500015258789,1
2944,17.21500015258789,1
2945,16.589000701904297,1
2964,16.589000701904297,1
2965,16.589000701904297,1
2966,16.589000701904297,1
3228,16.746999740600586,1
3229,16.746999740600586,1
3230,16.746999740600586,1
3249,16.746999740600586,1
3250,16.746999740600586,1
3251,16.746999740600586,1
3271,16.746999740600586,1
3272,16.746999740600586,1
3273,16.339000701904297,1
3292,16.339000701904297,1
3293,16.339000701904297,1
3294,16.339000701904297,1
3313,16.339000701904297,1
3314,16.339000701904297,1
3315,16.339000701904297,1
3606,16.746999740600586,1
3607,16.746999740600586,1
3608,16.746999740600586,1
3627,16.746999740600586,1
3628,16.746999740600586,1
3629,16.746999740600586,1
3649,16.746999740600586,1
3650,16.746999740600586,1
7254,17.562000274658203,1
7255,17.562000274658203,1
7256,17.562000274658203,1
7257,16.84000015258789,1
7275,17.562000274658203,1
7276,17.562000274658203,1
7277,17.562000274658203,1
7278,16.84000015258789,1
7296,17.562000274658203,1
7297,17.562000274658203,1
7298,17.562000274658203,1
7299,16.84000015258789,1
7300,16.371999740600586,1
7301,16.371999740600586,1
7320,16.371999740600586,1
7321,16.371999740600586,1
7322,16.371999740600586,1
7341,16.371999740600586,1
7342,16.371999740600586,1
7343,16.371999740600586,1
7632,18.86400032043457,1
7633,18.86400032043457,1
7634,18.86400032043457,1
7635,18.034000396728516,1
7636,17.893999099731445,1
7637,17.893999099731445,1
7653,18.86400032043457,1
7654,18.86400032043457,1
7655,18.86400032043457,1
7656,18.034000396728516,1
7657,17.893999099731445,1
7658,17.893999099731445,1
7674,18.86400032043457,1
7675,18.86400032043457,1
7676,18.86400032043457,1
7677,18.034000396728516,1
7678,17.893999099731445,1
7679,17.893999099731445,1
7680,17.09600067138672,1
7698,16.917999267578125,1
7699,17.09600067138672,1
7700,17.09600067138672,1
7701,17.09600067138672,1
7719,16.371999740600586,1
7720,17.09600067138672,1
7721,17.09600067138672,1
7722,17.09600067138672,1
7990,16.954999923706055,1
7991,18.281999588012695,1
7992,18.281999588012695,1
7993,18.281999588012695,1
8010,18.86400032043457,1
8011,25.5049991607666,1
8012,25.5049991607666,1
8013,25.5049991607666,1
8014,19.7549991607666,1
8030,17.243999481201172,1
8031,18.86400032043457,1
8032,25.5049991607666,1
8033,25.5049991607666,1
8034,25.5049991607666,1
8035,19.7549991607666,1
8036,19.378000259399414,1
8037,19.378000259399414,1
8049,16.545000076293945,1
8050,16.732999801635742,1
8051,17.243999481201172,1
8052,18.86400032043457,1
8053,25.5049991607666,1
8054,25.5049991607666,1
8055,25.5049991607666,1
8056,19.7549991607666,1
8057,19.378000259399414,1
8058,19.378000259399414,1
8070,16.545000076293945,1
8071,16.732999801635742,1
8072,17.243999481201172,1
8073,17.243999481201172,1
8074,21.22100067138672,1
