,scores,cavity
736,11.687999725341797,1
737,11.687999725341797,1
738,11.687999725341797,1
753,11.687999725341797,1
754,11.687999725341797,1
755,11.687999725341797,1
770,11.687999725341797,1
771,11.687999725341797,1
772,11.687999725341797,1
1008,11.687999725341797,1
1009,11.687999725341797,1
1010,11.687999725341797,1
1025,11.687999725341797,1
1026,11.687999725341797,1
1027,11.687999725341797,1
1028,10.862000465393066,1
1042,11.687999725341797,1
1043,11.687999725341797,1
1044,11.687999725341797,1
1045,10.862000465393066,1
1263,11.227999687194824,1
1264,11.227999687194824,1
1279,10.121999740600586,1
1280,12.75,1
1281,13.529999732971191,1
1282,13.529999732971191,1
1283,13.529999732971191,1
1284,13.1850004196167,1
1296,10.121999740600586,1
1297,12.75,1
1298,13.529999732971191,1
1299,13.529999732971191,1
1300,13.529999732971191,1
1301,13.1850004196167,1
1314,12.75,1
1315,13.529999732971191,1
1316,13.529999732971191,1
1317,13.529999732971191,1
1318,13.1850004196167,1
1535,12.029000282287598,1
1536,13.885000228881836,1
1537,13.885000228881836,1
1538,13.885000228881836,1
1551,10.121999740600586,1
1552,12.75,1
1553,16.30500030517578,1
1554,16.30500030517578,1
1555,16.30500030517578,1
1568,10.121999740600586,1
1569,12.75,1
1570,16.30500030517578,1
1571,16.30500030517578,1
1572,16.30500030517578,1
1573,13.1850004196167,1
1586,12.75,1
1587,16.30500030517578,1
1588,16.30500030517578,1
1589,16.30500030517578,1
1590,13.1850004196167,1
1753,13.25100040435791,1
1770,13.25100040435791,1
1771,13.25100040435791,1
1772,13.25100040435791,1
1787,13.25100040435791,1
1788,13.25100040435791,1
1789,13.25100040435791,1
1807,12.029000282287598,1
1808,13.885000228881836,1
1809,13.885000228881836,1
1810,13.885000228881836,1
1823,10.121999740600586,1
1824,12.75,1
1825,16.30500030517578,1
1826,16.30500030517578,1
1827,16.30500030517578,1
1840,10.121999740600586,1
1841,12.75,1
1842,16.30500030517578,1
1843,16.30500030517578,1
1844,16.30500030517578,1
1845,13.1850004196167,1
1858,12.75,1
1859,16.30500030517578,1
1860,16.30500030517578,1
1861,16.30500030517578,1
1862,13.1850004196167,1
2025,13.25100040435791,1
2042,13.25100040435791,1
2043,13.461999893188477,1
2044,13.461999893188477,1
2059,13.25100040435791,1
2060,13.461999893188477,1
2061,13.461999893188477,1
2062,13.461999893188477,1
2077,13.461999893188477,1
2078,13.461999893188477,1
2079,13.461999893188477,1
2080,13.885000228881836,1
2081,13.885000228881836,1
2082,13.885000228881836,1
2096,12.137999534606934,1
2097,16.30500030517578,1
2098,16.30500030517578,1
2099,16.30500030517578,1
2113,12.137999534606934,1
2114,16.30500030517578,1
2115,16.30500030517578,1
2116,16.30500030517578,1
2130,12.137999534606934,1
2131,16.30500030517578,1
2132,16.30500030517578,1
2133,16.30500030517578,1
2281,16.06599998474121,1
2282,16.06599998474121,1
2283,16.06599998474121,1
2284,15.595000267028809,1
2297,13.25100040435791,1
2298,22.08099937438965,1
2299,22.08099937438965,1
2300,22.08099937438965,1
2301,19.45599937438965,1
2314,13.25100040435791,1
2315,22.08099937438965,1
2316,22.08099937438965,1
2317,22.08099937438965,1
2318,21.00200080871582,1
2331,13.25100040435791,1
2332,22.08099937438965,1
2333,22.08099937438965,1
2334,22.08099937438965,1
2335,21.00200080871582,1
2349,19.023000717163086,1
2350,21.00200080871582,1
2351,21.00200080871582,1
2352,21.00200080871582,1
2353,13.817999839782715,1
2367,12.791000366210938,1
2368,13.817999839782715,1
2369,13.817999839782715,1
2370,13.817999839782715,1
2386,13.215999603271484,1
2553,17.097999572753906,1
2554,17.895999908447266,1
2555,17.895999908447266,1
2556,17.895999908447266,1
2569,20.554000854492188,1
2570,26.989999771118164,1
2571,26.989999771118164,1
2572,26.989999771118164,1
2573,26.069000244140625,1
2574,18.12299919128418,1
2586,20.554000854492188,1
2587,26.989999771118164,1
2588,27.268999099731445,1
2589,27.268999099731445,1
2590,27.268999099731445,1
2591,25.982999801635742,1
2603,20.554000854492188,1
2604,26.989999771118164,1
2605,27.268999099731445,1
2606,27.268999099731445,1
2607,27.268999099731445,1
2608,25.982999801635742,1
2620,13.942999839782715,1
2621,23.24799919128418,1
2622,27.268999099731445,1
2623,27.268999099731445,1
2624,27.268999099731445,1
2625,25.982999801635742,1
2626,15.925999641418457,1
2638,15.270000457763672,1
2639,21.850000381469727,1
2640,21.850000381469727,1
2641,21.850000381469727,1
2642,19.86400032043457,1
2643,15.925999641418457,1
2656,12.590999603271484,1
2657,17.17099952697754,1
2658,17.17099952697754,1
2659,17.17099952697754,1
2660,15.925999641418457,1
2673,8.958999633789062,1
2674,8.958999633789062,1
2675,8.958999633789062,1
2825,17.097999572753906,1
2826,17.895999908447266,1
2827,17.895999908447266,1
2828,17.895999908447266,1
2841,20.554000854492188,1
2842,26.989999771118164,1
2843,26.989999771118164,1
2844,26.989999771118164,1
2845,26.069000244140625,1
2858,20.554000854492188,1
2859,26.989999771118164,1
2860,27.268999099731445,1
2861,29.79199981689453,1
2862,29.79199981689453,1
2863,29.79199981689453,1
2875,20.554000854492188,1
2876,26.989999771118164,1
2877,27.268999099731445,1
2878,29.79199981689453,1
2879,29.79199981689453,1
2880,29.79199981689453,1
2881,17.746999740600586,1
2892,13.942999839782715,1
2893,23.24799919128418,1
2894,27.268999099731445,1
2895,29.79199981689453,1
2896,29.79199981689453,1
2897,29.79199981689453,1
2898,17.746999740600586,1
2910,15.63700008392334,1
2911,23.57699966430664,1
2912,25.61400032043457,1
2913,25.61400032043457,1
2914,25.61400032043457,1
2915,15.925999641418457,1
2928,12.590999603271484,1
2929,17.17099952697754,1
2930,17.17099952697754,1
2931,17.17099952697754,1
2932,15.925999641418457,1
2945,8.958999633789062,1
2946,8.958999633789062,1
2947,8.958999633789062,1
3097,17.097999572753906,1
3098,17.895999908447266,1
3099,17.895999908447266,1
3100,17.895999908447266,1
3113,20.554000854492188,1
3114,26.989999771118164,1
3115,26.989999771118164,1
3116,26.989999771118164,1
3117,26.069000244140625,1
3130,20.554000854492188,1
3131,26.989999771118164,1
3132,27.268999099731445,1
3133,29.79199981689453,1
3134,29.79199981689453,1
3135,29.79199981689453,1
3147,20.554000854492188,1
3148,26.989999771118164,1
3149,27.268999099731445,1
3150,29.79199981689453,1
3151,29.79199981689453,1
3152,29.79199981689453,1
3153,17.746999740600586,1
3164,13.942999839782715,1
3165,23.24799919128418,1
3166,27.268999099731445,1
3167,29.79199981689453,1
3168,29.79199981689453,1
3169,29.79199981689453,1
3170,17.746999740600586,1
3182,15.63700008392334,1
3183,23.57699966430664,1
3184,25.61400032043457,1
3185,25.61400032043457,1
3186,25.61400032043457,1
3187,15.925999641418457,1
3200,12.590999603271484,1
3201,17.17099952697754,1
3202,17.17099952697754,1
3203,17.17099952697754,1
3204,15.925999641418457,1
3217,8.958999633789062,1
3218,8.958999633789062,1
3219,8.958999633789062,1
3370,17.30699920654297,1
3371,17.30699920654297,1
3372,17.30699920654297,1
3386,19.97599983215332,1
3387,20.554000854492188,1
3388,21.920000076293945,1
3389,21.920000076293945,1
3402,11.479999542236328,1
3403,22.559999465942383,1
3404,25.851999282836914,1
3405,29.79199981689453,1
3406,29.79199981689453,1
3407,29.79199981689453,1
3419,11.479999542236328,1
3420,22.559999465942383,1
3421,25.851999282836914,1
3422,29.79199981689453,1
3423,29.79199981689453,1
3424,29.79199981689453,1
3425,17.746999740600586,1
3436,11.479999542236328,1
3437,22.559999465942383,1
3438,25.851999282836914,1
3439,29.79199981689453,1
3440,29.79199981689453,1
3441,29.79199981689453,1
3442,17.746999740600586,1
3454,15.63700008392334,1
3455,23.57699966430664,1
3456,25.61400032043457,1
3457,25.61400032043457,1
3458,25.61400032043457,1
3472,11.491000175476074,1
3473,16.756000518798828,1
3474,16.756000518798828,1
3475,16.756000518798828,1
3658,11.567000389099121,1
3659,15.246999740600586,1
3660,16.408000946044922,1
3661,16.408000946044922,1
3675,15.625,1
3676,20.499000549316406,1
3677,21.68899917602539,1
3678,21.68899917602539,1
3679,21.68899917602539,1
3680,15.793000221252441,1
3692,15.625,1
3693,21.014999389648438,1
3694,21.68899917602539,1
3695,21.68899917602539,1
3696,21.68899917602539,1
3697,15.793000221252441,1
3709,15.625,1
3710,21.014999389648438,1
3711,21.68899917602539,1
3712,21.68899917602539,1
3713,21.68899917602539,1
3726,12.35200023651123,1
3727,21.014999389648438,1
3728,21.014999389648438,1
3729,21.014999389648438,1
3730,14.890999794006348,1
3744,10.88599967956543,1
3745,10.88599967956543,1
3746,10.88599967956543,1
3931,9.050999641418457,1
3932,10.480999946594238,1
3933,10.480999946594238,1
3934,10.480999946594238,1
3948,11.041000366210938,1
3949,12.420000076293945,1
3950,12.420000076293945,1
3951,12.420000076293945,1
3965,11.041000366210938,1
3966,12.420000076293945,1
3967,12.420000076293945,1
3968,12.420000076293945,1
3982,11.041000366210938,1
3983,12.420000076293945,1
3984,12.420000076293945,1
3985,12.420000076293945,1
4397,11.456000328063965,1
4398,11.456000328063965,1
4399,11.456000328063965,1
4414,11.456000328063965,1
4415,11.456000328063965,1
4416,11.456000328063965,1
4417,10.98900032043457,1
4431,11.456000328063965,1
4432,12.071000099182129,1
4433,12.071000099182129,1
4434,12.071000099182129,1
4448,11.053000450134277,1
4449,12.071000099182129,1
4450,12.071000099182129,1
4451,12.071000099182129,1
4466,12.071000099182129,1
4467,12.071000099182129,1
4468,12.071000099182129,1
4669,11.456000328063965,1
4670,11.456000328063965,1
4671,11.456000328063965,1
4686,12.383999824523926,1
4687,12.383999824523926,1
4688,12.383999824523926,1
4689,10.98900032043457,1
4703,12.383999824523926,1
4704,14.689000129699707,1
4705,14.689000129699707,1
4706,14.689000129699707,1
4720,12.383999824523926,1
4721,14.689000129699707,1
4722,14.689000129699707,1
4723,14.689000129699707,1
4737,10.607000350952148,1
4738,14.689000129699707,1
4739,14.689000129699707,1
4740,14.689000129699707,1
4941,11.456000328063965,1
4942,11.456000328063965,1
4943,11.456000328063965,1
4958,12.383999824523926,1
4959,12.383999824523926,1
4960,12.383999824523926,1
4961,10.98900032043457,1
4975,12.383999824523926,1
4976,14.689000129699707,1
4977,14.689000129699707,1
4978,14.689000129699707,1
4992,12.383999824523926,1
4993,14.689000129699707,1
4994,14.689000129699707,1
4995,14.689000129699707,1
5009,10.607000350952148,1
5010,14.689000129699707,1
5011,14.689000129699707,1
5012,14.689000129699707,1
5230,12.383999824523926,1
5231,12.383999824523926,1
5232,12.383999824523926,1
5247,12.383999824523926,1
5248,14.689000129699707,1
5249,14.689000129699707,1
5250,14.689000129699707,1
5264,12.383999824523926,1
5265,14.689000129699707,1
5266,14.689000129699707,1
5267,14.689000129699707,1
5281,10.607000350952148,1
5282,14.689000129699707,1
5283,14.689000129699707,1
5284,14.689000129699707,1
5502,9.241000175476074,1
5503,9.241000175476074,1
5504,9.241000175476074,1
5519,9.241000175476074,1
5520,9.241000175476074,1
5521,9.241000175476074,1
5536,9.241000175476074,1
5537,9.241000175476074,1
5538,9.241000175476074,1
7508,8.925999641418457,1
7509,8.925999641418457,1
7510,8.925999641418457,1
7536,8.925999641418457,1
7537,8.925999641418457,1
7538,8.925999641418457,1
7564,8.925999641418457,1
7565,8.925999641418457,1
7566,8.925999641418457,1
7981,8.925999641418457,1
7982,8.925999641418457,1
8009,8.925999641418457,1
8010,8.925999641418457,1
8011,10.08899974822998,1
8012,10.08899974822998,1
8013,10.08899974822998,1
8014,9.166000366210938,1
8015,9.166000366210938,1
8037,8.925999641418457,1
8038,9.668999671936035,1
8039,10.08899974822998,1
8040,10.08899974822998,1
8041,10.08899974822998,1
8042,9.395000457763672,1
8043,9.166000366210938,1
8066,9.668999671936035,1
8067,10.08899974822998,1
8068,10.08899974822998,1
8069,10.08899974822998,1
8070,9.395000457763672,1
8094,9.668999671936035,1
8095,9.668999671936035,1
8096,9.668999671936035,1
8097,9.395000457763672,1
8098,9.395000457763672,1
8430,8.968000411987305,1
8457,10.08899974822998,1
8458,10.08899974822998,1
8463,9.456000328063965,1
8485,10.08899974822998,1
8486,10.08899974822998,1
8491,9.944000244140625,1
8492,9.944000244140625,1
8513,10.08899974822998,1
8514,10.08899974822998,1
8515,10.08899974822998,1
8516,10.08899974822998,1
8517,10.08899974822998,1
8518,9.944000244140625,1
8519,9.944000244140625,1
8520,9.944000244140625,1
8541,9.668999671936035,1
8542,9.668999671936035,1
8543,10.08899974822998,1
8544,10.08899974822998,1
8545,10.08899974822998,1
8546,9.982000350952148,1
8547,9.944000244140625,1
8548,9.944000244140625,1
8570,9.668999671936035,1
8571,10.08899974822998,1
8572,10.08899974822998,1
8573,10.08899974822998,1
8574,9.982000350952148,1
8575,9.789999961853027,1
8576,9.329000473022461,1
8598,9.668999671936035,1
8599,9.668999671936035,1
8600,9.982000350952148,1
8601,9.982000350952148,1
8602,9.982000350952148,1
8603,9.020000457763672,1
8604,8.925999641418457,1
8627,9.185999870300293,1
8628,9.185999870300293,1
8629,9.185999870300293,1
8630,9.020000457763672,1
8631,9.020000457763672,1
8934,9.456000328063965,1
8961,10.08899974822998,1
8962,10.08899974822998,1
8967,9.456000328063965,1
8989,10.08899974822998,1
8990,10.08899974822998,1
8995,9.961999893188477,1
8996,9.961999893188477,1
9017,10.08899974822998,1
9018,10.08899974822998,1
9019,10.619000434875488,1
9020,10.619000434875488,1
9021,10.619000434875488,1
9022,10.206999778747559,1
9023,10.206999778747559,1
9024,10.206999778747559,1
9045,9.668999671936035,1
9046,9.777999877929688,1
9047,10.619000434875488,1
9048,10.619000434875488,1
9049,10.619000434875488,1
9050,10.619000434875488,1
9051,10.619000434875488,1
9052,10.206999778747559,1
9053,9.944000244140625,1
9073,9.406000137329102,1
9074,9.668999671936035,1
9075,10.619000434875488,1
9076,10.619000434875488,1
9077,10.619000434875488,1
9078,10.619000434875488,1
9079,10.619000434875488,1
9080,10.206999778747559,1
9081,9.944000244140625,1
9102,9.668999671936035,1
9103,9.668999671936035,1
9104,9.982000350952148,1
9105,10.619000434875488,1
9106,10.619000434875488,1
9107,10.619000434875488,1
9108,9.944000244140625,1
9109,9.944000244140625,1
9131,9.185999870300293,1
9132,9.185999870300293,1
9133,9.244000434875488,1
9134,9.406000137329102,1
9135,9.406000137329102,1
9136,9.406000137329102,1
9160,9.095999717712402,1
9161,9.095999717712402,1
9162,9.095999717712402,1
9437,10.010000228881836,1
9438,10.010000228881836,1
9439,10.010000228881836,1
9440,9.88599967956543,1
9441,9.88599967956543,1
9442,9.710000038146973,1
9465,10.08899974822998,1
9466,10.08899974822998,1
9467,10.08899974822998,1
9468,10.206999778747559,1
9469,10.206999778747559,1
9470,10.206999778747559,1
9471,9.456000328063965,1
9493,10.08899974822998,1
9494,10.08899974822998,1
9495,10.08899974822998,1
9496,10.206999778747559,1
9497,10.206999778747559,1
9498,10.206999778747559,1
9499,9.961999893188477,1
9500,9.961999893188477,1
9521,10.08899974822998,1
9522,10.08899974822998,1
9523,10.619000434875488,1
9524,10.619000434875488,1
9525,10.619000434875488,1
9526,10.206999778747559,1
9527,10.206999778747559,1
9528,10.206999778747559,1
9549,9.668999671936035,1
9550,9.777999877929688,1
9551,10.619000434875488,1
9552,10.619000434875488,1
9553,10.619000434875488,1
9554,10.619000434875488,1
9555,10.619000434875488,1
9556,10.206999778747559,1
9557,9.961999893188477,1
9577,9.406000137329102,1
9578,9.406000137329102,1
9579,10.619000434875488,1
9580,10.619000434875488,1
9581,10.619000434875488,1
9582,10.619000434875488,1
9583,10.619000434875488,1
9584,10.206999778747559,1
9585,9.961999893188477,1
9607,9.406000137329102,1
9608,9.982000350952148,1
9609,10.619000434875488,1
9610,10.619000434875488,1
9611,10.619000434875488,1
9612,9.961999893188477,1
9613,9.961999893188477,1
9635,9.185999870300293,1
9636,9.704000473022461,1
9637,9.704000473022461,1
9638,9.789999961853027,1
9639,9.789999961853027,1
9640,9.789999961853027,1
9641,9.501999855041504,1
9664,9.095999717712402,1
9665,9.095999717712402,1
9666,9.095999717712402,1
9912,9.253000259399414,1
9913,9.253000259399414,1
9914,9.253000259399414,1
9940,9.753999710083008,1
9941,10.010000228881836,1
9942,10.010000228881836,1
9943,10.010000228881836,1
9944,9.88599967956543,1
9945,9.88599967956543,1
9946,9.710000038146973,1
9968,9.753999710083008,1
9969,10.08899974822998,1
9970,10.08899974822998,1
9971,10.08899974822998,1
9972,10.206999778747559,1
9973,10.206999778747559,1
9974,10.206999778747559,1
9996,9.753999710083008,1
9997,10.08899974822998,1
9998,10.08899974822998,1
9999,10.08899974822998,1
10000,10.206999778747559,1
10001,10.206999778747559,1
10002,10.206999778747559,1
10003,9.961999893188477,1
10004,9.961999893188477,1
10022,8.925999641418457,1
10023,9.329000473022461,1
10024,9.329000473022461,1
10025,10.08899974822998,1
10026,10.08899974822998,1
10027,10.619000434875488,1
10028,10.619000434875488,1
10029,10.619000434875488,1
10030,10.206999778747559,1
10031,10.206999778747559,1
10032,10.206999778747559,1
10053,9.406000137329102,1
10054,9.944000244140625,1
10055,10.619000434875488,1
10056,10.619000434875488,1
10057,10.619000434875488,1
10058,10.619000434875488,1
10059,10.619000434875488,1
10060,10.206999778747559,1
