,scores,cavity
937,14.237000465393066,1
960,14.0,1
987,14.0,1
988,14.503999710083008,1
989,14.503999710083008,1
990,14.503999710083008,1
1015,14.503999710083008,1
1016,14.503999710083008,1
1017,14.503999710083008,1
1342,14.616999626159668,1
1343,14.616999626159668,1
1365,14.0,1
1369,14.616999626159668,1
1370,14.616999626159668,1
1392,14.0,1
1393,14.503999710083008,1
1394,14.503999710083008,1
1395,14.616999626159668,1
1396,14.616999626159668,1
1397,14.616999626159668,1
1420,14.503999710083008,1
1421,14.503999710083008,1
1422,14.503999710083008,1
1719,13.515999794006348,1
1745,14.237000465393066,1
1746,14.786999702453613,1
1747,14.786999702453613,1
1748,14.786999702453613,1
1770,14.0,1
1771,14.503999710083008,1
1772,14.503999710083008,1
1773,14.786999702453613,1
1774,14.786999702453613,1
1775,14.786999702453613,1
1797,14.0,1
1798,14.503999710083008,1
1799,14.503999710083008,1
1800,14.786999702453613,1
1801,14.786999702453613,1
1802,14.786999702453613,1
1825,14.503999710083008,1
1826,14.503999710083008,1
1827,14.503999710083008,1
2151,14.786999702453613,1
2152,14.786999702453613,1
2153,14.786999702453613,1
2176,12.739999771118164,1
2177,14.045000076293945,1
2178,14.786999702453613,1
2179,14.786999702453613,1
2180,14.786999702453613,1
2205,14.786999702453613,1
2206,14.786999702453613,1
2207,14.786999702453613,1
2556,15.067999839782715,1
2557,15.067999839782715,1
2558,15.067999839782715,1
2559,14.95300006866455,1
2583,15.067999839782715,1
2584,15.067999839782715,1
2585,15.067999839782715,1
2586,14.95300006866455,1
2610,15.067999839782715,1
2611,15.067999839782715,1
2961,15.067999839782715,1
2962,15.067999839782715,1
2963,15.067999839782715,1
2988,15.067999839782715,1
2989,15.067999839782715,1
2990,15.067999839782715,1
3366,15.067999839782715,1
3367,15.067999839782715,1
3368,15.067999839782715,1
3393,15.067999839782715,1
3744,14.121999740600586,1
3771,15.173999786376953,1
3772,15.173999786376953,1
3773,15.173999786376953,1
3798,15.173999786376953,1
3829,15.064000129699707,1
3830,15.064000129699707,1
3856,15.064000129699707,1
3857,15.064000129699707,1
3882,15.064000129699707,1
3883,15.064000129699707,1
3884,15.064000129699707,1
4149,14.121999740600586,1
4150,14.121999740600586,1
4151,14.121999740600586,1
4152,14.071999549865723,1
4176,15.173999786376953,1
4177,15.173999786376953,1
4178,15.173999786376953,1
4203,15.173999786376953,1
4234,15.210000038146973,1
4235,15.064000129699707,1
4261,15.210000038146973,1
4262,15.064000129699707,1
4263,12.9399995803833,1
4286,15.210000038146973,1
4287,15.210000038146973,1
4288,15.210000038146973,1
4289,15.064000129699707,1
4290,12.9399995803833,1
4554,14.121999740600586,1
4555,14.121999740600586,1
4556,14.121999740600586,1
4581,15.173999786376953,1
4582,15.173999786376953,1
4583,15.173999786376953,1
4608,15.173999786376953,1
4609,15.173999786376953,1
4610,15.173999786376953,1
4637,15.210000038146973,1
4638,15.210000038146973,1
4639,15.210000038146973,1
4640,15.064000129699707,1
