,scores,cavity
50219,16.275999069213867,1
50220,16.275999069213867,1
50221,16.275999069213867,1
50257,16.31999969482422,1
50258,16.31999969482422,1
50259,16.31999969482422,1
50260,16.275999069213867,1
50296,16.31999969482422,1
50297,16.31999969482422,1
50298,16.31999969482422,1
50335,16.31999969482422,1
50336,16.31999969482422,1
50360,16.1200008392334,1
50361,16.1200008392334,1
50362,16.1200008392334,1
50374,16.152999877929688,1
50399,16.1200008392334,1
50400,16.1200008392334,1
50401,16.1200008392334,1
50413,16.152999877929688,1
50420,16.264999389648438,1
50438,16.1200008392334,1
50439,16.1200008392334,1
50440,16.1200008392334,1
50452,16.152999877929688,1
50459,16.788000106811523,1
50460,16.788000106811523,1
50496,16.264999389648438,1
50497,16.788000106811523,1
50498,16.788000106811523,1
50499,16.788000106811523,1
50536,16.788000106811523,1
50537,16.788000106811523,1
50538,16.788000106811523,1
51506,16.518999099731445,1
51507,16.518999099731445,1
51508,16.518999099731445,1
51545,16.55699920654297,1
51546,16.55699920654297,1
51547,16.55699920654297,1
51584,16.55699920654297,1
51585,16.66200065612793,1
51586,16.66200065612793,1
51587,16.66200065612793,1
51623,16.55699920654297,1
51662,16.2450008392334,1
51701,16.518999099731445,1
51739,16.31999969482422,1
51740,16.66200065612793,1
51741,16.66200065612793,1
51742,16.66200065612793,1
51778,16.31999969482422,1
51779,16.66200065612793,1
51780,16.66200065612793,1
51781,16.66200065612793,1
51782,16.152999877929688,1
51804,15.937999725341797,1
51805,17.82699966430664,1
51806,17.82699966430664,1
51807,17.82699966430664,1
51808,16.70199966430664,1
51816,16.496000289916992,1
51817,16.518999099731445,1
51818,16.66200065612793,1
51819,16.788000106811523,1
51820,16.788000106811523,1
51821,16.788000106811523,1
51822,15.994000434875488,1
51842,16.357999801635742,1
51843,17.090999603271484,1
51844,17.82699966430664,1
51845,17.82699966430664,1
51846,17.82699966430664,1
51847,16.70199966430664,1
51855,16.66200065612793,1
51856,17.024999618530273,1
51857,17.024999618530273,1
51858,17.024999618530273,1
51863,16.76300048828125,1
51880,17.707000732421875,1
51881,17.707000732421875,1
51882,17.707000732421875,1
51883,17.82699966430664,1
51884,17.82699966430664,1
51885,17.82699966430664,1
51886,16.70199966430664,1
51894,16.66200065612793,1
51895,17.024999618530273,1
51896,17.024999618530273,1
51897,17.024999618530273,1
51902,16.76300048828125,1
51919,17.707000732421875,1
51920,17.707000732421875,1
51921,17.707000732421875,1
51922,17.090999603271484,1
51923,17.090999603271484,1
51933,16.66200065612793,1
51934,17.024999618530273,1
51935,17.024999618530273,1
51936,17.024999618530273,1
51941,16.788000106811523,1
51942,16.788000106811523,1
51958,17.707000732421875,1
51959,17.707000732421875,1
51960,17.707000732421875,1
51961,16.84000015258789,1
51962,15.96399974822998,1
51973,16.2450008392334,1
51974,17.382999420166016,1
51975,17.382999420166016,1
51976,17.382999420166016,1
51977,16.753000259399414,1
51978,16.299999237060547,1
51979,16.788000106811523,1
51980,16.788000106811523,1
51981,16.788000106811523,1
51998,16.83099937438965,1
51999,16.83099937438965,1
52000,16.83099937438965,1
52001,15.878000259399414,1
52012,15.805000305175781,1
52013,17.382999420166016,1
52014,17.382999420166016,1
52015,17.382999420166016,1
52016,16.753000259399414,1
52018,16.788000106811523,1
52019,16.788000106811523,1
52020,16.788000106811523,1
52037,16.0310001373291,1
52038,16.0310001373291,1
52039,16.0310001373291,1
52040,15.878000259399414,1
52052,17.382999420166016,1
52053,17.382999420166016,1
52054,17.382999420166016,1
52055,16.753000259399414,1
52076,16.0310001373291,1
52077,16.0310001373291,1
52078,16.0310001373291,1
52112,16.32699966430664,1
52113,16.32699966430664,1
52114,16.32699966430664,1
52153,16.32699966430664,1
52192,16.32699966430664,1
52231,16.18899917602539,1
52985,16.3439998626709,1
52986,16.3439998626709,1
52987,16.3439998626709,1
52988,16.518999099731445,1
52989,16.518999099731445,1
52990,16.518999099731445,1
53024,16.3439998626709,1
53025,16.3439998626709,1
53026,16.3439998626709,1
53027,16.55699920654297,1
53028,16.55699920654297,1
53029,16.55699920654297,1
53030,15.776000022888184,1
53063,16.3439998626709,1
53064,16.3439998626709,1
53065,16.625,1
53066,16.625,1
53067,16.66200065612793,1
53068,16.66200065612793,1
53069,16.66200065612793,1
53104,16.625,1
53105,16.625,1
53109,16.625,1
53143,16.66200065612793,1
53144,16.812999725341797,1
53148,16.625,1
53182,16.66200065612793,1
53183,16.812999725341797,1
53187,16.625,1
53219,15.809000015258789,1
53220,16.54800033569336,1
53221,16.66200065612793,1
53222,16.812999725341797,1
53223,16.812999725341797,1
53224,16.812999725341797,1
53225,16.73699951171875,1
53226,15.98799991607666,1
53258,15.809000015258789,1
53259,16.68199920654297,1
53260,17.382999420166016,1
53261,17.382999420166016,1
53262,17.382999420166016,1
53263,17.118999481201172,1
53264,16.875,1
53265,16.618999481201172,1
53266,16.275999069213867,1
53286,16.839000701904297,1
53287,17.82699966430664,1
53288,17.82699966430664,1
53289,17.82699966430664,1
53290,16.70199966430664,1
53297,15.906000137329102,1
53298,16.68199920654297,1
53299,17.382999420166016,1
53300,17.382999420166016,1
53301,17.382999420166016,1
53302,17.118999481201172,1
53303,16.875,1
53304,16.618999481201172,1
53305,16.489999771118164,1
53323,16.062999725341797,1
53324,16.59600067138672,1
53325,17.194000244140625,1
53326,17.82699966430664,1
53327,17.82699966430664,1
53328,17.82699966430664,1
53329,16.70199966430664,1
53335,16.152999877929688,1
53336,16.152999877929688,1
53337,16.68199920654297,1
53338,17.382999420166016,1
53339,17.382999420166016,1
53340,17.382999420166016,1
53341,17.118999481201172,1
53342,17.024999618530273,1
53343,17.024999618530273,1
53344,16.76300048828125,1
53362,17.707000732421875,1
53363,17.707000732421875,1
53364,18.166000366210938,1
53365,18.166000366210938,1
53366,18.166000366210938,1
53367,17.82699966430664,1
53368,16.70199966430664,1
53374,16.152999877929688,1
53375,16.152999877929688,1
53376,16.66200065612793,1
53377,17.024999618530273,1
53378,17.024999618530273,1
53379,17.024999618530273,1
53380,17.024999618530273,1
53381,17.024999618530273,1
53382,17.024999618530273,1
53383,16.788000106811523,1
53401,17.71500015258789,1
53402,17.989999771118164,1
53403,18.166000366210938,1
53404,18.166000366210938,1
53405,18.166000366210938,1
53406,17.226999282836914,1
53413,16.152999877929688,1
53414,16.152999877929688,1
53415,16.66200065612793,1
53416,17.024999618530273,1
53417,17.024999618530273,1
53418,17.024999618530273,1
53419,17.024999618530273,1
53420,17.024999618530273,1
53421,17.024999618530273,1
53422,16.788000106811523,1
53423,16.788000106811523,1
53424,16.788000106811523,1
53440,17.71500015258789,1
53441,18.107999801635742,1
53442,18.29800033569336,1
53443,18.29800033569336,1
53444,18.29800033569336,1
53445,17.676000595092773,1
53454,16.323999404907227,1
53455,16.76300048828125,1
53456,17.382999420166016,1
53457,17.382999420166016,1
53458,17.382999420166016,1
53459,16.788000106811523,1
53460,16.788000106811523,1
53461,16.788000106811523,1
53462,16.788000106811523,1
53463,16.788000106811523,1
53479,17.71500015258789,1
53480,18.326000213623047,1
53481,18.326000213623047,1
53482,18.326000213623047,1
53483,18.29800033569336,1
53484,17.676000595092773,1
53494,15.805000305175781,1
53495,17.382999420166016,1
53496,17.382999420166016,1
53497,17.382999420166016,1
53498,16.753000259399414,1
53500,16.788000106811523,1
53501,16.788000106811523,1
53502,16.788000106811523,1
53517,16.434999465942383,1
53518,17.989999771118164,1
53519,18.326000213623047,1
53520,18.326000213623047,1
53521,18.326000213623047,1
53522,18.29800033569336,1
53523,17.676000595092773,1
53534,17.382999420166016,1
53535,17.382999420166016,1
53536,17.382999420166016,1
53537,16.753000259399414,1
53555,16.229999542236328,1
53556,16.924999237060547,1
53557,17.989999771118164,1
53558,18.326000213623047,1
53559,18.326000213623047,1
53560,18.326000213623047,1
53561,17.152000427246094,1
53593,17.395000457763672,1
53594,17.481000900268555,1
53595,17.481000900268555,1
53596,17.989999771118164,1
53597,17.989999771118164,1
53598,17.989999771118164,1
53599,17.676000595092773,1
53600,16.422000885009766,1
53632,17.54199981689453,1
53633,17.54199981689453,1
53634,17.54199981689453,1
53635,17.483999252319336,1
53636,17.4689998626709,1
53637,17.4689998626709,1
53638,16.430999755859375,1
53639,16.422000885009766,1
53671,17.54199981689453,1
53672,17.54199981689453,1
53673,17.54199981689453,1
53674,17.483999252319336,1
53710,17.54199981689453,1
53711,17.54199981689453,1
53712,17.54199981689453,1
53713,17.483999252319336,1
54467,16.3439998626709,1
54468,16.3439998626709,1
54469,16.3439998626709,1
54470,16.518999099731445,1
54471,16.518999099731445,1
54472,16.518999099731445,1
54506,16.3439998626709,1
54507,16.3439998626709,1
54508,16.3439998626709,1
54509,16.55699920654297,1
54510,16.55699920654297,1
54511,16.55699920654297,1
54512,15.776000022888184,1
54545,16.3439998626709,1
54546,16.3439998626709,1
54547,16.625,1
54548,16.625,1
54549,16.66200065612793,1
54550,16.66200065612793,1
54551,16.66200065612793,1
54584,16.108999252319336,1
54585,16.542999267578125,1
54586,16.625,1
54587,16.625,1
54591,16.625,1
54623,16.73699951171875,1
54624,16.76300048828125,1
54625,16.76300048828125,1
54626,16.812999725341797,1
54630,16.625,1
54631,15.979999542236328,1
54662,16.73699951171875,1
54663,16.76300048828125,1
54664,16.76300048828125,1
54665,16.812999725341797,1
54669,16.724000930786133,1
54670,15.979999542236328,1
54700,15.875,1
54701,17.055999755859375,1
54702,17.118999481201172,1
54703,17.118999481201172,1
54704,17.118999481201172,1
54705,17.055999755859375,1
54706,17.055999755859375,1
54707,16.76300048828125,1
54708,16.724000930786133,1
54709,16.62700080871582,1
54730,18.19300079345703,1
54731,18.19300079345703,1
54732,18.19300079345703,1
54738,16.033000946044922,1
54739,16.091999053955078,1
54740,17.055999755859375,1
54741,17.118999481201172,1
54742,17.382999420166016,1
54743,17.382999420166016,1
54744,17.382999420166016,1
54745,17.118999481201172,1
54746,16.875,1
54747,16.788999557495117,1
54748,16.788999557495117,1
54749,15.88700008392334,1
54768,16.839000701904297,1
54769,18.19300079345703,1
54770,18.19300079345703,1
54771,18.19300079345703,1
54772,17.148000717163086,1
54773,17.148000717163086,1
54777,16.033000946044922,1
54778,16.76300048828125,1
54779,17.055999755859375,1
54780,17.118999481201172,1
54781,17.382999420166016,1
54782,17.382999420166016,1
54783,17.382999420166016,1
54784,17.118999481201172,1
54785,16.875,1
54786,16.788999557495117,1
54787,16.788999557495117,1
54805,16.062999725341797,1
54806,16.59600067138672,1
54807,17.194000244140625,1
54808,18.19300079345703,1
54809,18.19300079345703,1
54810,18.19300079345703,1
54811,17.148000717163086,1
54812,17.148000717163086,1
54815,16.42799949645996,1
54816,16.42799949645996,1
54817,16.76300048828125,1
54818,16.76300048828125,1
54819,16.788999557495117,1
54820,17.382999420166016,1
54821,17.382999420166016,1
54822,17.382999420166016,1
54823,17.118999481201172,1
54824,17.118999481201172,1
54825,17.118999481201172,1
54826,16.788999557495117,1
54844,17.707000732421875,1
54845,18.326000213623047,1
54846,18.326000213623047,1
54847,18.326000213623047,1
54848,18.253000259399414,1
54849,18.107999801635742,1
54850,17.148000717163086,1
54851,17.148000717163086,1
54854,16.42799949645996,1
54855,16.42799949645996,1
54856,16.76300048828125,1
54857,16.76300048828125,1
54858,17.024999618530273,1
54859,17.382999420166016,1
54860,17.382999420166016,1
54861,17.382999420166016,1
54862,17.118999481201172,1
54863,17.118999481201172,1
54864,17.118999481201172,1
54865,16.913999557495117,1
54883,17.71500015258789,1
54884,18.326000213623047,1
54885,18.326000213623047,1
54886,18.326000213623047,1
54887,18.253000259399414,1
54888,18.107999801635742,1
54893,16.42799949645996,1
54894,16.42799949645996,1
54895,16.66200065612793,1
54896,16.66200065612793,1
54897,17.024999618530273,1
54898,17.382999420166016,1
54899,17.382999420166016,1
54900,17.382999420166016,1
54901,17.118999481201172,1
54902,17.118999481201172,1
54903,17.118999481201172,1
54904,16.913999557495117,1
54905,16.76300048828125,1
54922,17.761999130249023,1
54923,18.326000213623047,1
54924,18.326000213623047,1
54925,18.326000213623047,1
54926,18.29800033569336,1
54927,18.107999801635742,1
54934,16.388999938964844,1
54935,16.388999938964844,1
54936,17.024999618530273,1
54937,17.382999420166016,1
54938,17.382999420166016,1
54939,17.382999420166016,1
54940,17.382999420166016,1
54941,16.913999557495117,1
54942,16.913999557495117,1
54943,16.913999557495117,1
54944,16.18000030517578,1
54945,15.975000381469727,1
54946,15.975000381469727,1
54947,15.975000381469727,1
54961,17.761999130249023,1
54962,18.326000213623047,1
54963,18.326000213623047,1
54964,18.326000213623047,1
54965,18.29800033569336,1
54966,17.676000595092773,1
54976,15.805000305175781,1
54977,17.382999420166016,1
54978,17.382999420166016,1
54979,17.382999420166016,1
54980,16.753000259399414,1
54999,17.520000457763672,1
55000,18.107999801635742,1
55001,18.326000213623047,1
55002,18.326000213623047,1
