,scores,cavity
876,11.87399959564209,1
877,11.87399959564209,1
878,11.87399959564209,1
899,11.87399959564209,1
900,11.87399959564209,1
901,11.87399959564209,1
922,11.87399959564209,1
923,11.87399959564209,1
924,11.87399959564209,1
1291,11.87399959564209,1
1292,11.87399959564209,1
1314,11.87399959564209,1
1315,11.87399959564209,1
1336,11.87399959564209,1
1337,11.87399959564209,1
1338,11.87399959564209,1
1705,11.87399959564209,1
1706,11.87399959564209,1
1728,11.87399959564209,1
1729,11.87399959564209,1
1750,11.87399959564209,1
1751,11.87399959564209,1
1752,11.87399959564209,1
2302,13.451000213623047,1
2303,13.451000213623047,1
2304,13.451000213623047,1
2325,13.451000213623047,1
2326,13.451000213623047,1
2327,13.451000213623047,1
2348,13.451000213623047,1
2349,13.451000213623047,1
2350,13.451000213623047,1
2371,11.888999938964844,1
2372,11.888999938964844,1
2373,11.888999938964844,1
2693,14.701000213623047,1
2694,14.701000213623047,1
2695,14.701000213623047,1
2696,12.269000053405762,1
2716,15.694999694824219,1
2717,15.694999694824219,1
2718,15.694999694824219,1
2719,14.305999755859375,1
2739,15.694999694824219,1
2740,15.694999694824219,1
2741,15.694999694824219,1
2742,14.390999794006348,1
2762,15.694999694824219,1
2763,15.694999694824219,1
2764,15.694999694824219,1
2765,14.390999794006348,1
2785,15.130999565124512,1
2786,15.130999565124512,1
2787,15.130999565124512,1
2788,14.390999794006348,1
2809,12.37600040435791,1
2810,12.37600040435791,1
2811,12.37600040435791,1
2832,11.800999641418457,1
2833,11.800999641418457,1
2834,11.800999641418457,1
3107,14.701000213623047,1
3108,14.701000213623047,1
3109,14.701000213623047,1
3110,14.088000297546387,1
3130,18.437999725341797,1
3131,18.437999725341797,1
3132,18.437999725341797,1
3133,16.17099952697754,1
3153,18.437999725341797,1
3154,18.437999725341797,1
3155,18.437999725341797,1
3156,16.17099952697754,1
3176,18.437999725341797,1
3177,18.437999725341797,1
3178,18.437999725341797,1
3179,16.17099952697754,1
3199,15.222999572753906,1
3200,15.222999572753906,1
3201,15.222999572753906,1
3202,14.880000114440918,1
3222,12.338000297546387,1
3223,13.291999816894531,1
3224,13.291999816894531,1
3225,13.291999816894531,1
3246,11.800999641418457,1
3511,12.666999816894531,1
3512,12.666999816894531,1
3513,12.666999816894531,1
3521,14.701000213623047,1
3522,14.701000213623047,1
3523,14.701000213623047,1
3524,14.088000297546387,1
3533,14.996999740600586,1
3534,14.996999740600586,1
3535,14.996999740600586,1
3536,12.666999816894531,1
3544,18.437999725341797,1
3545,18.437999725341797,1
3546,18.437999725341797,1
3547,16.17099952697754,1
3554,11.463000297546387,1
3555,12.36299991607666,1
3556,14.996999740600586,1
3557,14.996999740600586,1
3558,14.996999740600586,1
3559,12.666999816894531,1
3567,18.437999725341797,1
3568,18.437999725341797,1
3569,18.437999725341797,1
3570,16.17099952697754,1
3577,11.463000297546387,1
3578,12.36299991607666,1
3579,14.996999740600586,1
3580,14.996999740600586,1
3581,14.996999740600586,1
3590,18.437999725341797,1
3591,18.437999725341797,1
3592,18.437999725341797,1
3593,16.17099952697754,1
3600,12.229000091552734,1
3601,12.229000091552734,1
3602,12.229000091552734,1
3603,11.822999954223633,1
3613,15.222999572753906,1
3614,15.222999572753906,1
3615,15.222999572753906,1
3616,14.880000114440918,1
3623,12.229000091552734,1
3624,12.229000091552734,1
3625,12.229000091552734,1
3636,12.338000297546387,1
3637,13.291999816894531,1
3638,13.291999816894531,1
3639,13.291999816894531,1
3646,12.229000091552734,1
3647,12.229000091552734,1
3648,12.229000091552734,1
3901,15.937000274658203,1
3902,15.937000274658203,1
3903,15.937000274658203,1
3904,11.251999855041504,1
3923,22.476999282836914,1
3924,22.476999282836914,1
3925,22.476999282836914,1
3926,20.81999969482422,1
3927,12.666999816894531,1
3936,14.088000297546387,1
3937,14.088000297546387,1
3938,14.088000297546387,1
3945,17.64900016784668,1
3946,22.476999282836914,1
3947,22.476999282836914,1
3948,22.476999282836914,1
3949,20.81999969482422,1
3950,13.345000267028809,1
3958,18.437999725341797,1
3959,18.437999725341797,1
3960,18.437999725341797,1
3961,16.17099952697754,1
3968,17.64900016784668,1
3969,22.476999282836914,1
3970,22.476999282836914,1
3971,22.476999282836914,1
3972,20.81999969482422,1
3973,13.345000267028809,1
3981,18.437999725341797,1
3982,18.437999725341797,1
3983,18.437999725341797,1
3984,16.17099952697754,1
3991,17.64900016784668,1
3992,21.750999450683594,1
3993,21.750999450683594,1
3994,21.750999450683594,1
3995,14.996999740600586,1
3996,13.345000267028809,1
4004,18.437999725341797,1
4005,18.437999725341797,1
4006,18.437999725341797,1
4007,16.17099952697754,1
4014,15.821999549865723,1
4015,15.821999549865723,1
4016,15.821999549865723,1
4017,13.003999710083008,1
4018,13.003999710083008,1
4027,15.222999572753906,1
4028,15.222999572753906,1
4029,15.222999572753906,1
4030,14.880000114440918,1
4037,12.229000091552734,1
4038,12.229000091552734,1
4039,12.229000091552734,1
4040,11.522000312805176,1
4053,13.291999816894531,1
4060,12.229000091552734,1
4061,12.229000091552734,1
4062,12.229000091552734,1
4315,15.937000274658203,1
4316,15.937000274658203,1
4317,15.937000274658203,1
4318,13.458999633789062,1
4319,11.501999855041504,1
4336,13.798999786376953,1
4337,22.476999282836914,1
4338,22.476999282836914,1
4339,22.476999282836914,1
4340,20.81999969482422,1
4341,13.458999633789062,1
4342,11.501999855041504,1
4359,17.64900016784668,1
4360,22.476999282836914,1
4361,22.476999282836914,1
4362,22.476999282836914,1
4363,20.81999969482422,1
4364,13.458999633789062,1
4365,11.501999855041504,1
4375,14.128000259399414,1
4382,17.64900016784668,1
4383,22.476999282836914,1
4384,22.476999282836914,1
4385,22.476999282836914,1
4386,20.81999969482422,1
4387,13.345000267028809,1
4388,11.312000274658203,1
4405,17.64900016784668,1
4406,21.750999450683594,1
4407,21.750999450683594,1
4408,21.750999450683594,1
4409,17.590999603271484,1
4410,13.345000267028809,1
4428,15.821999549865723,1
4429,15.821999549865723,1
4430,15.821999549865723,1
4431,14.767999649047852,1
4432,13.003999710083008,1
4451,12.590999603271484,1
4452,12.590999603271484,1
4453,12.590999603271484,1
4454,11.522000312805176,1
4474,12.229000091552734,1
4475,12.229000091552734,1
4476,12.229000091552734,1
4729,15.937000274658203,1
4730,15.937000274658203,1
4731,15.937000274658203,1
4732,13.458999633789062,1
4733,11.501999855041504,1
4750,13.798999786376953,1
4751,22.476999282836914,1
4752,22.476999282836914,1
4753,22.476999282836914,1
4754,20.81999969482422,1
4755,13.458999633789062,1
4756,11.501999855041504,1
4773,17.64900016784668,1
4774,22.476999282836914,1
4775,22.476999282836914,1
4776,22.476999282836914,1
4777,20.81999969482422,1
4778,13.458999633789062,1
4779,11.501999855041504,1
4796,17.64900016784668,1
4797,22.476999282836914,1
4798,22.476999282836914,1
4799,22.476999282836914,1
4800,20.81999969482422,1
4801,13.345000267028809,1
4802,11.312000274658203,1
4819,17.64900016784668,1
4820,21.750999450683594,1
4821,21.750999450683594,1
4822,21.750999450683594,1
4823,17.590999603271484,1
4824,13.345000267028809,1
4842,15.821999549865723,1
4843,15.821999549865723,1
4844,15.821999549865723,1
4845,14.767999649047852,1
4846,13.003999710083008,1
4866,12.590999603271484,1
4867,12.590999603271484,1
4868,11.522000312805176,1
4888,12.083999633789062,1
4889,12.083999633789062,1
4890,12.083999633789062,1
5143,14.050999641418457,1
5144,14.050999641418457,1
5145,14.050999641418457,1
5146,13.458999633789062,1
5147,11.501999855041504,1
5164,13.798999786376953,1
5165,19.44099998474121,1
5166,19.44099998474121,1
5167,19.44099998474121,1
5168,18.2450008392334,1
5169,13.458999633789062,1
5170,11.501999855041504,1
5187,15.82699966430664,1
5188,19.468000411987305,1
5189,19.468000411987305,1
5190,19.468000411987305,1
5191,18.2450008392334,1
5192,13.458999633789062,1
5193,11.501999855041504,1
5210,15.82699966430664,1
5211,19.468000411987305,1
5212,19.468000411987305,1
5213,19.468000411987305,1
5214,18.2450008392334,1
5215,11.534000396728516,1
5216,11.312000274658203,1
5233,15.82699966430664,1
5234,19.468000411987305,1
5235,19.468000411987305,1
5236,19.468000411987305,1
5237,17.590999603271484,1
5238,11.534000396728516,1
5256,15.026000022888184,1
5257,15.026000022888184,1
5258,15.026000022888184,1
5259,14.767999649047852,1
5260,12.309000015258789,1
5280,12.590999603271484,1
5281,12.590999603271484,1
5559,12.682999610900879,1
5560,12.682999610900879,1
5561,12.682999610900879,1
5562,11.32699966430664,1
5581,12.437999725341797,1
5582,12.682999610900879,1
5583,12.682999610900879,1
5584,12.682999610900879,1
5585,11.32699966430664,1
5602,14.13599967956543,1
5603,14.13599967956543,1
5604,14.13599967956543,1
5605,12.682999610900879,1
5606,12.682999610900879,1
5607,12.682999610900879,1
5608,11.32699966430664,1
5625,14.13599967956543,1
5626,14.13599967956543,1
5627,14.13599967956543,1
5628,12.664999961853027,1
5629,10.960000038146973,1
5630,10.960000038146973,1
5631,10.960000038146973,1
5648,14.13599967956543,1
5649,14.13599967956543,1
5650,14.13599967956543,1
5651,12.664999961853027,1
5973,12.682999610900879,1
5974,12.682999610900879,1
5975,12.682999610900879,1
5976,11.32699966430664,1
5995,11.937999725341797,1
5996,12.682999610900879,1
5997,14.090999603271484,1
5998,14.090999603271484,1
5999,14.090999603271484,1
6000,11.949999809265137,1
6018,11.937999725341797,1
6019,12.682999610900879,1
6020,14.090999603271484,1
6021,14.090999603271484,1
6022,14.090999603271484,1
6023,11.949999809265137,1
6042,11.517000198364258,1
6043,14.090999603271484,1
6044,14.090999603271484,1
6045,14.090999603271484,1
6046,11.949999809265137,1
6066,10.560999870300293,1
6067,10.560999870300293,1
6068,10.560999870300293,1
6069,9.02299976348877,1
6386,11.937999725341797,1
6387,12.682999610900879,1
6388,12.682999610900879,1
6389,14.307000160217285,1
6390,14.307000160217285,1
6391,14.307000160217285,1
6409,11.937999725341797,1
6410,12.682999610900879,1
6411,14.090999603271484,1
6412,14.307000160217285,1
6413,14.307000160217285,1
6414,14.307000160217285,1
6432,11.937999725341797,1
6433,12.682999610900879,1
6434,14.090999603271484,1
6435,14.307000160217285,1
6436,14.307000160217285,1
6437,14.307000160217285,1
6456,11.517000198364258,1
6457,14.090999603271484,1
6458,14.090999603271484,1
6459,14.090999603271484,1
6460,11.949999809265137,1
6480,10.560999870300293,1
6481,10.560999870300293,1
6482,10.560999870300293,1
6483,9.02299976348877,1
6801,10.670999526977539,1
6802,10.803999900817871,1
6803,14.307000160217285,1
6804,14.307000160217285,1
6805,14.307000160217285,1
6824,11.517000198364258,1
6825,14.090999603271484,1
6826,14.307000160217285,1
6827,14.307000160217285,1
6828,14.307000160217285,1
6847,11.517000198364258,1
6848,14.090999603271484,1
6849,14.307000160217285,1
6850,14.307000160217285,1
6851,14.307000160217285,1
6870,11.517000198364258,1
6871,14.090999603271484,1
6872,14.090999603271484,1
6873,14.090999603271484,1
6874,11.949999809265137,1
6894,10.560999870300293,1
6895,10.560999870300293,1
6896,10.560999870300293,1
6897,9.02299976348877,1
7216,9.050000190734863,1
7217,14.307000160217285,1
7218,14.307000160217285,1
7219,14.307000160217285,1
7239,11.187000274658203,1
7240,14.307000160217285,1
7241,14.307000160217285,1
7242,14.307000160217285,1
7262,11.187000274658203,1
7263,14.307000160217285,1
7264,14.307000160217285,1
7265,14.307000160217285,1
7285,11.187000274658203,1
7286,11.187000274658203,1
7287,11.187000274658203,1
10146,8.920999526977539,1
10147,8.920999526977539,1
10148,8.920999526977539,1
10173,8.920999526977539,1
10174,8.920999526977539,1
10175,8.920999526977539,1
10200,8.920999526977539,1
10201,8.920999526977539,1
10202,8.920999526977539,1
10260,9.625,1
10261,9.625,1
10262,9.625,1
10287,9.625,1
10288,9.625,1
10289,9.625,1
10314,9.625,1
10315,9.625,1
10316,9.625,1
10956,10.093000411987305,1
10957,10.093000411987305,1
10958,10.093000411987305,1
10983,10.093000411987305,1
10984,10.093000411987305,1
10985,10.093000411987305,1
10986,9.784000396728516,1
10987,9.784000396728516,1
11010,10.093000411987305,1
11011,10.093000411987305,1
11012,10.093000411987305,1
11013,9.784000396728516,1
11014,9.784000396728516,1
11037,8.920999526977539,1
11038,8.960000038146973,1
11039,9.784000396728516,1
11040,9.784000396728516,1
11041,9.784000396728516,1
11066,8.954000473022461,1
11067,8.954000473022461,1
11068,8.954000473022461,1
11097,9.625,1
11098,9.625,1
11099,9.625,1
11124,9.625,1
11125,9.625,1
11126,9.625,1
11151,9.625,1
11152,9.625,1
11153,9.625,1
11793,10.093000411987305,1
11794,10.093000411987305,1
11795,10.425999641418457,1
11796,10.425999641418457,1
11797,10.425999641418457,1
11798,9.652000427246094,1
11820,10.093000411987305,1
11821,10.595000267028809,1
11822,11.65999984741211,1
11823,11.65999984741211,1
11824,11.65999984741211,1
11825,9.652000427246094,1
11826,8.911999702453613,1
11847,10.093000411987305,1
11848,10.595000267028809,1
11849,11.65999984741211,1
11850,11.65999984741211,1
11851,11.65999984741211,1
11852,10.902999877929688,1
11853,10.902999877929688,1
11854,9.432000160217285,1
11874,8.920999526977539,1
11875,10.595000267028809,1
11876,11.65999984741211,1
11877,11.65999984741211,1
11878,11.65999984741211,1
11879,10.902999877929688,1
11880,10.902999877929688,1
11881,9.432000160217285,1
11882,9.265999794006348,1
11902,9.196999549865723,1
11903,10.454000473022461,1
11904,10.454000473022461,1
11905,10.902999877929688,1
11906,10.902999877929688,1
11907,10.902999877929688,1
11931,9.62600040435791,1
11932,10.381999969482422,1
11933,10.381999969482422,1
