,scores,cavity
1010,16.361000061035156,1
1011,16.361000061035156,1
1012,16.361000061035156,1
1030,17.98900032043457,1
1496,16.361000061035156,1
1497,16.361000061035156,1
1498,16.361000061035156,1
1514,19.113000869750977,1
1515,19.113000869750977,1
1516,19.113000869750977,1
1532,19.113000869750977,1
1533,19.113000869750977,1
1534,19.113000869750977,1
1550,19.113000869750977,1
1551,19.113000869750977,1
1552,19.113000869750977,1
1560,17.22599983215332,1
1561,17.22599983215332,1
1578,17.22599983215332,1
1579,17.22599983215332,1
1595,17.22599983215332,1
1596,17.22599983215332,1
1597,17.22599983215332,1
1804,17.010000228881836,1
1821,16.361000061035156,1
1822,17.010000228881836,1
1823,17.010000228881836,1
1839,16.361000061035156,1
1840,17.010000228881836,1
1841,17.010000228881836,1
1842,17.010000228881836,1
1858,16.827999114990234,1
1859,16.827999114990234,1
1860,16.827999114990234,1
1982,16.361000061035156,1
1983,16.361000061035156,1
1984,16.361000061035156,1
2000,19.113000869750977,1
2001,19.113000869750977,1
2002,19.113000869750977,1
2009,18.114999771118164,1
2010,21.80500030517578,1
2011,21.80500030517578,1
2012,21.80500030517578,1
2018,19.30500030517578,1
2019,19.30500030517578,1
2020,19.30500030517578,1
2026,19.53700065612793,1
2027,22.445999145507812,1
2028,27.707000732421875,1
2029,27.707000732421875,1
2030,27.707000732421875,1
2031,18.874000549316406,1
2036,19.30500030517578,1
2037,19.30500030517578,1
2038,19.30500030517578,1
2044,21.726999282836914,1
2045,22.445999145507812,1
2046,27.707000732421875,1
2047,27.707000732421875,1
2048,27.707000732421875,1
2049,23.014999389648438,1
2054,19.30500030517578,1
2055,19.30500030517578,1
2056,19.30500030517578,1
2062,21.726999282836914,1
2063,22.445999145507812,1
2064,27.707000732421875,1
2065,27.707000732421875,1
2066,27.707000732421875,1
2067,23.014999389648438,1
2080,21.726999282836914,1
2081,22.238000869750977,1
2082,26.367000579833984,1
2083,26.367000579833984,1
2084,26.367000579833984,1
2085,23.014999389648438,1
2098,20.641000747680664,1
2099,20.641000747680664,1
2100,20.641000747680664,1
2101,20.415000915527344,1
2102,16.54599952697754,1
2118,16.96299934387207,1
2272,19.073999404907227,1
2289,21.643999099731445,1
2290,21.643999099731445,1
2291,21.643999099731445,1
2292,19.18899917602539,1
2293,18.31100082397461,1
2307,21.643999099731445,1
2308,21.643999099731445,1
2309,21.643999099731445,1
2310,20.025999069213867,1
2311,18.31100082397461,1
2325,21.643999099731445,1
2326,21.643999099731445,1
2327,21.643999099731445,1
2328,20.025999069213867,1
2329,18.31100082397461,1
2343,19.929000854492188,1
2344,20.025999069213867,1
2345,20.025999069213867,1
2346,20.025999069213867,1
2347,16.145000457763672,1
2362,16.70599937438965,1
2363,16.70599937438965,1
2364,16.70599937438965,1
2382,15.871999740600586,1
2486,19.113000869750977,1
2487,19.113000869750977,1
2488,19.113000869750977,1
2495,18.361000061035156,1
2496,21.80500030517578,1
2497,21.80500030517578,1
2498,21.80500030517578,1
2504,19.30500030517578,1
2505,19.30500030517578,1
2506,19.30500030517578,1
2512,19.53700065612793,1
2513,23.030000686645508,1
2514,28.113000869750977,1
2515,28.113000869750977,1
2516,28.113000869750977,1
2517,19.427000045776367,1
2522,19.30500030517578,1
2523,19.30500030517578,1
2524,19.30500030517578,1
2530,21.726999282836914,1
2531,23.030000686645508,1
2532,28.113000869750977,1
2533,28.113000869750977,1
2534,28.113000869750977,1
2535,23.014999389648438,1
2540,19.30500030517578,1
2541,19.30500030517578,1
2542,19.30500030517578,1
2548,21.726999282836914,1
2549,23.030000686645508,1
2550,28.113000869750977,1
2551,28.113000869750977,1
2552,28.113000869750977,1
2553,23.014999389648438,1
2566,21.726999282836914,1
2567,22.354000091552734,1
2568,26.367000579833984,1
2569,26.367000579833984,1
2570,26.367000579833984,1
2571,23.014999389648438,1
2584,20.641000747680664,1
2585,20.641000747680664,1
2586,20.641000747680664,1
2587,20.415000915527344,1
2588,16.54599952697754,1
2604,17.034000396728516,1
2605,16.90399932861328,1
2758,19.073999404907227,1
2775,21.726999282836914,1
2776,21.726999282836914,1
2777,21.726999282836914,1
2778,19.18899917602539,1
2779,18.31100082397461,1
2793,22.110000610351562,1
2794,22.110000610351562,1
2795,22.110000610351562,1
2796,20.025999069213867,1
2797,18.31100082397461,1
2811,22.110000610351562,1
2812,22.110000610351562,1
2813,22.110000610351562,1
2814,20.025999069213867,1
2815,18.31100082397461,1
2829,22.110000610351562,1
2830,22.110000610351562,1
2831,22.110000610351562,1
2832,20.025999069213867,1
2833,16.145000457763672,1
2848,16.70599937438965,1
2849,16.70599937438965,1
2850,16.70599937438965,1
2868,15.871999740600586,1
2972,17.98900032043457,1
2973,17.98900032043457,1
2974,17.98900032043457,1
2981,18.361000061035156,1
2982,21.80500030517578,1
2983,21.80500030517578,1
2984,21.80500030517578,1
2990,19.30500030517578,1
2991,19.30500030517578,1
2992,19.30500030517578,1
2998,19.53700065612793,1
2999,23.030000686645508,1
3000,28.113000869750977,1
3001,28.113000869750977,1
3002,28.113000869750977,1
3003,19.427000045776367,1
3008,19.30500030517578,1
3009,19.30500030517578,1
3010,19.30500030517578,1
3016,21.726999282836914,1
3017,23.030000686645508,1
3018,28.113000869750977,1
3019,28.113000869750977,1
3020,28.113000869750977,1
3021,23.014999389648438,1
3026,19.30500030517578,1
3027,19.30500030517578,1
3028,19.30500030517578,1
3034,21.726999282836914,1
3035,23.030000686645508,1
3036,28.113000869750977,1
3037,28.113000869750977,1
3038,28.113000869750977,1
3039,23.014999389648438,1
3052,21.726999282836914,1
3053,22.354000091552734,1
3054,26.367000579833984,1
3055,26.367000579833984,1
3056,26.367000579833984,1
3057,23.014999389648438,1
3070,20.641000747680664,1
3071,20.641000747680664,1
3072,20.641000747680664,1
3073,20.415000915527344,1
3074,16.54599952697754,1
3090,17.034000396728516,1
3091,16.90399932861328,1
3244,19.073999404907227,1
3261,21.726999282836914,1
3262,21.726999282836914,1
3263,21.726999282836914,1
3264,19.18899917602539,1
3265,18.31100082397461,1
3279,22.110000610351562,1
3280,22.110000610351562,1
3281,22.110000610351562,1
3282,20.025999069213867,1
3283,18.31100082397461,1
3297,22.110000610351562,1
3298,22.110000610351562,1
3299,22.110000610351562,1
3300,20.025999069213867,1
3301,18.31100082397461,1
3315,22.110000610351562,1
3316,22.110000610351562,1
3317,22.110000610351562,1
3318,20.025999069213867,1
3319,16.145000457763672,1
3334,16.70599937438965,1
3335,16.70599937438965,1
3336,16.70599937438965,1
3354,15.871999740600586,1
3467,18.361000061035156,1
3468,18.64299964904785,1
3469,18.64299964904785,1
3470,18.64299964904785,1
3484,17.614999771118164,1
3485,23.030000686645508,1
3486,28.113000869750977,1
3487,28.113000869750977,1
3488,28.113000869750977,1
3489,19.427000045776367,1
3502,19.509000778198242,1
3503,23.030000686645508,1
3504,28.113000869750977,1
3505,28.113000869750977,1
3506,28.113000869750977,1
3507,19.427000045776367,1
3520,19.509000778198242,1
3521,23.030000686645508,1
3522,28.113000869750977,1
3523,28.113000869750977,1
3524,28.113000869750977,1
3525,19.427000045776367,1
3538,19.509000778198242,1
3539,22.354000091552734,1
3540,22.354000091552734,1
3541,22.354000091552734,1
3542,18.316999435424805,1
3556,18.55299949645996,1
3557,18.83799934387207,1
3558,18.83799934387207,1
3559,18.83799934387207,1
3576,17.034000396728516,1
3577,16.90399932861328,1
3747,21.726999282836914,1
3748,21.726999282836914,1
3749,21.726999282836914,1
3750,17.81999969482422,1
3765,22.110000610351562,1
3766,22.110000610351562,1
3767,22.110000610351562,1
3768,18.343000411987305,1
3782,20.75,1
3783,22.110000610351562,1
3784,22.110000610351562,1
3785,22.110000610351562,1
3786,18.343000411987305,1
3800,20.75,1
3801,22.110000610351562,1
3802,22.110000610351562,1
3803,22.110000610351562,1
3804,18.343000411987305,1
3971,15.770000457763672,1
3972,15.770000457763672,1
3973,15.770000457763672,1
3989,15.770000457763672,1
3990,15.770000457763672,1
3991,15.770000457763672,1
4007,15.770000457763672,1
4008,15.770000457763672,1
4009,15.770000457763672,1
8018,18.07699966430664,1
8056,18.07699966430664,1
8094,18.07699966430664,1
8129,16.139999389648438,1
8130,17.586999893188477,1
8131,17.586999893188477,1
9187,31.139999389648438,1
9196,17.558000564575195,1
9197,17.558000564575195,1
9198,17.485000610351562,1
9225,31.139999389648438,1
9234,18.871000289916992,1
9235,18.871000289916992,1
9236,17.67799949645996,1
9263,31.139999389648438,1
9264,32.805999755859375,1
9270,18.871000289916992,1
9271,18.871000289916992,1
9272,18.871000289916992,1
9273,18.871000289916992,1
9274,17.67799949645996,1
9303,16.57900047302246,1
9304,16.66699981689453,1
9306,18.871000289916992,1
9307,18.871000289916992,1
9308,18.871000289916992,1
9309,18.871000289916992,1
9310,18.871000289916992,1
9311,18.871000289916992,1
9343,16.07200050354004,1
9344,16.80299949645996,1
9345,16.80299949645996,1
9346,18.163999557495117,1
9347,18.163999557495117,1
9348,18.163999557495117,1
9385,17.41200065612793,1
10336,17.7189998626709,1
10337,15.934000015258789,1
10338,15.934000015258789,1
10339,15.934000015258789,1
10372,19.965999603271484,1
10373,19.965999603271484,1
10374,19.965999603271484,1
10375,18.275999069213867,1
10376,18.11400032043457,1
10377,15.934000015258789,1
10403,35.54399871826172,1
10408,19.965999603271484,1
10409,19.965999603271484,1
10410,19.965999603271484,1
10411,19.965999603271484,1
10412,19.965999603271484,1
10413,18.618999481201172,1
10414,18.12299919128418,1
10415,15.934000015258789,1
10440,16.444000244140625,1
10446,19.965999603271484,1
10447,19.965999603271484,1
10448,19.965999603271484,1
10449,19.965999603271484,1
10450,19.965999603271484,1
10451,18.871000289916992,1
10452,18.172000885009766,1
10453,16.9060001373291,1
10478,16.58300018310547,1
10483,19.624000549316406,1
10484,19.965999603271484,1
10485,19.965999603271484,1
10486,19.965999603271484,1
10487,19.624000549316406,1
10488,19.624000549316406,1
10489,18.871000289916992,1
10490,18.172000885009766,1
10491,16.9060001373291,1
10516,16.58300018310547,1
10520,18.895999908447266,1
10521,19.624000549316406,1
10522,19.624000549316406,1
10523,19.624000549316406,1
10524,19.624000549316406,1
10525,19.624000549316406,1
10526,19.624000549316406,1
10527,18.871000289916992,1
10528,18.172000885009766,1
10554,16.58300018310547,1
10558,18.033000946044922,1
10559,19.624000549316406,1
10560,19.624000549316406,1
10561,19.624000549316406,1
10562,19.12299919128418,1
10563,18.632999420166016,1
10564,18.632999420166016,1
10593,16.808000564575195,1
10594,16.808000564575195,1
10595,16.808000564575195,1
10596,17.420000076293945,1
10597,17.420000076293945,1
10598,17.80699920654297,1
10599,17.80699920654297,1
10600,18.576000213623047,1
10601,18.632999420166016,1
10602,18.632999420166016,1
10632,16.3700008392334,1
10633,16.3700008392334,1
10634,16.3700008392334,1
10635,16.32699966430664,1
10636,16.32699966430664,1
10638,15.925999641418457,1
10639,18.163999557495117,1
10640,18.163999557495117,1
10670,15.602999687194824,1
10671,15.602999687194824,1
10672,15.602999687194824,1
10677,15.925000190734863,1
10678,15.925000190734863,1
10679,15.925000190734863,1
11515,15.937000274658203,1
11516,15.937000274658203,1
11517,15.937000274658203,1
11552,17.7189998626709,1
11553,17.584999084472656,1
11554,17.584999084472656,1
11555,17.584999084472656,1
11588,19.965999603271484,1
11589,19.965999603271484,1
11590,19.965999603271484,1
11591,18.275999069213867,1
11592,18.11400032043457,1
11593,18.09000015258789,1
11618,15.682999610900879,1
11619,35.54399871826172,1
11624,19.965999603271484,1
11625,19.965999603271484,1
11626,19.965999603271484,1
11627,19.965999603271484,1
11628,19.965999603271484,1
11629,18.618999481201172,1
11630,18.5939998626709,1
11631,18.256000518798828,1
11633,15.609999656677246,1
11656,16.444000244140625,1
11662,19.965999603271484,1
11663,19.965999603271484,1
11664,19.965999603271484,1
11665,19.965999603271484,1
11666,19.965999603271484,1
11667,19.011999130249023,1
11668,19.011999130249023,1
