,scores,cavity
1700,15.53600025177002,1
1701,15.53600025177002,1
1702,15.53600025177002,1
1729,15.53600025177002,1
1730,15.53600025177002,1
1731,15.53600025177002,1
1758,15.53600025177002,1
1759,16.479999542236328,1
1760,16.479999542236328,1
1761,16.479999542236328,1
1788,16.479999542236328,1
1789,16.479999542236328,1
1790,16.479999542236328,1
1818,16.479999542236328,1
1819,16.479999542236328,1
2124,13.862000465393066,1
2153,13.862000465393066,1
2154,13.862000465393066,1
2155,13.862000465393066,1
2182,13.862000465393066,1
2183,13.862000465393066,1
2184,13.862000465393066,1
2483,16.485000610351562,1
2484,16.485000610351562,1
2485,16.485000610351562,1
2486,15.939000129699707,1
2512,16.725000381469727,1
2513,18.417999267578125,1
2514,18.417999267578125,1
2515,18.417999267578125,1
2541,16.725000381469727,1
2542,18.94099998474121,1
2543,18.94099998474121,1
2544,18.94099998474121,1
2545,16.766000747680664,1
2570,16.725000381469727,1
2571,18.94099998474121,1
2572,18.94099998474121,1
2573,18.94099998474121,1
2574,16.766000747680664,1
2600,18.94099998474121,1
2601,18.94099998474121,1
2602,18.94099998474121,1
2603,16.766000747680664,1
2703,16.613000869750977,1
2704,16.613000869750977,1
2705,16.613000869750977,1
2732,16.613000869750977,1
2761,16.613000869750977,1
2907,13.862000465393066,1
2908,16.426000595092773,1
2909,16.426000595092773,1
2910,16.426000595092773,1
2936,14.0,1
2937,16.426000595092773,1
2938,16.426000595092773,1
2939,16.426000595092773,1
2965,14.0,1
2966,16.426000595092773,1
2967,16.426000595092773,1
2968,16.426000595092773,1
2969,14.701000213623047,1
2994,14.0,1
2995,15.383000373840332,1
2996,15.383000373840332,1
2997,15.383000373840332,1
2998,14.701000213623047,1
3265,14.435999870300293,1
3266,16.485000610351562,1
3267,16.485000610351562,1
3268,16.485000610351562,1
3269,15.939000129699707,1
3294,14.435999870300293,1
3295,18.468000411987305,1
3296,18.468000411987305,1
3297,18.468000411987305,1
3298,18.417999267578125,1
3324,18.468000411987305,1
3325,18.94099998474121,1
3326,18.94099998474121,1
3327,18.94099998474121,1
3328,18.11400032043457,1
3353,18.468000411987305,1
3354,18.94099998474121,1
3355,18.94099998474121,1
3356,18.94099998474121,1
3357,18.11400032043457,1
3383,18.94099998474121,1
3384,18.94099998474121,1
3385,18.94099998474121,1
3386,18.11400032043457,1
3486,17.406999588012695,1
3487,17.406999588012695,1
3488,17.406999588012695,1
3515,17.406999588012695,1
3516,17.406999588012695,1
3517,17.406999588012695,1
3544,17.406999588012695,1
3545,17.406999588012695,1
3546,17.406999588012695,1
3690,13.862000465393066,1
3691,16.426000595092773,1
3692,16.426000595092773,1
3693,16.426000595092773,1
3719,14.0,1
3720,16.426000595092773,1
3721,16.426000595092773,1
3722,16.426000595092773,1
3748,14.0,1
3749,16.426000595092773,1
3750,16.426000595092773,1
3751,16.426000595092773,1
3752,14.701000213623047,1
3777,14.0,1
3778,15.383000373840332,1
3779,15.383000373840332,1
3780,15.383000373840332,1
3781,14.701000213623047,1
4049,16.485000610351562,1
4050,16.485000610351562,1
4051,16.485000610351562,1
4052,15.939000129699707,1
4078,18.468000411987305,1
4079,18.468000411987305,1
4080,18.468000411987305,1
4081,18.417999267578125,1
4107,18.468000411987305,1
4108,18.94099998474121,1
4109,18.94099998474121,1
4110,18.94099998474121,1
4111,18.11400032043457,1
4136,18.468000411987305,1
4137,18.94099998474121,1
4138,18.94099998474121,1
4139,18.94099998474121,1
4140,18.11400032043457,1
4166,18.94099998474121,1
4167,18.94099998474121,1
4168,18.94099998474121,1
4169,18.11400032043457,1
4238,15.015000343322754,1
4239,17.7189998626709,1
4240,17.7189998626709,1
4241,17.7189998626709,1
4256,17.839000701904297,1
4257,17.839000701904297,1
4258,17.839000701904297,1
4267,15.215999603271484,1
4268,17.91699981689453,1
4269,17.91699981689453,1
4270,17.91699981689453,1
4271,17.406999588012695,1
4285,17.839000701904297,1
4296,15.215999603271484,1
4297,17.91699981689453,1
4298,17.91699981689453,1
4299,17.91699981689453,1
4300,17.406999588012695,1
4314,17.839000701904297,1
4325,15.215999603271484,1
4326,17.91699981689453,1
4327,17.91699981689453,1
4328,17.91699981689453,1
4329,17.406999588012695,1
4474,16.426000595092773,1
4475,16.426000595092773,1
4476,16.426000595092773,1
4502,14.0,1
4503,16.426000595092773,1
4504,16.426000595092773,1
4505,16.426000595092773,1
4531,14.0,1
4532,16.426000595092773,1
4533,16.426000595092773,1
4534,16.88800048828125,1
4535,16.88800048828125,1
4536,16.88800048828125,1
4560,14.0,1
4561,15.383000373840332,1
4562,15.383000373840332,1
4563,16.88800048828125,1
4564,16.88800048828125,1
4565,16.88800048828125,1
4566,15.87600040435791,1
4592,16.88800048828125,1
4593,16.88800048828125,1
4594,16.88800048828125,1
4595,15.87600040435791,1
4861,18.468000411987305,1
4862,18.468000411987305,1
4863,18.468000411987305,1
4864,17.66200065612793,1
4890,18.468000411987305,1
4891,18.468000411987305,1
4892,18.468000411987305,1
4893,18.11400032043457,1
4894,18.11400032043457,1
4919,18.468000411987305,1
4920,18.468000411987305,1
4921,18.468000411987305,1
4922,18.11400032043457,1
4923,18.11400032043457,1
4950,18.11400032043457,1
4951,18.11400032043457,1
4952,18.11400032043457,1
5022,17.7189998626709,1
5023,17.7189998626709,1
5024,17.7189998626709,1
5039,17.839000701904297,1
5040,17.839000701904297,1
5041,17.839000701904297,1
5043,16.555999755859375,1
5048,15.63599967956543,1
5049,15.63599967956543,1
5050,16.534000396728516,1
5051,17.91699981689453,1
5052,17.91699981689453,1
5053,17.91699981689453,1
5054,17.406999588012695,1
5068,17.839000701904297,1
5072,16.555999755859375,1
5077,15.63599967956543,1
5078,15.63599967956543,1
5079,16.534000396728516,1
5080,17.91699981689453,1
5081,17.91699981689453,1
5082,17.91699981689453,1
5083,17.406999588012695,1
5097,17.839000701904297,1
5101,16.555999755859375,1
5106,15.63599967956543,1
