,scores,cavity
200,13.692000389099121,1
201,13.692000389099121,1
202,13.692000389099121,1
209,16.76799964904785,1
210,16.76799964904785,1
211,16.76799964904785,1
218,16.76799964904785,1
219,16.76799964904785,1
220,16.76799964904785,1
227,16.76799964904785,1
228,16.76799964904785,1
229,16.76799964904785,1
290,13.692000389099121,1
291,13.692000389099121,1
292,13.692000389099121,1
299,16.76799964904785,1
300,16.76799964904785,1
301,16.76799964904785,1
308,16.76799964904785,1
309,16.76799964904785,1
310,16.76799964904785,1
311,16.106000900268555,1
312,13.531000137329102,1
317,16.76799964904785,1
318,16.76799964904785,1
319,16.76799964904785,1
320,16.106000900268555,1
321,13.531000137329102,1
327,16.106000900268555,1
328,16.106000900268555,1
329,16.106000900268555,1
330,13.531000137329102,1
380,13.692000389099121,1
381,13.692000389099121,1
382,13.692000389099121,1
383,12.520999908447266,1
389,16.76799964904785,1
390,16.76799964904785,1
391,16.76799964904785,1
392,14.680999755859375,1
398,16.76799964904785,1
399,16.76799964904785,1
400,16.76799964904785,1
401,16.106000900268555,1
402,15.869999885559082,1
407,16.76799964904785,1
408,16.76799964904785,1
409,16.76799964904785,1
410,16.106000900268555,1
411,15.869999885559082,1
417,16.106000900268555,1
418,16.106000900268555,1
419,16.106000900268555,1
420,15.869999885559082,1
429,12.71399974822998,1
472,12.520999908447266,1
473,12.520999908447266,1
482,14.680999755859375,1
490,16.106000900268555,1
491,16.106000900268555,1
492,15.869999885559082,1
499,16.106000900268555,1
500,16.106000900268555,1
501,15.869999885559082,1
508,16.106000900268555,1
509,16.106000900268555,1
510,15.869999885559082,1
562,12.520999908447266,1
563,12.520999908447266,1
572,14.680999755859375,1
580,15.869999885559082,1
581,15.869999885559082,1
582,15.869999885559082,1
589,15.869999885559082,1
590,15.869999885559082,1
591,15.869999885559082,1
598,15.869999885559082,1
599,15.869999885559082,1
600,15.869999885559082,1
2358,6.947000026702881,1
2359,6.947000026702881,1
2360,6.947000026702881,1
2387,6.947000026702881,1
2416,6.947000026702881,1
2935,7.230000019073486,1
2936,7.388999938964844,1
2937,7.388999938964844,1
2938,7.388999938964844,1
2963,5.982999801635742,1
2964,7.230000019073486,1
2965,7.388999938964844,1
2966,7.557000160217285,1
2967,7.557000160217285,1
2968,7.557000160217285,1
2969,7.340000152587891,1
2970,7.340000152587891,1
2992,6.243000030517578,1
2993,7.230000019073486,1
2994,8.597000122070312,1
2995,8.597000122070312,1
2996,8.597000122070312,1
2997,8.038999557495117,1
2998,8.038999557495117,1
2999,7.340000152587891,1
3021,6.243000030517578,1
3022,6.947000026702881,1
3023,8.597000122070312,1
3024,8.597000122070312,1
3025,8.597000122070312,1
3026,8.487000465393066,1
3027,8.487000465393066,1
3028,8.487000465393066,1
3030,5.916999816894531,1
3050,6.243000030517578,1
3051,6.947000026702881,1
3052,8.597000122070312,1
3053,8.597000122070312,1
3054,8.597000122070312,1
3055,8.487000465393066,1
3056,8.487000465393066,1
3057,8.487000465393066,1
3080,6.330999851226807,1
3081,6.330999851226807,1
3082,6.99399995803833,1
3083,6.99399995803833,1
3084,8.487000465393066,1
3085,8.487000465393066,1
3086,8.487000465393066,1
3571,6.709000110626221,1
3572,6.709000110626221,1
3573,10.496000289916992,1
3574,10.496000289916992,1
3575,10.496000289916992,1
3576,10.277000427246094,1
3577,10.277000427246094,1
3578,10.277000427246094,1
3579,7.343999862670898,1
3580,7.343999862670898,1
3581,7.343999862670898,1
3600,6.709000110626221,1
3601,7.289000034332275,1
3602,13.362000465393066,1
3603,13.362000465393066,1
3604,13.362000465393066,1
3605,12.111000061035156,1
3606,12.111000061035156,1
3607,12.111000061035156,1
3608,11.418000221252441,1
3609,10.862000465393066,1
3610,10.862000465393066,1
3629,6.709000110626221,1
3630,7.289000034332275,1
3631,13.362000465393066,1
3632,13.362000465393066,1
3633,13.362000465393066,1
3634,12.111000061035156,1
3635,12.111000061035156,1
3636,12.114999771118164,1
3637,12.114999771118164,1
3638,12.114999771118164,1
3639,11.0649995803833,1
3640,8.184000015258789,1
3659,7.289000034332275,1
3660,13.362000465393066,1
3661,13.362000465393066,1
3662,13.362000465393066,1
3663,12.111000061035156,1
3664,12.111000061035156,1
3665,13.109999656677246,1
3666,13.559000015258789,1
3667,13.559000015258789,1
3668,13.559000015258789,1
3669,9.387999534606934,1
3688,7.0269999504089355,1
3689,8.281999588012695,1
3690,8.812999725341797,1
3691,9.789999961853027,1
3692,9.857000350952148,1
3693,10.095999717712402,1
3694,13.109999656677246,1
3695,13.559000015258789,1
3696,13.559000015258789,1
3697,13.559000015258789,1
3717,6.374000072479248,1
3718,6.822000026702881,1
3719,6.822000026702881,1
3720,6.99399995803833,1
3721,7.703999996185303,1
3722,10.095999717712402,1
3723,13.109999656677246,1
3724,13.559000015258789,1
3725,13.559000015258789,1
3726,13.559000015258789,1
3751,8.60099983215332,1
3752,10.48900032043457,1
3753,10.746999740600586,1
3754,10.746999740600586,1
3755,10.746999740600586,1
4179,5.817999839782715,1
4180,5.873000144958496,1
4181,6.15500020980835,1
4182,6.5269999504089355,1
4183,7.039000034332275,1
4184,7.039000034332275,1
4185,7.039000034332275,1
4186,6.605999946594238,1
4208,7.197000026702881,1
4209,8.321000099182129,1
4210,10.631999969482422,1
4211,10.631999969482422,1
4212,10.939000129699707,1
