,scores,cavity
638,13.243000030517578,1
639,14.923999786376953,1
640,14.923999786376953,1
641,14.923999786376953,1
656,13.243000030517578,1
657,14.923999786376953,1
658,14.923999786376953,1
659,14.923999786376953,1
660,14.031999588012695,1
661,14.031999588012695,1
674,13.243000030517578,1
675,14.923999786376953,1
676,14.923999786376953,1
677,14.923999786376953,1
678,14.031999588012695,1
679,14.031999588012695,1
693,13.920999526977539,1
694,13.920999526977539,1
695,14.031999588012695,1
696,14.031999588012695,1
697,14.031999588012695,1
712,11.869000434875488,1
713,11.869000434875488,1
714,11.869000434875488,1
730,11.869000434875488,1
731,11.869000434875488,1
732,11.869000434875488,1
748,11.869000434875488,1
749,11.869000434875488,1
750,11.869000434875488,1
888,12.284000396728516,1
889,12.284000396728516,1
890,12.284000396728516,1
906,12.284000396728516,1
907,12.284000396728516,1
908,13.243000030517578,1
909,15.17199993133545,1
910,15.17199993133545,1
911,15.17199993133545,1
924,12.284000396728516,1
925,12.284000396728516,1
926,13.243000030517578,1
927,15.17199993133545,1
928,15.17199993133545,1
929,15.17199993133545,1
930,14.102999687194824,1
931,14.031999588012695,1
944,13.243000030517578,1
945,15.17199993133545,1
946,15.17199993133545,1
947,15.17199993133545,1
948,14.102999687194824,1
949,14.031999588012695,1
963,14.972999572753906,1
964,14.972999572753906,1
965,14.972999572753906,1
966,14.102999687194824,1
967,14.031999588012695,1
982,11.869000434875488,1
1000,11.869000434875488,1
1018,11.869000434875488,1
1158,12.284000396728516,1
1159,12.284000396728516,1
1160,12.284000396728516,1
1176,12.284000396728516,1
1179,15.17199993133545,1
1180,15.17199993133545,1
1181,15.17199993133545,1
1197,15.17199993133545,1
1198,15.17199993133545,1
1199,15.17199993133545,1
1215,15.17199993133545,1
1216,15.17199993133545,1
1217,15.17199993133545,1
1233,14.972999572753906,1
1234,14.972999572753906,1
1235,14.972999572753906,1
1256,13.225000381469727,1
1274,13.11400032043457,1
1290,26.22800064086914,1
1291,26.22800064086914,1
1292,13.11400032043457,1
1428,12.284000396728516,1
1429,12.284000396728516,1
1430,12.284000396728516,1
1446,12.284000396728516,1
1449,15.17199993133545,1
1450,15.17199993133545,1
1451,15.17199993133545,1
1467,15.17199993133545,1
1468,15.17199993133545,1
1469,15.17199993133545,1
1485,15.17199993133545,1
1486,15.17199993133545,1
1487,15.17199993133545,1
1503,14.972999572753906,1
1504,14.972999572753906,1
1505,14.972999572753906,1
1524,29.31399917602539,1
1525,29.31399917602539,1
1526,14.656999588012695,1
1544,13.302000045776367,1
1560,26.604000091552734,1
1561,26.604000091552734,1
1562,13.302000045776367,1
1578,13.302000045776367,1
1579,13.302000045776367,1
1580,13.302000045776367,1
1794,14.656999588012695,1
1795,14.656999588012695,1
1796,14.656999588012695,1
1814,13.302000045776367,1
1830,13.302000045776367,1
1831,13.302000045776367,1
1832,13.302000045776367,1
1848,13.302000045776367,1
1849,13.302000045776367,1
1850,13.302000045776367,1
2064,14.656999588012695,1
2065,14.656999588012695,1
2066,14.656999588012695,1
2081,14.355999946594238,1
2082,14.355999946594238,1
2083,14.355999946594238,1
2084,13.302000045776367,1
2100,13.302000045776367,1
2101,13.302000045776367,1
2102,13.302000045776367,1
2118,13.302000045776367,1
2119,13.302000045776367,1
2120,13.302000045776367,1
5475,11.89900016784668,1
5476,11.89900016784668,1
5477,11.89900016784668,1
5493,11.89900016784668,1
5511,11.89900016784668,1
5531,14.005000114440918,1
5532,14.005000114440918,1
5533,14.005000114440918,1
5549,14.005000114440918,1
5550,14.005000114440918,1
5551,14.005000114440918,1
5568,28.010000228881836,1
5569,28.010000228881836,1
5727,12.91100025177002,1
5728,12.91100025177002,1
5729,12.91100025177002,1
5745,19.445999145507812,1
5746,19.445999145507812,1
5747,19.445999145507812,1
5748,13.869999885559082,1
5762,13.067999839782715,1
5763,19.445999145507812,1
5764,19.445999145507812,1
5765,19.445999145507812,1
5780,13.067999839782715,1
5781,19.445999145507812,1
5782,19.445999145507812,1
5783,19.445999145507812,1
5798,13.067999839782715,1
5799,13.067999839782715,1
5803,14.413000106811523,1
5819,14.413000106811523,1
5820,14.413000106811523,1
5821,14.413000106811523,1
5822,14.288999557495117,1
5837,14.413000106811523,1
5838,28.826000213623047,1
5839,28.826000213623047,1
5840,28.577999114990234,1
5856,28.577999114990234,1
5857,28.577999114990234,1
5858,28.577999114990234,1
5997,15.378999710083008,1
5998,15.378999710083008,1
5999,15.378999710083008,1
6000,14.38599967956543,1
6014,13.809000015258789,1
6015,19.445999145507812,1
6016,19.445999145507812,1
6017,19.445999145507812,1
6018,18.1560001373291,1
6032,13.809000015258789,1
6033,19.445999145507812,1
6034,19.445999145507812,1
6035,19.445999145507812,1
6036,18.1560001373291,1
6050,13.809000015258789,1
6051,19.445999145507812,1
6052,19.445999145507812,1
6053,19.445999145507812,1
6054,18.1560001373291,1
6068,13.067999839782715,1
6069,13.553999900817871,1
6073,14.413000106811523,1
6089,14.413000106811523,1
6090,14.413000106811523,1
6091,14.413000106811523,1
6092,14.288999557495117,1
6107,14.413000106811523,1
6108,28.826000213623047,1
6109,28.826000213623047,1
6110,28.577999114990234,1
6126,28.577999114990234,1
6127,28.577999114990234,1
6128,28.577999114990234,1
6254,13.496000289916992,1
6267,15.378999710083008,1
6268,15.378999710083008,1
6269,15.378999710083008,1
6270,14.38599967956543,1
6272,13.496000289916992,1
6284,13.809000015258789,1
6285,19.445999145507812,1
6286,19.445999145507812,1
6287,19.445999145507812,1
6288,18.1560001373291,1
6290,13.496000289916992,1
6302,13.809000015258789,1
6303,19.445999145507812,1
6304,19.445999145507812,1
6305,19.445999145507812,1
6306,18.1560001373291,1
6320,13.809000015258789,1
6321,19.445999145507812,1
6322,19.445999145507812,1
6323,19.445999145507812,1
6324,18.1560001373291,1
6338,13.067999839782715,1
6339,13.553999900817871,1
6343,14.413000106811523,1
6359,14.413000106811523,1
6360,14.413000106811523,1
6361,14.413000106811523,1
6362,14.288999557495117,1
6377,14.413000106811523,1
6378,28.826000213623047,1
6379,28.826000213623047,1
6380,28.577999114990234,1
6396,28.577999114990234,1
6397,28.577999114990234,1
6398,28.577999114990234,1
6523,13.557999610900879,1
6524,13.557999610900879,1
6525,13.557999610900879,1
6537,15.378999710083008,1
6538,15.378999710083008,1
6539,15.378999710083008,1
6540,14.38599967956543,1
6541,13.557999610900879,1
6542,13.557999610900879,1
6543,13.557999610900879,1
6554,13.809000015258789,1
6555,16.340999603271484,1
6556,18.1560001373291,1
6557,18.1560001373291,1
6558,18.1560001373291,1
6560,13.557999610900879,1
6561,13.557999610900879,1
6572,13.809000015258789,1
6573,16.340999603271484,1
6574,18.1560001373291,1
6575,18.1560001373291,1
6576,18.1560001373291,1
6578,12.878000259399414,1
6579,12.782999992370605,1
6590,13.809000015258789,1
6591,16.340999603271484,1
6592,18.1560001373291,1
6593,18.1560001373291,1
6594,18.1560001373291,1
6596,13.163999557495117,1
6609,13.553999900817871,1
6610,13.553999900817871,1
6611,13.553999900817871,1
6612,13.163999557495117,1
6630,13.163999557495117,1
