,scores,cavity
1447,15.229999542236328,1
1448,15.229999542236328,1
1449,15.229999542236328,1
1450,14.779000282287598,1
1466,16.572999954223633,1
1467,16.572999954223633,1
1468,16.572999954223633,1
1469,14.779000282287598,1
1485,16.572999954223633,1
1486,16.572999954223633,1
1487,16.572999954223633,1
1488,14.779000282287598,1
1504,16.572999954223633,1
1505,16.572999954223633,1
1506,16.572999954223633,1
1979,19.006999969482422,1
1980,19.006999969482422,1
1981,19.006999969482422,1
1982,14.779000282287598,1
1997,14.645000457763672,1
1998,19.006999969482422,1
1999,19.006999969482422,1
2000,19.006999969482422,1
2001,14.779000282287598,1
2016,14.645000457763672,1
2017,19.006999969482422,1
2018,19.006999969482422,1
2019,19.006999969482422,1
2020,14.779000282287598,1
2035,14.645000457763672,1
2036,16.572999954223633,1
2037,16.572999954223633,1
2038,16.572999954223633,1
2039,14.553999900817871,1
2511,19.006999969482422,1
2512,19.006999969482422,1
2513,19.006999969482422,1
2514,14.779000282287598,1
2529,14.645000457763672,1
2530,19.006999969482422,1
2531,19.006999969482422,1
2532,19.006999969482422,1
2533,14.779000282287598,1
2548,14.645000457763672,1
2549,19.006999969482422,1
2550,19.006999969482422,1
2551,19.006999969482422,1
2552,14.779000282287598,1
2567,14.645000457763672,1
2568,16.572999954223633,1
2569,16.572999954223633,1
2570,16.572999954223633,1
2571,14.553999900817871,1
3027,14.395000457763672,1
3028,14.395000457763672,1
3029,14.395000457763672,1
3043,19.006999969482422,1
3044,19.006999969482422,1
3045,19.006999969482422,1
3046,15.260000228881836,1
3047,15.260000228881836,1
3048,15.260000228881836,1
3061,14.645000457763672,1
3062,19.006999969482422,1
3063,19.006999969482422,1
3064,19.006999969482422,1
3065,15.260000228881836,1
3066,15.260000228881836,1
3067,15.260000228881836,1
3080,14.645000457763672,1
3081,19.006999969482422,1
3082,19.006999969482422,1
3083,19.006999969482422,1
3084,15.260000228881836,1
3085,15.260000228881836,1
3086,15.260000228881836,1
3099,14.645000457763672,1
3100,15.407999992370605,1
3101,15.407999992370605,1
3102,15.407999992370605,1
3103,15.255999565124512,1
3104,15.255999565124512,1
3525,15.619000434875488,1
3526,15.619000434875488,1
