,scores,cavity
299,17.812000274658203,1
308,17.812000274658203,1
309,17.812000274658203,1
317,17.812000274658203,1
318,17.812000274658203,1
390,18.64900016784668,1
398,21.398000717163086,1
399,21.398000717163086,1
400,21.398000717163086,1
407,21.398000717163086,1
408,21.398000717163086,1
409,21.398000717163086,1
416,21.398000717163086,1
417,21.398000717163086,1
418,21.398000717163086,1
425,18.81999969482422,1
426,18.81999969482422,1
427,18.81999969482422,1
434,17.812000274658203,1
435,17.812000274658203,1
443,16.524999618530273,1
444,16.524999618530273,1
507,20.391000747680664,1
508,20.391000747680664,1
509,20.391000747680664,1
515,22.045000076293945,1
516,22.045000076293945,1
517,22.045000076293945,1
518,20.391000747680664,1
524,22.045000076293945,1
525,22.045000076293945,1
526,22.045000076293945,1
527,20.391000747680664,1
533,22.045000076293945,1
534,22.045000076293945,1
535,22.045000076293945,1
536,19.88599967956543,1
542,18.81999969482422,1
543,19.88599967956543,1
544,19.88599967956543,1
545,19.88599967956543,1
551,17.812000274658203,1
560,16.524999618530273,1
623,22.67300033569336,1
624,22.67300033569336,1
625,22.67300033569336,1
626,20.391000747680664,1
632,22.67300033569336,1
633,22.67300033569336,1
634,22.67300033569336,1
635,21.135000228881836,1
641,22.67300033569336,1
642,22.67300033569336,1
643,22.67300033569336,1
644,21.135000228881836,1
650,22.045000076293945,1
651,22.045000076293945,1
652,22.045000076293945,1
653,21.135000228881836,1
659,18.81999969482422,1
660,20.26300048828125,1
661,20.26300048828125,1
662,20.26300048828125,1
677,16.524999618530273,1
740,22.768999099731445,1
741,22.768999099731445,1
742,22.768999099731445,1
743,20.891000747680664,1
749,22.768999099731445,1
750,22.768999099731445,1
751,22.768999099731445,1
752,21.135000228881836,1
758,22.768999099731445,1
759,22.768999099731445,1
760,22.768999099731445,1
761,21.135000228881836,1
767,22.045000076293945,1
768,22.045000076293945,1
769,22.045000076293945,1
770,21.135000228881836,1
776,19.260000228881836,1
777,20.26300048828125,1
778,20.26300048828125,1
779,20.26300048828125,1
785,19.260000228881836,1
786,19.260000228881836,1
787,19.260000228881836,1
839,17.784000396728516,1
848,20.93000030517578,1
849,20.93000030517578,1
850,20.93000030517578,1
857,22.768999099731445,1
858,22.768999099731445,1
859,22.768999099731445,1
860,20.891000747680664,1
866,22.768999099731445,1
867,22.768999099731445,1
868,22.768999099731445,1
869,21.135000228881836,1
875,22.768999099731445,1
876,22.768999099731445,1
877,22.768999099731445,1
878,21.135000228881836,1
884,21.7189998626709,1
885,21.7189998626709,1
886,21.7189998626709,1
887,21.135000228881836,1
893,19.260000228881836,1
894,20.26300048828125,1
895,20.26300048828125,1
896,20.26300048828125,1
902,19.260000228881836,1
903,19.260000228881836,1
904,19.260000228881836,1
965,20.93000030517578,1
966,20.93000030517578,1
967,20.93000030517578,1
974,22.768999099731445,1
975,22.768999099731445,1
976,22.768999099731445,1
977,20.891000747680664,1
983,22.768999099731445,1
984,22.768999099731445,1
985,22.768999099731445,1
986,21.027999877929688,1
992,22.768999099731445,1
993,22.768999099731445,1
994,22.768999099731445,1
995,21.027999877929688,1
1001,21.7189998626709,1
1002,21.7189998626709,1
1003,21.7189998626709,1
1004,21.027999877929688,1
1010,19.260000228881836,1
1011,20.121000289916992,1
1012,20.121000289916992,1
1013,20.121000289916992,1
1019,19.260000228881836,1
1020,19.260000228881836,1
1021,19.260000228881836,1
1022,17.934999465942383,1
1082,20.93000030517578,1
1083,20.93000030517578,1
1084,20.93000030517578,1
1091,20.93000030517578,1
1092,20.93000030517578,1
1093,20.93000030517578,1
1094,19.726999282836914,1
1100,21.7189998626709,1
1101,21.7189998626709,1
1102,21.7189998626709,1
1103,19.726999282836914,1
1109,21.7189998626709,1
1110,21.7189998626709,1
1111,21.7189998626709,1
1112,19.726999282836914,1
1118,21.7189998626709,1
1119,21.7189998626709,1
1120,21.7189998626709,1
1128,19.020000457763672,1
1129,19.020000457763672,1
1130,19.020000457763672,1
1199,19.083999633789062,1
1200,19.083999633789062,1
1201,19.083999633789062,1
1208,19.083999633789062,1
1209,19.083999633789062,1
1210,19.083999633789062,1
1217,19.083999633789062,1
1218,19.083999633789062,1
1219,19.083999633789062,1
1785,18.69300079345703,1
1786,18.69300079345703,1
1787,18.69300079345703,1
1794,18.69300079345703,1
1795,18.69300079345703,1
1796,18.69300079345703,1
1803,18.69300079345703,1
1804,18.69300079345703,1
1805,18.69300079345703,1
1813,17.84600067138672,1
1814,17.84600067138672,1
1815,17.84600067138672,1
1902,18.69300079345703,1
1903,18.69300079345703,1
1904,18.69300079345703,1
1911,18.69300079345703,1
1912,18.69300079345703,1
1913,18.69300079345703,1
1920,18.69300079345703,1
1921,18.69300079345703,1
1922,18.69300079345703,1
1930,17.84600067138672,1
1931,17.84600067138672,1
2019,18.69300079345703,1
2020,18.69300079345703,1
2021,18.69300079345703,1
2028,18.69300079345703,1
2029,18.69300079345703,1
2030,18.69300079345703,1
2037,18.69300079345703,1
2038,18.69300079345703,1
2039,18.69300079345703,1
2047,17.84600067138672,1
2048,17.84600067138672,1
2165,17.22100067138672,1
3860,15.208000183105469,1
3861,18.1200008392334,1
3862,18.1200008392334,1
3863,18.1200008392334,1
3884,15.208000183105469,1
3885,18.1200008392334,1
3886,18.1200008392334,1
3887,18.1200008392334,1
3908,15.208000183105469,1
3909,18.1200008392334,1
3910,18.1200008392334,1
3911,18.1200008392334,1
3932,13.692000389099121,1
3933,16.672000885009766,1
3934,16.672000885009766,1
3935,16.672000885009766,1
4411,16.12700080871582,1
4412,16.9950008392334,1
4413,18.218000411987305,1
4414,18.218000411987305,1
4415,18.218000411987305,1
4435,16.12700080871582,1
4436,16.9950008392334,1
4437,18.218000411987305,1
4438,18.218000411987305,1
4439,18.218000411987305,1
4440,13.956000328063965,1
4459,16.12700080871582,1
4460,16.9950008392334,1
4461,18.218000411987305,1
4462,18.218000411987305,1
4463,18.218000411987305,1
4464,13.956000328063965,1
4484,15.538999557495117,1
4485,17.81800079345703,1
4486,17.81800079345703,1
4487,17.81800079345703,1
4488,13.956000328063965,1
4509,14.144000053405762,1
4510,14.144000053405762,1
4511,14.144000053405762,1
4911,13.628999710083008,1
4912,14.175000190734863,1
4913,14.175000190734863,1
4914,14.175000190734863,1
4935,13.628999710083008,1
4936,14.663999557495117,1
4937,14.663999557495117,1
4938,14.881999969482422,1
4939,17.18899917602539,1
4940,17.18899917602539,1
4941,17.18899917602539,1
4942,16.21500015258789,1
4943,15.619000434875488,1
4944,14.022000312805176,1
4959,13.628999710083008,1
4960,15.123000144958496,1
4961,15.123000144958496,1
4964,18.659000396728516,1
4965,18.659000396728516,1
4966,18.659000396728516,1
4967,18.597999572753906,1
4968,16.711000442504883,1
4984,15.123000144958496,1
4985,15.123000144958496,1
4988,18.659000396728516,1
4989,18.659000396728516,1
4990,18.659000396728516,1
4991,18.597999572753906,1
4992,16.711000442504883,1
5008,15.123000144958496,1
5009,15.123000144958496,1
5012,18.659000396728516,1
5013,18.659000396728516,1
5014,18.659000396728516,1
5015,18.597999572753906,1
5016,16.711000442504883,1
5034,13.994999885559082,1
5035,14.258000373840332,1
5036,17.381999969482422,1
5037,17.881999969482422,1
5038,17.881999969482422,1
5039,17.881999969482422,1
5040,16.076000213623047,1
5060,15.092000007629395,1
5061,16.000999450683594,1
5062,16.000999450683594,1
5063,16.000999450683594,1
5064,14.175999641418457,1
5415,13.682000160217285,1
5416,13.682000160217285,1
5417,13.682000160217285,1
5438,14.04800033569336,1
5439,17.48699951171875,1
5440,17.48699951171875,1
5441,17.48699951171875,1
5442,16.566999435424805,1
5462,15.105999946594238,1
5463,17.48699951171875,1
5464,17.48699951171875,1
5465,17.48699951171875,1
5466,17.136999130249023,1
5467,16.9950008392334,1
5468,14.63700008392334,1
5469,14.63700008392334,1
5470,13.776000022888184,1
5486,15.105999946594238,1
5487,17.48699951171875,1
5488,18.042999267578125,1
5489,18.042999267578125,1
5490,18.042999267578125,1
5491,17.89699935913086,1
5492,17.89699935913086,1
5493,17.89699935913086,1
5494,17.590999603271484,1
5495,17.590999603271484,1
5496,16.031999588012695,1
5497,15.666999816894531,1
5510,15.105999946594238,1
5511,16.208999633789062,1
5512,18.042999267578125,1
5513,18.042999267578125,1
5517,19.03499984741211,1
5518,19.04400062561035,1
5519,19.04400062561035,1
5520,19.04400062561035,1
5521,15.666999816894531,1
5522,13.902000427246094,1
5534,14.944999694824219,1
5535,16.208999633789062,1
