,scores,cavity
1307,14.291999816894531,1
1308,14.291999816894531,1
1309,14.291999816894531,1
1325,14.291999816894531,1
1326,14.291999816894531,1
1327,14.291999816894531,1
1343,14.291999816894531,1
1344,14.291999816894531,1
1345,14.291999816894531,1
1919,14.291999816894531,1
1920,15.055000305175781,1
1921,15.055000305175781,1
1922,15.055000305175781,1
1937,14.291999816894531,1
1938,15.055000305175781,1
1939,15.055000305175781,1
1940,15.055000305175781,1
1955,14.291999816894531,1
1956,15.055000305175781,1
1957,15.055000305175781,1
1958,15.055000305175781,1
1974,15.357999801635742,1
1975,15.357999801635742,1
1976,15.357999801635742,1
1992,15.357999801635742,1
1993,15.357999801635742,1
1994,15.357999801635742,1
2010,15.357999801635742,1
2011,15.357999801635742,1
2012,15.357999801635742,1
2514,15.6850004196167,1
2515,15.6850004196167,1
2516,15.6850004196167,1
2531,14.291999816894531,1
2532,18.134000778198242,1
2533,18.134000778198242,1
2534,18.134000778198242,1
2549,14.291999816894531,1
2550,18.134000778198242,1
2551,18.134000778198242,1
2552,18.134000778198242,1
2553,15.17199993133545,1
2567,14.291999816894531,1
2568,18.134000778198242,1
2569,18.134000778198242,1
2570,18.134000778198242,1
2571,15.17199993133545,1
2585,14.906999588012695,1
2586,16.041000366210938,1
2587,17.55900001525879,1
2588,17.55900001525879,1
2589,17.55900001525879,1
2603,14.906999588012695,1
2604,15.357999801635742,1
2605,17.55900001525879,1
2606,17.55900001525879,1
2607,17.55900001525879,1
2621,14.906999588012695,1
2622,15.357999801635742,1
2623,17.55900001525879,1
2624,17.55900001525879,1
2625,17.55900001525879,1
2639,14.51200008392334,1
2640,14.51200008392334,1
2641,14.51200008392334,1
3108,14.423999786376953,1
3109,14.423999786376953,1
3110,14.423999786376953,1
3126,15.6850004196167,1
3127,15.6850004196167,1
3128,15.6850004196167,1
3144,18.134000778198242,1
3145,18.134000778198242,1
3146,18.134000778198242,1
3162,18.134000778198242,1
3163,18.134000778198242,1
3164,18.134000778198242,1
3165,15.17199993133545,1
3180,18.134000778198242,1
3181,18.134000778198242,1
3182,18.134000778198242,1
3183,15.17199993133545,1
3195,15.043000221252441,1
