,scores,cavity
1094,13.434000015258789,1
1095,13.434000015258789,1
1096,13.434000015258789,1
1114,14.711999893188477,1
1115,14.711999893188477,1
1116,14.711999893188477,1
1134,14.711999893188477,1
1135,14.711999893188477,1
1136,14.711999893188477,1
1137,10.295999526977539,1
1154,14.711999893188477,1
1155,14.711999893188477,1
1156,14.711999893188477,1
1157,10.034000396728516,1
1494,13.434000015258789,1
1495,13.434000015258789,1
1496,13.434000015258789,1
1514,14.711999893188477,1
1515,14.711999893188477,1
1516,14.711999893188477,1
1534,14.711999893188477,1
1535,14.711999893188477,1
1536,14.711999893188477,1
1537,10.295999526977539,1
1554,14.711999893188477,1
1555,14.711999893188477,1
1556,14.711999893188477,1
1557,10.034000396728516,1
1773,12.960000038146973,1
1793,15.668000221252441,1
1794,15.668000221252441,1
1795,15.668000221252441,1
1813,15.668000221252441,1
1814,15.668000221252441,1
1815,15.668000221252441,1
1832,17.538000106811523,1
1833,17.538000106811523,1
1834,17.538000106811523,1
1835,15.668000221252441,1
1852,17.538000106811523,1
1853,17.538000106811523,1
1854,17.538000106811523,1
1872,17.538000106811523,1
1873,17.538000106811523,1
1874,17.538000106811523,1
1875,15.222000122070312,1
1893,12.598999977111816,1
1894,13.434000015258789,1
1895,13.434000015258789,1
1896,13.434000015258789,1
1914,14.711999893188477,1
1915,14.711999893188477,1
1916,14.711999893188477,1
1934,14.711999893188477,1
1935,14.711999893188477,1
1936,14.711999893188477,1
1937,10.295999526977539,1
1954,14.711999893188477,1
1955,14.711999893188477,1
1956,14.711999893188477,1
1957,10.034000396728516,1
2193,15.668000221252441,1
2194,15.668000221252441,1
2195,15.668000221252441,1
2212,15.347000122070312,1
2213,15.668000221252441,1
2214,15.668000221252441,1
2215,15.668000221252441,1
2232,19.1299991607666,1
2233,19.1299991607666,1
2234,19.1299991607666,1
2235,15.668000221252441,1
2252,19.1299991607666,1
2253,19.1299991607666,1
2254,19.1299991607666,1
2272,19.1299991607666,1
2273,19.1299991607666,1
2274,19.1299991607666,1
2275,15.222000122070312,1
2293,12.598999977111816,1
2294,12.598999977111816,1
2295,12.598999977111816,1
2612,15.347000122070312,1
2632,19.1299991607666,1
2633,19.1299991607666,1
2634,19.1299991607666,1
2652,19.1299991607666,1
2653,19.1299991607666,1
2654,19.1299991607666,1
2672,19.1299991607666,1
2673,19.1299991607666,1
2674,19.1299991607666,1
2675,15.222000122070312,1
2693,12.598999977111816,1
2694,12.598999977111816,1
2695,12.598999977111816,1
3012,15.347000122070312,1
3032,19.1299991607666,1
3033,19.1299991607666,1
3034,19.1299991607666,1
3052,19.1299991607666,1
3053,19.1299991607666,1
3054,19.1299991607666,1
3072,19.1299991607666,1
3073,19.1299991607666,1
3074,19.1299991607666,1
4888,12.52299976348877,1
4889,12.52299976348877,1
4890,12.52299976348877,1
4908,12.52299976348877,1
4909,12.52299976348877,1
4910,12.52299976348877,1
4928,12.52299976348877,1
4929,12.52299976348877,1
5285,10.836999893188477,1
5286,12.289999961853027,1
5287,15.055000305175781,1
5288,15.055000305175781,1
5289,15.055000305175781,1
5290,12.52299976348877,1
5305,12.640999794006348,1
5306,12.640999794006348,1
5307,15.055000305175781,1
5308,15.055000305175781,1
5309,15.055000305175781,1
5323,12.100000381469727,1
5324,17.226999282836914,1
5325,17.226999282836914,1
5326,17.226999282836914,1
5327,15.055000305175781,1
