,scores,cavity
1313,17.72800064086914,1
1314,17.72800064086914,1
1315,17.72800064086914,1
1316,16.961000442504883,1
1317,16.961000442504883,1
1342,17.72800064086914,1
1641,17.023000717163086,1
1642,17.023000717163086,1
1668,16.850000381469727,1
1669,16.850000381469727,1
1694,16.43400001525879,1
1695,16.43400001525879,1
1696,16.43400001525879,1
1720,16.280000686645508,1
1721,16.280000686645508,1
1722,16.280000686645508,1
1746,14.088000297546387,1
1747,14.088000297546387,1
1748,14.088000297546387,1
1773,14.088000297546387,1
1774,14.088000297546387,1
1775,14.088000297546387,1
1800,14.088000297546387,1
1801,14.088000297546387,1
1802,14.088000297546387,1
1933,18.610000610351562,1
1934,18.610000610351562,1
1935,19.08300018310547,1
1936,19.08300018310547,1
1937,19.08300018310547,1
1938,16.961000442504883,1
1960,18.610000610351562,1
1961,18.610000610351562,1
1962,19.08300018310547,1
1963,19.08300018310547,1
1964,19.08300018310547,1
1987,18.610000610351562,1
1988,18.610000610351562,1
1989,19.08300018310547,1
1990,19.08300018310547,1
1991,19.08300018310547,1
2210,18.03499984741211,1
2234,19.729000091552734,1
2235,19.729000091552734,1
2236,19.729000091552734,1
2237,19.31999969482422,1
2261,19.729000091552734,1
2262,19.729000091552734,1
2263,19.729000091552734,1
2264,19.31999969482422,1
2288,19.729000091552734,1
2289,19.729000091552734,1
2290,19.729000091552734,1
2291,19.31999969482422,1
2314,17.76799964904785,1
2315,18.90399932861328,1
2316,18.90399932861328,1
2317,18.90399932861328,1
2318,17.483999252319336,1
2342,18.90399932861328,1
2343,18.90399932861328,1
2344,18.90399932861328,1
2368,16.42099952697754,1
2369,16.42099952697754,1
2370,16.42099952697754,1
2395,16.42099952697754,1
2396,16.42099952697754,1
2397,16.42099952697754,1
2421,14.088000297546387,1
2422,16.42099952697754,1
2423,16.42099952697754,1
2424,16.42099952697754,1
2554,18.610000610351562,1
2555,18.610000610351562,1
2556,19.08300018310547,1
2557,19.08300018310547,1
2558,19.08300018310547,1
2559,16.961000442504883,1
2580,17.900999069213867,1
2581,18.610000610351562,1
2582,18.610000610351562,1
2583,19.08300018310547,1
2584,19.08300018310547,1
2585,19.08300018310547,1
2607,17.900999069213867,1
2608,18.610000610351562,1
2609,18.610000610351562,1
2610,19.08300018310547,1
2611,19.08300018310547,1
2612,19.08300018310547,1
2828,18.613000869750977,1
2829,18.945999145507812,1
2830,18.945999145507812,1
2831,18.945999145507812,1
2855,20.284000396728516,1
2856,20.33300018310547,1
2857,20.33300018310547,1
2858,20.33300018310547,1
2859,16.77899932861328,1
2882,21.731000900268555,1
2883,21.731000900268555,1
2884,21.731000900268555,1
2885,20.33300018310547,1
2886,16.77899932861328,1
2909,21.731000900268555,1
2910,21.731000900268555,1
2911,21.731000900268555,1
2912,20.33300018310547,1
2913,16.77899932861328,1
2935,17.76799964904785,1
2936,21.731000900268555,1
2937,21.731000900268555,1
2938,21.731000900268555,1
2939,19.704999923706055,1
2940,15.79699993133545,1
2963,20.719999313354492,1
2964,20.719999313354492,1
2965,20.719999313354492,1
2966,17.95599937438965,1
2989,18.368000030517578,1
2990,18.746000289916992,1
2991,18.746000289916992,1
2992,18.746000289916992,1
2993,15.62600040435791,1
3016,18.368000030517578,1
3017,18.746000289916992,1
3018,18.746000289916992,1
3019,18.746000289916992,1
3020,15.62600040435791,1
3042,14.088000297546387,1
3043,18.368000030517578,1
3044,18.368000030517578,1
3045,18.368000030517578,1
3175,18.610000610351562,1
3176,18.610000610351562,1
3177,19.08300018310547,1
3178,19.08300018310547,1
3179,19.08300018310547,1
3201,17.900999069213867,1
3202,18.610000610351562,1
3203,18.610000610351562,1
3204,19.08300018310547,1
3205,19.08300018310547,1
3206,19.08300018310547,1
3228,17.900999069213867,1
3229,18.610000610351562,1
3230,18.610000610351562,1
3231,19.08300018310547,1
3232,19.08300018310547,1
3233,19.08300018310547,1
3449,18.613000869750977,1
3450,18.945999145507812,1
3451,18.945999145507812,1
3452,18.945999145507812,1
3476,20.284000396728516,1
3477,20.33300018310547,1
3478,20.33300018310547,1
3479,20.33300018310547,1
3480,16.77899932861328,1
3503,21.731000900268555,1
3504,21.731000900268555,1
3505,21.731000900268555,1
3506,20.33300018310547,1
3507,18.148000717163086,1
3530,21.731000900268555,1
3531,21.731000900268555,1
3532,21.731000900268555,1
3533,20.33300018310547,1
3534,18.148000717163086,1
3556,17.76799964904785,1
3557,21.731000900268555,1
3558,21.731000900268555,1
3559,21.731000900268555,1
3560,20.1560001373291,1
3561,18.148000717163086,1
3584,20.719999313354492,1
3585,20.719999313354492,1
3586,20.719999313354492,1
3587,18.027000427246094,1
3588,15.0649995803833,1
3610,18.368000030517578,1
3611,18.746000289916992,1
3612,18.746000289916992,1
3613,18.746000289916992,1
3614,16.176000595092773,1
3637,18.368000030517578,1
3638,18.746000289916992,1
3639,18.746000289916992,1
3640,18.746000289916992,1
3641,15.62600040435791,1
3664,18.368000030517578,1
3665,18.368000030517578,1
3666,18.368000030517578,1
3667,17.878000259399414,1
3822,17.900999069213867,1
3849,17.900999069213867,1
4070,18.613000869750977,1
4071,18.945999145507812,1
4072,18.945999145507812,1
4073,18.945999145507812,1
4097,20.284000396728516,1
4098,20.33300018310547,1
4099,20.33300018310547,1
4100,20.33300018310547,1
4101,16.77899932861328,1
4124,21.731000900268555,1
4125,21.731000900268555,1
4126,21.731000900268555,1
4127,20.33300018310547,1
4128,18.148000717163086,1
4150,17.343000411987305,1
4151,21.731000900268555,1
4152,21.731000900268555,1
4153,21.731000900268555,1
4154,20.33300018310547,1
4155,18.148000717163086,1
4177,17.343000411987305,1
4178,21.731000900268555,1
4179,21.731000900268555,1
4180,21.731000900268555,1
4181,20.1560001373291,1
4182,18.148000717163086,1
4205,20.719999313354492,1
4206,20.719999313354492,1
4207,20.719999313354492,1
4208,18.027000427246094,1
4209,15.0649995803833,1
4231,18.368000030517578,1
4232,18.746000289916992,1
4233,18.746000289916992,1
4234,18.746000289916992,1
4235,16.176000595092773,1
4258,18.368000030517578,1
4259,18.746000289916992,1
4260,18.746000289916992,1
4261,18.746000289916992,1
4262,15.62600040435791,1
4285,18.368000030517578,1
4286,18.368000030517578,1
4287,18.368000030517578,1
4288,17.878000259399414,1
4522,19.952999114990234,1
4523,19.952999114990234,1
4524,19.952999114990234,1
4549,19.952999114990234,1
4550,19.952999114990234,1
4551,19.952999114990234,1
4576,19.952999114990234,1
4577,19.952999114990234,1
4578,19.952999114990234,1
4694,17.597999572753906,1
4719,19.951000213623047,1
4720,19.951000213623047,1
4721,19.951000213623047,1
4745,20.06399917602539,1
4746,20.1560001373291,1
4747,20.1560001373291,1
4748,20.1560001373291,1
4749,18.148000717163086,1
4772,20.06399917602539,1
4773,20.1560001373291,1
4774,20.1560001373291,1
4775,20.1560001373291,1
4776,18.148000717163086,1
4799,20.06399917602539,1
4800,20.1560001373291,1
4801,20.1560001373291,1
4802,20.1560001373291,1
4803,18.148000717163086,1
4826,18.98699951171875,1
4827,18.98699951171875,1
4828,18.98699951171875,1
4829,18.027000427246094,1
4830,15.0649995803833,1
4853,17.878000259399414,1
4854,17.878000259399414,1
4855,17.878000259399414,1
4856,16.176000595092773,1
4879,16.617000579833984,1
4880,17.878000259399414,1
4881,17.878000259399414,1
4882,17.878000259399414,1
4906,16.617000579833984,1
4907,17.878000259399414,1
4908,17.878000259399414,1
4909,17.878000259399414,1
5143,19.952999114990234,1
5144,19.952999114990234,1
5145,19.952999114990234,1
5147,17.711000442504883,1
5170,19.952999114990234,1
5171,19.952999114990234,1
5172,19.952999114990234,1
5197,19.952999114990234,1
5198,19.952999114990234,1
5199,19.952999114990234,1
5369,17.159000396728516,1
5395,17.159000396728516,1
5396,17.159000396728516,1
5421,17.159000396728516,1
5422,17.159000396728516,1
5423,17.159000396728516,1
5475,16.617000579833984,1
5500,16.617000579833984,1
5501,16.617000579833984,1
5502,16.617000579833984,1
5527,16.617000579833984,1
5528,16.617000579833984,1
5529,16.617000579833984,1
5764,19.952999114990234,1
5765,19.952999114990234,1
5766,19.952999114990234,1
5767,17.711000442504883,1
5768,17.711000442504883,1
5791,19.952999114990234,1
5792,19.952999114990234,1
5793,19.952999114990234,1
5794,17.711000442504883,1
5795,17.711000442504883,1
5818,19.952999114990234,1
5819,19.952999114990234,1
5820,19.952999114990234,1
5822,17.711000442504883,1
6387,17.711000442504883,1
6388,17.711000442504883,1
6389,17.711000442504883,1
6414,17.711000442504883,1
6415,17.711000442504883,1
6416,17.711000442504883,1
6441,17.711000442504883,1
6442,17.711000442504883,1
6443,17.711000442504883,1
8426,11.831000328063965,1
8453,17.829999923706055,1
8480,17.829999923706055,1
8507,17.829999923706055,1
9047,11.831000328063965,1
9074,17.829999923706055,1
9101,17.829999923706055,1
9128,17.829999923706055,1
9155,12.854999542236328,1
9668,11.831000328063965,1
9695,17.829999923706055,1
9722,17.829999923706055,1
9749,17.829999923706055,1
9776,12.854999542236328,1
10316,14.177000045776367,1
10343,14.177000045776367,1
10370,14.177000045776367,1
10397,12.854999542236328,1
13435,13.656000137329102,1
13436,13.609000205993652,1
13437,13.218000411987305,1
13465,13.656000137329102,1
13466,13.609000205993652,1
13467,13.218000411987305,1
13494,13.656000137329102,1
13495,13.656000137329102,1
13496,13.609000205993652,1
13497,13.218000411987305,1
13526,12.142000198364258,1
13527,11.9399995803833,1
14125,12.958000183105469,1
14126,12.958000183105469,1
14154,15.92300033569336,1
14155,15.92300033569336,1
14156,15.92300033569336,1
14157,14.725000381469727,1
14184,16.656999588012695,1
14185,16.656999588012695,1
14186,15.92300033569336,1
14187,14.725000381469727,1
14214,16.656999588012695,1
14215,16.656999588012695,1
14216,15.92300033569336,1
14217,14.725000381469727,1
14242,15.625,1
14243,16.656999588012695,1
14244,16.656999588012695,1
14245,16.656999588012695,1
14246,15.621999740600586,1
14247,13.968000411987305,1
14277,11.70300006866455,1
14845,14.034000396728516,1
14846,14.034000396728516,1
14847,12.131999969482422,1
14874,16.700000762939453,1
14875,16.700000762939453,1
14876,16.030000686645508,1
14877,14.725000381469727,1
14904,16.700000762939453,1
14905,16.700000762939453,1
14906,16.510000228881836,1
14907,14.725000381469727,1
14934,16.700000762939453,1
14935,16.700000762939453,1
14936,16.697999954223633,1
14937,15.04699993133545,1
14962,15.625,1
14963,16.656999588012695,1
14964,16.697999954223633,1
14965,16.697999954223633,1
14966,16.697999954223633,1
14967,15.04699993133545,1
14997,15.04699993133545,1
15027,13.036999702453613,1
15057,12.708999633789062,1
15087,13.524999618530273,1
15088,12.60099983215332,1
15117,13.524999618530273,1
15118,12.60099983215332,1
15146,13.524999618530273,1
15147,13.524999618530273,1
15148,12.60099983215332,1
15534,12.324999809265137,1
15535,12.753000259399414,1
15536,13.1850004196167,1
15537,13.1850004196167,1
15538,13.1850004196167,1
15564,15.338000297546387,1
15565,15.04699993133545,1
15566,15.04699993133545,1
15567,14.74899959564209,1
15568,13.1850004196167,1
15594,17.01799964904785,1
15595,16.714000701904297,1
15596,16.714000701904297,1
15597,15.430999755859375,1
15598,13.1850004196167,1
15622,17.01799964904785,1
15623,17.01799964904785,1
15624,17.01799964904785,1
15625,17.016000747680664,1
15626,16.714000701904297,1
15627,16.28499984741211,1
15628,13.031000137329102,1
15652,17.01799964904785,1
15653,17.01799964904785,1
15654,17.01799964904785,1
15655,17.016000747680664,1
15656,16.714000701904297,1
15657,16.28499984741211,1
15658,12.944000244140625,1
15682,15.625,1
15683,17.016000747680664,1
15684,17.016000747680664,1
15685,17.016000747680664,1
15686,17.000999450683594,1
15687,16.28499984741211,1
15688,12.944000244140625,1
15713,16.23900032043457,1
15714,17.000999450683594,1
15715,17.000999450683594,1
15716,17.000999450683594,1
15717,16.275999069213867,1
15718,13.774999618530273,1
15746,17.148000717163086,1
15747,17.148000717163086,1
15748,13.774999618530273,1
15777,17.148000717163086,1
15778,13.774999618530273,1
15807,17.148000717163086,1
15808,12.961999893188477,1
15837,15.795000076293945,1
15838,12.961999893188477,1
15866,15.649999618530273,1
15867,15.156999588012695,1
15868,12.60099983215332,1
15894,13.73799991607666,1
15895,13.73799991607666,1
15896,13.73799991607666,1
15897,11.769000053405762,1
15924,12.21399974822998,1
15925,12.21399974822998,1
15926,12.21399974822998,1
16225,14.48900032043457,1
16226,14.48900032043457,1
16227,14.48900032043457,1
16228,13.281000137329102,1
