,scores,cavity
1026,15.866000175476074,1
1027,15.866000175476074,1
1028,15.866000175476074,1
1049,15.831999778747559,1
1050,15.866000175476074,1
1051,15.866000175476074,1
1052,15.866000175476074,1
1073,15.831999778747559,1
1074,15.866000175476074,1
1075,15.866000175476074,1
1076,15.866000175476074,1
1097,15.831999778747559,1
1098,15.831999778747559,1
1099,15.831999778747559,1
1237,11.986000061035156,1
1261,13.538999557495117,1
1262,13.538999557495117,1
1263,13.538999557495117,1
1285,13.538999557495117,1
1286,13.538999557495117,1
1287,13.538999557495117,1
1309,13.538999557495117,1
1310,13.538999557495117,1
1311,13.538999557495117,1
1333,12.86400032043457,1
1334,12.86400032043457,1
1335,12.86400032043457,1
1384,14.41100025177002,1
1385,16.298999786376953,1
1386,16.298999786376953,1
1387,16.298999786376953,1
1408,15.989999771118164,1
1409,16.298999786376953,1
1410,17.073999404907227,1
1411,17.073999404907227,1
1412,17.073999404907227,1
1413,15.015999794006348,1
1432,15.989999771118164,1
1433,18.535999298095703,1
1434,18.535999298095703,1
1435,18.535999298095703,1
1436,17.073999404907227,1
1437,15.015999794006348,1
1456,15.989999771118164,1
1457,18.535999298095703,1
1458,18.535999298095703,1
1459,18.535999298095703,1
1460,17.073999404907227,1
1461,15.015999794006348,1
1480,15.104999542236328,1
1481,18.535999298095703,1
1482,18.535999298095703,1
1483,18.535999298095703,1
1484,16.77400016784668,1
1621,14.675999641418457,1
1622,14.675999641418457,1
1623,14.675999641418457,1
1624,14.079999923706055,1
1645,17.402000427246094,1
1646,17.402000427246094,1
1647,17.402000427246094,1
1648,14.079999923706055,1
1669,17.402000427246094,1
1670,17.402000427246094,1
1671,17.402000427246094,1
1693,17.402000427246094,1
1694,17.402000427246094,1
1695,17.402000427246094,1
1767,16.80299949645996,1
1768,16.80299949645996,1
1769,16.834999084472656,1
1770,17.05299949645996,1
1771,17.05299949645996,1
1772,17.05299949645996,1
1791,16.80299949645996,1
1792,18.142000198364258,1
1793,18.142000198364258,1
1794,18.142000198364258,1
1795,17.56599998474121,1
1796,17.073999404907227,1
1797,15.015999794006348,1
1815,16.80299949645996,1
1816,18.142000198364258,1
1817,18.535999298095703,1
1818,18.535999298095703,1
1819,18.535999298095703,1
1820,17.073999404907227,1
1821,15.015999794006348,1
1840,18.142000198364258,1
1841,18.535999298095703,1
1842,18.535999298095703,1
1843,18.535999298095703,1
1844,17.073999404907227,1
1845,15.015999794006348,1
1864,15.104999542236328,1
1865,18.535999298095703,1
1866,18.535999298095703,1
1867,18.535999298095703,1
1868,16.77400016784668,1
2005,14.675999641418457,1
2029,17.402000427246094,1
2030,17.402000427246094,1
2031,17.402000427246094,1
2053,17.402000427246094,1
2054,17.402000427246094,1
2055,17.402000427246094,1
2077,17.402000427246094,1
2078,17.402000427246094,1
2079,17.402000427246094,1
2131,15.175999641418457,1
2151,16.80299949645996,1
2152,16.80299949645996,1
2153,16.834999084472656,1
2154,17.05299949645996,1
2155,17.05299949645996,1
2156,17.05299949645996,1
2175,16.80299949645996,1
2176,18.142000198364258,1
2177,18.142000198364258,1
2178,18.142000198364258,1
2179,17.56599998474121,1
2180,17.073999404907227,1
2181,15.015999794006348,1
2199,16.80299949645996,1
2200,18.142000198364258,1
2201,18.535999298095703,1
2202,18.535999298095703,1
2203,18.535999298095703,1
2204,17.073999404907227,1
2205,15.015999794006348,1
2224,18.142000198364258,1
2225,18.535999298095703,1
2226,18.535999298095703,1
2227,18.535999298095703,1
2228,17.073999404907227,1
2229,15.015999794006348,1
2249,18.535999298095703,1
2250,18.535999298095703,1
2251,18.535999298095703,1
2252,16.77400016784668,1
2365,13.119999885559082,1
2389,14.675999641418457,1
