,scores,cavity
196,14.652000427246094,1
197,14.652000427246094,1
284,14.652000427246094,1
285,14.652000427246094,1
300,16.83799934387207,1
301,16.83799934387207,1
308,16.83799934387207,1
309,16.83799934387207,1
316,16.83799934387207,1
317,16.83799934387207,1
372,14.652000427246094,1
373,14.652000427246094,1
381,14.652000427246094,1
388,16.83799934387207,1
389,16.83799934387207,1
396,16.83799934387207,1
397,16.83799934387207,1
404,16.83799934387207,1
405,16.83799934387207,1
412,16.04800033569336,1
420,16.04800033569336,1
476,16.83799934387207,1
477,16.83799934387207,1
484,16.83799934387207,1
485,16.83799934387207,1
492,16.83799934387207,1
493,16.83799934387207,1
508,16.04800033569336,1
594,16.04800033569336,1
595,16.04800033569336,1
596,16.04800033569336,1
2284,14.699999809265137,1
2285,14.699999809265137,1
2286,14.699999809265137,1
2310,14.699999809265137,1
2311,14.699999809265137,1
2312,14.699999809265137,1
2336,14.885000228881836,1
2337,16.36199951171875,1
2338,16.36199951171875,1
2360,15.388999938964844,1
2361,14.885000228881836,1
2362,15.75,1
2363,16.36199951171875,1
2386,15.388999938964844,1
2387,15.229999542236328,1
2388,16.53700065612793,1
2389,16.53700065612793,1
2412,15.388999938964844,1
2413,15.229999542236328,1
2414,16.53700065612793,1
2415,16.53700065612793,1
2439,15.229999542236328,1
2440,16.53700065612793,1
2441,16.53700065612793,1
2445,15.190999984741211,1
2466,15.305000305175781,1
2468,16.53700065612793,1
2469,16.53700065612793,1
2470,16.53700065612793,1
2471,15.444000244140625,1
2494,16.53700065612793,1
2495,16.53700065612793,1
2496,16.53700065612793,1
2497,15.444000244140625,1
2520,15.979000091552734,1
2521,15.979000091552734,1
2522,15.979000091552734,1
2523,15.444000244140625,1
2545,15.605999946594238,1
2546,15.979000091552734,1
2547,15.979000091552734,1
2548,15.979000091552734,1
2549,15.164999961853027,1
2571,15.605999946594238,1
2877,14.979999542236328,1
2878,14.979999542236328,1
2879,14.979999542236328,1
2880,14.630999565124512,1
2881,14.756999969482422,1
2882,15.055999755859375,1
