,scores,cavity
1090,11.612000465393066,1
1091,11.612000465393066,1
1114,11.612000465393066,1
1115,11.612000465393066,1
1116,11.612000465393066,1
1139,11.612000465393066,1
1140,11.612000465393066,1
1141,11.612000465393066,1
1415,13.670999526977539,1
1416,13.670999526977539,1
1417,13.670999526977539,1
1439,14.090999603271484,1
1440,14.090999603271484,1
1441,14.090999603271484,1
1442,13.670999526977539,1
1463,13.935999870300293,1
1464,14.090999603271484,1
1465,14.090999603271484,1
1466,14.090999603271484,1
1467,13.670999526977539,1
1488,13.935999870300293,1
1489,14.090999603271484,1
1490,14.090999603271484,1
1491,14.090999603271484,1
1513,13.935999870300293,1
1514,13.935999870300293,1
1515,13.935999870300293,1
1540,12.508999824523926,1
1541,12.508999824523926,1
1542,12.508999824523926,1
1564,11.612000465393066,1
1565,12.508999824523926,1
1566,12.508999824523926,1
1567,12.508999824523926,1
1589,11.612000465393066,1
1590,12.508999824523926,1
1591,12.508999824523926,1
1592,12.508999824523926,1
1865,13.670999526977539,1
1866,13.670999526977539,1
1867,13.670999526977539,1
1889,14.345999717712402,1
1890,14.345999717712402,1
1891,14.345999717712402,1
1892,13.670999526977539,1
1913,14.579999923706055,1
1914,14.579999923706055,1
1915,14.579999923706055,1
1916,14.345999717712402,1
1917,13.670999526977539,1
1938,14.579999923706055,1
1939,14.579999923706055,1
1940,14.579999923706055,1
1941,14.345999717712402,1
1963,14.579999923706055,1
1964,14.579999923706055,1
1965,14.579999923706055,1
1990,12.508999824523926,1
1991,12.508999824523926,1
1992,12.508999824523926,1
2014,11.612000465393066,1
2015,12.508999824523926,1
2016,12.508999824523926,1
2017,12.508999824523926,1
2039,11.612000465393066,1
2040,12.508999824523926,1
2041,12.508999824523926,1
2042,12.508999824523926,1
2065,11.666999816894531,1
2066,11.666999816894531,1
2067,11.666999816894531,1
2315,13.670999526977539,1
2316,13.670999526977539,1
2317,13.670999526977539,1
2339,14.345999717712402,1
2340,14.345999717712402,1
2341,14.345999717712402,1
2342,13.670999526977539,1
2362,13.444000244140625,1
2363,14.579999923706055,1
2364,14.579999923706055,1
2365,14.579999923706055,1
2366,14.345999717712402,1
2367,13.670999526977539,1
2388,14.579999923706055,1
2389,14.579999923706055,1
2390,14.579999923706055,1
2391,14.345999717712402,1
2413,14.579999923706055,1
2414,14.579999923706055,1
2415,14.579999923706055,1
2442,12.508999824523926,1
2465,12.508999824523926,1
2466,12.508999824523926,1
2467,12.508999824523926,1
2490,12.508999824523926,1
2491,12.508999824523926,1
2492,12.508999824523926,1
2515,11.666999816894531,1
2516,11.666999816894531,1
2517,11.666999816894531,1
2789,14.345999717712402,1
2790,14.345999717712402,1
2791,14.345999717712402,1
2813,14.579999923706055,1
2814,14.579999923706055,1
2815,14.579999923706055,1
2816,14.345999717712402,1
2838,14.579999923706055,1
2839,14.579999923706055,1
2840,14.579999923706055,1
2841,14.345999717712402,1
2862,13.444000244140625,1
2863,14.579999923706055,1
2864,14.579999923706055,1
2865,14.579999923706055,1
2940,11.666999816894531,1
2941,11.666999816894531,1
2942,11.666999816894531,1
2965,11.666999816894531,1
2966,11.666999816894531,1
2967,11.666999816894531,1
3312,13.444000244140625,1
3313,13.444000244140625,1
3470,11.927000045776367,1
3471,11.927000045776367,1
3495,11.927000045776367,1
3496,11.927000045776367,1
3520,11.927000045776367,1
3521,11.927000045776367,1
3844,13.993000030517578,1
3845,13.993000030517578,1
3846,13.993000030517578,1
3869,13.993000030517578,1
3870,13.993000030517578,1
3871,13.993000030517578,1
3872,13.468999862670898,1
3894,15.076000213623047,1
3895,15.076000213623047,1
3896,15.076000213623047,1
3897,14.237000465393066,1
3918,15.295000076293945,1
3919,16.659000396728516,1
3920,16.659000396728516,1
3921,16.659000396728516,1
3922,14.237000465393066,1
3943,15.295000076293945,1
3944,16.659000396728516,1
3945,16.659000396728516,1
3946,16.659000396728516,1
3947,14.237000465393066,1
3967,12.845000267028809,1
3968,15.295000076293945,1
3969,16.659000396728516,1
