,scores,cavity
670,16.308000564575195,1
671,16.308000564575195,1
672,16.308000564575195,1
695,16.308000564575195,1
696,16.308000564575195,1
697,16.308000564575195,1
720,16.308000564575195,1
721,16.308000564575195,1
722,16.308000564575195,1
970,16.308000564575195,1
971,16.308000564575195,1
972,16.308000564575195,1
995,16.308000564575195,1
996,16.308000564575195,1
997,16.308000564575195,1
1020,16.308000564575195,1
1021,16.308000564575195,1
1022,16.308000564575195,1
1270,16.308000564575195,1
1271,16.308000564575195,1
1272,16.308000564575195,1
1295,16.308000564575195,1
1296,16.308000564575195,1
1297,16.308000564575195,1
1320,16.308000564575195,1
1321,16.308000564575195,1
1322,16.308000564575195,1
2577,16.065000534057617,1
2578,16.065000534057617,1
2579,16.065000534057617,1
2602,16.065000534057617,1
2603,16.065000534057617,1
2604,16.065000534057617,1
2627,16.065000534057617,1
2628,16.065000534057617,1
2629,16.065000534057617,1
2877,16.065000534057617,1
2878,16.065000534057617,1
2879,16.065000534057617,1
2902,16.065000534057617,1
2903,16.065000534057617,1
2904,16.065000534057617,1
2927,16.065000534057617,1
2928,16.065000534057617,1
2929,16.065000534057617,1
3177,16.065000534057617,1
3178,16.065000534057617,1
3179,16.065000534057617,1
3202,16.065000534057617,1
3203,16.065000534057617,1
3204,16.065000534057617,1
3227,16.065000534057617,1
3228,16.065000534057617,1
3229,16.065000534057617,1
6093,14.295000076293945,1
6094,14.295000076293945,1
6095,14.295000076293945,1
6096,14.13599967956543,1
6134,14.295000076293945,1
6135,14.295000076293945,1
6136,14.295000076293945,1
6175,14.295000076293945,1
6176,14.295000076293945,1
6177,14.295000076293945,1
6833,14.097999572753906,1
6834,14.149999618530273,1
6835,14.149999618530273,1
6836,14.149999618530273,1
6874,14.097999572753906,1
6875,14.149999618530273,1
6876,14.149999618530273,1
6877,14.149999618530273,1
6915,14.097999572753906,1
6916,14.149999618530273,1
6917,14.149999618530273,1
6918,14.149999618530273,1
6957,14.13599967956543,1
6958,14.13599967956543,1
6959,14.13599967956543,1
6995,14.039999961853027,1
6996,14.039999961853027,1
7036,14.295000076293945,1
7037,14.295000076293945,1
7038,14.295000076293945,1
7039,14.13599967956543,1
7075,14.253999710083008,1
7076,14.253999710083008,1
7077,14.295000076293945,1
7078,14.295000076293945,1
7116,14.253999710083008,1
7117,14.253999710083008,1
7118,14.295000076293945,1
7119,14.295000076293945,1
7157,14.253999710083008,1
7158,14.295000076293945,1
7159,14.295000076293945,1
7160,14.295000076293945,1
7161,14.041999816894531,1
7199,14.295000076293945,1
