,scores,cavity
940,15.09000015258789,1
941,15.156000137329102,1
942,15.156000137329102,1
943,15.156000137329102,1
965,15.09000015258789,1
966,15.156000137329102,1
967,15.156000137329102,1
968,15.156000137329102,1
989,15.255000114440918,1
990,15.255000114440918,1
991,15.255000114440918,1
992,15.156000137329102,1
993,15.156000137329102,1
1014,16.176000595092773,1
1015,16.176000595092773,1
1016,16.176000595092773,1
1039,16.632999420166016,1
1040,16.632999420166016,1
1041,16.632999420166016,1
1064,16.632999420166016,1
1065,16.632999420166016,1
1066,16.632999420166016,1
1089,16.632999420166016,1
1090,16.632999420166016,1
1091,16.632999420166016,1
1365,15.09000015258789,1
1366,15.819000244140625,1
1367,16.322999954223633,1
1368,16.322999954223633,1
1369,16.322999954223633,1
1370,15.16100025177002,1
1390,15.09000015258789,1
1391,15.819000244140625,1
1392,16.322999954223633,1
1393,16.322999954223633,1
1394,16.322999954223633,1
1395,15.16100025177002,1
1414,15.255000114440918,1
1415,15.255000114440918,1
1416,15.819000244140625,1
1417,16.322999954223633,1
1418,16.322999954223633,1
1419,16.322999954223633,1
1420,15.16100025177002,1
1438,15.692999839782715,1
1439,17.867000579833984,1
1440,17.867000579833984,1
1441,17.867000579833984,1
1442,17.673999786376953,1
1443,15.184000015258789,1
1463,17.604000091552734,1
1464,19.68600082397461,1
1465,19.95800018310547,1
1466,19.95800018310547,1
1467,19.95800018310547,1
1468,18.08099937438965,1
1488,17.604000091552734,1
1489,19.68600082397461,1
1490,19.95800018310547,1
1491,19.95800018310547,1
1492,19.95800018310547,1
1493,18.08099937438965,1
1513,17.604000091552734,1
1514,19.68600082397461,1
1515,19.95800018310547,1
1516,19.95800018310547,1
1517,19.95800018310547,1
1518,18.08099937438965,1
1539,17.71299934387207,1
1540,19.023000717163086,1
1541,19.023000717163086,1
1542,19.023000717163086,1
1543,16.547000885009766,1
1790,15.09000015258789,1
1791,15.819000244140625,1
1792,16.322999954223633,1
1793,16.322999954223633,1
1794,16.322999954223633,1
1795,15.16100025177002,1
1815,15.09000015258789,1
1816,15.819000244140625,1
1817,19.76099967956543,1
1818,19.76099967956543,1
1819,19.76099967956543,1
1820,17.975000381469727,1
1821,16.20599937438965,1
1839,15.255000114440918,1
1840,15.255000114440918,1
1841,15.819000244140625,1
1842,19.76099967956543,1
1843,19.76099967956543,1
1844,19.76099967956543,1
1845,17.975000381469727,1
1846,16.20599937438965,1
1863,15.692999839782715,1
1864,17.867000579833984,1
1865,18.0049991607666,1
1866,19.347000122070312,1
1867,19.76099967956543,1
1868,19.76099967956543,1
1869,19.76099967956543,1
1870,17.975000381469727,1
1871,16.20599937438965,1
1888,17.604000091552734,1
1889,19.68600082397461,1
1890,22.166000366210938,1
1891,22.166000366210938,1
1892,22.166000366210938,1
1893,21.003999710083008,1
1894,17.7810001373291,1
1895,15.404000282287598,1
1896,15.404000282287598,1
1913,17.604000091552734,1
1914,19.68600082397461,1
1915,22.166000366210938,1
1916,22.166000366210938,1
1917,22.166000366210938,1
1918,21.003999710083008,1
1919,17.7810001373291,1
1920,15.133999824523926,1
1921,15.133999824523926,1
1938,17.604000091552734,1
1939,19.68600082397461,1
1940,22.166000366210938,1
1941,22.166000366210938,1
1942,22.166000366210938,1
1943,21.003999710083008,1
1944,17.7810001373291,1
1964,18.31100082397461,1
1965,21.275999069213867,1
1966,21.275999069213867,1
1967,21.275999069213867,1
1968,19.783000946044922,1
1969,16.41699981689453,1
2216,15.819000244140625,1
2217,16.322999954223633,1
2218,16.322999954223633,1
2219,16.322999954223633,1
2220,15.16100025177002,1
2241,15.819000244140625,1
2242,19.76099967956543,1
2243,19.76099967956543,1
2244,19.76099967956543,1
2245,17.975000381469727,1
2246,16.20599937438965,1
2266,15.819000244140625,1
2267,19.76099967956543,1
2268,19.76099967956543,1
2269,19.76099967956543,1
2270,17.975000381469727,1
2271,16.20599937438965,1
2288,15.692999839782715,1
2289,17.867000579833984,1
2290,18.0049991607666,1
2291,19.347000122070312,1
2292,19.76099967956543,1
2293,19.76099967956543,1
2294,19.76099967956543,1
2295,17.975000381469727,1
2296,16.20599937438965,1
2297,15.354999542236328,1
2313,17.604000091552734,1
2314,19.68600082397461,1
2315,22.166000366210938,1
2316,22.166000366210938,1
2317,22.166000366210938,1
2318,21.885000228881836,1
2319,17.7810001373291,1
2320,16.514999389648438,1
2321,15.833999633789062,1
2322,15.354999542236328,1
2338,17.604000091552734,1
2339,19.68600082397461,1
