,scores,cavity
505,28.68600082397461,1
506,28.68600082397461,1
507,28.68600082397461,1
522,28.68600082397461,1
523,28.68600082397461,1
524,28.68600082397461,1
539,28.68600082397461,1
540,28.68600082397461,1
541,28.68600082397461,1
709,28.68600082397461,1
710,28.68600082397461,1
711,28.68600082397461,1
726,28.68600082397461,1
727,28.68600082397461,1
728,28.68600082397461,1
743,28.68600082397461,1
744,28.68600082397461,1
745,28.68600082397461,1
913,28.68600082397461,1
914,28.68600082397461,1
915,28.68600082397461,1
930,28.68600082397461,1
931,28.68600082397461,1
932,28.68600082397461,1
947,28.68600082397461,1
948,28.68600082397461,1
949,28.68600082397461,1
1109,16.552000045776367,1
1117,57.22800064086914,1
1118,28.61400032043457,1
1119,28.61400032043457,1
1134,57.22800064086914,1
1135,28.61400032043457,1
1136,28.61400032043457,1
1151,57.22800064086914,1
1152,28.61400032043457,1
1153,28.61400032043457,1
1313,16.552000045776367,1
1501,16.243999481201172,1
1502,17.797000885009766,1
1503,17.797000885009766,1
1504,17.797000885009766,1
1505,16.482999801635742,1
1517,16.552000045776367,1
1518,17.93899917602539,1
1519,17.93899917602539,1
1520,17.93899917602539,1
1521,17.797000885009766,1
1522,16.482999801635742,1
1532,16.90999984741211,1
1533,16.90999984741211,1
1535,17.93899917602539,1
1536,17.93899917602539,1
1537,17.93899917602539,1
1538,17.797000885009766,1
1539,16.482999801635742,1
1552,17.93899917602539,1
1553,17.93899917602539,1
1554,17.93899917602539,1
1555,17.246999740600586,1
1674,15.519000053405762,1
1690,15.52400016784668,1
1705,16.243999481201172,1
1706,17.797000885009766,1
1707,17.797000885009766,1
1708,17.797000885009766,1
1709,16.482999801635742,1
1710,16.61199951171875,1
1711,16.61199951171875,1
1712,16.61199951171875,1
1721,16.516000747680664,1
1722,17.93899917602539,1
1723,17.93899917602539,1
1724,17.93899917602539,1
1725,17.797000885009766,1
1726,16.482999801635742,1
1736,16.90999984741211,1
1737,17.5049991607666,1
1738,17.5049991607666,1
1739,17.93899917602539,1
1740,17.93899917602539,1
1741,17.93899917602539,1
1742,17.797000885009766,1
1743,16.482999801635742,1
1755,17.5049991607666,1
1756,17.93899917602539,1
1757,17.93899917602539,1
1758,17.93899917602539,1
1759,17.340999603271484,1
1772,17.5049991607666,1
1773,17.520999908447266,1
1774,17.520999908447266,1
1775,17.520999908447266,1
1878,15.519000053405762,1
1894,15.52400016784668,1
1909,16.243999481201172,1
1910,17.797000885009766,1
1911,17.797000885009766,1
1912,17.797000885009766,1
1913,16.482999801635742,1
1925,16.516000747680664,1
1926,17.93899917602539,1
1927,17.93899917602539,1
1928,17.93899917602539,1
1929,17.797000885009766,1
1930,16.482999801635742,1
1940,16.90999984741211,1
1941,17.5049991607666,1
1942,17.5049991607666,1
1943,17.93899917602539,1
1944,17.93899917602539,1
1945,17.93899917602539,1
1946,17.797000885009766,1
1947,16.482999801635742,1
1960,17.93899917602539,1
1961,17.93899917602539,1
1962,17.93899917602539,1
1963,17.340999603271484,1
1977,17.520999908447266,1
1978,17.520999908447266,1
1979,17.520999908447266,1
1994,17.225000381469727,1
1995,17.225000381469727,1
2082,15.519000053405762,1
2083,15.519000053405762,1
2099,15.519000053405762,1
2115,16.378000259399414,1
2116,16.378000259399414,1
2117,16.378000259399414,1
2129,16.516000747680664,1
2130,16.516000747680664,1
2131,17.340999603271484,1
2132,17.340999603271484,1
2133,17.340999603271484,1
2134,16.378000259399414,1
2135,16.200000762939453,1
2145,17.5049991607666,1
2146,17.5049991607666,1
2147,17.520999908447266,1
2148,17.520999908447266,1
2149,17.520999908447266,1
2150,17.340999603271484,1
2151,16.378000259399414,1
2164,17.520999908447266,1
2165,17.520999908447266,1
2166,17.520999908447266,1
2167,17.340999603271484,1
2181,17.520999908447266,1
2182,17.520999908447266,1
2183,17.520999908447266,1
2198,17.225000381469727,1
2199,17.225000381469727,1
2333,15.628000259399414,1
2334,15.628000259399414,1
2335,16.200000762939453,1
2336,16.200000762939453,1
2337,16.200000762939453,1
2349,16.69099998474121,1
2350,16.69099998474121,1
2351,16.829999923706055,1
2352,16.829999923706055,1
2353,16.829999923706055,1
2354,16.200000762939453,1
2368,17.225000381469727,1
2369,17.225000381469727,1
2370,16.829999923706055,1
2371,16.200000762939453,1
2385,17.225000381469727,1
2386,17.225000381469727,1
2387,16.829999923706055,1
2402,17.225000381469727,1
2403,17.225000381469727,1
2538,15.593000411987305,1
2742,15.593000411987305,1
5208,15.739999771118164,1
5209,15.739999771118164,1
5234,15.739999771118164,1
5235,15.739999771118164,1
5236,15.529000282287598,1
