,scores,cavity
130,14.104999542236328,1
131,14.104999542236328,1
132,14.104999542236328,1
133,11.583999633789062,1
138,14.104999542236328,1
139,14.104999542236328,1
140,14.104999542236328,1
141,11.583999633789062,1
146,14.104999542236328,1
147,14.104999542236328,1
148,14.104999542236328,1
149,11.583999633789062,1
186,14.104999542236328,1
187,14.104999542236328,1
188,14.104999542236328,1
194,14.104999542236328,1
195,14.104999542236328,1
196,14.104999542236328,1
197,11.583999633789062,1
202,14.104999542236328,1
203,14.104999542236328,1
204,14.104999542236328,1
205,11.583999633789062,1
244,14.104999542236328,1
250,14.104999542236328,1
251,14.104999542236328,1
252,14.104999542236328,1
253,11.583999633789062,1
258,14.104999542236328,1
259,14.104999542236328,1
260,14.104999542236328,1
261,11.583999633789062,1
2469,8.72599983215332,1
2474,7.73199987411499,1
2492,8.72599983215332,1
2493,8.72599983215332,1
2494,8.72599983215332,1
2495,8.085000038146973,1
2496,8.085000038146973,1
2497,7.939000129699707,1
2515,8.72599983215332,1
2516,8.72599983215332,1
2517,8.72599983215332,1
2518,7.939000129699707,1
2519,7.939000129699707,1
2520,7.939000129699707,1
2541,7.939000129699707,1
2542,7.939000129699707,1
2543,7.939000129699707,1
2772,8.093999862670898,1
2773,8.093999862670898,1
2774,8.093999862670898,1
2795,8.093999862670898,1
2796,8.093999862670898,1
2797,8.093999862670898,1
2816,8.914999961853027,1
2817,8.914999961853027,1
2818,8.914999961853027,1
2819,8.307999610900879,1
2820,8.137999534606934,1
2839,8.914999961853027,1
2840,8.914999961853027,1
2841,8.914999961853027,1
2842,8.914999961853027,1
2843,8.914999961853027,1
2844,8.914999961853027,1
2862,8.914999961853027,1
2863,8.914999961853027,1
2864,8.914999961853027,1
2865,8.914999961853027,1
2866,8.914999961853027,1
2867,8.914999961853027,1
2886,8.586999893188477,1
2887,8.678000450134277,1
2888,8.914999961853027,1
2889,8.914999961853027,1
2890,8.914999961853027,1
2910,8.678000450134277,1
2911,8.678000450134277,1
2912,8.678000450134277,1
3143,8.166000366210938,1
3144,8.166000366210938,1
3145,8.166000366210938,1
3164,7.835000038146973,1
3165,8.050999641418457,1
3166,8.166000366210938,1
3167,8.166000366210938,1
3168,8.166000366210938,1
3183,10.345999717712402,1
3187,8.859999656677246,1
3188,8.859999656677246,1
3189,8.85099983215332,1
3190,8.166000366210938,1
3191,8.166000366210938,1
3206,10.345999717712402,1
3210,8.859999656677246,1
3211,8.859999656677246,1
3212,8.85099983215332,1
3213,8.050999641418457,1
3214,7.889999866485596,1
3227,10.345999717712402,1
3228,10.345999717712402,1
3229,10.345999717712402,1
3230,9.809000015258789,1
3231,9.246999740600586,1
3232,9.246999740600586,1
3233,9.246999740600586,1
3234,8.859999656677246,1
3235,8.85099983215332,1
3250,8.086999893188477,1
3251,9.809000015258789,1
3252,9.809000015258789,1
3253,9.809000015258789,1
3254,9.246999740600586,1
3255,9.246999740600586,1
3256,9.246999740600586,1
3257,8.859999656677246,1
3258,8.57800006866455,1
3274,9.809000015258789,1
3275,9.809000015258789,1
3276,9.809000015258789,1
3277,9.246999740600586,1
3278,9.246999740600586,1
3279,9.246999740600586,1
3280,8.576000213623047,1
3298,7.973999977111816,1
3299,8.699000358581543,1
3300,8.699000358581543,1
3301,8.699000358581543,1
3302,8.293999671936035,1
3321,7.973999977111816,1
3322,7.973999977111816,1
3323,7.973999977111816,1
3324,7.801000118255615,1
3325,7.742000102996826,1
3531,8.093999862670898,1
3532,8.093999862670898,1
3533,8.093999862670898,1
3554,8.093999862670898,1
3555,8.093999862670898,1
3556,8.093999862670898,1
3575,9.095999717712402,1
3576,9.095999717712402,1
3577,9.095999717712402,1
3578,9.116000175476074,1
3579,9.116000175476074,1
3580,9.116000175476074,1
3598,9.095999717712402,1
3599,11.623000144958496,1
3600,11.623000144958496,1
3601,11.623000144958496,1
3602,11.58899974822998,1
3603,9.116000175476074,1
3604,8.692000389099121,1
3621,9.095999717712402,1
3622,11.623000144958496,1
3623,11.623000144958496,1
3624,11.623000144958496,1
3625,11.58899974822998,1
3626,9.324999809265137,1
3627,9.324999809265137,1
3644,8.16100025177002,1
3645,11.623000144958496,1
3646,11.623000144958496,1
3647,11.623000144958496,1
3648,11.58899974822998,1
3649,9.88700008392334,1
3650,9.88700008392334,1
3651,9.88700008392334,1
3667,7.900000095367432,1
3668,9.630999565124512,1
3669,10.616999626159668,1
3670,10.616999626159668,1
3671,10.616999626159668,1
3672,9.97599983215332,1
3673,9.97599983215332,1
3674,9.88700008392334,1
3691,8.16100025177002,1
3692,10.616999626159668,1
3693,10.616999626159668,1
3694,10.616999626159668,1
3695,9.97599983215332,1
3696,9.97599983215332,1
3697,9.88700008392334,1
3715,10.616999626159668,1
3716,10.616999626159668,1
3717,10.616999626159668,1
3718,9.97599983215332,1
3719,9.97599983215332,1
3720,8.82699966430664,1
3721,7.864999771118164,1
3739,7.724999904632568,1
3740,8.340999603271484,1
3741,8.8100004196167,1
3742,9.081000328063965,1
3743,9.081000328063965,1
3744,9.081000328063965,1
3764,8.687999725341797,1
3765,9.081000328063965,1
3766,9.081000328063965,1
3767,9.081000328063965,1
3787,8.392000198364258,1
3788,9.081000328063965,1
3789,9.081000328063965,1
3790,9.081000328063965,1
3811,8.003000259399414,1
3812,8.003000259399414,1
3813,8.003000259399414,1
3833,7.71999979019165,1
3834,8.003000259399414,1
3835,8.003000259399414,1
3836,8.003000259399414,1
3856,7.71999979019165,1
3857,8.57699966430664,1
3858,8.57699966430664,1
3859,8.57699966430664,1
3870,10.008999824523926,1
3871,10.008999824523926,1
3872,10.008999824523926,1
3873,7.765999794006348,1
3878,8.038000106811523,1
3879,8.470000267028809,1
3880,8.76200008392334,1
3881,8.76200008392334,1
3882,8.76200008392334,1
3883,7.920000076293945,1
3893,10.22599983215332,1
3894,10.22599983215332,1
3895,10.22599983215332,1
3896,9.48799991607666,1
3897,8.982999801635742,1
3898,8.659000396728516,1
3899,9.03600025177002,1
3900,9.03600025177002,1
3901,9.265999794006348,1
3902,9.265999794006348,1
3903,9.265999794006348,1
3904,8.897000312805176,1
3905,8.76200008392334,1
3906,7.920000076293945,1
3916,10.22599983215332,1
3917,10.22599983215332,1
3918,10.22599983215332,1
3923,9.663999557495117,1
3924,9.689000129699707,1
3925,9.689000129699707,1
3926,9.689000129699707,1
3927,9.03499984741211,1
3928,8.76200008392334,1
3929,7.920000076293945,1
3939,10.322999954223633,1
3940,10.345999717712402,1
3941,11.045999526977539,1
3942,11.045999526977539,1
3943,11.045999526977539,1
3946,9.663999557495117,1
3947,9.689000129699707,1
3948,9.689000129699707,1
3949,9.689000129699707,1
3950,9.03499984741211,1
3951,8.36299991607666,1
3962,10.322999954223633,1
3963,10.345999717712402,1
3964,11.045999526977539,1
3965,11.045999526977539,1
3966,11.045999526977539,1
3967,10.545999526977539,1
3968,10.545999526977539,1
3969,10.545999526977539,1
3970,10.420999526977539,1
3971,9.689000129699707,1
3972,9.689000129699707,1
3973,9.03499984741211,1
3974,8.131999969482422,1
3985,10.322999954223633,1
3986,10.345999717712402,1
3987,11.045999526977539,1
3988,11.045999526977539,1
3989,11.045999526977539,1
3990,10.545999526977539,1
3991,10.545999526977539,1
3992,10.545999526977539,1
3993,10.420999526977539,1
3994,9.246999740600586,1
3995,8.989999771118164,1
3996,8.989999771118164,1
3997,7.900000095367432,1
4009,9.96500015258789,1
4010,10.517000198364258,1
4011,10.517000198364258,1
4012,10.517000198364258,1
4013,10.545999526977539,1
4014,10.545999526977539,1
4015,10.545999526977539,1
4016,10.420999526977539,1
4017,9.227999687194824,1
4018,8.989999771118164,1
4019,8.989999771118164,1
4020,7.900000095367432,1
4034,9.809000015258789,1
4035,9.845999717712402,1
4036,9.845999717712402,1
4037,9.845999717712402,1
4038,9.734999656677246,1
4039,9.734999656677246,1
4040,9.156000137329102,1
4041,8.70199966430664,1
4042,7.948999881744385,1
4057,9.12600040435791,1
4058,9.845999717712402,1
4059,9.845999717712402,1
4060,9.845999717712402,1
4061,9.734999656677246,1
4062,9.734999656677246,1
4063,9.156000137329102,1
4064,8.093000411987305,1
4080,7.973999977111816,1
4081,9.38599967956543,1
4082,9.38599967956543,1
4083,9.621000289916992,1
4084,9.621000289916992,1
4085,9.621000289916992,1
4104,8.20199966430664,1
4105,8.47599983215332,1
4106,8.47599983215332,1
4107,8.47599983215332,1
4289,9.210000038146973,1
4290,9.210000038146973,1
4291,9.210000038146973,1
4292,8.093999862670898,1
4310,7.8429999351501465,1
4311,9.397000312805176,1
4312,9.397000312805176,1
4313,9.397000312805176,1
4314,9.210000038146973,1
4315,9.006999969482422,1
4316,8.664999961853027,1
4317,8.520999908447266,1
4332,8.307999610900879,1
4333,9.390999794006348,1
4334,9.718999862670898,1
4335,10.130999565124512,1
4336,10.130999565124512,1
4337,10.130999565124512,1
4338,9.324999809265137,1
4339,9.116000175476074,1
4340,9.006999969482422,1
4341,8.01099967956543,1
4355,8.307999610900879,1
4356,9.390999794006348,1
4357,9.718999862670898,1
4358,11.623000144958496,1
4359,11.623000144958496,1
4360,11.623000144958496,1
4361,11.58899974822998,1
4362,10.940999984741211,1
4363,10.317000389099121,1
4364,9.480999946594238,1
4378,8.307999610900879,1
4379,9.390999794006348,1
4380,9.718999862670898,1
4381,11.623000144958496,1
4382,11.623000144958496,1
4383,11.623000144958496,1
4384,11.58899974822998,1
4385,10.940999984741211,1
4386,10.317000389099121,1
4387,9.654999732971191,1
4388,8.244999885559082,1
4402,7.954999923706055,1
4403,8.519000053405762,1
4404,11.623000144958496,1
4405,11.623000144958496,1
4406,11.623000144958496,1
4407,11.58899974822998,1
4408,11.475000381469727,1
4409,11.475000381469727,1
4410,10.03499984741211,1
4411,8.527000427246094,1
4425,7.954999923706055,1
4426,8.208000183105469,1
4427,9.630999565124512,1
4428,11.623000144958496,1
4429,11.623000144958496,1
4430,11.623000144958496,1
4431,11.475000381469727,1
4432,11.475000381469727,1
4433,10.37399959564209,1
4434,9.586000442504883,1
4448,7.954999923706055,1
4449,8.208000183105469,1
4450,9.319000244140625,1
4451,11.623000144958496,1
4452,11.623000144958496,1
4453,11.623000144958496,1
4454,11.475000381469727,1
4455,11.475000381469727,1
4456,10.37399959564209,1
4457,10.027000427246094,1
4471,8.425999641418457,1
4472,8.425999641418457,1
4473,9.086999893188477,1
4474,11.623000144958496,1
4475,11.623000144958496,1
4476,11.623000144958496,1
4477,10.940999984741211,1
4478,10.605999946594238,1
4479,10.522000312805176,1
4480,10.522000312805176,1
4494,8.425999641418457,1
4495,8.425999641418457,1
4496,9.255999565124512,1
4497,9.630999565124512,1
4498,10.406000137329102,1
4499,10.605999946594238,1
4500,10.605999946594238,1
