,scores,cavity
1036,14.513999938964844,1
1066,14.513999938964844,1
1481,14.845000267028809,1
1482,15.003999710083008,1
1483,15.003999710083008,1
1484,15.003999710083008,1
1498,18.507999420166016,1
1499,18.507999420166016,1
1500,18.507999420166016,1
1514,18.507999420166016,1
1515,18.507999420166016,1
1516,18.507999420166016,1
1530,18.507999420166016,1
1531,18.507999420166016,1
1532,18.507999420166016,1
1546,17.635000228881836,1
1547,17.635000228881836,1
1548,17.635000228881836,1
1961,14.845000267028809,1
1962,15.003999710083008,1
1963,15.003999710083008,1
1964,15.003999710083008,1
1978,18.507999420166016,1
1979,18.507999420166016,1
1980,18.507999420166016,1
1994,18.507999420166016,1
1995,18.507999420166016,1
1996,18.507999420166016,1
2010,18.507999420166016,1
2011,18.507999420166016,1
2012,18.507999420166016,1
2025,14.736000061035156,1
2026,17.635000228881836,1
2027,17.635000228881836,1
2028,17.635000228881836,1
2441,14.845000267028809,1
2442,15.003999710083008,1
2443,15.003999710083008,1
2444,15.003999710083008,1
2457,14.845000267028809,1
2458,18.507999420166016,1
2459,18.507999420166016,1
2460,18.507999420166016,1
2473,14.845000267028809,1
2474,18.507999420166016,1
2475,18.507999420166016,1
2476,18.507999420166016,1
2489,14.810999870300293,1
2490,18.507999420166016,1
2491,18.507999420166016,1
2492,18.507999420166016,1
2505,14.736000061035156,1
2506,17.635000228881836,1
2507,17.635000228881836,1
2508,17.635000228881836,1
2922,14.770999908447266,1
2923,14.770999908447266,1
2924,14.770999908447266,1
2937,14.810999870300293,1
2938,15.96500015258789,1
2939,15.96500015258789,1
2940,15.96500015258789,1
2953,14.810999870300293,1
2954,15.96500015258789,1
2955,15.96500015258789,1
2956,15.96500015258789,1
2969,14.810999870300293,1
2985,14.736000061035156,1
3001,15.494999885559082,1
3016,14.602999687194824,1
3031,14.756999969482422,1
3047,14.756999969482422,1
3063,14.756999969482422,1
3402,14.770999908447266,1
3403,14.770999908447266,1
3404,14.770999908447266,1
3418,14.770999908447266,1
3434,14.770999908447266,1
3481,15.494999885559082,1
3496,18.530000686645508,1
3497,18.530000686645508,1
3498,18.530000686645508,1
3510,16.8439998626709,1
3511,16.8439998626709,1
3512,18.530000686645508,1
3513,18.530000686645508,1
