,scores,cavity
586,15.350000381469727,1
587,15.350000381469727,1
588,15.350000381469727,1
602,15.350000381469727,1
603,15.350000381469727,1
604,15.350000381469727,1
618,15.350000381469727,1
619,15.350000381469727,1
620,15.350000381469727,1
806,11.878999710083008,1
807,14.512999534606934,1
808,14.512999534606934,1
809,14.512999534606934,1
810,13.973999977111816,1
821,11.199999809265137,1
822,14.904000282287598,1
823,15.928999900817871,1
824,15.928999900817871,1
825,15.928999900817871,1
826,14.52299976348877,1
835,18.239999771118164,1
836,20.549999237060547,1
837,13.869999885559082,1
838,14.904000282287598,1
839,15.928999900817871,1
840,15.928999900817871,1
841,15.928999900817871,1
842,15.350000381469727,1
843,15.350000381469727,1
844,15.350000381469727,1
852,20.549999237060547,1
853,13.869999885559082,1
854,14.904000282287598,1
855,15.928999900817871,1
856,15.928999900817871,1
857,15.928999900817871,1
858,15.350000381469727,1
866,17.658000946044922,1
867,18.239999771118164,1
868,20.549999237060547,1
869,13.869999885559082,1
870,14.63599967956543,1
871,14.798999786376953,1
872,14.843999862670898,1
873,14.843999862670898,1
874,15.350000381469727,1
888,14.843999862670898,1
889,14.843999862670898,1
890,14.843999862670898,1
1062,14.378999710083008,1
1063,15.961000442504883,1
1064,15.961000442504883,1
1065,15.961000442504883,1
1066,14.36299991607666,1
1077,12.430000305175781,1
1078,14.904000282287598,1
1079,15.961000442504883,1
1080,15.961000442504883,1
1081,15.961000442504883,1
1082,14.99899959564209,1
1091,18.239999771118164,1
1092,20.549999237060547,1
1093,13.869999885559082,1
1094,15.15999984741211,1
1095,15.961000442504883,1
1096,15.961000442504883,1
1097,15.961000442504883,1
1108,20.549999237060547,1
1109,13.869999885559082,1
1110,15.15999984741211,1
1111,15.928999900817871,1
1112,15.928999900817871,1
1113,15.928999900817871,1
1122,17.658000946044922,1
1123,18.239999771118164,1
1124,20.549999237060547,1
1125,13.869999885559082,1
1126,15.15999984741211,1
1127,15.15999984741211,1
1128,15.15999984741211,1
1143,13.678000450134277,1
1144,14.843999862670898,1
1145,14.843999862670898,1
1318,14.861000061035156,1
1319,16.268999099731445,1
1320,16.268999099731445,1
1321,16.268999099731445,1
1322,14.36299991607666,1
1333,12.430000305175781,1
1334,14.904000282287598,1
1335,16.268999099731445,1
1336,16.268999099731445,1
1337,16.268999099731445,1
1338,14.99899959564209,1
1349,13.869999885559082,1
1350,15.15999984741211,1
1351,16.268999099731445,1
1352,16.268999099731445,1
1353,16.268999099731445,1
1365,13.869999885559082,1
1366,15.15999984741211,1
1367,15.928999900817871,1
1368,15.928999900817871,1
1369,15.928999900817871,1
1381,13.869999885559082,1
1382,15.15999984741211,1
1383,15.15999984741211,1
1384,15.15999984741211,1
1400,14.843999862670898,1
1401,14.843999862670898,1
1574,14.861000061035156,1
1575,16.268999099731445,1
1576,16.268999099731445,1
1577,16.268999099731445,1
1578,14.36299991607666,1
1591,16.268999099731445,1
1592,16.268999099731445,1
1593,16.268999099731445,1
1594,14.99899959564209,1
1607,16.268999099731445,1
1608,16.268999099731445,1
1609,16.268999099731445,1
1620,13.392000198364258,1
1635,13.392000198364258,1
1636,13.392000198364258,1
1638,15.15999984741211,1
1651,13.392000198364258,1
1652,13.392000198364258,1
1830,14.861000061035156,1
1831,16.268999099731445,1
1832,16.268999099731445,1
1833,16.268999099731445,1
1847,16.268999099731445,1
1848,16.268999099731445,1
1849,16.268999099731445,1
1863,16.268999099731445,1
1864,16.268999099731445,1
1865,16.268999099731445,1
1875,13.392000198364258,1
1876,13.392000198364258,1
1890,11.875,1
1891,13.392000198364258,1
1892,13.392000198364258,1
1906,11.875,1
1907,13.392000198364258,1
1908,13.392000198364258,1
1975,15.17199993133545,1
1991,15.17199993133545,1
2231,15.17199993133545,1
2233,16.735000610351562,1
2234,16.735000610351562,1
2235,16.735000610351562,1
2236,16.479999542236328,1
2247,15.17199993133545,1
2249,16.735000610351562,1
2250,16.735000610351562,1
2251,16.735000610351562,1
2252,16.479999542236328,1
2265,16.735000610351562,1
2266,16.735000610351562,1
2267,16.735000610351562,1
2268,16.479999542236328,1
2487,15.17199993133545,1
2489,17.049999237060547,1
2490,17.049999237060547,1
2491,17.049999237060547,1
2492,16.479999542236328,1
2493,15.24899959564209,1
2503,15.17199993133545,1
2505,17.049999237060547,1
2506,17.049999237060547,1
2507,17.049999237060547,1
2508,16.479999542236328,1
2509,15.24899959564209,1
2521,17.049999237060547,1
2522,17.049999237060547,1
2523,17.049999237060547,1
2524,16.479999542236328,1
2525,15.24899959564209,1
2745,17.049999237060547,1
2746,17.049999237060547,1
2747,17.049999237060547,1
2748,16.479999542236328,1
2749,15.24899959564209,1
2760,15.053999900817871,1
2761,17.049999237060547,1
2762,17.049999237060547,1
2763,17.049999237060547,1
2764,16.479999542236328,1
2765,15.24899959564209,1
2777,17.049999237060547,1
2778,17.049999237060547,1
2779,17.049999237060547,1
2780,16.479999542236328,1
2781,15.24899959564209,1
2984,15.053999900817871,1
2985,15.053999900817871,1
2986,15.053999900817871,1
2988,13.128999710083008,1
3000,15.053999900817871,1
3001,17.049999237060547,1
3002,17.049999237060547,1
3003,17.049999237060547,1
3004,15.920000076293945,1
3005,15.24899959564209,1
3016,15.053999900817871,1
3017,17.049999237060547,1
3018,17.049999237060547,1
3019,17.049999237060547,1
3020,15.920000076293945,1
3021,15.24899959564209,1
3033,17.049999237060547,1
3034,17.049999237060547,1
3035,17.049999237060547,1
3036,15.920000076293945,1
3037,15.24899959564209,1
3257,17.038000106811523,1
3258,17.038000106811523,1
3259,17.038000106811523,1
3260,15.920000076293945,1
3273,17.038000106811523,1
3274,17.038000106811523,1
3275,17.038000106811523,1
3276,15.920000076293945,1
3289,17.038000106811523,1
3290,17.038000106811523,1
3291,17.038000106811523,1
3292,15.920000076293945,1
5709,5.441999912261963,1
5710,5.441999912261963,1
5711,5.441999912261963,1
5739,5.441999912261963,1
5740,5.441999912261963,1
5741,5.441999912261963,1
5769,5.441999912261963,1
5770,5.441999912261963,1
5771,5.441999912261963,1
5870,5.249000072479248,1
5871,5.249000072479248,1
5872,5.249000072479248,1
5900,5.249000072479248,1
5901,5.249000072479248,1
5902,5.249000072479248,1
5930,5.249000072479248,1
5931,5.249000072479248,1
5932,5.249000072479248,1
5960,5.249000072479248,1
5961,5.249000072479248,1
5962,5.249000072479248,1
5990,5.249000072479248,1
5991,5.249000072479248,1
5992,5.249000072479248,1
6020,5.249000072479248,1
6021,5.249000072479248,1
6022,5.249000072479248,1
6454,5.989999771118164,1
6455,5.989999771118164,1
6456,5.989999771118164,1
6457,6.15500020980835,1
6458,6.15500020980835,1
6459,6.15500020980835,1
6484,5.989999771118164,1
6485,5.989999771118164,1
6486,5.989999771118164,1
6487,6.15500020980835,1
6488,6.15500020980835,1
6489,6.15500020980835,1
6514,5.989999771118164,1
6515,5.989999771118164,1
6516,5.989999771118164,1
6517,6.5269999504089355,1
6518,6.5269999504089355,1
6519,6.5269999504089355,1
6546,6.361999988555908,1
6547,6.5269999504089355,1
6548,6.5269999504089355,1
6549,8.243000030517578,1
6550,8.243000030517578,1
6551,8.243000030517578,1
6552,5.986999988555908,1
6576,6.361999988555908,1
6577,6.5269999504089355,1
6578,6.5269999504089355,1
6579,8.243000030517578,1
6580,8.243000030517578,1
6581,8.243000030517578,1
6582,5.986999988555908,1
6606,6.361999988555908,1
6607,6.361999988555908,1
6608,6.361999988555908,1
6609,8.243000030517578,1
6610,8.243000030517578,1
6611,8.243000030517578,1
6612,5.986999988555908,1
6652,5.229000091552734,1
6653,5.229000091552734,1
6654,5.229000091552734,1
6682,5.229000091552734,1
6683,5.229000091552734,1
6684,5.229000091552734,1
6710,5.249000072479248,1
6711,5.249000072479248,1
6712,5.249000072479248,1
6713,5.229000091552734,1
6714,5.229000091552734,1
6738,5.3480000495910645,1
6739,6.609000205993652,1
6740,6.609000205993652,1
6741,6.609000205993652,1
6742,5.959000110626221,1
6743,5.515999794006348,1
6768,7.390999794006348,1
6769,9.552000045776367,1
6770,9.552000045776367,1
6771,9.552000045776367,1
6772,6.6020002365112305,1
6773,5.515999794006348,1
6798,7.390999794006348,1
6799,9.552000045776367,1
6800,9.552000045776367,1
6801,9.552000045776367,1
6802,6.6020002365112305,1
6803,6.340000152587891,1
6828,7.390999794006348,1
6829,9.552000045776367,1
6830,9.552000045776367,1
6831,9.552000045776367,1
6832,6.6020002365112305,1
6833,6.340000152587891,1
6858,6.6479997634887695,1
6859,7.698999881744385,1
6860,7.698999881744385,1
6861,7.698999881744385,1
6862,6.340000152587891,1
6863,6.340000152587891,1
6890,5.959000110626221,1
6891,5.959000110626221,1
6892,5.959000110626221,1
7265,6.488999843597412,1
7266,7.145999908447266,1
7267,7.145999908447266,1
7268,7.145999908447266,1
7269,6.409999847412109,1
7294,5.989999771118164,1
7295,6.488999843597412,1
7296,7.145999908447266,1
7297,9.008000373840332,1
7298,9.008000373840332,1
7299,9.008000373840332,1
7300,6.35699987411499,1
7324,5.989999771118164,1
7325,9.699999809265137,1
7326,10.70199966430664,1
7327,11.61400032043457,1
7328,11.61400032043457,1
7329,11.61400032043457,1
7330,10.494999885559082,1
7331,7.248000144958496,1
7354,9.77400016784668,1
7355,11.585000038146973,1
7356,12.067000389099121,1
7357,12.067000389099121,1
7358,12.067000389099121,1
7359,11.61400032043457,1
7360,10.494999885559082,1
7361,9.053999900817871,1
7362,7.181000232696533,1
7384,9.77400016784668,1
7385,11.585000038146973,1
7386,12.067000389099121,1
7387,12.067000389099121,1
7388,12.067000389099121,1
7389,11.61400032043457,1
7390,10.494999885559082,1
7391,9.053999900817871,1
7392,7.181000232696533,1
7414,9.77400016784668,1
7415,11.585000038146973,1
7416,12.067000389099121,1
7417,12.067000389099121,1
7418,12.067000389099121,1
7419,11.112000465393066,1
7422,7.181000232696533,1
7444,9.678999900817871,1
7445,11.0600004196167,1
7446,11.0600004196167,1
7447,11.0600004196167,1
7448,8.765000343322754,1
7452,5.986999988555908,1
7461,5.980000019073486,1
7462,5.980000019073486,1
7463,5.980000019073486,1
7474,6.507999897003174,1
7475,8.175000190734863,1
7476,8.175000190734863,1
7477,8.765000343322754,1
7478,8.765000343322754,1
7482,5.968999862670898,1
7489,5.322000026702881,1
7490,5.515999794006348,1
7491,6.303999900817871,1
7492,6.303999900817871,1
7493,6.303999900817871,1
7494,5.8480000495910645,1
7505,5.671000003814697,1
7506,7.054999828338623,1
7507,7.054999828338623,1
7508,7.054999828338623,1
7509,6.986000061035156,1
7510,6.6529998779296875,1
7511,5.556000232696533,1
7518,5.710000038146973,1
7519,6.3420000076293945,1
7520,6.548999786376953,1
7521,6.942999839782715,1
7522,6.942999839782715,1
7523,6.942999839782715,1
7524,6.818999767303467,1
7525,5.980000019073486,1
7536,7.054999828338623,1
7537,7.054999828338623,1
7538,7.054999828338623,1
7539,6.986000061035156,1
7540,6.6529998779296875,1
7548,6.3460001945495605,1
7549,7.651000022888184,1
7550,7.651000022888184,1
7551,7.651000022888184,1
7552,7.2270002365112305,1
