,scores,cavity
855,12.435999870300293,1
876,12.435999870300293,1
896,14.074000358581543,1
897,14.074000358581543,1
917,14.074000358581543,1
918,14.074000358581543,1
937,14.074000358581543,1
938,14.074000358581543,1
939,14.074000358581543,1
992,15.388999938964844,1
1012,15.388999938964844,1
1013,15.388999938964844,1
1032,15.388999938964844,1
1033,15.388999938964844,1
1034,15.388999938964844,1
1254,12.435999870300293,1
1275,12.435999870300293,1
1295,14.074000358581543,1
1296,14.074000358581543,1
1316,14.074000358581543,1
1317,14.074000358581543,1
1336,14.074000358581543,1
1337,14.074000358581543,1
1338,14.074000358581543,1
1389,15.388999938964844,1
1390,15.388999938964844,1
1391,15.388999938964844,1
1409,13.817000389099121,1
1410,15.388999938964844,1
1411,15.388999938964844,1
1412,15.388999938964844,1
1431,15.388999938964844,1
1432,15.388999938964844,1
1433,15.388999938964844,1
1484,11.336999893188477,1
1485,11.336999893188477,1
1505,11.336999893188477,1
1506,11.336999893188477,1
1507,11.336999893188477,1
1526,11.230999946594238,1
1527,11.230999946594238,1
1528,11.230999946594238,1
1544,9.930000305175781,1
1545,9.930000305175781,1
1546,9.930000305175781,1
1653,12.435999870300293,1
1674,12.435999870300293,1
1694,14.074000358581543,1
1695,14.074000358581543,1
1715,14.074000358581543,1
1716,14.074000358581543,1
1734,12.331999778747559,1
1735,14.074000358581543,1
1736,14.074000358581543,1
1737,14.074000358581543,1
1788,15.388999938964844,1
1789,15.388999938964844,1
1790,15.388999938964844,1
1808,13.817000389099121,1
1809,15.388999938964844,1
1810,15.388999938964844,1
1811,15.388999938964844,1
1822,18.945999145507812,1
1823,18.945999145507812,1
1824,18.945999145507812,1
1830,15.388999938964844,1
1831,15.388999938964844,1
1832,15.388999938964844,1
1861,14.654000282287598,1
1862,14.654000282287598,1
1863,14.654000282287598,1
1864,13.255000114440918,1
1865,12.39900016784668,1
1882,14.654000282287598,1
1883,14.654000282287598,1
1884,14.654000282287598,1
1885,13.255000114440918,1
1886,12.39900016784668,1
1903,14.654000282287598,1
1904,14.654000282287598,1
1905,14.654000282287598,1
1906,13.255000114440918,1
1907,12.39900016784668,1
