,scores,cavity
1038,16.542999267578125,1
1039,16.542999267578125,1
1040,16.542999267578125,1
1041,16.340999603271484,1
1454,16.542999267578125,1
1455,16.340999603271484,1
1476,16.542999267578125,1
1477,16.542999267578125,1
1478,16.340999603271484,1
1479,14.800000190734863,1
1480,14.800000190734863,1
1498,16.542999267578125,1
1499,16.542999267578125,1
1500,16.542999267578125,1
1501,16.340999603271484,1
1891,15.826000213623047,1
1892,15.826000213623047,1
1893,15.70300006866455,1
1912,16.542999267578125,1
1913,16.542999267578125,1
1914,16.542999267578125,1
1915,16.340999603271484,1
1916,15.70300006866455,1
1917,15.206000328063965,1
1935,16.542999267578125,1
1936,16.542999267578125,1
1937,16.542999267578125,1
1938,16.340999603271484,1
1939,14.800000190734863,1
1940,14.800000190734863,1
1958,16.542999267578125,1
1959,16.542999267578125,1
1960,16.542999267578125,1
1961,16.340999603271484,1
1983,15.10200023651123,1
1984,14.755999565124512,1
2098,16.124000549316406,1
2099,16.124000549316406,1
2100,16.124000549316406,1
2121,16.124000549316406,1
2122,16.124000549316406,1
2123,16.124000549316406,1
2144,16.124000549316406,1
2145,16.124000549316406,1
2146,16.124000549316406,1
2350,15.517999649047852,1
2351,15.27400016784668,1
2352,15.27400016784668,1
2371,15.517999649047852,1
2372,15.517999649047852,1
2373,15.517999649047852,1
2374,15.27400016784668,1
2375,15.27400016784668,1
2396,15.467000007629395,1
2419,15.467000007629395,1
2420,15.10200023651123,1
2442,15.467000007629395,1
2443,15.10200023651123,1
2465,15.10200023651123,1
2466,15.10200023651123,1
2558,16.124000549316406,1
2559,16.124000549316406,1
2560,16.124000549316406,1
2581,16.124000549316406,1
2582,16.124000549316406,1
2583,16.124000549316406,1
2604,16.124000549316406,1
2605,16.124000549316406,1
2606,16.124000549316406,1
4964,15.380999565124512,1
4987,15.380999565124512,1
5010,15.380999565124512,1
5424,15.380999565124512,1
5447,15.380999565124512,1
5470,15.380999565124512,1
5884,15.380999565124512,1
5907,15.380999565124512,1
5930,15.380999565124512,1
9413,14.890000343322754,1
9414,14.890000343322754,1
9415,14.890000343322754,1
9445,14.890000343322754,1
9446,14.890000343322754,1
9447,14.890000343322754,1
9448,14.482000350952148,1
9449,14.482000350952148,1
9477,14.890000343322754,1
9478,14.890000343322754,1
9479,14.890000343322754,1
9480,14.482000350952148,1
9481,14.482000350952148,1
9511,14.482000350952148,1
9512,14.482000350952148,1
9513,14.482000350952148,1
10308,14.961999893188477,1
10309,14.961999893188477,1
10310,14.961999893188477,1
10340,15.409000396728516,1
10341,15.409000396728516,1
10342,15.76200008392334,1
10343,15.76200008392334,1
10344,15.76200008392334,1
10372,15.409000396728516,1
10373,15.409000396728516,1
10374,15.76200008392334,1
10375,15.76200008392334,1
10376,15.76200008392334,1
10377,14.6899995803833,1
10404,15.409000396728516,1
10405,15.409000396728516,1
10406,15.76200008392334,1
10407,15.76200008392334,1
10408,15.76200008392334,1
10409,14.6899995803833,1
10438,15.704000473022461,1
10439,15.704000473022461,1
10440,15.704000473022461,1
10441,14.6899995803833,1
10442,14.6899995803833,1
10470,14.493000030517578,1
10471,14.493000030517578,1
10472,14.493000030517578,1
11075,14.852999687194824,1
11076,14.852999687194824,1
11077,14.852999687194824,1
11107,14.897000312805176,1
11108,14.897000312805176,1
11109,14.897000312805176,1
11139,14.897000312805176,1
11140,14.897000312805176,1
11141,14.897000312805176,1
11171,14.897000312805176,1
11172,14.897000312805176,1
11173,14.897000312805176,1
11236,15.76200008392334,1
11237,15.76200008392334,1
11238,15.76200008392334,1
11268,15.76200008392334,1
11269,15.907999992370605,1
11270,15.907999992370605,1
11271,15.907999992370605,1
11272,15.76200008392334,1
11273,15.76200008392334,1
11274,15.76200008392334,1
11300,16.06399917602539,1
11301,16.06399917602539,1
11302,16.06399917602539,1
11303,15.907999992370605,1
11304,15.76200008392334,1
11305,15.76200008392334,1
11306,15.76200008392334,1
11332,16.06399917602539,1
11333,16.06399917602539,1
11334,16.06399917602539,1
11335,15.907999992370605,1
11336,15.76200008392334,1
11337,15.76200008392334,1
11338,15.76200008392334,1
11364,16.06399917602539,1
11365,16.06399917602539,1
11366,16.06399917602539,1
11367,15.901000022888184,1
11368,15.704000473022461,1
11369,15.704000473022461,1
11370,15.704000473022461,1
11371,15.704000473022461,1
11398,14.729999542236328,1
11399,14.729999542236328,1
11400,15.5,1
11401,15.5,1
11402,15.5,1
11432,15.5,1
11433,15.5,1
11434,15.5,1
11971,14.954999923706055,1
11972,14.954999923706055,1
11973,14.954999923706055,1
12003,16.26300048828125,1
12004,16.26300048828125,1
12005,16.26300048828125,1
12006,14.621000289916992,1
12035,16.26300048828125,1
12036,16.26300048828125,1
12037,16.26300048828125,1
12038,15.473999977111816,1
12066,15.144000053405762,1
12067,16.26300048828125,1
12068,16.26300048828125,1
12069,16.26300048828125,1
12070,15.473999977111816,1
12098,15.406000137329102,1
12099,16.316999435424805,1
12100,16.316999435424805,1
12101,16.316999435424805,1
12102,15.473999977111816,1
12103,14.496999740600586,1
12131,16.898000717163086,1
12132,16.898000717163086,1
12133,16.898000717163086,1
12134,16.77899932861328,1
12135,14.496999740600586,1
12165,16.898000717163086,1
12166,16.77899932861328,1
12167,16.643999099731445,1
12168,16.643999099731445,1
12169,16.643999099731445,1
12170,15.61299991607666,1
12171,14.60200023651123,1
12197,16.898000717163086,1
12198,16.77899932861328,1
12199,16.643999099731445,1
12200,16.643999099731445,1
12201,16.643999099731445,1
12202,15.76200008392334,1
12203,15.76200008392334,1
12229,16.493999481201172,1
12230,16.493999481201172,1
12231,16.643999099731445,1
12232,16.643999099731445,1
12233,16.643999099731445,1
12234,15.76200008392334,1
12235,15.76200008392334,1
12261,16.121000289916992,1
12262,16.06399917602539,1
12263,15.907999992370605,1
12264,15.907999992370605,1
12265,15.907999992370605,1
12266,15.76200008392334,1
12267,15.76200008392334,1
12291,16.121000289916992,1
12292,16.121000289916992,1
12293,16.121000289916992,1
12294,16.06399917602539,1
12295,15.901000022888184,1
12296,15.901000022888184,1
12297,15.901000022888184,1
12298,15.704000473022461,1
12299,15.704000473022461,1
12325,15.190999984741211,1
12326,15.190999984741211,1
12327,15.190999984741211,1
12328,15.5,1
12329,15.5,1
12330,15.5,1
12331,14.574999809265137,1
12358,14.51200008392334,1
12359,14.51200008392334,1
12360,15.5,1
12361,15.5,1
12362,15.5,1
12807,15.27400016784668,1
12808,15.27400016784668,1
12809,15.27400016784668,1
12810,14.621999740600586,1
12811,14.621999740600586,1
12838,14.649999618530273,1
12839,15.27400016784668,1
12840,15.27400016784668,1
12841,15.27400016784668,1
12842,14.628999710083008,1
12843,14.621999740600586,1
12867,16.277999877929688,1
12868,16.30500030517578,1
12869,16.30500030517578,1
12870,16.30500030517578,1
12871,15.27400016784668,1
12872,15.27400016784668,1
12873,15.27400016784668,1
12874,14.628999710083008,1
12875,14.621999740600586,1
12898,15.52400016784668,1
12899,16.54800033569336,1
12900,16.54800033569336,1
12901,16.54800033569336,1
12902,16.520000457763672,1
12903,16.222999572753906,1
12904,14.748000144958496,1
12905,14.748000144958496,1
12906,14.628999710083008,1
12930,15.52400016784668,1
12931,16.54800033569336,1
12932,16.54800033569336,1
12933,16.54800033569336,1
12934,16.520000457763672,1
12935,16.47800064086914,1
12936,15.154999732971191,1
12937,14.531999588012695,1
12962,15.798999786376953,1
12963,16.898000717163086,1
12964,16.898000717163086,1
12965,16.898000717163086,1
12966,16.520000457763672,1
12967,16.47800064086914,1
12968,15.154999732971191,1
12994,15.843000411987305,1
12995,17.523000717163086,1
12996,17.523000717163086,1
12997,17.523000717163086,1
12998,16.47800064086914,1
12999,16.47800064086914,1
13000,15.154999732971191,1
13026,15.843000411987305,1
13027,17.523000717163086,1
13028,17.523000717163086,1
13029,17.523000717163086,1
13030,16.493999481201172,1
13031,16.167999267578125,1
13032,15.371999740600586,1
13033,16.493999481201172,1
13034,16.493999481201172,1
13035,16.493999481201172,1
13059,17.523000717163086,1
13060,17.523000717163086,1
13061,17.523000717163086,1
13062,16.77899932861328,1
13063,16.531999588012695,1
13064,15.944999694824219,1
13065,16.643999099731445,1
13066,16.643999099731445,1
13067,16.643999099731445,1
13093,16.898000717163086,1
13094,16.77899932861328,1
13095,16.643999099731445,1
13096,16.643999099731445,1
13097,16.643999099731445,1
13098,16.643999099731445,1
13099,16.643999099731445,1
13125,16.898000717163086,1
13126,16.77899932861328,1
13127,16.643999099731445,1
13128,16.643999099731445,1
13129,16.643999099731445,1
13130,16.643999099731445,1
13131,16.643999099731445,1
13157,16.898000717163086,1
13158,16.493999481201172,1
13159,16.643999099731445,1
13160,16.643999099731445,1
13161,16.643999099731445,1
13162,15.901000022888184,1
13163,15.76200008392334,1
13164,15.605999946594238,1
13189,16.898000717163086,1
13190,16.06399917602539,1
13191,15.944999694824219,1
13192,15.944999694824219,1
13193,15.907999992370605,1
13194,15.76200008392334,1
13195,15.76200008392334,1
13196,15.605999946594238,1
13220,16.121000289916992,1
13221,16.121000289916992,1
13222,16.06399917602539,1
13223,15.944999694824219,1
13224,15.944999694824219,1
13225,15.901000022888184,1
13226,15.704000473022461,1
13227,15.704000473022461,1
13228,15.605999946594238,1
13253,15.190999984741211,1
13254,15.944999694824219,1
13255,15.944999694824219,1
13256,15.944999694824219,1
13257,15.5,1
13258,15.5,1
13259,15.140999794006348,1
13286,15.944999694824219,1
13287,15.944999694824219,1
13288,15.944999694824219,1
13289,15.5,1
13290,15.5,1
13701,14.9399995803833,1
13702,16.575000762939453,1
13703,16.575000762939453,1
13704,16.575000762939453,1
13705,14.571999549865723,1
13732,15.484999656677246,1
13733,15.946999549865723,1
13734,16.575000762939453,1
13735,16.575000762939453,1
13736,16.575000762939453,1
13737,15.946999549865723,1
13738,15.946999549865723,1
13739,15.388999938964844,1
13740,14.866000175476074,1
13763,14.657999992370605,1
13764,16.575000762939453,1
13765,16.575000762939453,1
13766,16.575000762939453,1
13767,16.575000762939453,1
13768,16.575000762939453,1
13769,16.131000518798828,1
13770,16.131000518798828,1
13771,15.640000343322754,1
13772,15.420999526977539,1
13773,15.420999526977539,1
13774,14.984000205993652,1
13794,14.614999771118164,1
13795,16.277999877929688,1
13796,16.575000762939453,1
13797,16.575000762939453,1
13798,16.575000762939453,1
13799,16.54800033569336,1
13800,16.54800033569336,1
13801,16.433000564575195,1
13802,16.575000762939453,1
13803,16.575000762939453,1
13804,16.575000762939453,1
13805,15.420999526977539,1
13806,14.984000205993652,1
13825,15.932999610900879,1
13826,16.452999114990234,1
13827,16.54800033569336,1
13828,16.575000762939453,1
13829,16.63599967956543,1
13830,16.63599967956543,1
13831,16.63599967956543,1
13832,16.54800033569336,1
13833,16.433000564575195,1
13834,16.575000762939453,1
13835,16.575000762939453,1
13836,16.575000762939453,1
13837,15.420999526977539,1
13838,14.984000205993652,1
13857,15.932999610900879,1
13858,16.46299934387207,1
13859,16.54800033569336,1
13860,16.54800033569336,1
13861,17.523000717163086,1
13862,17.523000717163086,1
13863,17.523000717163086,1
13864,17.523000717163086,1
13865,17.523000717163086,1
13866,17.523000717163086,1
13867,16.575000762939453,1
13868,16.575000762939453,1
13869,14.753000259399414,1
13889,15.932999610900879,1
13890,16.46299934387207,1
13891,16.898000717163086,1
13892,16.898000717163086,1
13893,17.523000717163086,1
13894,17.523000717163086,1
13895,17.523000717163086,1
13896,17.523000717163086,1
13897,17.523000717163086,1
13898,17.523000717163086,1
13899,16.072999954223633,1
13900,16.072999954223633,1
13921,15.217000007629395,1
13922,16.46299934387207,1
13923,17.523000717163086,1
13924,17.523000717163086,1
13925,17.523000717163086,1
13926,17.523000717163086,1
13927,17.523000717163086,1
13928,17.523000717163086,1
13929,17.523000717163086,1
13930,17.523000717163086,1
13931,16.075000762939453,1
13932,14.78600025177002,1
13953,15.85099983215332,1
13954,16.30699920654297,1
13955,17.523000717163086,1
13956,17.523000717163086,1
13957,17.523000717163086,1
13958,16.493999481201172,1
13959,16.493999481201172,1
13960,16.91900062561035,1
13961,16.91900062561035,1
13962,16.91900062561035,1
13963,16.493999481201172,1
13964,14.675000190734863,1
13985,15.85099983215332,1
13987,17.523000717163086,1
13988,17.523000717163086,1
13989,17.523000717163086,1
13990,16.77899932861328,1
13991,16.54800033569336,1
13992,16.54800033569336,1
13993,16.643999099731445,1
13994,16.643999099731445,1
13995,16.643999099731445,1
14017,15.85099983215332,1
14021,16.898000717163086,1
14022,16.77899932861328,1
14023,16.643999099731445,1
14024,16.643999099731445,1
14025,16.643999099731445,1
14026,16.643999099731445,1
14027,16.643999099731445,1
14053,16.898000717163086,1
14054,16.77899932861328,1
14055,16.643999099731445,1
14056,16.643999099731445,1
14057,16.643999099731445,1
14058,16.643999099731445,1
14059,16.643999099731445,1
14060,14.574999809265137,1
14085,16.898000717163086,1
14086,16.493999481201172,1
14087,16.643999099731445,1
14088,16.643999099731445,1
14089,16.643999099731445,1
14090,16.075000762939453,1
14091,15.704000473022461,1
14092,15.605999946594238,1
14117,16.898000717163086,1
14118,16.024999618530273,1
14119,16.024999618530273,1
14120,15.944999694824219,1
14121,15.907999992370605,1
14122,15.605999946594238,1
14123,15.605999946594238,1
14124,15.605999946594238,1
14148,16.121000289916992,1
14149,16.121000289916992,1
14150,15.944999694824219,1
14151,15.944999694824219,1
14152,15.944999694824219,1
14153,15.901000022888184,1
14154,15.605999946594238,1
14155,15.605999946594238,1
14156,15.605999946594238,1
14181,15.190999984741211,1
14182,15.944999694824219,1
14183,15.944999694824219,1
14184,15.944999694824219,1
14185,15.190999984741211,1
14186,15.190999984741211,1
14187,15.140999794006348,1
14213,14.51200008392334,1
14214,15.944999694824219,1
14215,15.944999694824219,1
14216,15.944999694824219,1
14217,15.190999984741211,1
14218,15.190999984741211,1
14246,14.638999938964844,1
14247,14.638999938964844,1
14248,14.638999938964844,1
14565,14.61400032043457,1
14566,14.61400032043457,1
14567,14.61400032043457,1
14586,14.638999938964844,1
14587,14.638999938964844,1
14588,14.638999938964844,1
14596,15.204999923706055,1
14597,15.663000106811523,1
14598,15.663000106811523,1
14599,15.663000106811523,1
14618,14.638999938964844,1
14619,14.638999938964844,1
14620,14.638999938964844,1
14628,15.288000106811523,1
14629,15.791999816894531,1
14630,17.523000717163086,1
14631,17.523000717163086,1
14632,17.523000717163086,1
14633,14.571999549865723,1
14650,14.638999938964844,1
14651,14.638999938964844,1
14652,14.638999938964844,1
14660,15.812999725341797,1
14661,16.30500030517578,1
14662,17.523000717163086,1
14663,17.523000717163086,1
14664,17.523000717163086,1
14665,16.575000762939453,1
14666,16.575000762939453,1
14667,16.575000762939453,1
14668,14.866000175476074,1
14689,14.479000091552734,1
14690,15.456000328063965,1
14691,15.456000328063965,1
14692,17.523000717163086,1
14693,17.523000717163086,1
14694,17.523000717163086,1
14695,17.523000717163086,1
14696,17.523000717163086,1
14697,16.575000762939453,1
14698,16.575000762939453,1
14699,16.575000762939453,1
14700,15.894000053405762,1
14701,15.572999954223633,1
14702,15.572999954223633,1
14720,14.538999557495117,1
14721,15.996000289916992,1
14722,16.475000381469727,1
14723,16.475000381469727,1
14724,17.523000717163086,1
14725,17.523000717163086,1
14726,17.523000717163086,1
14727,16.91900062561035,1
14728,16.63599967956543,1
14729,16.575000762939453,1
14730,17.523000717163086,1
14731,17.523000717163086,1
14732,17.523000717163086,1
14733,16.17300033569336,1
14734,16.17300033569336,1
14735,14.845000267028809,1
14752,14.538999557495117,1
14753,16.30500030517578,1
14754,16.475000381469727,1
14755,16.54800033569336,1
14756,17.523000717163086,1
14757,17.523000717163086,1
14758,17.523000717163086,1
14759,16.91900062561035,1
14760,16.63599967956543,1
14761,16.433000564575195,1
14762,17.523000717163086,1
14763,17.523000717163086,1
14764,17.523000717163086,1
14765,16.17300033569336,1
14766,16.17300033569336,1
14767,14.845000267028809,1
14784,14.538999557495117,1
14785,16.30500030517578,1
14786,16.63599967956543,1
14787,16.63599967956543,1
14788,16.63599967956543,1
