,scores,cavity
27033,6.340000152587891,1
27034,6.340000152587891,1
27035,6.340000152587891,1
27052,6.340000152587891,1
27053,6.340000152587891,1
27054,6.341000080108643,1
27055,7.357999801635742,1
27056,7.357999801635742,1
27057,7.357999801635742,1
27074,7.881999969482422,1
27075,7.881999969482422,1
27076,7.881999969482422,1
27077,7.357999801635742,1
27078,7.357999801635742,1
27079,7.357999801635742,1
27096,7.881999969482422,1
27097,7.881999969482422,1
27098,7.881999969482422,1
27099,7.357999801635742,1
27100,7.357999801635742,1
27101,7.357999801635742,1
27118,7.881999969482422,1
27119,7.881999969482422,1
27120,7.881999969482422,1
27121,6.956999778747559,1
27122,6.956999778747559,1
27123,6.953999996185303,1
27140,6.341000080108643,1
27141,6.341000080108643,1
27142,6.341000080108643,1
27626,6.6529998779296875,1
27627,6.6529998779296875,1
27628,6.6529998779296875,1
27629,6.340000152587891,1
27646,7.357999801635742,1
27647,8.920999526977539,1
27648,8.920999526977539,1
27649,8.920999526977539,1
27650,8.076000213623047,1
27651,7.881999969482422,1
27667,6.956999778747559,1
27668,8.295000076293945,1
27669,8.920999526977539,1
27670,8.920999526977539,1
27671,8.920999526977539,1
27672,8.076000213623047,1
27673,8.076000213623047,1
27674,8.076000213623047,1
27675,6.310999870300293,1
27676,6.310999870300293,1
27689,9.26099967956543,1
27690,9.26099967956543,1
27691,9.26099967956543,1
27692,8.920999526977539,1
27693,8.920999526977539,1
27694,8.076000213623047,1
27695,8.076000213623047,1
27696,8.076000213623047,1
27697,6.550000190734863,1
27698,6.310999870300293,1
27711,9.26099967956543,1
27712,9.26099967956543,1
27713,9.26099967956543,1
27714,8.295000076293945,1
27715,8.008999824523926,1
27716,8.076000213623047,1
27717,8.076000213623047,1
27718,8.076000213623047,1
27719,6.849999904632568,1
27720,6.310999870300293,1
27733,9.26099967956543,1
27734,9.26099967956543,1
27735,9.26099967956543,1
27736,7.881999969482422,1
27737,7.504000186920166,1
27738,7.504000186920166,1
27739,7.504000186920166,1
27740,6.849999904632568,1
27741,6.849999904632568,1
27755,8.295000076293945,1
27756,8.295000076293945,1
27757,8.295000076293945,1
27758,7.881999969482422,1
27759,7.504000186920166,1
27760,7.504000186920166,1
27761,7.504000186920166,1
27762,6.849999904632568,1
27763,6.849999904632568,1
27777,6.63100004196167,1
27778,6.6529998779296875,1
27779,6.6529998779296875,1
27780,6.6529998779296875,1
28220,6.6529998779296875,1
28221,7.0370001792907715,1
28222,7.0370001792907715,1
28223,7.0370001792907715,1
28240,7.458000183105469,1
28241,9.26099967956543,1
28242,9.26099967956543,1
28243,9.26099967956543,1
28244,8.920999526977539,1
28245,8.920999526977539,1
28246,8.920999526977539,1
28247,7.271999835968018,1
28261,8.206999778747559,1
28262,8.295000076293945,1
28263,9.26099967956543,1
28264,9.26099967956543,1
28265,9.26099967956543,1
28266,8.920999526977539,1
28267,8.920999526977539,1
28268,8.920999526977539,1
28269,7.271999835968018,1
28270,7.098999977111816,1
28283,9.26099967956543,1
28284,9.26099967956543,1
28285,9.26099967956543,1
28286,9.26099967956543,1
28287,9.26099967956543,1
28288,8.920999526977539,1
28289,8.920999526977539,1
28290,8.920999526977539,1
28305,9.26099967956543,1
28306,9.26099967956543,1
28307,9.26099967956543,1
28308,8.295000076293945,1
28309,8.0649995803833,1
28310,8.076000213623047,1
28311,8.920999526977539,1
28312,8.920999526977539,1
28313,8.920999526977539,1
28326,8.206999778747559,1
28327,9.26099967956543,1
28328,9.26099967956543,1
28329,9.26099967956543,1
28330,8.076000213623047,1
28331,7.97599983215332,1
28332,8.0649995803833,1
28333,8.920999526977539,1
28334,8.920999526977539,1
28335,8.920999526977539,1
28348,8.206999778747559,1
28349,8.295000076293945,1
28350,9.26099967956543,1
28351,9.26099967956543,1
28352,9.26099967956543,1
28353,8.295000076293945,1
28354,7.836999893188477,1
28355,8.920999526977539,1
28356,8.920999526977539,1
28357,8.920999526977539,1
28370,8.206999778747559,1
28371,8.206999778747559,1
28372,9.26099967956543,1
28373,9.26099967956543,1
28393,6.960999965667725,1
28394,9.26099967956543,1
28401,6.892000198364258,1
28415,6.960999965667725,1
28416,8.206999778747559,1
28423,6.892000198364258,1
28445,6.892000198364258,1
28464,6.494999885559082,1
28465,6.494999885559082,1
28466,6.494999885559082,1
28814,6.7769999504089355,1
28815,7.0370001792907715,1
28816,7.0370001792907715,1
28817,7.0370001792907715,1
28834,7.836999893188477,1
28835,9.26099967956543,1
28836,9.26099967956543,1
28837,9.26099967956543,1
28838,9.26099967956543,1
28839,9.26099967956543,1
28840,9.26099967956543,1
28841,7.479000091552734,1
28855,8.206999778747559,1
28856,8.295000076293945,1
28857,9.26099967956543,1
28858,9.26099967956543,1
28859,9.26099967956543,1
28860,9.26099967956543,1
28861,9.26099967956543,1
28862,9.26099967956543,1
28863,7.881999969482422,1
28864,7.098999977111816,1
28865,6.574999809265137,1
28876,6.281000137329102,1
28877,9.26099967956543,1
28878,9.26099967956543,1
28879,9.26099967956543,1
28880,9.26099967956543,1
28881,9.26099967956543,1
28882,9.26099967956543,1
28883,9.26099967956543,1
28884,9.26099967956543,1
28898,8.230999946594238,1
28899,9.26099967956543,1
28900,9.26099967956543,1
28901,9.26099967956543,1
28902,8.295000076293945,1
28903,8.0649995803833,1
28904,8.295000076293945,1
28905,9.26099967956543,1
28906,9.26099967956543,1
28920,8.230999946594238,1
28921,9.26099967956543,1
28922,9.26099967956543,1
28923,9.26099967956543,1
28924,8.076000213623047,1
28925,7.97599983215332,1
28926,8.295000076293945,1
28927,9.26099967956543,1
28928,9.26099967956543,1
28942,8.230999946594238,1
28944,9.26099967956543,1
28945,9.26099967956543,1
28946,9.26099967956543,1
28947,9.26099967956543,1
28948,9.26099967956543,1
28949,9.26099967956543,1
28950,9.26099967956543,1
28964,8.206999778747559,1
28966,9.26099967956543,1
28971,9.26099967956543,1
28972,8.0649995803833,1
28988,9.26099967956543,1
28995,8.230999946594238,1
28996,8.0649995803833,1
29009,6.960999965667725,1
29010,8.206999778747559,1
29017,8.230999946594238,1
29018,8.0649995803833,1
29032,6.853000164031982,1
29039,8.230999946594238,1
29040,8.0649995803833,1
29058,7.890999794006348,1
29059,7.890999794006348,1
29060,7.890999794006348,1
29061,7.25600004196167,1
29408,6.7769999504089355,1
29409,7.0370001792907715,1
29410,7.0370001792907715,1
29411,7.0370001792907715,1
29412,6.7769999504089355,1
29428,7.836999893188477,1
29429,9.26099967956543,1
29430,9.26099967956543,1
29431,9.26099967956543,1
29432,9.26099967956543,1
29433,9.26099967956543,1
29434,9.26099967956543,1
29435,7.479000091552734,1
29449,8.206999778747559,1
29450,8.230999946594238,1
29451,9.26099967956543,1
29452,9.26099967956543,1
29453,9.26099967956543,1
29454,9.26099967956543,1
29455,9.26099967956543,1
29456,9.26099967956543,1
29457,7.881999969482422,1
29458,7.098999977111816,1
29459,6.574999809265137,1
29470,6.281000137329102,1
29471,8.920999526977539,1
29472,8.920999526977539,1
29473,9.26099967956543,1
29474,9.26099967956543,1
29475,9.26099967956543,1
29476,9.26099967956543,1
29477,9.26099967956543,1
29478,9.26099967956543,1
29492,8.230999946594238,1
29493,8.920999526977539,1
29494,8.920999526977539,1
29495,8.920999526977539,1
29496,8.230999946594238,1
29497,8.0649995803833,1
29498,8.295000076293945,1
29499,9.26099967956543,1
29500,9.26099967956543,1
29515,8.920999526977539,1
29516,8.920999526977539,1
29517,8.920999526977539,1
29518,8.076000213623047,1
29519,7.97599983215332,1
29520,8.295000076293945,1
29521,9.26099967956543,1
29522,9.26099967956543,1
29540,9.26099967956543,1
29541,9.26099967956543,1
29542,9.26099967956543,1
29543,9.26099967956543,1
29544,9.26099967956543,1
29565,9.26099967956543,1
29566,8.0649995803833,1
29589,8.295000076293945,1
29590,8.0649995803833,1
29591,6.960999965667725,1
29610,9.26099967956543,1
29611,8.295000076293945,1
29612,8.0649995803833,1
29613,6.960999965667725,1
29626,6.853000164031982,1
29632,9.26099967956543,1
29633,8.295000076293945,1
29634,8.0649995803833,1
29649,6.696000099182129,1
29650,6.843999862670898,1
29651,7.4070000648498535,1
29652,9.26099967956543,1
29653,9.26099967956543,1
29654,9.26099967956543,1
29655,7.479000091552734,1
30002,6.7769999504089355,1
30003,6.7769999504089355,1
30004,6.7769999504089355,1
30005,6.7769999504089355,1
30006,6.7769999504089355,1
30022,7.836999893188477,1
30023,7.890999794006348,1
30024,8.230999946594238,1
30025,8.230999946594238,1
30026,9.26099967956543,1
30027,9.26099967956543,1
30028,9.26099967956543,1
30029,7.479000091552734,1
30043,8.057000160217285,1
30044,8.230999946594238,1
30045,8.230999946594238,1
30046,8.230999946594238,1
30047,8.230999946594238,1
30048,9.26099967956543,1
30049,9.26099967956543,1
30050,9.26099967956543,1
30051,7.881999969482422,1
30052,6.936999797821045,1
30053,6.574999809265137,1
30064,6.281000137329102,1
30065,8.057000160217285,1
30066,8.230999946594238,1
30067,8.230999946594238,1
30068,8.230999946594238,1
30069,8.230999946594238,1
30070,9.26099967956543,1
30071,9.26099967956543,1
