,scores,cavity
908,13.036999702453613,1
909,13.036999702453613,1
930,13.036999702453613,1
931,13.036999702453613,1
952,13.036999702453613,1
953,14.442999839782715,1
975,14.442999839782715,1
997,14.442999839782715,1
1301,11.17300033569336,1
1302,11.17300033569336,1
1303,11.17300033569336,1
1323,11.17300033569336,1
1324,12.088000297546387,1
1325,12.088000297546387,1
1326,13.036999702453613,1
1327,13.036999702453613,1
1345,11.17300033569336,1
1346,12.088000297546387,1
1347,12.930000305175781,1
1348,13.036999702453613,1
1349,13.036999702453613,1
1368,12.088000297546387,1
1369,14.791000366210938,1
1370,14.791000366210938,1
1371,15.140999794006348,1
1391,14.791000366210938,1
1392,15.03499984741211,1
1393,15.140999794006348,1
1413,14.791000366210938,1
1414,15.03499984741211,1
1415,15.140999794006348,1
1435,12.666000366210938,1
1436,15.03499984741211,1
1437,15.03499984741211,1
1718,9.986000061035156,1
1719,11.17300033569336,1
1720,11.17300033569336,1
1721,11.17300033569336,1
1741,11.17300033569336,1
1742,12.088000297546387,1
1743,12.088000297546387,1
1744,13.036999702453613,1
1745,13.036999702453613,1
1746,13.036999702453613,1
1764,13.074000358581543,1
1765,13.074000358581543,1
1766,13.074000358581543,1
1767,13.036999702453613,1
1768,13.036999702453613,1
1785,11.805999755859375,1
1786,13.074000358581543,1
1787,14.791000366210938,1
1788,14.791000366210938,1
1789,15.140999794006348,1
1807,11.805999755859375,1
1808,13.074000358581543,1
1809,14.791000366210938,1
1810,15.03499984741211,1
1811,15.140999794006348,1
1829,11.805999755859375,1
1830,12.904000282287598,1
1831,14.791000366210938,1
1832,15.03499984741211,1
1833,15.140999794006348,1
1854,15.03499984741211,1
1855,15.03499984741211,1
1953,15.970999717712402,1
1954,15.970999717712402,1
1974,17.69499969482422,1
1975,17.69499969482422,1
1976,17.69499969482422,1
1996,17.69499969482422,1
1997,17.69499969482422,1
1998,17.69499969482422,1
1999,15.020000457763672,1
2018,17.69499969482422,1
2019,17.69499969482422,1
2020,17.69499969482422,1
2021,15.020000457763672,1
2042,15.020000457763672,1
2043,15.020000457763672,1
2136,9.986000061035156,1
2137,11.17300033569336,1
2138,11.17300033569336,1
2139,11.17300033569336,1
2159,11.17300033569336,1
2160,12.088000297546387,1
2161,12.088000297546387,1
2162,12.088000297546387,1
2182,13.074000358581543,1
2183,13.074000358581543,1
2184,13.074000358581543,1
2185,12.930000305175781,1
2203,12.310999870300293,1
2204,13.663000106811523,1
2205,14.791000366210938,1
2206,14.791000366210938,1
2207,15.140999794006348,1
2208,15.479999542236328,1
2209,15.479999542236328,1
2210,15.479999542236328,1
2225,12.310999870300293,1
2226,13.663000106811523,1
2227,15.70300006866455,1
2228,15.70300006866455,1
2229,15.70300006866455,1
2230,15.479999542236328,1
2231,15.479999542236328,1
2247,12.310999870300293,1
2248,13.663000106811523,1
2249,15.70300006866455,1
2250,15.70300006866455,1
2251,15.70300006866455,1
2252,15.479999542236328,1
2270,12.494000434875488,1
2271,15.70300006866455,1
2272,15.70300006866455,1
2273,15.70300006866455,1
2372,15.970999717712402,1
2373,15.458000183105469,1
2392,17.69499969482422,1
2393,17.69499969482422,1
2394,17.69499969482422,1
2395,15.845999717712402,1
2414,17.69499969482422,1
2415,17.69499969482422,1
2416,17.69499969482422,1
2417,15.845999717712402,1
2436,17.69499969482422,1
2437,17.69499969482422,1
2438,17.69499969482422,1
2439,15.845999717712402,1
2460,15.020000457763672,1
2461,15.020000457763672,1
2554,9.986000061035156,1
2555,10.82699966430664,1
2556,10.82699966430664,1
2557,10.82699966430664,1
2579,10.82699966430664,1
2600,13.074000358581543,1
2601,13.074000358581543,1
2602,13.074000358581543,1
2603,12.552000045776367,1
2621,12.310999870300293,1
2622,13.663000106811523,1
2623,14.40999984741211,1
2624,14.40999984741211,1
2625,14.40999984741211,1
2626,14.03499984741211,1
2643,12.310999870300293,1
2644,13.663000106811523,1
2645,15.70300006866455,1
2646,15.70300006866455,1
2647,15.70300006866455,1
2648,14.03499984741211,1
2665,12.310999870300293,1
2666,13.663000106811523,1
2667,15.70300006866455,1
2668,15.70300006866455,1
2669,15.70300006866455,1
2688,12.50100040435791,1
2689,15.70300006866455,1
2690,15.70300006866455,1
2691,15.70300006866455,1
2711,13.654000282287598,1
2712,13.920000076293945,1
2713,13.920000076293945,1
2790,15.970999717712402,1
2791,15.458000183105469,1
2810,17.69499969482422,1
2811,17.69499969482422,1
2812,17.69499969482422,1
2813,15.845999717712402,1
2832,17.69499969482422,1
2833,17.69499969482422,1
2834,17.69499969482422,1
2835,15.845999717712402,1
2854,17.69499969482422,1
2855,17.69499969482422,1
2856,17.69499969482422,1
2857,15.845999717712402,1
2876,14.01099967956543,1
2877,15.020000457763672,1
2878,15.020000457763672,1
2879,15.020000457763672,1
3009,15.727999687194824,1
3010,15.727999687194824,1
3011,15.727999687194824,1
3017,11.585000038146973,1
3018,11.585000038146973,1
3019,11.585000038146973,1
3031,15.727999687194824,1
3032,15.727999687194824,1
3033,15.727999687194824,1
3039,12.310999870300293,1
3040,13.663000106811523,1
3041,13.663000106811523,1
3042,13.663000106811523,1
3043,13.189000129699707,1
3061,12.310999870300293,1
3062,13.663000106811523,1
3063,15.70300006866455,1
3064,15.70300006866455,1
3065,15.70300006866455,1
3066,13.946999549865723,1
3083,12.310999870300293,1
3084,13.663000106811523,1
3085,15.70300006866455,1
3086,15.70300006866455,1
3087,15.70300006866455,1
3088,13.946999549865723,1
3106,12.50100040435791,1
3107,15.70300006866455,1
3108,15.70300006866455,1
3109,15.70300006866455,1
3129,13.654000282287598,1
3130,13.920000076293945,1
3131,13.920000076293945,1
3208,15.458000183105469,1
3209,15.458000183105469,1
3230,15.845999717712402,1
3231,15.845999717712402,1
3251,15.845999717712402,1
3252,15.845999717712402,1
3253,15.845999717712402,1
3273,15.845999717712402,1
3274,15.845999717712402,1
3275,15.845999717712402,1
3457,11.29800033569336,1
3458,11.29800033569336,1
3459,11.29800033569336,1
3479,11.29800033569336,1
3480,12.50100040435791,1
3481,12.994999885559082,1
3482,12.994999885559082,1
3483,12.994999885559082,1
3501,11.29800033569336,1
3502,12.50100040435791,1
3503,13.654000282287598,1
3504,13.920000076293945,1
3505,13.920000076293945,1
3506,13.920000076293945,1
3524,12.50100040435791,1
3525,13.654000282287598,1
3526,13.920000076293945,1
3527,13.920000076293945,1
3547,13.654000282287598,1
3548,13.920000076293945,1
3549,13.920000076293945,1
3875,11.29800033569336,1
3876,11.29800033569336,1
3877,11.29800033569336,1
3897,11.29800033569336,1
3898,11.725000381469727,1
3919,11.29800033569336,1
3920,11.725000381469727,1
3924,11.918000221252441,1
3942,11.725000381469727,1
3966,11.918000221252441,1
6914,9.628000259399414,1
6915,10.184000015258789,1
6916,10.184000015258789,1
6917,10.184000015258789,1
6947,9.628000259399414,1
6948,11.013999938964844,1
6949,11.013999938964844,1
6950,11.013999938964844,1
6979,9.795000076293945,1
6980,12.178999900817871,1
6981,12.76099967956543,1
6982,12.76099967956543,1
6983,12.76099967956543,1
6984,10.319000244140625,1
6985,9.644000053405762,1
7012,9.795000076293945,1
7013,12.178999900817871,1
7014,12.76099967956543,1
7015,12.76099967956543,1
7016,12.76099967956543,1
7017,10.319000244140625,1
7018,9.644000053405762,1
7045,9.795000076293945,1
7046,12.178999900817871,1
7047,12.76099967956543,1
7048,12.76099967956543,1
7049,12.76099967956543,1
7050,10.319000244140625,1
7051,9.644000053405762,1
7079,10.734000205993652,1
7080,10.734000205993652,1
7081,10.734000205993652,1
7082,10.173999786376953,1
7773,10.121999740600586,1
7774,12.843999862670898,1
7775,12.843999862670898,1
7776,12.843999862670898,1
7777,10.149999618530273,1
7805,12.866999626159668,1
7806,14.630000114440918,1
7807,14.630000114440918,1
7808,14.630000114440918,1
7809,13.96500015258789,1
7810,11.54699993133545,1
7811,11.034000396728516,1
7837,14.300999641418457,1
7838,15.871000289916992,1
7839,15.871000289916992,1
7840,15.871000289916992,1
7841,15.182000160217285,1
7842,15.182000160217285,1
7843,14.354999542236328,1
7844,13.12399959564209,1
7845,13.12399959564209,1
7846,10.692000389099121,1
7865,12.666999816894531,1
7866,12.666999816894531,1
7867,12.666999816894531,1
7868,10.800000190734863,1
7869,10.729000091552734,1
7870,14.300999641418457,1
7871,15.871000289916992,1
7872,16.43400001525879,1
7873,16.43400001525879,1
7874,16.43400001525879,1
7875,15.329000473022461,1
7876,15.329000473022461,1
7877,13.732000350952148,1
7878,13.732000350952148,1
7879,11.928999900817871,1
7880,10.819000244140625,1
