,scores,cavity
343,20.040000915527344,1
344,20.040000915527344,1
345,20.040000915527344,1
356,20.040000915527344,1
357,20.040000915527344,1
358,20.040000915527344,1
499,20.040000915527344,1
500,20.040000915527344,1
501,20.040000915527344,1
512,20.040000915527344,1
513,20.040000915527344,1
514,20.040000915527344,1
568,16.336000442504883,1
569,16.336000442504883,1
581,16.336000442504883,1
582,16.336000442504883,1
594,16.336000442504883,1
595,16.336000442504883,1
724,16.336000442504883,1
725,16.336000442504883,1
737,16.336000442504883,1
738,16.336000442504883,1
751,16.336000442504883,1
881,16.336000442504883,1
894,16.336000442504883,1
907,16.336000442504883,1
964,18.349000930786133,1
965,18.349000930786133,1
966,18.349000930786133,1
981,17.30500030517578,1
994,17.30500030517578,1
1120,18.569000244140625,1
1121,18.569000244140625,1
1122,18.569000244140625,1
1134,18.569000244140625,1
1135,18.569000244140625,1
1136,18.02400016784668,1
1137,17.30500030517578,1
1147,18.569000244140625,1
1148,18.569000244140625,1
1150,17.30500030517578,1
1276,18.569000244140625,1
1277,18.569000244140625,1
1278,18.569000244140625,1
1290,18.569000244140625,1
1291,18.569000244140625,1
1292,18.02400016784668,1
1293,17.30500030517578,1
1303,18.569000244140625,1
1304,18.569000244140625,1
1306,17.30500030517578,1
1432,18.569000244140625,1
1433,18.569000244140625,1
1434,18.569000244140625,1
1445,18.569000244140625,1
1446,18.569000244140625,1
1447,18.569000244140625,1
1448,18.02400016784668,1
1449,16.25,1
1458,18.569000244140625,1
1459,18.569000244140625,1
1460,18.569000244140625,1
1461,18.02400016784668,1
3597,12.461999893188477,1
3598,12.461999893188477,1
3599,12.461999893188477,1
3631,13.163999557495117,1
3632,14.232000350952148,1
3633,14.232000350952148,1
3634,14.232000350952148,1
3663,12.640999794006348,1
3664,14.180999755859375,1
3665,14.407999992370605,1
3666,14.407999992370605,1
3667,14.407999992370605,1
3668,14.232000350952148,1
3697,12.640999794006348,1
3698,14.180999755859375,1
3699,16.135000228881836,1
3700,16.135000228881836,1
3701,16.135000228881836,1
3702,14.232000350952148,1
3731,12.640999794006348,1
3732,14.180999755859375,1
3733,16.135000228881836,1
3734,16.135000228881836,1
3735,16.135000228881836,1
3766,13.119000434875488,1
3767,16.135000228881836,1
3768,16.135000228881836,1
3769,16.135000228881836,1
3800,12.175000190734863,1
3801,13.859999656677246,1
3802,13.859999656677246,1
3803,13.859999656677246,1
4275,12.637999534606934,1
4276,14.722000122070312,1
4277,14.722000122070312,1
4278,14.722000122070312,1
4279,12.670000076293945,1
4308,15.055999755859375,1
4309,15.055999755859375,1
