,scores,cavity
259,14.071000099182129,1
260,14.071000099182129,1
261,14.071000099182129,1
262,11.831000328063965,1
273,14.071000099182129,1
274,14.071000099182129,1
275,14.071000099182129,1
276,12.855999946594238,1
277,12.855999946594238,1
287,14.071000099182129,1
288,14.071000099182129,1
289,14.071000099182129,1
290,12.855999946594238,1
291,12.855999946594238,1
301,10.437999725341797,1
302,10.437999725341797,1
303,12.855999946594238,1
304,12.855999946594238,1
305,12.855999946594238,1
370,11.295999526977539,1
371,14.071000099182129,1
372,14.071000099182129,1
373,14.071000099182129,1
384,14.081999778747559,1
385,14.081999778747559,1
386,14.081999778747559,1
387,14.071000099182129,1
388,12.855999946594238,1
389,12.855999946594238,1
398,14.081999778747559,1
399,14.081999778747559,1
400,14.081999778747559,1
401,14.071000099182129,1
402,12.855999946594238,1
403,12.855999946594238,1
412,14.081999778747559,1
413,14.081999778747559,1
414,14.081999778747559,1
415,12.855999946594238,1
416,12.855999946594238,1
417,12.855999946594238,1
482,11.295999526977539,1
483,14.071000099182129,1
484,14.071000099182129,1
485,14.071000099182129,1
496,14.081999778747559,1
497,14.081999778747559,1
498,14.081999778747559,1
499,14.071000099182129,1
500,12.855999946594238,1
501,12.855999946594238,1
510,14.081999778747559,1
511,14.081999778747559,1
512,14.081999778747559,1
513,14.071000099182129,1
514,12.855999946594238,1
515,12.855999946594238,1
524,14.081999778747559,1
525,14.081999778747559,1
526,14.081999778747559,1
527,12.855999946594238,1
528,12.855999946594238,1
529,12.855999946594238,1
594,11.295999526977539,1
595,11.562999725341797,1
596,11.562999725341797,1
605,12.262999534606934,1
606,12.262999534606934,1
608,14.081999778747559,1
609,14.081999778747559,1
610,14.081999778747559,1
611,12.062000274658203,1
612,12.062000274658203,1
618,12.262999534606934,1
619,12.262999534606934,1
620,12.262999534606934,1
622,14.081999778747559,1
623,14.081999778747559,1
624,14.081999778747559,1
625,12.062000274658203,1
626,12.062000274658203,1
627,9.673999786376953,1
632,12.262999534606934,1
633,12.262999534606934,1
634,12.262999534606934,1
636,14.081999778747559,1
637,14.081999778747559,1
638,14.081999778747559,1
639,12.062000274658203,1
640,12.062000274658203,1
641,9.673999786376953,1
702,14.055999755859375,1
703,14.055999755859375,1
704,14.055999755859375,1
717,14.055999755859375,1
718,14.055999755859375,1
719,11.282999992370605,1
730,14.055999755859375,1
731,14.055999755859375,1
732,14.055999755859375,1
744,12.262999534606934,1
745,12.262999534606934,1
746,12.262999534606934,1
814,14.055999755859375,1
815,14.055999755859375,1
816,14.055999755859375,1
829,14.055999755859375,1
830,14.055999755859375,1
831,11.282999992370605,1
842,14.055999755859375,1
843,14.055999755859375,1
844,14.055999755859375,1
856,12.67300033569336,1
857,12.67300033569336,1
858,12.67300033569336,1
926,14.055999755859375,1
927,14.055999755859375,1
928,14.055999755859375,1
940,14.055999755859375,1
941,14.055999755859375,1
942,14.055999755859375,1
943,11.282999992370605,1
954,14.055999755859375,1
955,14.055999755859375,1
956,14.055999755859375,1
957,11.282999992370605,1
968,12.67300033569336,1
969,12.67300033569336,1
970,12.67300033569336,1
971,11.282999992370605,1
1039,12.585000038146973,1
1040,11.758000373840332,1
1054,12.67300033569336,1
1166,12.262999534606934,1
3584,9.824000358581543,1
3616,9.824000358581543,1
4357,10.222000122070312,1
4358,10.222000122070312,1
4389,10.097000122070312,1
4390,10.097000122070312,1
4415,9.600000381469727,1
4416,9.824000358581543,1
4421,10.442999839782715,1
4422,10.097000122070312,1
4447,9.654000282287598,1
4448,9.824000358581543,1
4453,10.442999839782715,1
4454,10.097000122070312,1
4479,9.654000282287598,1
4511,9.654000282287598,1
5027,9.713000297546387,1
5057,9.722999572753906,1
5058,10.336000442504883,1
5089,9.722999572753906,1
5090,11.651000022888184,1
5121,9.722999572753906,1
5122,12.946999549865723,1
5123,12.946999549865723,1
5124,12.946999549865723,1
5127,10.274999618530273,1
5153,10.977999687194824,1
5154,12.946999549865723,1
5155,12.946999549865723,1
5156,12.946999549865723,1
5159,10.324999809265137,1
5184,10.906000137329102,1
5186,12.946999549865723,1
5187,12.946999549865723,1
5188,12.946999549865723,1
5189,11.593999862670898,1
5190,10.442999839782715,1
5191,10.324999809265137,1
5216,10.968999862670898,1
5218,12.52299976348877,1
5219,12.52299976348877,1
5220,12.52299976348877,1
5221,11.354999542236328,1
5222,10.442999839782715,1
5223,10.324999809265137,1
5246,9.824000358581543,1
5247,9.824000358581543,1
5248,10.968999862670898,1
5250,12.52299976348877,1
5251,12.52299976348877,1
5252,12.52299976348877,1
5253,10.442999839782715,1
5254,10.097000122070312,1
5278,10.015999794006348,1
5279,10.692000389099121,1
5280,10.968999862670898,1
5285,10.442999839782715,1
5286,10.097000122070312,1
5310,10.015999794006348,1
5311,10.692000389099121,1
5312,10.692000389099121,1
5342,10.015999794006348,1
5343,10.692000389099121,1
5344,10.692000389099121,1
5402,9.652999877929688,1
5403,9.652999877929688,1
5404,9.652999877929688,1
5434,9.652999877929688,1
5466,9.652999877929688,1
5827,9.739999771118164,1
5828,10.163999557495117,1
5829,10.163999557495117,1
5830,10.163999557495117,1
5858,10.258000373840332,1
5859,11.468000411987305,1
5860,11.468000411987305,1
5861,11.468000411987305,1
5862,10.699000358581543,1
5889,9.722999572753906,1
5890,10.95199966430664,1
5891,11.468000411987305,1
5892,11.468000411987305,1
5893,11.468000411987305,1
5894,11.17199993133545,1
5895,10.458000183105469,1
