,scores,cavity
259,15.699000358581543,1
260,15.699000358581543,1
261,15.699000358581543,1
270,15.699000358581543,1
271,15.699000358581543,1
272,15.699000358581543,1
281,15.699000358581543,1
282,15.699000358581543,1
283,15.699000358581543,1
357,10.060999870300293,1
358,10.060999870300293,1
359,10.060999870300293,1
367,10.644000053405762,1
368,12.47599983215332,1
369,15.699000358581543,1
370,15.699000358581543,1
371,15.699000358581543,1
377,10.586000442504883,1
378,12.753999710083008,1
379,14.414999961853027,1
380,15.699000358581543,1
381,15.699000358581543,1
382,15.699000358581543,1
387,10.972000122070312,1
388,10.972000122070312,1
389,12.753999710083008,1
390,14.414999961853027,1
391,15.699000358581543,1
392,15.699000358581543,1
393,15.699000358581543,1
398,10.972000122070312,1
399,10.972000122070312,1
400,12.753999710083008,1
401,14.414999961853027,1
402,14.414999961853027,1
403,14.414999961853027,1
404,10.180000305175781,1
409,10.972000122070312,1
410,10.972000122070312,1
411,10.972000122070312,1
412,10.039999961853027,1
468,10.060999870300293,1
469,10.060999870300293,1
477,10.644000053405762,1
478,12.47599983215332,1
479,15.699000358581543,1
480,15.699000358581543,1
481,15.699000358581543,1
488,12.753999710083008,1
489,14.414999961853027,1
490,15.699000358581543,1
491,15.699000358581543,1
492,15.699000358581543,1
497,10.972000122070312,1
498,10.972000122070312,1
499,12.753999710083008,1
500,14.414999961853027,1
501,15.699000358581543,1
502,15.699000358581543,1
503,15.699000358581543,1
508,10.972000122070312,1
509,10.972000122070312,1
510,12.753999710083008,1
511,14.414999961853027,1
512,14.414999961853027,1
513,14.414999961853027,1
591,9.998000144958496,1
598,12.753999710083008,1
599,14.414999961853027,1
600,14.414999961853027,1
601,14.414999961853027,1
602,10.180000305175781,1
607,10.972000122070312,1
608,10.972000122070312,1
609,12.753999710083008,1
610,14.414999961853027,1
611,14.414999961853027,1
612,14.414999961853027,1
613,10.180000305175781,1
618,10.972000122070312,1
619,10.972000122070312,1
620,12.753999710083008,1
621,14.414999961853027,1
622,14.414999961853027,1
623,14.414999961853027,1
709,10.656000137329102,1
710,10.656000137329102,1
711,10.656000137329102,1
720,10.656000137329102,1
721,10.656000137329102,1
722,10.656000137329102,1
731,10.656000137329102,1
732,10.656000137329102,1
733,10.656000137329102,1
2429,2.249000072479248,1
2430,2.249000072479248,1
2431,2.249000072479248,1
2432,2.2290000915527344,1
2445,1.659000039100647,1
2446,2.2750000953674316,1
2447,2.2750000953674316,1
2448,2.2750000953674316,1
2449,1.1629999876022339,1
2451,2.8550000190734863,1
2452,3.678999900817871,1
2453,3.678999900817871,1
2454,6.065999984741211,1
2455,8.496000289916992,1
2456,8.496000289916992,1
2457,8.496000289916992,1
2458,7.2129998207092285,1
2459,2.555000066757202,1
2470,1.659000039100647,1
2471,2.2750000953674316,1
2472,2.2750000953674316,1
2473,2.2750000953674316,1
2474,1.74399995803833,1
2476,4.052000045776367,1
2477,4.1519999504089355,1
2478,4.1519999504089355,1
2479,6.065999984741211,1
2480,8.496000289916992,1
2481,8.496000289916992,1
2482,8.496000289916992,1
2483,7.2129998207092285,1
2484,4.586999893188477,1
2498,2.2750000953674316,1
2499,1.7640000581741333,1
2500,1.7640000581741333,1
2501,4.052000045776367,1
2502,4.4720001220703125,1
2503,4.4720001220703125,1
2504,6.065999984741211,1
2505,8.496000289916992,1
2506,8.496000289916992,1
2507,8.496000289916992,1
2508,7.2129998207092285,1
2509,4.586999893188477,1
2524,1.7640000581741333,1
2525,1.7640000581741333,1
2526,4.052000045776367,1
2527,4.4720001220703125,1
2528,4.4720001220703125,1
2529,4.4720001220703125,1
2530,7.191999912261963,1
2531,7.191999912261963,1
2532,7.191999912261963,1
2533,5.982999801635742,1
2534,4.586999893188477,1
2549,1.7640000581741333,1
2550,1.7640000581741333,1
2551,2.5450000762939453,1
2552,4.4720001220703125,1
2553,4.4720001220703125,1
2554,4.4720001220703125,1
2555,4.285999774932861,1
2556,4.47599983215332,1
2557,4.47599983215332,1
2558,4.47599983215332,1
2559,2.4670000076293945,1
2573,1.1540000438690186,1
2574,1.1540000438690186,1
2575,1.1540000438690186,1
2577,3.621000051498413,1
2578,3.621000051498413,1
2579,3.621000051498413,1
2580,3.0290000438690186,1
2581,2.75600004196167,1
2582,2.75600004196167,1
2583,2.75600004196167,1
2584,2.4670000076293945,1
2994,1.2350000143051147,1
2995,1.2350000143051147,1
2996,1.2350000143051147,1
3019,1.840000033378601,1
3020,2.2950000762939453,1
3021,2.2950000762939453,1
3022,2.2950000762939453,1
3028,2.7839999198913574,1
3029,2.7839999198913574,1
3030,2.8340001106262207,1
3031,2.8340001106262207,1
3032,2.8340001106262207,1
3043,1.031000018119812,1
3044,2.3259999752044678,1
3045,2.828000068664551,1
3046,2.828000068664551,1
3047,2.828000068664551,1
3050,1.0230000019073486,1
3051,2.0480000972747803,1
3052,2.9260001182556152,1
3053,6.333000183105469,1
3054,6.415999889373779,1
3055,6.415999889373779,1
3056,6.906000137329102,1
3057,6.906000137329102,1
3058,6.906000137329102,1
3059,2.109999895095825,1
3060,2.109999895095825,1
3068,1.031000018119812,1
3069,2.436000108718872,1
3070,4.526000022888184,1
3071,4.526000022888184,1
3072,4.526000022888184,1
3073,2.2750000953674316,1
3074,1.1629999876022339,1
3075,1.3730000257492065,1
3076,3.188999891281128,1
3077,5.447000026702881,1
3078,6.333000183105469,1
3079,6.415999889373779,1
3083,7.942999839782715,1
3084,4.8480000495910645,1
3085,2.109999895095825,1
3093,1.031000018119812,1
3094,2.436000108718872,1
3095,4.526000022888184,1
3096,4.526000022888184,1
3097,4.526000022888184,1
3098,2.2750000953674316,1
3099,1.9839999675750732,1
3100,4.301000118255615,1
3101,6.308000087738037,1
3102,6.308000087738037,1
3103,6.333000183105469,1
3104,7.209000110626221,1
3108,7.942999839782715,1
3109,6.0289998054504395,1
3110,2.740000009536743,1
3118,1.0230000019073486,1
