,scores,cavity
192,14.138999938964844,1
193,14.138999938964844,1
194,14.138999938964844,1
201,14.138999938964844,1
202,14.138999938964844,1
203,14.138999938964844,1
204,12.590999603271484,1
210,14.138999938964844,1
211,14.138999938964844,1
212,14.138999938964844,1
213,12.590999603271484,1
220,12.590999603271484,1
221,12.590999603271484,1
222,12.590999603271484,1
272,13.484000205993652,1
273,14.138999938964844,1
274,14.138999938964844,1
275,14.138999938964844,1
281,13.484000205993652,1
282,14.138999938964844,1
283,14.138999938964844,1
284,14.138999938964844,1
285,12.590999603271484,1
290,13.484000205993652,1
291,14.138999938964844,1
292,14.138999938964844,1
293,14.138999938964844,1
294,12.590999603271484,1
301,12.590999603271484,1
302,12.590999603271484,1
303,12.590999603271484,1
346,10.270000457763672,1
353,13.484000205993652,1
354,14.138999938964844,1
355,14.138999938964844,1
356,14.138999938964844,1
362,13.484000205993652,1
363,14.138999938964844,1
364,14.138999938964844,1
365,14.138999938964844,1
366,12.590999603271484,1
371,13.484000205993652,1
372,14.138999938964844,1
373,14.138999938964844,1
374,14.138999938964844,1
375,12.590999603271484,1
382,12.590999603271484,1
383,12.590999603271484,1
384,12.590999603271484,1
425,12.071999549865723,1
427,10.270000457763672,1
434,13.484000205993652,1
435,13.621999740600586,1
436,13.621999740600586,1
437,13.621999740600586,1
443,13.484000205993652,1
444,13.621999740600586,1
445,13.621999740600586,1
446,13.621999740600586,1
447,12.003000259399414,1
452,13.484000205993652,1
453,13.621999740600586,1
454,13.621999740600586,1
455,13.621999740600586,1
456,12.003000259399414,1
464,12.423999786376953,1
465,12.003000259399414,1
506,12.071999549865723,1
508,10.270000457763672,1
515,12.835000038146973,1
516,12.835000038146973,1
517,12.835000038146973,1
524,12.835000038146973,1
525,12.835000038146973,1
526,12.835000038146973,1
527,12.423999786376953,1
528,11.262999534606934,1
533,12.835000038146973,1
534,12.835000038146973,1
535,12.835000038146973,1
536,12.423999786376953,1
545,12.423999786376953,1
587,12.071999549865723,1
596,12.071999549865723,1
606,12.423999786376953,1
607,12.423999786376953,1
608,12.423999786376953,1
609,11.262999534606934,1
615,12.423999786376953,1
616,12.423999786376953,1
617,12.423999786376953,1
624,12.423999786376953,1
625,12.423999786376953,1
626,12.423999786376953,1
1836,1.0989999771118164,1
1837,1.277999997138977,1
1838,1.277999997138977,1
1839,1.277999997138977,1
1855,1.0019999742507935,1
1856,1.2869999408721924,1
1857,1.4179999828338623,1
1858,2.234999895095825,1
1859,2.234999895095825,1
1860,2.234999895095825,1
1861,2.128999948501587,1
1862,2.128999948501587,1
1877,1.0019999742507935,1
1878,1.4639999866485596,1
1879,1.4639999866485596,1
1880,2.234999895095825,1
1881,2.234999895095825,1
1882,2.234999895095825,1
1883,2.128999948501587,1
