,scores,cavity
1520,18.299999237060547,1
1521,18.299999237060547,1
1522,18.299999237060547,1
1523,18.231000900268555,1
1542,18.299999237060547,1
1543,18.299999237060547,1
1544,18.299999237060547,1
1545,18.231000900268555,1
1546,16.500999450683594,1
1564,18.299999237060547,1
1565,18.299999237060547,1
1566,18.299999237060547,1
1567,18.231000900268555,1
1568,16.500999450683594,1
1588,16.500999450683594,1
1589,16.500999450683594,1
1590,16.500999450683594,1
2224,17.781999588012695,1
2225,17.781999588012695,1
2226,17.781999588012695,1
2246,18.792999267578125,1
2247,18.792999267578125,1
2248,18.792999267578125,1
2249,18.231000900268555,1
2268,18.792999267578125,1
2269,18.792999267578125,1
2270,18.792999267578125,1
2271,18.231000900268555,1
2272,16.500999450683594,1
2290,18.792999267578125,1
2291,18.792999267578125,1
2292,18.792999267578125,1
2293,18.231000900268555,1
2950,17.781999588012695,1
2951,17.781999588012695,1
2952,17.781999588012695,1
2972,18.792999267578125,1
2973,18.792999267578125,1
2974,18.792999267578125,1
2975,18.231000900268555,1
2994,18.792999267578125,1
2995,18.792999267578125,1
2996,18.792999267578125,1
2997,18.583999633789062,1
2998,16.500999450683594,1
3016,18.792999267578125,1
3017,18.792999267578125,1
3018,18.792999267578125,1
3019,18.583999633789062,1
3039,18.583999633789062,1
3040,18.583999633789062,1
3041,18.583999633789062,1
3676,17.781999588012695,1
3677,17.781999588012695,1
3678,17.781999588012695,1
3698,18.792999267578125,1
3699,18.792999267578125,1
3700,18.792999267578125,1
3701,17.349000930786133,1
3720,18.792999267578125,1
3721,18.792999267578125,1
3722,18.792999267578125,1
3723,18.583999633789062,1
3742,18.792999267578125,1
3743,18.792999267578125,1
3744,18.792999267578125,1
3745,18.583999633789062,1
3765,18.583999633789062,1
3766,18.583999633789062,1
3767,18.583999633789062,1
4425,17.349000930786133,1
4426,17.349000930786133,1
4427,17.349000930786133,1
4446,17.4950008392334,1
4447,18.583999633789062,1
4448,18.583999633789062,1
4449,18.583999633789062,1
4468,17.4950008392334,1
4469,18.583999633789062,1
4470,18.583999633789062,1
4471,18.583999633789062,1
4490,17.4950008392334,1
4491,18.583999633789062,1
4492,18.583999633789062,1
4493,18.583999633789062,1
5151,16.732999801635742,1
5152,16.732999801635742,1
5153,16.732999801635742,1
5173,16.865999221801758,1
5174,16.865999221801758,1
5175,16.865999221801758,1
5195,16.865999221801758,1
5196,16.865999221801758,1
5197,16.865999221801758,1
5217,16.865999221801758,1
5218,16.865999221801758,1
5219,16.865999221801758,1
9279,16.54400062561035,1
9280,16.54400062561035,1
9302,16.54400062561035,1
9324,16.54400062561035,1
9739,16.89699935913086,1
9740,16.89699935913086,1
9741,16.89699935913086,1
9761,18.076000213623047,1
9762,18.076000213623047,1
9763,18.076000213623047,1
9783,18.076000213623047,1
9784,18.076000213623047,1
9785,18.076000213623047,1
9806,18.076000213623047,1
9807,18.076000213623047,1
10005,16.54400062561035,1
10006,16.54400062561035,1
10026,16.844999313354492,1
10027,16.844999313354492,1
10028,16.54400062561035,1
10047,16.844999313354492,1
10048,16.844999313354492,1
10049,16.844999313354492,1
10050,16.54400062561035,1
10069,16.844999313354492,1
10070,16.844999313354492,1
10071,16.844999313354492,1
10092,16.54400062561035,1
10093,16.54400062561035,1
10465,16.91699981689453,1
10466,16.91699981689453,1
10467,16.91699981689453,1
10487,18.076000213623047,1
10488,18.076000213623047,1
10489,18.076000213623047,1
10509,18.076000213623047,1
10510,18.076000213623047,1
10511,18.076000213623047,1
10532,18.076000213623047,1
10533,18.076000213623047,1
10577,17.740999221801758,1
10578,17.740999221801758,1
10579,17.163000106811523,1
10599,17.740999221801758,1
10600,17.740999221801758,1
10601,17.163000106811523,1
10621,17.740999221801758,1
10622,17.740999221801758,1
10623,17.163000106811523,1
10643,16.527999877929688,1
10644,16.527999877929688,1
10731,16.54400062561035,1
10732,16.54400062561035,1
10751,18.64699935913086,1
10752,18.64699935913086,1
10753,18.64699935913086,1
10754,16.54400062561035,1
10773,18.64699935913086,1
10774,18.64699935913086,1
10775,18.64699935913086,1
10776,16.54400062561035,1
10795,18.64699935913086,1
10796,18.64699935913086,1
10797,18.64699935913086,1
10817,17.617000579833984,1
10818,17.617000579833984,1
10819,17.617000579833984,1
11191,16.91699981689453,1
11192,16.91699981689453,1
11193,16.91699981689453,1
11213,18.076000213623047,1
11214,18.076000213623047,1
11215,18.076000213623047,1
11235,18.076000213623047,1
11236,18.076000213623047,1
11237,18.076000213623047,1
11257,18.076000213623047,1
11258,18.076000213623047,1
11259,18.076000213623047,1
11302,17.740999221801758,1
11303,17.740999221801758,1
11304,17.740999221801758,1
11305,17.163000106811523,1
11324,17.740999221801758,1
