,scores,cavity
22418,1.180999994277954,1
22419,1.180999994277954,1
22440,1.180999994277954,1
22441,1.180999994277954,1
22442,1.065999984741211,1
22462,1.687999963760376,1
22463,1.3639999628067017,1
22464,1.065999984741211,1
22484,1.687999963760376,1
22485,1.3639999628067017,1
22486,1.065999984741211,1
22504,1.687999963760376,1
22505,1.687999963760376,1
22506,1.687999963760376,1
22507,1.3639999628067017,1
22993,1.5299999713897705,1
22994,1.215000033378601,1
23012,2.8420000076293945,1
23013,3.246000051498413,1
23014,3.246000051498413,1
23015,3.246000051498413,1
23016,1.7960000038146973,1
23034,3.687000036239624,1
23035,3.687000036239624,1
23036,3.6640000343322754,1
23037,3.6640000343322754,1
23038,2.7009999752044678,1
23056,3.687000036239624,1
23057,3.687000036239624,1
23058,3.6640000343322754,1
23059,3.6640000343322754,1
23060,2.7009999752044678,1
23078,3.687000036239624,1
23079,3.687000036239624,1
23080,3.6640000343322754,1
23081,3.6640000343322754,1
23082,2.7009999752044678,1
23099,3.2950000762939453,1
23100,3.2950000762939453,1
23101,3.2950000762939453,1
23102,2.259000062942505,1
23103,2.1089999675750732,1
23104,1.475000023841858,1
23119,1.6380000114440918,1
23120,3.003000020980835,1
23121,3.0899999141693115,1
23122,3.0899999141693115,1
23123,3.0899999141693115,1
23124,1.9670000076293945,1
23125,1.475000023841858,1
23126,1.475000023841858,1
23143,1.6480000019073486,1
23144,1.6480000019073486,1
23145,1.6480000019073486,1
23543,1.2769999504089355,1
23565,2.941999912261963,1
23606,5.980999946594238,1
23607,6.892000198364258,1
23611,2.24399995803833,1
23628,6.742000102996826,1
23629,6.892000198364258,1
23633,2.549999952316284,1
23649,6.742000102996826,1
23650,6.742000102996826,1
23651,6.892000198364258,1
23655,2.549999952316284,1
23671,6.742000102996826,1
23672,6.742000102996826,1
23673,6.742000102996826,1
23674,6.4770002365112305,1
23675,6.4770002365112305,1
23676,6.178999900817871,1
23677,2.549999952316284,1
23693,5.427000045776367,1
23694,5.427000045776367,1
23695,5.636000156402588,1
23696,6.178999900817871,1
23697,6.178999900817871,1
23698,6.178999900817871,1
23699,2.5880000591278076,1
23712,2.174999952316284,1
23713,3.927999973297119,1
23714,3.927999973297119,1
23715,4.289999961853027,1
23716,4.289999961853027,1
23717,4.677000045776367,1
23718,4.677000045776367,1
23719,4.677000045776367,1
23720,4.583000183105469,1
23721,2.5880000591278076,1
23734,2.1600000858306885,1
23735,2.4140000343322754,1
23736,2.694999933242798,1
23737,2.934999942779541,1
23738,3.2909998893737793,1
23739,3.2909998893737793,1
23740,3.2909998893737793,1
23741,2.5880000591278076,1
23742,2.5880000591278076,1
23743,2.5880000591278076,1
23757,1.378000020980835,1
23758,1.378000020980835,1
23759,1.378000020980835,1
23760,1.194000005722046,1
23761,1.194000005722046,1
23762,1.194000005722046,1
24109,1.684999942779541,1
24110,1.996000051498413,1
24111,2.138000011444092,1
24112,2.138000011444092,1
24113,2.138000011444092,1
24114,1.7920000553131104,1
24115,1.3600000143051147,1
24130,1.687000036239624,1
24131,2.760999917984009,1
24132,6.064000129699707,1
24137,2.7119998931884766,1
24138,1.9500000476837158,1
24154,7.276000022888184,1
24155,7.738999843597412,1
24156,7.738999843597412,1
24157,7.738999843597412,1
24159,5.638000011444092,1
24160,3.367000102996826,1
24177,7.738999843597412,1
24178,7.738999843597412,1
24179,7.754000186920166,1
24183,1.5950000286102295,1
24198,8.593999862670898,1
24199,8.593999862670898,1
24200,8.593999862670898,1
24201,8.223999977111816,1
24205,3.4200000762939453,1
24206,1.4769999980926514,1
24220,8.593999862670898,1
24221,8.593999862670898,1
24222,9.482999801635742,1
24223,9.482999801635742,1
24227,5.577000141143799,1
24228,1.7519999742507935,1
24242,8.593999862670898,1
24243,8.593999862670898,1
24244,10.350000381469727,1
24245,10.350000381469727,1
24249,5.933000087738037,1
24250,2.13700008392334,1
24263,7.364999771118164,1
24264,8.175999641418457,1
24265,8.482000350952148,1
24266,10.350000381469727,1
24267,10.350000381469727,1
24271,5.933000087738037,1
24272,2.13700008392334,1
24285,7.364999771118164,1
24286,7.607999801635742,1
24287,8.482000350952148,1
24288,10.350000381469727,1
24289,10.350000381469727,1
24290,10.350000381469727,1
24291,9.911999702453613,1
24292,9.911999702453613,1
24293,5.933000087738037,1
24294,2.13700008392334,1
24305,1.3229999542236328,1
24306,3.6459999084472656,1
24307,7.364999771118164,1
24308,7.572000026702881,1
24309,8.279000282287598,1
24310,9.991000175476074,1
24311,9.991000175476074,1
24312,9.991000175476074,1
24313,8.880000114440918,1
24314,7.368000030517578,1
24315,4.40500020980835,1
24316,1.8279999494552612,1
24328,3.255000114440918,1
24329,4.729000091552734,1
24330,4.729000091552734,1
24331,6.408999919891357,1
24332,6.690999984741211,1
24333,6.690999984741211,1
24334,6.690999984741211,1
24335,6.630000114440918,1
24336,6.630000114440918,1
24337,2.5880000591278076,1
24350,1.9429999589920044,1
24351,3.1440000534057617,1
24352,3.9800000190734863,1
24353,3.9800000190734863,1
24354,4.88700008392334,1
24355,4.88700008392334,1
24356,4.88700008392334,1
24357,3.434000015258789,1
24358,3.2339999675750732,1
24359,2.1659998893737793,1
24373,1.5190000534057617,1
24374,2.3420000076293945,1
24375,2.3420000076293945,1
24376,2.3420000076293945,1
24377,1.49399995803833,1
24658,2.6740000247955322,1
24659,2.6740000247955322,1
24660,2.6740000247955322,1
24661,1.8109999895095825,1
24662,1.534999966621399,1
24663,1.2079999446868896,1
24664,1.2079999446868896,1
24679,1.7339999675750732,1
24680,2.6740000247955322,1
24681,2.7160000801086426,1
24682,3.378000020980835,1
24683,3.378000020980835,1
24684,3.9839999675750732,1
24685,3.9839999675750732,1
24686,3.9839999675750732,1
24687,1.74399995803833,1
24701,1.7339999675750732,1
24702,3.1730000972747803,1
24703,5.704999923706055,1
24704,5.883999824523926,1
24705,6.142000198364258,1
24706,6.142000198364258,1
24707,6.142000198364258,1
24708,5.263000011444092,1
24709,3.309999942779541,1
24723,2.0739998817443848,1
24724,3.197999954223633,1
24725,6.485000133514404,1
24726,8.01200008392334,1
24727,8.406999588012695,1
24728,8.666999816894531,1
24729,8.666999816894531,1
24730,8.666999816894531,1
24731,4.291999816894531,1
24732,1.9500000476837158,1
24748,9.621999740600586,1
24749,10.097999572753906,1
24750,10.097999572753906,1
24751,10.097999572753906,1
24752,9.479999542236328,1
24753,7.11299991607666,1
24754,3.757999897003174,1
24770,9.71500015258789,1
24771,10.579000473022461,1
24772,10.767000198364258,1
24773,10.767000198364258,1
24774,10.767000198364258,1
24777,2.7850000858306885,1
24792,9.906000137329102,1
24793,10.579000473022461,1
24794,10.767000198364258,1
24795,10.767000198364258,1
24799,5.186999797821045,1
24800,1.555999994277954,1
24814,10.229000091552734,1
24815,10.579000473022461,1
24816,10.767000198364258,1
24817,10.767000198364258,1
24821,5.577000141143799,1
24822,2.2860000133514404,1
24836,10.229000091552734,1
24837,10.229000091552734,1
24838,10.777999877929688,1
24839,11.645000457763672,1
24843,6.985000133514404,1
24844,4.053999900817871,1
24854,1.7410000562667847,1
24857,8.20199966430664,1
24858,10.229000091552734,1
24859,10.229000091552734,1
24860,12.081000328063965,1
24861,12.081000328063965,1
24862,12.081000328063965,1
24865,8.47599983215332,1
24866,5.886000156402588,1
24876,1.4220000505447388,1
24879,7.945000171661377,1
24880,9.170000076293945,1
24881,10.107999801635742,1
24882,12.081000328063965,1
24883,12.081000328063965,1
24884,12.081000328063965,1
24885,11.645000457763672,1
24886,10.35200023651123,1
24887,8.47599983215332,1
24888,5.886000156402588,1
24899,2.9509999752044678,1
24900,6.409999847412109,1
24901,7.364999771118164,1
24902,8.095999717712402,1
24903,10.107999801635742,1
24904,12.081000328063965,1
24905,12.081000328063965,1
24906,12.081000328063965,1
24907,11.104000091552734,1
24908,10.35200023651123,1
24909,8.47599983215332,1
24910,5.886000156402588,1
24921,1.5959999561309814,1
24922,4.821000099182129,1
24923,5.703000068664551,1
24924,6.943999767303467,1
24925,9.996999740600586,1
24926,9.996999740600586,1
24927,9.996999740600586,1
24928,10.35200023651123,1
24929,10.35200023651123,1
24930,10.35200023651123,1
24931,6.926000118255615,1
24932,2.4790000915527344,1
24943,1.4140000343322754,1
24944,3.3410000801086426,1
24945,4.081999778747559,1
24946,5.526000022888184,1
24947,7.190999984741211,1
24948,7.323999881744385,1
24949,7.323999881744385,1
24950,7.8420000076293945,1
24951,7.8420000076293945,1
24952,7.8420000076293945,1
24953,6.078999996185303,1
24954,1.3420000076293945,1
24966,2.2269999980926514,1
24967,2.7149999141693115,1
24968,3.8299999237060547,1
24969,3.8299999237060547,1
24970,3.8299999237060547,1
24971,3.509999990463257,1
24972,3.509999990463257,1
24973,3.6619999408721924,1
24974,3.6619999408721924,1
24975,3.6619999408721924,1
24989,1.3869999647140503,1
24990,2.053999900817871,1
24991,2.053999900817871,1
24992,2.053999900817871,1
24993,1.2170000076293945,1
24994,1.2879999876022339,1
24995,1.6629999876022339,1
24996,1.6629999876022339,1
24997,1.6629999876022339,1
25230,4.934999942779541,1
25231,4.934999942779541,1
25232,4.934999942779541,1
25233,3.4649999141693115,1
25234,1.6080000400543213,1
25251,1.6619999408721924,1
25252,4.934999942779541,1
25253,4.934999942779541,1
25254,5.491000175476074,1
25255,5.491000175476074,1
25256,5.491000175476074,1
25257,2.888000011444092,1
25258,2.888000011444092,1
25259,1.2519999742507935,1
25273,1.7339999675750732,1
25274,7.068999767303467,1
25275,8.086999893188477,1
25276,8.086999893188477,1
25277,8.086999893188477,1
25278,5.923999786376953,1
25279,5.624000072479248,1
25280,3.9839999675750732,1
25281,2.7709999084472656,1
25295,1.7339999675750732,1
25296,7.068999767303467,1
25297,8.711999893188477,1
25298,8.711999893188477,1
25299,8.711999893188477,1
25300,8.036999702453613,1
25301,8.036999702453613,1
25302,7.11299991607666,1
25303,6.659999847412109,1
25304,1.1059999465942383,1
25317,2.0959999561309814,1
25318,7.068999767303467,1
25319,8.909000396728516,1
25320,8.909000396728516,1
25321,8.909000396728516,1
25322,10.907999992370605,1
25323,10.907999992370605,1
25324,10.907999992370605,1
25325,8.86400032043457,1
25326,1.9579999446868896,1
25341,8.909000396728516,1
25342,11.92199993133545,1
25343,11.92199993133545,1
25344,11.92199993133545,1
25345,11.092000007629395,1
25346,11.092000007629395,1
25347,8.86400032043457,1
25348,3.757999897003174,1
25363,8.909000396728516,1
25364,11.92199993133545,1
25365,11.92199993133545,1
25366,11.92199993133545,1
25367,11.395000457763672,1
25368,11.395000457763672,1
25369,9.526000022888184,1
25370,5.479000091552734,1
25371,2.7850000858306885,1
25386,11.92199993133545,1
25387,11.92199993133545,1
25388,12.081000328063965,1
25389,12.081000328063965,1
25390,12.081000328063965,1
25391,9.765999794006348,1
25392,7.247000217437744,1
25393,5.186999797821045,1
25394,1.555999994277954,1
25408,10.588000297546387,1
25409,11.92199993133545,1
25410,12.081000328063965,1
25411,12.081000328063965,1
25412,12.081000328063965,1
25415,5.577000141143799,1
25416,2.2860000133514404,1
25429,8.725000381469727,1
25430,10.588000297546387,1
25431,11.92199993133545,1
25432,12.081000328063965,1
25433,12.081000328063965,1
25434,12.081000328063965,1
25437,7.165999889373779,1
25438,4.053999900817871,1
25439,2.678999900817871,1
25448,2.3610000610351562,1
25449,4.6539998054504395,1
25450,7.255000114440918,1
25451,8.725000381469727,1
25452,11.159000396728516,1
25453,11.92199993133545,1
25454,12.081000328063965,1
25455,12.293999671936035,1
25456,12.293999671936035,1
25457,12.293999671936035,1
25459,8.47599983215332,1
25460,7.794000148773193,1
25461,5.296000003814697,1
25470,2.3610000610351562,1
25471,4.6539998054504395,1
25472,7.255000114440918,1
25473,8.725000381469727,1
25474,11.159000396728516,1
25475,11.159000396728516,1
25476,12.081000328063965,1
25477,12.293999671936035,1
25478,12.293999671936035,1
25479,12.293999671936035,1
25480,12.177000045776367,1
25481,8.47599983215332,1
25482,7.794000148773193,1
25483,7.501999855041504,1
25492,2.3610000610351562,1
25493,4.6539998054504395,1
25494,6.794000148773193,1
25495,8.331000328063965,1
25496,11.159000396728516,1
25497,11.159000396728516,1
25498,12.081000328063965,1
25499,12.293999671936035,1
25500,12.293999671936035,1
25501,12.293999671936035,1
25502,12.177000045776367,1
25503,8.47599983215332,1
25504,7.794000148773193,1
25505,7.501999855041504,1
25515,3.874000072479248,1
25516,5.502999782562256,1
25517,7.364999771118164,1
25518,10.63599967956543,1
25519,10.63599967956543,1
25520,10.63599967956543,1
25521,10.350000381469727,1
25522,12.177000045776367,1
25523,12.177000045776367,1
25524,12.177000045776367,1
25525,8.055000305175781,1
25526,7.501999855041504,1
25527,7.501999855041504,1
25537,2.0999999046325684,1
25538,4.073999881744385,1
25539,7.364999771118164,1
25540,9.107000350952148,1
25541,9.107000350952148,1
25542,9.107000350952148,1
25543,8.807000160217285,1
25544,10.180000305175781,1
25545,10.180000305175781,1
25546,10.180000305175781,1
25547,7.2729997634887695,1
25548,7.131999969482422,1
25549,5.320000171661377,1
25559,1.1480000019073486,1
25560,2.2300000190734863,1
25561,4.729000091552734,1
25562,5.948999881744385,1
25563,6.613999843597412,1
25564,6.613999843597412,1
25565,6.613999843597412,1
25566,6.209000110626221,1
25567,5.966000080108643,1
25568,5.966000080108643,1
25569,5.966000080108643,1
25570,4.6570000648498535,1
25571,2.7360000610351562,1
25582,1.5470000505447388,1
25583,1.8229999542236328,1
25584,3.257999897003174,1
25585,3.257999897003174,1
25586,3.257999897003174,1
25587,3.0490000247955322,1
25588,3.9030001163482666,1
25589,4.4039998054504395,1
25590,4.4039998054504395,1
25591,4.4039998054504395,1
25592,2.9140000343322754,1
25606,1.1629999876022339,1
25607,1.1629999876022339,1
25608,1.1629999876022339,1
25610,3.38100004196167,1
25611,3.38100004196167,1
25612,3.38100004196167,1
25802,3.8980000019073486,1
25803,3.8980000019073486,1
25804,3.8980000019073486,1
25805,1.9019999504089355,1
25806,1.9019999504089355,1
25823,1.3639999628067017,1
25824,4.934999942779541,1
25825,8.371000289916992,1
25826,8.371000289916992,1
25827,8.371000289916992,1
25828,5.691999912261963,1
25829,3.1530001163482666,1
25845,2.1549999713897705,1
25846,8.8149995803833,1
25847,9.63599967956543,1
25848,9.63599967956543,1
25849,9.63599967956543,1
25850,7.557000160217285,1
25851,5.625999927520752,1
25852,3.563999891281128,1
25853,1.2519999742507935,1
25867,2.6489999294281006,1
25868,8.8149995803833,1
25869,10.748000144958496,1
25870,10.748000144958496,1
25871,10.748000144958496,1
25872,9.352999687194824,1
25873,8.666999816894531,1
25874,5.735000133514404,1
25875,2.7709999084472656,1
25889,2.6489999294281006,1
25890,8.8149995803833,1
25891,11.14799976348877,1
25892,11.14799976348877,1
25893,11.14799976348877,1
25894,11.092000007629395,1
25895,11.092000007629395,1
25896,7.745999813079834,1
25897,6.659999847412109,1
25898,1.1059999465942383,1
25911,2.6489999294281006,1
25912,8.104000091552734,1
25913,11.14799976348877,1
25914,11.14799976348877,1
25915,11.20300006866455,1
25916,11.20300006866455,1
25917,11.20300006866455,1
25918,10.907999992370605,1
25919,8.86400032043457,1
25920,1.9579999446868896,1
25934,8.104000091552734,1
25935,11.14799976348877,1
25936,11.92199993133545,1
25937,11.92199993133545,1
25938,11.92199993133545,1
25939,11.20300006866455,1
25940,11.092000007629395,1
25941,8.86400032043457,1
25942,3.757999897003174,1
25957,9.168000221252441,1
25958,11.92199993133545,1
25959,12.177000045776367,1
25960,12.177000045776367,1
25961,12.177000045776367,1
25962,11.395000457763672,1
25963,9.526000022888184,1
25964,5.425000190734863,1
25965,2.7850000858306885,1
25979,9.027000427246094,1
25980,11.92199993133545,1
25981,12.177000045776367,1
25982,12.293999671936035,1
25983,12.293999671936035,1
25984,12.293999671936035,1
25985,9.958999633789062,1
25986,6.089000225067139,1
25987,5.186999797821045,1
25988,1.555999994277954,1
25997,1.2380000352859497,1
26001,9.027000427246094,1
26002,11.25,1
26003,12.177000045776367,1
26004,12.293999671936035,1
26005,12.293999671936035,1
26006,12.293999671936035,1
26007,9.958999633789062,1
26008,8.644000053405762,1
26009,5.186999797821045,1
26010,2.2860000133514404,1
26019,1.2380000352859497,1
26023,9.027000427246094,1
26024,11.25,1
26025,11.92199993133545,1
26026,12.293999671936035,1
26027,12.293999671936035,1
26028,12.293999671936035,1
26029,11.645000457763672,1
26031,7.165999889373779,1
26032,4.053999900817871,1
26033,3.0209999084472656,1
26041,1.3799999952316284,1
26042,3.444999933242798,1
26045,8.725000381469727,1
26046,11.159000396728516,1
26047,11.92199993133545,1
26048,12.081000328063965,1
26049,12.293999671936035,1
26050,12.293999671936035,1
26051,12.293999671936035,1
26052,11.25,1
26053,8.47599983215332,1
26054,7.794000148773193,1
26055,5.714000225067139,1
26063,1.3799999952316284,1
26064,3.444999933242798,1
26067,8.725000381469727,1
26068,11.159000396728516,1
26069,11.286999702453613,1
26070,12.081000328063965,1
26071,12.293999671936035,1
26072,12.293999671936035,1
26073,12.293999671936035,1
26074,12.177000045776367,1
26075,8.47599983215332,1
26076,7.794000148773193,1
26077,7.501999855041504,1
26078,1.7940000295639038,1
26085,1.3799999952316284,1
26086,3.194999933242798,1
26087,5.5,1
26088,6.794000148773193,1
26089,8.331000328063965,1
26090,11.159000396728516,1
26091,11.286999702453613,1
26092,12.081000328063965,1
26093,12.293999671936035,1
26094,12.293999671936035,1
26095,12.293999671936035,1
26096,12.177000045776367,1
26097,8.47599983215332,1
26098,7.794000148773193,1
26099,7.501999855041504,1
26100,2.1470000743865967,1
26101,1.340000033378601,1
26108,2.8540000915527344,1
26109,4.914000034332275,1
26110,5.896999835968018,1
26111,7.945000171661377,1
26112,10.63599967956543,1
26113,10.63599967956543,1
26114,10.63599967956543,1
26115,12.081000328063965,1
26116,12.177000045776367,1
26117,12.177000045776367,1
26118,12.177000045776367,1
26119,8.152000427246094,1
26120,7.501999855041504,1
26121,7.501999855041504,1
26122,2.1470000743865967,1
26123,1.340000033378601,1
26131,3.430999994277954,1
26132,5.083000183105469,1
26133,7.559000015258789,1
26134,9.107000350952148,1
26135,9.996999740600586,1
26136,10.107999801635742,1
26137,12.081000328063965,1
26138,12.081000328063965,1
26139,12.081000328063965,1
26140,10.451000213623047,1
26141,8.152000427246094,1
26142,7.419000148773193,1
26143,5.320000171661377,1
26144,2.1470000743865967,1
26145,1.340000033378601,1
26153,1.402999997138977,1
26154,4.0289998054504395,1
26155,6.258999824523926,1
26156,7.323999881744385,1
26157,7.742000102996826,1
26158,8.192999839782715,1
26159,8.192999839782715,1
26160,8.192999839782715,1
26161,7.041999816894531,1
26162,7.041999816894531,1
26163,6.698999881744385,1
26164,5.076000213623047,1
26165,3.0999999046325684,1
26175,1.1640000343322754,1
26176,1.8860000371932983,1
26177,5.073999881744385,1
26178,5.901000022888184,1
26179,5.901000022888184,1
26180,5.901000022888184,1
26181,5.560999870300293,1
26182,5.560999870300293,1
26186,3.865999937057495,1
26187,2.128999948501587,1
26198,1.0800000429153442,1
26199,1.8940000534057617,1
26200,3.2130000591278076,1
26201,3.509999990463257,1
26202,3.509999990463257,1
26203,3.509999990463257,1
26204,4.1529998779296875,1
26352,1.746000051498413,1
26353,1.746000051498413,1
26354,1.746000051498413,1
26374,1.746000051498413,1
26375,1.746000051498413,1
26376,1.746000051498413,1
26396,3.8980000019073486,1
26397,5.947000026702881,1
26398,5.947000026702881,1
26399,5.947000026702881,1
26400,3.257999897003174,1
26401,3.257999897003174,1
26417,1.3639999628067017,1
26418,4.934999942779541,1
26419,8.753999710083008,1
26420,8.753999710083008,1
26421,8.753999710083008,1
26422,8.338000297546387,1
26423,5.563000202178955,1
26439,2.1549999713897705,1
26440,8.8149995803833,1
26441,10.060999870300293,1
26442,10.060999870300293,1
26443,10.060999870300293,1
26444,9.300999641418457,1
26445,7.39900016784668,1
26446,6.659999847412109,1
26447,1.2519999742507935,1
26461,2.6489999294281006,1
26462,10.048999786376953,1
26463,10.748000144958496,1
26464,10.748000144958496,1
26465,10.748000144958496,1
26466,10.430999755859375,1
26467,10.430999755859375,1
26468,8.86400032043457,1
26469,3.553999900817871,1
26483,2.6489999294281006,1
26484,10.048999786376953,1
26485,11.14799976348877,1
26486,11.645000457763672,1
26487,11.645000457763672,1
26488,11.645000457763672,1
26489,11.092000007629395,1
26490,8.86400032043457,1
26491,6.659999847412109,1
26492,1.1059999465942383,1
26505,2.6489999294281006,1
26506,10.048999786376953,1
26507,11.92199993133545,1
26508,11.92199993133545,1
26509,11.92199993133545,1
26510,11.645000457763672,1
26511,11.20300006866455,1
26512,10.907999992370605,1
26513,8.86400032043457,1
26514,1.9579999446868896,1
26526,1.6419999599456787,1
26527,3.50600004196167,1
26528,8.104000091552734,1
26529,11.92199993133545,1
26530,11.92199993133545,1
26531,11.92199993133545,1
26532,11.92199993133545,1
26533,11.862000465393066,1
26534,11.092000007629395,1
26535,8.86400032043457,1
26536,2.625999927520752,1
26548,2.2090001106262207,1
26549,6.203999996185303,1
26550,7.132999897003174,1
26551,11.92199993133545,1
26552,11.92199993133545,1
26553,12.177000045776367,1
26554,12.177000045776367,1
26555,12.177000045776367,1
26556,11.461999893188477,1
26557,8.86400032043457,1
26558,5.425000190734863,1
26570,2.7860000133514404,1
26571,6.203999996185303,1
26572,7.788000106811523,1
26573,9.027000427246094,1
26574,11.92199993133545,1
26575,12.177000045776367,1
26576,12.293999671936035,1
26577,12.293999671936035,1
26578,12.293999671936035,1
26579,9.958999633789062,1
26580,5.425000190734863,1
26581,3.6040000915527344,1
26591,1.3489999771118164,1
26592,3.924999952316284,1
26593,6.203999996185303,1
26594,7.788000106811523,1
26595,9.027000427246094,1
26596,11.25,1
26597,12.177000045776367,1
26598,12.293999671936035,1
26599,12.293999671936035,1
26600,12.293999671936035,1
26601,9.958999633789062,1
26602,6.783999919891357,1
26603,5.166999816894531,1
26604,1.940000057220459,1
26613,2.299999952316284,1
26614,4.040999889373779,1
26616,7.788000106811523,1
26617,9.027000427246094,1
26618,11.25,1
26619,11.92199993133545,1
26620,12.293999671936035,1
26621,12.293999671936035,1
26622,12.293999671936035,1
26623,10.236000061035156,1
26624,9.645000457763672,1
26625,7.165999889373779,1
26626,3.941999912261963,1
26627,3.0209999084472656,1
26635,2.299999952316284,1
26636,4.10699987411499,1
26638,7.59499979019165,1
26639,8.725000381469727,1
26640,11.159000396728516,1
26641,11.92199993133545,1
26642,12.177000045776367,1
26643,12.293999671936035,1
26644,12.293999671936035,1
26645,12.293999671936035,1
26646,11.25,1
26647,8.375,1
26648,7.794000148773193,1
26649,5.714000225067139,1
26650,2.0169999599456787,1
26657,2.299999952316284,1
26658,4.10699987411499,1
26660,7.6529998779296875,1
26661,8.88700008392334,1
26662,11.159000396728516,1
26663,11.286999702453613,1
26664,12.177000045776367,1
26665,12.293999671936035,1
26666,12.293999671936035,1
26667,12.293999671936035,1
26668,12.177000045776367,1
26669,8.47599983215332,1
26670,8.081000328063965,1
26671,7.501999855041504,1
26672,3.5759999752044678,1
26673,1.11899995803833,1
26679,2.061000108718872,1
26680,4.10699987411499,1
26681,5.5,1
26682,7.6529998779296875,1
26683,8.88700008392334,1
26684,11.159000396728516,1
26685,11.286999702453613,1
26686,11.862000465393066,1
26687,12.293999671936035,1
26688,12.293999671936035,1
26689,12.293999671936035,1
26690,12.177000045776367,1
26691,8.76200008392334,1
26692,8.081000328063965,1
26693,7.501999855041504,1
26694,3.5759999752044678,1
26695,1.340000033378601,1
26701,1.8890000581741333,1
26702,3.115999937057495,1
26703,5.125,1
26704,7.6529998779296875,1
26705,8.88700008392334,1
26706,10.63599967956543,1
26707,10.63599967956543,1
26708,10.63599967956543,1
26709,12.293999671936035,1
26710,12.293999671936035,1
26711,12.293999671936035,1
26712,12.177000045776367,1
26713,8.76200008392334,1
26714,8.081000328063965,1
26715,7.501999855041504,1
26716,3.5759999752044678,1
26717,1.340000033378601,1
26724,2.4679999351501465,1
26725,4.176000118255615,1
26726,5.688000202178955,1
26727,8.63599967956543,1
26728,9.107000350952148,1
26729,9.996999740600586,1
26730,10.107999801635742,1
26731,12.293999671936035,1
26732,12.293999671936035,1
26733,12.293999671936035,1
26734,10.451000213623047,1
26735,8.76200008392334,1
26736,7.419000148773193,1
26737,5.320000171661377,1
26738,3.3559999465942383,1
26739,1.340000033378601,1
26747,3.2929999828338623,1
26748,4.859000205993652,1
26749,8.574999809265137,1
26750,8.574999809265137,1
26754,8.956999778747559,1
26755,8.432000160217285,1
26756,7.651000022888184,1
26757,7.651000022888184,1
26758,6.465000152587891,1
26759,4.301000118255615,1
26769,1.1640000343322754,1
26770,4.303999900817871,1
26776,6.760000228881836,1
26777,6.50600004196167,1
26778,6.50600004196167,1
26779,6.50600004196167,1
26780,6.465000152587891,1
26781,3.190999984741211,1
26792,2.125999927520752,1
26798,6.116000175476074,1
26799,6.116000175476074,1
26800,6.116000175476074,1
26818,1.871000051498413,1
26819,1.7000000476837158,1
26820,1.7000000476837158,1
26946,2.431999921798706,1
26947,2.431999921798706,1
26948,2.431999921798706,1
26949,1.3109999895095825,1
26968,2.509000062942505,1
26969,2.509000062942505,1
26970,2.509000062942505,1
26971,1.3109999895095825,1
26990,3.8980000019073486,1
26991,5.947000026702881,1
26992,5.947000026702881,1
26993,5.947000026702881,1
26994,3.8589999675750732,1
26995,3.816999912261963,1
27011,1.3639999628067017,1
27012,3.8980000019073486,1
27013,9.565999984741211,1
27014,10.04699993133545,1
27015,10.04699993133545,1
27016,10.04699993133545,1
27017,5.757999897003174,1
27033,2.1549999713897705,1
27034,8.8149995803833,1
27035,10.579000473022461,1
27036,10.588000297546387,1
27037,10.588000297546387,1
27038,10.588000297546387,1
27039,7.39900016784668,1
27040,6.659999847412109,1
27041,1.2480000257492065,1
27055,2.6489999294281006,1
27056,10.048999786376953,1
27057,10.748000144958496,1
27058,10.748000144958496,1
27059,10.748000144958496,1
27060,10.588000297546387,1
27061,10.430999755859375,1
27062,8.86400032043457,1
27063,3.553999900817871,1
27077,3.0920000076293945,1
27078,10.048999786376953,1
27079,11.14799976348877,1
27080,11.645000457763672,1
27081,11.645000457763672,1
27082,11.645000457763672,1
27083,11.092000007629395,1
27084,8.86400032043457,1
27085,5.2769999504089355,1
27099,3.0920000076293945,1
27100,10.048999786376953,1
27101,11.92199993133545,1
27102,11.92199993133545,1
27103,11.92199993133545,1
27104,11.645000457763672,1
27105,11.20300006866455,1
27106,10.04699993133545,1
27107,7.427999973297119,1
27108,1.3519999980926514,1
27120,1.6419999599456787,1
27121,4.01800012588501,1
27122,8.23799991607666,1
27123,11.92199993133545,1
27124,12.177000045776367,1
27125,12.177000045776367,1
27126,12.177000045776367,1
27127,11.862000465393066,1
27128,10.04699993133545,1
27129,7.427999973297119,1
27130,1.7699999809265137,1
27142,2.2090001106262207,1
27143,6.203999996185303,1
27144,8.633000373840332,1
27145,11.92199993133545,1
27146,12.177000045776367,1
27147,12.177000045776367,1
27148,12.177000045776367,1
27149,12.177000045776367,1
27150,11.461999893188477,1
27151,8.222999572753906,1
27152,3.6480000019073486,1
27163,1.621999979019165,1
