,scores,cavity
603,11.343000411987305,1
604,11.343000411987305,1
605,11.343000411987305,1
620,11.343000411987305,1
621,11.343000411987305,1
622,11.343000411987305,1
637,11.343000411987305,1
638,11.343000411987305,1
639,11.343000411987305,1
858,11.343000411987305,1
859,11.343000411987305,1
860,11.343000411987305,1
875,11.343000411987305,1
876,12.696999549865723,1
877,12.696999549865723,1
878,12.696999549865723,1
893,12.696999549865723,1
894,12.696999549865723,1
895,12.696999549865723,1
905,12.234999656677246,1
906,12.234999656677246,1
907,12.234999656677246,1
911,12.696999549865723,1
912,12.696999549865723,1
922,13.468999862670898,1
923,13.468999862670898,1
924,13.468999862670898,1
939,13.468999862670898,1
940,13.468999862670898,1
941,13.468999862670898,1
956,13.468999862670898,1
957,13.468999862670898,1
958,13.468999862670898,1
1058,14.914999961853027,1
1059,14.914999961853027,1
1060,14.914999961853027,1
1074,13.074000358581543,1
1075,15.54800033569336,1
1076,15.54800033569336,1
1077,15.54800033569336,1
1078,12.696000099182129,1
1091,13.074000358581543,1
1092,15.54800033569336,1
1093,15.54800033569336,1
1094,15.54800033569336,1
1095,12.696000099182129,1
1108,13.074000358581543,1
1109,15.54800033569336,1
1110,15.54800033569336,1
1111,15.54800033569336,1
1112,12.696000099182129,1
1113,11.343000411987305,1
1114,11.531999588012695,1
1115,11.531999588012695,1
1116,11.531999588012695,1
1131,12.696999549865723,1
1132,12.696999549865723,1
1133,12.696999549865723,1
1148,12.696999549865723,1
1149,12.696999549865723,1
1150,12.696999549865723,1
1160,12.234999656677246,1
1161,12.234999656677246,1
1162,12.234999656677246,1
1167,12.696999549865723,1
1177,13.468999862670898,1
1178,13.468999862670898,1
1179,13.468999862670898,1
1194,13.468999862670898,1
1195,13.468999862670898,1
1196,13.468999862670898,1
1211,13.468999862670898,1
1212,13.468999862670898,1
1213,13.468999862670898,1
1313,14.914999961853027,1
1314,14.914999961853027,1
1315,14.914999961853027,1
1329,21.090999603271484,1
1330,21.090999603271484,1
1331,21.090999603271484,1
1332,18.29400062561035,1
1333,12.906000137329102,1
1346,21.090999603271484,1
1347,21.090999603271484,1
1348,21.090999603271484,1
1349,18.29400062561035,1
1350,12.906000137329102,1
1363,21.090999603271484,1
1364,21.090999603271484,1
1365,21.090999603271484,1
1366,18.29400062561035,1
1367,12.906000137329102,1
1369,11.531999588012695,1
1380,11.616999626159668,1
1381,17.75,1
