,scores,cavity
1776,14.555999755859375,1
1801,15.480999946594238,1
1802,15.480999946594238,1
1803,15.480999946594238,1
1804,15.081000328063965,1
1828,15.480999946594238,1
1829,15.480999946594238,1
1830,15.480999946594238,1
1831,15.081000328063965,1
1855,15.480999946594238,1
1856,15.480999946594238,1
1857,15.480999946594238,1
1858,15.081000328063965,1
2502,15.711999893188477,1
2503,15.711999893188477,1
2504,15.711999893188477,1
2505,14.555999755859375,1
2529,15.711999893188477,1
2530,15.711999893188477,1
2531,15.711999893188477,1
2532,15.480999946594238,1
2533,15.081000328063965,1
2556,15.711999893188477,1
2557,15.711999893188477,1
2558,15.711999893188477,1
2559,15.480999946594238,1
2560,15.081000328063965,1
2583,15.057000160217285,1
2584,15.480999946594238,1
2585,15.480999946594238,1
2586,15.480999946594238,1
2587,15.081000328063965,1
3026,19.12700080871582,1
3027,19.12700080871582,1
3028,19.12700080871582,1
3053,21.180999755859375,1
3054,21.180999755859375,1
3055,21.180999755859375,1
3080,21.180999755859375,1
3081,21.180999755859375,1
3082,21.180999755859375,1
3107,21.180999755859375,1
3108,21.180999755859375,1
3109,21.180999755859375,1
3231,15.711999893188477,1
3232,15.711999893188477,1
3233,15.711999893188477,1
3234,14.555999755859375,1
3260,15.711999893188477,1
3261,15.480999946594238,1
3262,15.081000328063965,1
3287,15.711999893188477,1
3288,15.480999946594238,1
3289,15.081000328063965,1
3314,15.480999946594238,1
3315,15.480999946594238,1
3316,15.081000328063965,1
3342,14.329999923706055,1
3755,19.12700080871582,1
3756,21.33300018310547,1
3757,21.33300018310547,1
3758,21.33300018310547,1
3782,21.77899932861328,1
3783,21.77899932861328,1
3784,21.77899932861328,1
3785,21.33300018310547,1
3809,21.77899932861328,1
3810,21.77899932861328,1
3811,21.77899932861328,1
3812,21.33300018310547,1
3836,21.77899932861328,1
3837,21.77899932861328,1
3838,21.77899932861328,1
3863,18.121000289916992,1
3961,15.711999893188477,1
3962,15.711999893188477,1
3989,15.711999893188477,1
3990,15.057000160217285,1
4016,15.711999893188477,1
4017,15.057000160217285,1
4043,15.057000160217285,1
4044,15.057000160217285,1
4071,14.329999923706055,1
4484,19.12700080871582,1
4485,21.8700008392334,1
4486,21.8700008392334,1
4487,21.8700008392334,1
4511,22.059999465942383,1
4512,22.059999465942383,1
4513,22.059999465942383,1
4514,21.8700008392334,1
4538,22.059999465942383,1
4539,22.059999465942383,1
4540,22.059999465942383,1
4541,21.8700008392334,1
4565,22.059999465942383,1
4566,22.059999465942383,1
4567,22.059999465942383,1
4592,18.121000289916992,1
4689,60.25600051879883,1
4690,60.25600051879883,1
