,scores,cavity
1244,14.765999794006348,1
1245,14.765999794006348,1
1246,14.765999794006348,1
1263,17.107999801635742,1
1264,17.107999801635742,1
1265,17.107999801635742,1
1282,17.107999801635742,1
1283,17.107999801635742,1
1284,17.107999801635742,1
1569,15.041000366210938,1
1570,15.041000366210938,1
1571,15.041000366210938,1
1588,15.041000366210938,1
1589,15.041000366210938,1
1590,15.041000366210938,1
1607,15.041000366210938,1
1608,15.041000366210938,1
1609,15.041000366210938,1
1738,14.765999794006348,1
1739,14.765999794006348,1
1740,14.765999794006348,1
1757,20.242000579833984,1
1758,20.242000579833984,1
1759,20.242000579833984,1
1776,20.738000869750977,1
1777,20.738000869750977,1
1778,20.738000869750977,1
2063,15.041000366210938,1
2064,15.041000366210938,1
2065,15.041000366210938,1
2082,15.041000366210938,1
2083,15.041000366210938,1
2084,15.041000366210938,1
2101,15.041000366210938,1
2102,15.041000366210938,1
2103,15.041000366210938,1
2251,20.242000579833984,1
2252,20.242000579833984,1
2253,20.242000579833984,1
2270,20.738000869750977,1
2271,20.738000869750977,1
2272,20.738000869750977,1
2538,16.43400001525879,1
2539,16.43400001525879,1
2540,16.43400001525879,1
2557,16.43400001525879,1
2558,16.43400001525879,1
2559,16.43400001525879,1
2576,16.43400001525879,1
2577,16.43400001525879,1
2578,16.43400001525879,1
2595,16.16699981689453,1
2596,16.16699981689453,1
2597,16.16699981689453,1
2745,20.242000579833984,1
2746,20.242000579833984,1
2747,20.242000579833984,1
2764,20.738000869750977,1
2765,20.738000869750977,1
2766,20.738000869750977,1
3032,16.43400001525879,1
3033,16.43400001525879,1
3034,16.43400001525879,1
3050,17.201000213623047,1
3051,17.201000213623047,1
3052,17.201000213623047,1
3053,16.43400001525879,1
3054,14.432000160217285,1
3069,17.201000213623047,1
3070,17.201000213623047,1
3071,17.201000213623047,1
3072,16.43400001525879,1
3073,14.432000160217285,1
3088,17.201000213623047,1
3089,17.201000213623047,1
3090,17.201000213623047,1
3091,16.16699981689453,1
3092,14.432000160217285,1
3107,16.23699951171875,1
3108,16.23699951171875,1
3109,16.23699951171875,1
3526,16.43400001525879,1
3527,16.43400001525879,1
3528,16.43400001525879,1
3544,17.201000213623047,1
3545,17.201000213623047,1
3546,17.201000213623047,1
3547,16.43400001525879,1
3548,14.432000160217285,1
3563,17.201000213623047,1
3564,17.201000213623047,1
3565,17.201000213623047,1
3566,16.702999114990234,1
3567,14.432000160217285,1
3582,17.201000213623047,1
3583,17.201000213623047,1
3584,17.201000213623047,1
3585,16.702999114990234,1
3586,14.432000160217285,1
3601,16.23699951171875,1
3602,16.702999114990234,1
3603,16.702999114990234,1
3604,16.702999114990234,1
4020,14.449000358581543,1
4021,14.449000358581543,1
4022,14.449000358581543,1
4038,17.201000213623047,1
4039,17.201000213623047,1
4040,17.201000213623047,1
4041,14.449000358581543,1
4042,14.432000160217285,1
4057,17.201000213623047,1
4058,17.201000213623047,1
4059,17.201000213623047,1
4060,16.702999114990234,1
4061,14.432000160217285,1
4076,17.201000213623047,1
4077,17.201000213623047,1
4078,17.201000213623047,1
4079,16.702999114990234,1
4080,14.432000160217285,1
4095,16.23699951171875,1
4096,16.702999114990234,1
4097,16.702999114990234,1
4098,16.702999114990234,1
4353,15.550000190734863,1
4354,15.550000190734863,1
4372,15.550000190734863,1
4373,15.550000190734863,1
4391,15.550000190734863,1
4392,15.550000190734863,1
4532,15.335000038146973,1
4533,15.335000038146973,1
4534,15.335000038146973,1
4551,15.335000038146973,1
4552,16.702999114990234,1
4553,16.702999114990234,1
4554,16.702999114990234,1
4570,15.335000038146973,1
4571,16.702999114990234,1
4572,16.702999114990234,1
4573,16.702999114990234,1
4590,16.702999114990234,1
4591,16.702999114990234,1
4592,16.702999114990234,1
5046,15.428000450134277,1
5047,15.428000450134277,1
5048,15.428000450134277,1
5064,14.83899974822998,1
5065,15.428000450134277,1
5066,15.428000450134277,1
5067,15.428000450134277,1
5084,15.428000450134277,1
5085,15.428000450134277,1
5086,15.428000450134277,1
5103,14.83899974822998,1
5558,14.83899974822998,1
5559,14.83899974822998,1
6053,14.83899974822998,1
