,scores,cavity
775,17.172000885009766,1
776,17.172000885009766,1
791,17.172000885009766,1
792,17.172000885009766,1
793,17.172000885009766,1
807,17.172000885009766,1
808,17.172000885009766,1
809,17.172000885009766,1
1095,17.172000885009766,1
1096,17.172000885009766,1
1111,17.172000885009766,1
1112,17.172000885009766,1
1113,17.172000885009766,1
1127,17.172000885009766,1
1128,17.172000885009766,1
1129,17.172000885009766,1
1415,17.172000885009766,1
1416,17.172000885009766,1
1431,17.172000885009766,1
1432,17.172000885009766,1
1433,17.172000885009766,1
1447,17.172000885009766,1
1448,17.172000885009766,1
1449,17.172000885009766,1
2601,16.533000946044922,1
2602,16.533000946044922,1
2603,16.533000946044922,1
2921,16.533000946044922,1
2922,16.533000946044922,1
2923,16.533000946044922,1
2946,16.836999893188477,1
2947,16.836999893188477,1
2948,16.836999893188477,1
2949,15.715999603271484,1
2962,16.836999893188477,1
2978,16.836999893188477,1
3114,14.819000244140625,1
3116,15.267000198364258,1
3117,15.267000198364258,1
3130,14.819000244140625,1
3131,15.267000198364258,1
3132,15.267000198364258,1
3133,15.267000198364258,1
3146,14.819000244140625,1
3147,15.267000198364258,1
3148,15.267000198364258,1
3149,15.267000198364258,1
3241,16.533000946044922,1
3242,16.533000946044922,1
3243,16.533000946044922,1
3250,17.94300079345703,1
3251,17.94300079345703,1
3252,17.94300079345703,1
3266,17.94300079345703,1
3267,17.94300079345703,1
3268,17.94300079345703,1
3282,17.94300079345703,1
3283,17.94300079345703,1
3284,17.94300079345703,1
3298,17.92799949645996,1
3299,17.92799949645996,1
3300,17.92799949645996,1
3433,15.440999984741211,1
3434,17.19300079345703,1
3435,17.19300079345703,1
3436,17.19300079345703,1
3437,15.805999755859375,1
3449,15.440999984741211,1
3450,17.19300079345703,1
3451,17.19300079345703,1
3452,17.19300079345703,1
3453,15.805999755859375,1
3465,15.440999984741211,1
3466,17.19300079345703,1
3467,17.19300079345703,1
3468,17.19300079345703,1
3469,15.805999755859375,1
3481,12.869999885559082,1
3482,15.017000198364258,1
3483,15.017000198364258,1
3484,15.017000198364258,1
3485,12.994000434875488,1
3570,17.94300079345703,1
3571,17.94300079345703,1
3572,17.94300079345703,1
3586,17.94300079345703,1
3587,17.94300079345703,1
3588,17.94300079345703,1
3602,17.94300079345703,1
3603,17.94300079345703,1
3604,17.94300079345703,1
3618,17.92799949645996,1
3619,17.92799949645996,1
3620,17.92799949645996,1
3753,16.69099998474121,1
3754,17.19300079345703,1
3755,17.19300079345703,1
3756,17.19300079345703,1
3769,16.69099998474121,1
3770,17.19300079345703,1
3771,17.19300079345703,1
3772,17.19300079345703,1
3773,15.805999755859375,1
3785,16.69099998474121,1
3786,17.19300079345703,1
3787,17.19300079345703,1
3788,17.19300079345703,1
3789,15.805999755859375,1
3801,15.102999687194824,1
3802,15.102999687194824,1
3803,15.102999687194824,1
3804,15.017000198364258,1
3805,12.994000434875488,1
3890,17.94300079345703,1
3891,17.94300079345703,1
3892,17.94300079345703,1
3906,17.94300079345703,1
3907,17.94300079345703,1
3908,17.94300079345703,1
3922,17.94300079345703,1
3923,17.94300079345703,1
3924,17.94300079345703,1
3938,17.92799949645996,1
3939,17.92799949645996,1
3940,17.92799949645996,1
4074,17.19300079345703,1
4075,17.19300079345703,1
4076,17.19300079345703,1
4089,16.69099998474121,1
4090,17.19300079345703,1
4091,17.19300079345703,1
4092,17.19300079345703,1
4093,15.805999755859375,1
4105,16.69099998474121,1
4106,17.19300079345703,1
4107,17.19300079345703,1
4108,17.19300079345703,1
4109,15.805999755859375,1
4121,15.102999687194824,1
4122,15.102999687194824,1
4123,15.102999687194824,1
4124,15.017000198364258,1
4125,12.994000434875488,1
4210,17.016000747680664,1
4211,17.016000747680664,1
4212,17.016000747680664,1
4226,17.52199935913086,1
4227,17.52199935913086,1
4228,17.52199935913086,1
4242,17.52199935913086,1
4243,17.52199935913086,1
4244,17.52199935913086,1
4258,17.52199935913086,1
4259,17.52199935913086,1
4260,17.52199935913086,1
4395,16.69099998474121,1
4409,16.69099998474121,1
4410,16.69099998474121,1
4411,16.69099998474121,1
4425,16.69099998474121,1
