,scores,cavity
25380,8.446000099182129,1
25381,8.446000099182129,1
25382,8.446000099182129,1
25402,8.446000099182129,1
25403,8.446000099182129,1
25404,8.446000099182129,1
25424,8.446000099182129,1
25425,8.446000099182129,1
25426,8.446000099182129,1
25446,7.328999996185303,1
25447,7.328999996185303,1
25448,7.328999996185303,1
25863,8.097999572753906,1
25864,8.097999572753906,1
25865,8.097999572753906,1
25866,7.326000213623047,1
25885,8.097999572753906,1
25886,8.097999572753906,1
25887,8.097999572753906,1
25888,7.326000213623047,1
25906,8.482999801635742,1
25907,8.482999801635742,1
25908,9.282999992370605,1
25909,9.282999992370605,1
25910,9.282999992370605,1
25911,8.144000053405762,1
25928,8.482999801635742,1
25929,8.482999801635742,1
25930,9.807999610900879,1
25931,9.807999610900879,1
25932,9.807999610900879,1
25933,8.381999969482422,1
25950,8.482999801635742,1
25951,8.609999656677246,1
25952,9.807999610900879,1
25953,9.807999610900879,1
25954,9.807999610900879,1
25955,9.585000038146973,1
25972,7.4039998054504395,1
25973,8.609999656677246,1
25974,9.807999610900879,1
25975,9.807999610900879,1
25976,9.807999610900879,1
25977,9.585000038146973,1
25995,8.609999656677246,1
25996,9.394000053405762,1
25997,9.585000038146973,1
25998,9.585000038146973,1
25999,9.585000038146973,1
26019,7.455999851226807,1
26020,7.455999851226807,1
26021,7.455999851226807,1
26346,8.972000122070312,1
26347,8.972000122070312,1
26348,8.972000122070312,1
26349,7.388999938964844,1
26368,8.972000122070312,1
26369,9.394000053405762,1
26370,9.394000053405762,1
26371,9.394000053405762,1
26372,7.978000164031982,1
26389,7.269000053405762,1
26390,8.972000122070312,1
26391,9.711000442504883,1
26392,9.711000442504883,1
26393,9.711000442504883,1
26394,9.097999572753906,1
26395,7.011000156402588,1
26410,8.381999969482422,1
26411,8.381999969482422,1
26412,8.388999938964844,1
26413,9.711000442504883,1
26414,9.711000442504883,1
26415,9.711000442504883,1
26416,9.097999572753906,1
26417,7.501999855041504,1
26432,8.381999969482422,1
26433,8.381999969482422,1
26434,8.482999801635742,1
26435,9.711000442504883,1
26436,9.711000442504883,1
26437,9.711000442504883,1
26438,9.557000160217285,1
26439,9.557000160217285,1
26454,8.381999969482422,1
26455,8.381999969482422,1
26456,8.482999801635742,1
26457,8.482999801635742,1
26458,10.104999542236328,1
26459,10.104999542236328,1
26460,10.104999542236328,1
26461,9.557000160217285,1
26476,7.755000114440918,1
26477,7.755000114440918,1
26478,8.482999801635742,1
26479,8.609999656677246,1
26480,10.486000061035156,1
26481,10.486000061035156,1
26482,10.486000061035156,1
26483,9.585000038146973,1
26484,8.482999801635742,1
26485,7.179999828338623,1
26500,7.4039998054504395,1
26501,8.609999656677246,1
26502,10.486000061035156,1
26503,10.486000061035156,1
26504,10.486000061035156,1
26505,9.585000038146973,1
26506,8.482999801635742,1
26507,7.179999828338623,1
26523,8.609999656677246,1
26524,10.486000061035156,1
26525,10.486000061035156,1
26526,10.486000061035156,1
26527,9.585000038146973,1
26528,8.482999801635742,1
26529,7.179999828338623,1
26547,7.455999851226807,1
26548,7.455999851226807,1
26549,7.455999851226807,1
26829,8.359000205993652,1
26830,8.359000205993652,1
26831,8.359000205993652,1
26850,7.2270002365112305,1
26851,9.711000442504883,1
26852,9.711000442504883,1
26853,9.711000442504883,1
26854,9.097999572753906,1
26872,7.677000045776367,1
26873,9.711000442504883,1
26874,9.807999610900879,1
26875,9.807999610900879,1
26876,9.807999610900879,1
26877,8.236000061035156,1
26878,7.75,1
26893,7.835000038146973,1
26894,7.835000038146973,1
26895,9.711000442504883,1
26896,9.807999610900879,1
26897,10.486000061035156,1
26898,10.486000061035156,1
26899,10.486000061035156,1
26900,9.241000175476074,1
26901,7.072999954223633,1
26915,7.835000038146973,1
26916,8.015999794006348,1
26917,8.690999984741211,1
26918,9.807999610900879,1
26919,10.486000061035156,1
26920,10.486000061035156,1
26921,10.486000061035156,1
26922,9.241000175476074,1
26923,7.072999954223633,1
26936,7.078000068664551,1
26937,7.835000038146973,1
26938,8.482999801635742,1
26939,8.482999801635742,1
26940,9.722000122070312,1
26941,10.486000061035156,1
26942,10.486000061035156,1
26943,10.486000061035156,1
26944,9.241000175476074,1
26945,7.501999855041504,1
26958,7.078000068664551,1
26959,7.627999782562256,1
26960,8.482999801635742,1
26961,8.482999801635742,1
26962,8.482999801635742,1
26963,9.807999610900879,1
26964,9.807999610900879,1
26965,9.807999610900879,1
26966,9.585000038146973,1
26967,9.557000160217285,1
26968,7.539000034332275,1
26980,7.078000068664551,1
26981,7.078000068664551,1
26982,8.538999557495117,1
26983,8.538999557495117,1
26984,8.538999557495117,1
26985,9.807999610900879,1
26986,10.104999542236328,1
26987,10.104999542236328,1
26988,10.104999542236328,1
26989,9.557000160217285,1
26990,7.809999942779541,1
26991,6.966000080108643,1
27004,8.538999557495117,1
27005,8.538999557495117,1
27006,8.538999557495117,1
27007,9.394000053405762,1
27008,10.486000061035156,1
27009,10.486000061035156,1
27010,10.486000061035156,1
27011,9.585000038146973,1
27012,8.690999984741211,1
27013,7.179999828338623,1
27026,8.538999557495117,1
27027,8.538999557495117,1
27028,8.538999557495117,1
27029,8.609999656677246,1
27030,10.486000061035156,1
27031,10.486000061035156,1
27032,10.486000061035156,1
27033,9.585000038146973,1
27034,8.690999984741211,1
27035,7.179999828338623,1
27051,8.609999656677246,1
27052,10.486000061035156,1
27053,10.486000061035156,1
27054,10.486000061035156,1
27055,9.585000038146973,1
27056,8.690999984741211,1
27057,7.179999828338623,1
27074,9.12600040435791,1
27075,9.12600040435791,1
27076,9.12600040435791,1
27077,8.236000061035156,1
27097,7.620999813079834,1
27098,7.620999813079834,1
27099,7.620999813079834,1
27357,8.515999794006348,1
27358,8.515999794006348,1
27359,8.515999794006348,1
27360,7.690999984741211,1
27361,7.0980000495910645,1
