,scores,cavity
831,15.371999740600586,1
832,15.371999740600586,1
833,15.371999740600586,1
834,14.204999923706055,1
852,15.371999740600586,1
853,15.371999740600586,1
854,15.371999740600586,1
855,14.204999923706055,1
873,15.371999740600586,1
874,15.371999740600586,1
875,15.371999740600586,1
876,14.204999923706055,1
1208,17.110000610351562,1
1209,17.110000610351562,1
1210,17.110000610351562,1
1211,15.371999740600586,1
1212,14.204999923706055,1
1229,17.60099983215332,1
1230,17.60099983215332,1
1231,17.60099983215332,1
1232,16.648000717163086,1
1233,14.204999923706055,1
1250,17.60099983215332,1
1251,17.60099983215332,1
1252,17.60099983215332,1
1253,16.648000717163086,1
1254,14.204999923706055,1
1271,17.60099983215332,1
1272,17.60099983215332,1
1273,17.60099983215332,1
1274,16.648000717163086,1
1564,15.026000022888184,1
1565,15.026000022888184,1
1566,15.026000022888184,1
1585,17.71500015258789,1
1586,18.30299949645996,1
1587,18.30299949645996,1
1588,18.30299949645996,1
1589,16.700000762939453,1
1590,14.204999923706055,1
1606,17.863000869750977,1
1607,19.906999588012695,1
1608,19.906999588012695,1
1609,19.906999588012695,1
1610,19.468000411987305,1
1611,14.204999923706055,1
1627,17.863000869750977,1
1628,19.906999588012695,1
1629,19.906999588012695,1
1630,19.906999588012695,1
1631,19.468000411987305,1
1632,14.204999923706055,1
1648,17.863000869750977,1
1649,19.906999588012695,1
1650,19.906999588012695,1
1651,19.906999588012695,1
1652,19.468000411987305,1
1942,15.026000022888184,1
1943,15.026000022888184,1
1944,15.026000022888184,1
1963,17.71500015258789,1
1964,18.356000900268555,1
1965,18.356000900268555,1
1966,18.356000900268555,1
1967,16.700000762939453,1
1984,17.863000869750977,1
1985,19.906999588012695,1
1986,19.906999588012695,1
1987,19.906999588012695,1
1988,19.55500030517578,1
1989,17.106000900268555,1
2005,17.863000869750977,1
2006,19.906999588012695,1
2007,19.906999588012695,1
2008,19.906999588012695,1
2009,19.55500030517578,1
2010,17.106000900268555,1
2026,17.863000869750977,1
2027,19.906999588012695,1
2028,19.906999588012695,1
2029,19.906999588012695,1
2030,19.55500030517578,1
2031,17.106000900268555,1
2048,17.485000610351562,1
2049,17.485000610351562,1
2050,17.485000610351562,1
2320,15.026000022888184,1
2321,15.026000022888184,1
2322,15.026000022888184,1
2340,14.836000442504883,1
2341,17.71500015258789,1
2342,18.356000900268555,1
2343,18.356000900268555,1
2344,18.356000900268555,1
2345,16.700000762939453,1
2362,17.863000869750977,1
2363,19.906999588012695,1
2364,19.906999588012695,1
2365,19.906999588012695,1
2366,19.55500030517578,1
2367,17.106000900268555,1
2383,17.863000869750977,1
2384,19.906999588012695,1
2385,19.906999588012695,1
2386,19.906999588012695,1
2387,19.55500030517578,1
2388,17.106000900268555,1
2404,17.863000869750977,1
2405,19.906999588012695,1
2406,19.906999588012695,1
2407,19.906999588012695,1
2408,19.55500030517578,1
2409,17.106000900268555,1
2426,17.485000610351562,1
2427,17.485000610351562,1
2428,17.485000610351562,1
2429,17.354000091552734,1
2430,15.967000007629395,1
2718,14.836000442504883,1
2719,16.496999740600586,1
2720,18.356000900268555,1
2721,18.356000900268555,1
2722,18.356000900268555,1
2723,16.344999313354492,1
2740,17.253000259399414,1
2741,19.82900047302246,1
2742,19.82900047302246,1
2743,19.82900047302246,1
2744,19.55500030517578,1
2745,17.106000900268555,1
2761,17.253000259399414,1
2762,19.82900047302246,1
2763,19.82900047302246,1
2764,19.82900047302246,1
2765,19.55500030517578,1
2766,17.106000900268555,1
2782,17.253000259399414,1
2783,19.82900047302246,1
2784,19.82900047302246,1
2785,19.82900047302246,1
2786,19.55500030517578,1
2787,17.106000900268555,1
2788,16.538999557495117,1
2789,15.194999694824219,1
2804,17.485000610351562,1
2805,17.485000610351562,1
2806,17.485000610351562,1
2807,17.354000091552734,1
2808,16.538999557495117,1
2809,16.538999557495117,1
2810,15.194999694824219,1
2828,16.538999557495117,1
2829,16.538999557495117,1
2830,16.538999557495117,1
2831,15.194999694824219,1
2850,15.074999809265137,1
2851,15.074999809265137,1
2852,15.074999809265137,1
3096,14.836000442504883,1
3097,14.96399974822998,1
3098,15.765000343322754,1
3099,15.765000343322754,1
3100,15.765000343322754,1
3101,15.109999656677246,1
3119,18.006999969482422,1
3120,18.791000366210938,1
3121,18.791000366210938,1
3122,18.791000366210938,1
3123,16.211999893188477,1
3140,18.006999969482422,1
3141,18.791000366210938,1
3142,18.791000366210938,1
3143,18.791000366210938,1
3144,16.211999893188477,1
3145,15.618000030517578,1
3146,15.618000030517578,1
3161,18.006999969482422,1
3162,18.791000366210938,1
3163,18.791000366210938,1
