,scores,cavity
1786,16.95800018310547,1
1787,16.95800018310547,1
1788,16.95800018310547,1
1818,16.95800018310547,1
1819,16.95800018310547,1
1820,16.95800018310547,1
1821,15.640000343322754,1
1850,16.95800018310547,1
1851,16.95800018310547,1
1852,16.95800018310547,1
1853,16.183000564575195,1
1883,16.183000564575195,1
1884,16.183000564575195,1
1885,16.183000564575195,1
1917,16.183000564575195,1
2586,18.413999557495117,1
2587,18.413999557495117,1
2588,18.413999557495117,1
2589,17.399999618530273,1
2618,19.516000747680664,1
2619,19.516000747680664,1
2620,19.516000747680664,1
2621,18.961999893188477,1
2650,19.961999893188477,1
2651,19.961999893188477,1
2652,19.961999893188477,1
2653,18.961999893188477,1
2682,19.961999893188477,1
2683,19.961999893188477,1
2684,19.961999893188477,1
2685,18.961999893188477,1
2714,19.961999893188477,1
2715,19.961999893188477,1
2716,19.961999893188477,1
2717,18.312999725341797,1
3386,18.413999557495117,1
3387,18.413999557495117,1
3388,18.413999557495117,1
3389,17.399999618530273,1
3417,18.849000930786133,1
3418,21.033000946044922,1
3419,21.033000946044922,1
3420,21.033000946044922,1
3421,18.961999893188477,1
3449,18.849000930786133,1
3450,21.033000946044922,1
3451,21.033000946044922,1
3452,21.033000946044922,1
3453,19.166000366210938,1
3481,18.849000930786133,1
3482,21.033000946044922,1
3483,21.033000946044922,1
3484,21.033000946044922,1
3485,19.166000366210938,1
3514,19.961999893188477,1
3515,19.961999893188477,1
3516,19.961999893188477,1
3517,19.166000366210938,1
3548,17.756999969482422,1
3549,17.756999969482422,1
4186,18.413999557495117,1
4187,18.413999557495117,1
4188,18.413999557495117,1
4189,17.399999618530273,1
4217,18.849000930786133,1
4218,21.033000946044922,1
4219,21.033000946044922,1
4220,21.033000946044922,1
4221,18.961999893188477,1
4249,18.849000930786133,1
4250,21.033000946044922,1
4251,21.033000946044922,1
4252,21.033000946044922,1
4253,19.166000366210938,1
4281,18.849000930786133,1
4282,21.033000946044922,1
4283,21.033000946044922,1
4284,21.033000946044922,1
4285,19.166000366210938,1
4314,19.961999893188477,1
4315,19.961999893188477,1
4316,19.961999893188477,1
4317,19.166000366210938,1
4348,17.756999969482422,1
4349,17.756999969482422,1
4890,15.388999938964844,1
4920,18.361000061035156,1
4921,18.361000061035156,1
4922,18.361000061035156,1
4952,19.452999114990234,1
4953,19.452999114990234,1
4954,19.452999114990234,1
4955,16.863000869750977,1
4984,19.452999114990234,1
4985,19.452999114990234,1
4986,19.452999114990234,1
4987,18.280000686645508,1
4988,17.392000198364258,1
5016,19.452999114990234,1
5017,19.452999114990234,1
5018,21.033000946044922,1
5019,21.033000946044922,1
5020,21.033000946044922,1
5021,17.198999404907227,1
5049,18.849000930786133,1
5050,21.033000946044922,1
5051,21.033000946044922,1
5052,21.033000946044922,1
5053,19.166000366210938,1
5082,21.033000946044922,1
5083,21.033000946044922,1
5084,21.033000946044922,1
5085,19.166000366210938,1
5114,19.635000228881836,1
5115,19.635000228881836,1
5116,19.635000228881836,1
5117,19.166000366210938,1
5149,17.756999969482422,1
5314,15.984999656677246,1
5346,15.984999656677246,1
5378,15.984999656677246,1
5689,15.388999938964844,1
5690,15.388999938964844,1
5720,21.246999740600586,1
5721,21.246999740600586,1
5722,21.246999740600586,1
5751,19.304000854492188,1
5752,22.50200080871582,1
5753,22.50200080871582,1
5754,22.50200080871582,1
5755,16.863000869750977,1
5783,19.304000854492188,1
5784,22.50200080871582,1
5785,22.50200080871582,1
5786,22.50200080871582,1
5787,18.280000686645508,1
5815,19.304000854492188,1
5816,22.50200080871582,1
5817,22.50200080871582,1
5818,22.50200080871582,1
5819,18.280000686645508,1
5850,18.43600082397461,1
5851,18.280000686645508,1
5852,17.868999481201172,1
5884,17.868999481201172,1
5916,17.868999481201172,1
6114,17.740999221801758,1
6146,17.740999221801758,1
6178,17.740999221801758,1
6210,16.801000595092773,1
6211,16.801000595092773,1
6212,16.801000595092773,1
6213,16.225000381469727,1
6243,16.225000381469727,1
6244,16.225000381469727,1
6245,16.225000381469727,1
6489,15.388999938964844,1
6490,15.388999938964844,1
6519,17.740999221801758,1
6520,21.246999740600586,1
6521,21.246999740600586,1
6522,21.246999740600586,1
6551,19.304000854492188,1
6552,22.50200080871582,1
6553,22.50200080871582,1
6554,22.50200080871582,1
6555,16.863000869750977,1
6583,19.304000854492188,1
6584,22.50200080871582,1
6585,22.50200080871582,1
6586,22.50200080871582,1
6587,18.280000686645508,1
6615,19.304000854492188,1
6616,22.50200080871582,1
6617,22.50200080871582,1
6618,22.50200080871582,1
6619,18.280000686645508,1
6650,18.43600082397461,1
6651,18.280000686645508,1
6882,16.423999786376953,1
6883,16.43899917602539,1
6884,16.43899917602539,1
6914,17.740999221801758,1
6915,17.740999221801758,1
6916,17.740999221801758,1
6917,16.937000274658203,1
6946,17.740999221801758,1
6947,17.740999221801758,1
6948,17.740999221801758,1
6949,16.937000274658203,1
6978,17.740999221801758,1
6979,17.740999221801758,1
6980,17.740999221801758,1
6981,16.937000274658203,1
7010,16.801000595092773,1
7011,16.801000595092773,1
7012,16.801000595092773,1
7043,16.225000381469727,1
7044,16.225000381469727,1
7320,21.246999740600586,1
7321,21.246999740600586,1
7322,21.246999740600586,1
7351,19.304000854492188,1
7352,22.50200080871582,1
7353,22.50200080871582,1
7354,22.50200080871582,1
7355,16.62299919128418,1
7383,19.304000854492188,1
7384,22.50200080871582,1
7385,22.50200080871582,1
7386,22.50200080871582,1
7387,16.62299919128418,1
7415,19.304000854492188,1
7416,22.50200080871582,1
7417,22.50200080871582,1
7418,22.50200080871582,1
7419,16.62299919128418,1
7449,18.180999755859375,1
7450,18.180999755859375,1
7482,18.180999755859375,1
7682,16.423999786376953,1
7683,16.43899917602539,1
7684,16.43899917602539,1
7714,17.740999221801758,1
7715,17.740999221801758,1
7716,17.740999221801758,1
7717,16.937000274658203,1
7746,17.740999221801758,1
7747,17.740999221801758,1
7748,17.740999221801758,1
7749,16.937000274658203,1
7778,17.740999221801758,1
7779,17.740999221801758,1
7780,17.740999221801758,1
7781,16.937000274658203,1
7810,16.801000595092773,1
7811,16.801000595092773,1
7812,16.801000595092773,1
7843,16.225000381469727,1
7844,16.225000381469727,1
8482,16.423999786376953,1
8483,16.43899917602539,1
8484,16.43899917602539,1
8514,16.423999786376953,1
8515,16.937000274658203,1
8516,16.937000274658203,1
8517,16.937000274658203,1
8546,16.423999786376953,1
8547,16.937000274658203,1
8548,16.937000274658203,1
8549,16.937000274658203,1
8578,15.932000160217285,1
8579,16.937000274658203,1
8580,16.937000274658203,1
8581,16.937000274658203,1
9251,26.72599983215332,1
9282,15.116000175476074,1
9283,16.104000091552734,1
9284,16.104000091552734,1
9285,16.104000091552734,1
9314,15.932000160217285,1
9315,16.104000091552734,1
9316,16.104000091552734,1
9317,16.104000091552734,1
9346,15.932000160217285,1
9347,16.104000091552734,1
9348,16.104000091552734,1
9349,16.104000091552734,1
9378,15.932000160217285,1
9379,15.932000160217285,1
9380,15.932000160217285,1
9381,15.633999824523926,1
9411,15.633999824523926,1
9412,15.633999824523926,1
9413,15.633999824523926,1
9443,15.633999824523926,1
9444,15.633999824523926,1
9445,15.633999824523926,1
9475,15.437000274658203,1
9476,15.437000274658203,1
10052,62.880001068115234,1
10053,62.880001068115234,1
10054,62.880001068115234,1
10055,29.392000198364258,1
10147,15.022000312805176,1
10148,15.022000312805176,1
10149,15.022000312805176,1
10179,15.633999824523926,1
10180,15.633999824523926,1
10181,15.633999824523926,1
10211,15.633999824523926,1
10212,15.633999824523926,1
10213,15.633999824523926,1
10243,15.633999824523926,1
10244,15.633999824523926,1
10245,15.633999824523926,1
10275,15.437000274658203,1
10276,15.437000274658203,1
10308,15.145999908447266,1
10804,16.739999771118164,1
10836,16.739999771118164,1
10851,60.428001403808594,1
10852,62.880001068115234,1
10853,62.880001068115234,1
10854,62.880001068115234,1
10855,29.392000198364258,1
10868,16.739999771118164,1
10947,15.022000312805176,1
10948,15.022000312805176,1
10979,15.633999824523926,1
10980,15.633999824523926,1
10981,15.633999824523926,1
11011,15.633999824523926,1
11012,15.633999824523926,1
11013,15.633999824523926,1
11043,15.633999824523926,1
11044,15.633999824523926,1
11045,15.633999824523926,1
11075,15.437000274658203,1
11076,15.437000274658203,1
11077,15.437000274658203,1
11108,15.145999908447266,1
11109,15.145999908447266,1
11588,15.720000267028809,1
11589,15.720000267028809,1
11603,16.739999771118164,1
11604,16.739999771118164,1
11620,15.720000267028809,1
11621,15.720000267028809,1
11636,16.739999771118164,1
11651,60.428001403808594,1
11652,62.880001068115234,1
11653,62.880001068115234,1
11654,62.880001068115234,1
11655,29.392000198364258,1
11668,16.739999771118164,1
11747,15.022000312805176,1
11748,15.022000312805176,1
11779,15.138999938964844,1
11780,15.138999938964844,1
11781,15.138999938964844,1
11811,15.138999938964844,1
11812,15.138999938964844,1
11813,15.138999938964844,1
11843,15.138999938964844,1
11844,15.145999908447266,1
11845,15.145999908447266,1
11846,15.145999908447266,1
11876,15.145999908447266,1
11877,15.145999908447266,1
11878,15.145999908447266,1
11908,15.145999908447266,1
11909,15.145999908447266,1
11910,15.145999908447266,1
12387,15.107000350952148,1
12388,15.4399995803833,1
12389,15.4399995803833,1
12390,15.4399995803833,1
12401,15.067000389099121,1
12402,16.739999771118164,1
12403,16.739999771118164,1
12404,16.739999771118164,1
12419,15.107000350952148,1
12420,15.4399995803833,1
12434,16.739999771118164,1
12435,16.739999771118164,1
12436,16.739999771118164,1
12451,30.214000701904297,1
12452,30.8799991607666,1
12453,30.8799991607666,1
12454,30.8799991607666,1
12455,29.09000015258789,1
12466,16.739999771118164,1
12467,16.739999771118164,1
12468,16.739999771118164,1
16738,15.47599983215332,1
16773,17.457000732421875,1
16774,17.457000732421875,1
16775,17.457000732421875,1
16777,15.178000450134277,1
16808,17.457000732421875,1
16809,17.457000732421875,1
16810,17.457000732421875,1
16811,15.96500015258789,1
16812,15.178000450134277,1
16843,17.457000732421875,1
16844,17.457000732421875,1
16845,17.457000732421875,1
16846,15.96500015258789,1
16847,15.178000450134277,1
16878,16.285999298095703,1
16879,16.285999298095703,1
16880,16.285999298095703,1
16881,15.364999771118164,1
17027,15.541000366210938,1
17028,15.541000366210938,1
17029,15.541000366210938,1
17062,15.541000366210938,1
17063,15.541000366210938,1
17064,15.541000366210938,1
17097,15.541000366210938,1
17098,15.541000366210938,1
17099,15.541000366210938,1
17132,15.072999954223633,1
17133,15.072999954223633,1
17134,15.072999954223633,1
17429,15.229000091552734,1
17430,15.229000091552734,1
17431,15.229000091552734,1
17463,15.182000160217285,1
17464,15.229000091552734,1
17465,15.229000091552734,1
17466,15.229000091552734,1
17468,15.107000350952148,1
17469,15.107000350952148,1
17470,15.107000350952148,1
17498,15.595000267028809,1
17499,15.595000267028809,1
17500,15.595000267028809,1
17501,15.229000091552734,1
17502,15.182000160217285,1
17503,15.182000160217285,1
17504,15.50100040435791,1
17505,15.50100040435791,1
17506,15.50100040435791,1
17533,15.595000267028809,1
17534,15.595000267028809,1
17535,15.595000267028809,1
17536,15.368000030517578,1
17537,16.06399917602539,1
17538,16.06399917602539,1
17539,16.06399917602539,1
17540,16.054000854492188,1
17541,16.451000213623047,1
17542,16.451000213623047,1
17543,16.451000213623047,1
17544,15.366999626159668,1
17568,15.595000267028809,1
17569,15.595000267028809,1
17570,15.595000267028809,1
17571,15.368000030517578,1
17572,16.06399917602539,1
17573,16.263999938964844,1
17574,16.263999938964844,1
17575,16.263999938964844,1
17576,16.451000213623047,1
17577,16.451000213623047,1
17578,16.451000213623047,1
17579,15.652000427246094,1
17604,15.291999816894531,1
17605,15.291999816894531,1
17606,15.368000030517578,1
17607,16.06399917602539,1
17608,16.263999938964844,1
17609,16.263999938964844,1
17610,16.263999938964844,1
17611,17.645000457763672,1
17612,17.645000457763672,1
17643,16.263999938964844,1
17644,16.263999938964844,1
17645,16.263999938964844,1
17646,17.645000457763672,1
17647,17.645000457763672,1
17680,15.026000022888184,1
17681,17.645000457763672,1
17682,17.645000457763672,1
17714,15.178000450134277,1
17715,16.219999313354492,1
17716,17.018999099731445,1
17717,17.6299991607666,1
17749,15.178000450134277,1
17750,17.665000915527344,1
17751,17.77899932861328,1
17752,17.77899932861328,1
17757,15.178000450134277,1
17784,15.178000450134277,1
17785,17.665000915527344,1
17786,18.913000106811523,1
17787,19.48900032043457,1
17788,19.48900032043457,1
17789,19.48900032043457,1
17790,17.457000732421875,1
17791,15.977999687194824,1
17792,15.178000450134277,1
17820,17.665000915527344,1
17821,18.913000106811523,1
17822,19.48900032043457,1
17823,19.48900032043457,1
17824,19.48900032043457,1
17825,17.457000732421875,1
17826,15.977999687194824,1
17827,15.178000450134277,1
17856,18.913000106811523,1
17857,19.48900032043457,1
17858,19.48900032043457,1
17859,19.48900032043457,1
17860,17.176000595092773,1
17861,15.364999771118164,1
17892,15.545000076293945,1
17893,15.545000076293945,1
17894,15.545000076293945,1
17895,15.454000473022461,1
18007,15.541000366210938,1
18008,15.541000366210938,1
18009,15.541000366210938,1
18042,15.541000366210938,1
18043,15.541000366210938,1
18044,15.541000366210938,1
