,scores,cavity
826,14.145999908447266,1
827,14.145999908447266,1
850,14.145999908447266,1
851,14.145999908447266,1
874,14.145999908447266,1
875,14.145999908447266,1
876,14.145999908447266,1
1094,54.86000061035156,1
1095,13.71500015258789,1
1096,13.71500015258789,1
1118,54.86000061035156,1
1119,15.458999633789062,1
1120,15.458999633789062,1
1121,15.458999633789062,1
1130,12.687000274658203,1
1131,12.687000274658203,1
1132,12.687000274658203,1
1133,23.40999984741211,1
1142,54.86000061035156,1
1143,15.458999633789062,1
1144,15.458999633789062,1
1145,15.458999633789062,1
1154,12.687000274658203,1
1155,12.687000274658203,1
1156,12.687000274658203,1
1157,23.40999984741211,1
1160,27.04800033569336,1
1161,27.04800033569336,1
1162,57.3120002746582,1
1163,57.3120002746582,1
1164,57.3120002746582,1
1178,12.687000274658203,1
1179,12.687000274658203,1
1180,12.687000274658203,1
1181,23.40999984741211,1
1182,30.520000457763672,1
1183,30.520000457763672,1
1184,30.520000457763672,1
1185,30.464000701904297,1
1186,58.327999114990234,1
1187,57.3120002746582,1
1188,57.3120002746582,1
1206,30.520000457763672,1
1207,30.520000457763672,1
1208,30.520000457763672,1
1209,30.464000701904297,1
1210,58.327999114990234,1
1211,57.3120002746582,1
1212,57.3120002746582,1
1213,56.448001861572266,1
1214,56.448001861572266,1
1230,30.520000457763672,1
1231,30.520000457763672,1
1232,30.520000457763672,1
1233,30.464000701904297,1
1234,58.327999114990234,1
1236,57.88399887084961,1
1237,57.88399887084961,1
1238,57.88399887084961,1
1260,57.88399887084961,1
1261,57.88399887084961,1
1262,57.88399887084961,1
1284,57.88399887084961,1
1285,57.88399887084961,1
1286,57.88399887084961,1
1430,58.71200180053711,1
1431,14.678000450134277,1
1432,14.678000450134277,1
1445,22.371999740600586,1
1454,58.71200180053711,1
1455,15.458999633789062,1
1456,15.458999633789062,1
1457,15.458999633789062,1
1466,12.687000274658203,1
1467,12.687000274658203,1
1468,12.687000274658203,1
1469,23.40999984741211,1
1478,58.71200180053711,1
1481,15.458999633789062,1
1490,12.687000274658203,1
1491,12.687000274658203,1
1492,12.687000274658203,1
1493,23.964000701904297,1
1494,28.667999267578125,1
1495,29.006000518798828,1
1496,29.006000518798828,1
1497,29.006000518798828,1
1498,57.3120002746582,1
1499,57.3120002746582,1
1500,57.3120002746582,1
1514,12.687000274658203,1
1515,12.687000274658203,1
1516,12.687000274658203,1
1517,23.964000701904297,1
1518,30.520000457763672,1
1519,30.520000457763672,1
1520,30.520000457763672,1
1521,30.464000701904297,1
1522,58.327999114990234,1
1523,57.3120002746582,1
1524,57.3120002746582,1
1541,23.964000701904297,1
1542,30.520000457763672,1
1543,30.520000457763672,1
1544,30.520000457763672,1
1545,30.464000701904297,1
1546,58.327999114990234,1
1547,57.3120002746582,1
1548,57.3120002746582,1
1549,56.448001861572266,1
1550,56.448001861572266,1
1566,30.520000457763672,1
1567,30.520000457763672,1
1568,30.520000457763672,1
1569,30.464000701904297,1
1570,58.327999114990234,1
1572,57.88399887084961,1
1573,57.88399887084961,1
1574,57.88399887084961,1
1596,57.88399887084961,1
1597,57.88399887084961,1
1598,57.88399887084961,1
1620,57.88399887084961,1
1621,57.88399887084961,1
1622,57.88399887084961,1
1741,63.01599884033203,1
1742,63.01599884033203,1
1743,15.753999710083008,1
1744,14.652999877929688,1
1765,63.01599884033203,1
1766,65.6760025024414,1
1767,16.41900062561035,1
1768,16.41900062561035,1
1781,22.371999740600586,1
1789,63.01599884033203,1
1790,65.6760025024414,1
1791,16.41900062561035,1
1792,16.41900062561035,1
1793,15.458999633789062,1
1805,22.371999740600586,1
1806,23.634000778198242,1
1807,24.808000564575195,1
1808,24.808000564575195,1
1809,24.808000564575195,1
1814,65.6760025024414,1
1815,16.41900062561035,1
1816,16.41900062561035,1
1829,23.964000701904297,1
1830,28.667999267578125,1
1831,29.006000518798828,1
1832,29.006000518798828,1
1833,29.006000518798828,1
1834,57.3120002746582,1
1835,57.3120002746582,1
1836,57.3120002746582,1
1854,30.520000457763672,1
1855,30.520000457763672,1
1856,30.520000457763672,1
1857,30.464000701904297,1
1880,30.520000457763672,1
1881,30.464000701904297,1
1885,56.448001861572266,1
1886,56.448001861572266,1
1904,30.520000457763672,1
1905,30.464000701904297,1
1909,57.88399887084961,1
1910,57.88399887084961,1
1933,57.88399887084961,1
1934,57.88399887084961,1
1956,57.88399887084961,1
1957,57.88399887084961,1
1958,57.88399887084961,1
2069,19.076000213623047,1
2077,63.01599884033203,1
2078,63.01599884033203,1
2079,15.753999710083008,1
2080,15.107000350952148,1
2093,20.5,1
2101,63.01599884033203,1
2102,65.6760025024414,1
2103,16.41900062561035,1
2104,16.41900062561035,1
2117,25.365999221801758,1
2125,63.01599884033203,1
2126,65.6760025024414,1
2127,16.41900062561035,1
2128,16.41900062561035,1
2141,26.624000549316406,1
2142,23.634000778198242,1
2143,24.808000564575195,1
2144,24.808000564575195,1
2145,24.808000564575195,1
2150,65.6760025024414,1
2151,16.41900062561035,1
2152,16.41900062561035,1
2165,26.624000549316406,1
2166,28.667999267578125,1
2167,29.006000518798828,1
2168,29.006000518798828,1
2169,29.006000518798828,1
2170,52.51599884033203,1
2187,13.312000274658203,1
2188,13.312000274658203,1
2189,26.624000549316406,1
2190,28.667999267578125,1
2191,29.45199966430664,1
2192,29.45199966430664,1
2193,29.45199966430664,1
2194,52.51599884033203,1
2214,28.667999267578125,1
2215,29.45199966430664,1
2216,29.45199966430664,1
2217,29.45199966430664,1
2218,52.51599884033203,1
2238,28.166000366210938,1
2239,29.45199966430664,1
2240,29.45199966430664,1
2241,29.45199966430664,1
2405,19.076000213623047,1
2413,63.01599884033203,1
2414,63.01599884033203,1
2415,15.753999710083008,1
2416,15.107000350952148,1
2427,13.430999755859375,1
2428,13.430999755859375,1
2429,26.86199951171875,1
2437,63.01599884033203,1
2438,65.6760025024414,1
2439,16.41900062561035,1
2440,16.41900062561035,1
2453,26.86199951171875,1
2461,63.01599884033203,1
2462,65.6760025024414,1
2463,16.527999877929688,1
2464,16.527999877929688,1
2465,16.527999877929688,1
2477,26.86199951171875,1
2478,23.634000778198242,1
2479,24.808000564575195,1
2480,24.808000564575195,1
2481,24.808000564575195,1
2486,65.6760025024414,1
2487,16.527999877929688,1
2488,16.527999877929688,1
2489,16.527999877929688,1
2501,26.624000549316406,1
2502,27.695999145507812,1
2503,27.695999145507812,1
2504,27.695999145507812,1
2505,27.648000717163086,1
2506,52.51599884033203,1
2510,58.70399856567383,1
2511,16.527999877929688,1
2525,26.624000549316406,1
2526,27.695999145507812,1
2527,27.695999145507812,1
2528,27.695999145507812,1
2529,27.648000717163086,1
2530,52.51599884033203,1
2549,24.422000885009766,1
2550,27.695999145507812,1
2551,27.695999145507812,1
2552,27.695999145507812,1
2553,27.648000717163086,1
2554,52.51599884033203,1
2738,12.802000045776367,1
2739,12.802000045776367,1
2740,12.802000045776367,1
2741,19.076000213623047,1
2750,60.428001403808594,1
2751,15.107000350952148,1
2752,15.107000350952148,1
2762,12.998000144958496,1
2763,13.430999755859375,1
2764,13.430999755859375,1
2765,26.86199951171875,1
2774,60.784000396728516,1
2786,12.998000144958496,1
2787,13.430999755859375,1
2788,13.430999755859375,1
2789,26.86199951171875,1
2798,60.784000396728516,1
2810,12.998000144958496,1
2811,13.430999755859375,1
2812,13.430999755859375,1
2813,26.86199951171875,1
2822,60.784000396728516,1
2835,13.312000274658203,1
2836,13.312000274658203,1
2837,26.624000549316406,1
2846,58.70399856567383,1
2847,16.527999877929688,1
2861,26.624000549316406,1
2885,24.422000885009766,1
2894,52.45199966430664,1
2918,52.45199966430664,1
2919,15.67300033569336,1
2942,52.45199966430664,1
3074,12.802000045776367,1
3075,12.802000045776367,1
