,scores,cavity
28525,11.678000450134277,1
28526,11.678000450134277,1
28527,11.678000450134277,1
28545,11.678000450134277,1
28546,11.678000450134277,1
28547,11.678000450134277,1
28548,11.548999786376953,1
28565,11.77299976348877,1
28566,12.045999526977539,1
28567,12.045999526977539,1
28568,12.045999526977539,1
28585,11.77299976348877,1
28586,12.045999526977539,1
28587,12.045999526977539,1
28588,12.045999526977539,1
28605,11.77299976348877,1
28606,12.319999694824219,1
28607,12.319999694824219,1
28608,12.319999694824219,1
28626,12.319999694824219,1
28646,12.319999694824219,1
29024,10.420999526977539,1
29025,11.77299976348877,1
29026,11.77299976348877,1
29027,11.77299976348877,1
29028,10.753999710083008,1
29044,10.71500015258789,1
29045,12.045999526977539,1
29046,12.045999526977539,1
29047,12.045999526977539,1
29048,11.092000007629395,1
29064,10.71500015258789,1
29065,12.38599967956543,1
29066,12.38599967956543,1
29067,12.38599967956543,1
29068,12.3149995803833,1
29084,10.71500015258789,1
29085,13.954999923706055,1
29086,13.954999923706055,1
29087,13.954999923706055,1
29088,13.151000022888184,1
29105,13.954999923706055,1
29106,13.954999923706055,1
29107,13.954999923706055,1
29108,13.151000022888184,1
29125,13.954999923706055,1
29126,13.954999923706055,1
29127,13.954999923706055,1
29128,13.151000022888184,1
29129,12.178999900817871,1
29145,11.821000099182129,1
29146,12.38599967956543,1
29165,11.821000099182129,1
29166,12.319999694824219,1
29185,11.60099983215332,1
29524,11.862000465393066,1
29525,11.862000465393066,1
29526,11.862000465393066,1
29527,11.052000045776367,1
29544,11.862000465393066,1
29545,11.862000465393066,1
29546,12.758000373840332,1
29547,12.758000373840332,1
29548,12.758000373840332,1
29564,11.862000465393066,1
29565,13.151000022888184,1
29566,13.151000022888184,1
29567,13.151000022888184,1
29568,12.758000373840332,1
29584,10.71500015258789,1
29585,13.151000022888184,1
29586,13.151000022888184,1
29587,13.151000022888184,1
29588,12.758000373840332,1
29604,10.71500015258789,1
29605,13.954999923706055,1
29606,13.954999923706055,1
29607,13.954999923706055,1
29608,13.151000022888184,1
29609,11.394000053405762,1
29625,13.954999923706055,1
29626,13.954999923706055,1
29627,13.954999923706055,1
29628,13.151000022888184,1
29629,11.75,1
29645,13.954999923706055,1
29646,13.954999923706055,1
29647,13.954999923706055,1
29648,13.232999801635742,1
29649,13.151000022888184,1
29650,11.392999649047852,1
29665,12.22700023651123,1
29666,13.232999801635742,1
29667,13.232999801635742,1
29668,13.232999801635742,1
29669,13.151000022888184,1
29670,12.600000381469727,1
29685,13.015999794006348,1
29686,13.232999801635742,1
29687,13.232999801635742,1
29688,13.232999801635742,1
29690,12.600000381469727,1
29705,13.015999794006348,1
29706,13.015999794006348,1
29710,12.600000381469727,1
29725,13.015999794006348,1
29726,13.015999794006348,1
29730,10.541000366210938,1
30024,11.463000297546387,1
30025,11.463000297546387,1
30026,11.463000297546387,1
30027,10.70199966430664,1
30044,11.862000465393066,1
30045,11.862000465393066,1
30046,11.862000465393066,1
30047,11.548999786376953,1
30064,11.862000465393066,1
30065,12.3149995803833,1
30066,12.758000373840332,1
30067,12.758000373840332,1
30068,12.758000373840332,1
30084,11.862000465393066,1
30085,13.151000022888184,1
30086,13.151000022888184,1
30087,13.151000022888184,1
30088,12.758000373840332,1
30089,10.741000175476074,1
30104,10.71500015258789,1
30105,13.151000022888184,1
30106,13.151000022888184,1
30107,13.151000022888184,1
30108,12.758000373840332,1
30109,11.373000144958496,1
30124,10.71500015258789,1
30125,13.954999923706055,1
30126,13.954999923706055,1
30127,13.954999923706055,1
30128,13.168000221252441,1
30129,12.232999801635742,1
30144,10.72599983215332,1
30145,13.954999923706055,1
30146,13.954999923706055,1
30147,13.954999923706055,1
30148,13.954999923706055,1
30149,13.954999923706055,1
30150,10.73900032043457,1
30164,11.123000144958496,1
30165,13.954999923706055,1
30166,13.954999923706055,1
30167,13.954999923706055,1
30168,13.954999923706055,1
30169,13.954999923706055,1
30170,11.402000427246094,1
30171,11.079999923706055,1
30184,11.123000144958496,1
30185,12.22700023651123,1
30186,13.593000411987305,1
30187,13.954999923706055,1
30188,13.954999923706055,1
30189,13.954999923706055,1
30190,12.888999938964844,1
30191,12.232000350952148,1
30204,11.123000144958496,1
30205,13.015999794006348,1
30206,13.593000411987305,1
30207,13.91100025177002,1
30208,13.954999923706055,1
30209,13.954999923706055,1
30210,13.954999923706055,1
30211,12.232000350952148,1
30212,10.609999656677246,1
30224,10.798999786376953,1
30225,13.015999794006348,1
30226,13.015999794006348,1
30227,13.779999732971191,1
