,scores,cavity
1572,16.27899932861328,1
1573,16.27899932861328,1
1605,16.27899932861328,1
1606,16.27899932861328,1
1637,16.27899932861328,1
1638,16.27899932861328,1
1639,16.27899932861328,1
2194,18.825000762939453,1
2195,18.825000762939453,1
2200,15.864999771118164,1
2227,18.825000762939453,1
2228,18.825000762939453,1
2231,21.202999114990234,1
2232,21.202999114990234,1
2233,21.202999114990234,1
2260,18.825000762939453,1
2261,18.825000762939453,1
2264,21.202999114990234,1
2265,21.202999114990234,1
2266,21.202999114990234,1
2296,18.889999389648438,1
2297,21.202999114990234,1
2298,21.202999114990234,1
2299,21.202999114990234,1
2329,18.889999389648438,1
2330,18.889999389648438,1
2331,18.889999389648438,1
2332,15.619999885559082,1
2787,17.18400001525879,1
2788,17.270999908447266,1
2789,17.270999908447266,1
2790,17.270999908447266,1
2820,18.56399917602539,1
2821,20.040000915527344,1
2822,20.040000915527344,1
2823,20.040000915527344,1
2827,16.836000442504883,1
2828,16.836000442504883,1
2853,18.56399917602539,1
2854,20.040000915527344,1
2855,20.040000915527344,1
2856,20.040000915527344,1
2860,16.836000442504883,1
2861,16.836000442504883,1
2886,18.56399917602539,1
2887,20.040000915527344,1
2888,20.040000915527344,1
2889,20.040000915527344,1
2891,21.82900047302246,1
2892,21.82900047302246,1
2893,21.82900047302246,1
2894,16.875,1
2920,18.825000762939453,1
2921,18.825000762939453,1
2924,21.82900047302246,1
2925,21.82900047302246,1
2926,21.82900047302246,1
2927,16.875,1
2956,19.30500030517578,1
2957,21.82900047302246,1
2958,21.82900047302246,1
2959,21.82900047302246,1
2960,16.875,1
2989,18.889999389648438,1
2990,18.889999389648438,1
2991,18.889999389648438,1
2992,18.055999755859375,1
2993,15.87399959564209,1
3447,17.18400001525879,1
3448,23.858999252319336,1
3449,23.858999252319336,1
3450,23.858999252319336,1
3480,25.31100082397461,1
3481,25.31100082397461,1
3482,25.31100082397461,1
3483,23.858999252319336,1
3487,17.549999237060547,1
3488,17.549999237060547,1
3513,25.31100082397461,1
3514,25.31100082397461,1
3515,25.31100082397461,1
3516,23.858999252319336,1
3520,17.549999237060547,1
3521,17.549999237060547,1
3546,25.31100082397461,1
3547,25.31100082397461,1
3548,25.31100082397461,1
3549,22.156999588012695,1
3551,21.82900047302246,1
3552,21.82900047302246,1
3553,21.82900047302246,1
3554,17.549999237060547,1
3580,18.825000762939453,1
3581,18.825000762939453,1
3584,21.82900047302246,1
3585,21.82900047302246,1
3586,21.82900047302246,1
3587,16.875,1
3588,15.29800033569336,1
3616,19.30500030517578,1
3617,21.82900047302246,1
3618,21.82900047302246,1
3619,21.82900047302246,1
3620,16.875,1
3621,15.29800033569336,1
3649,18.889999389648438,1
3650,18.889999389648438,1
3651,18.889999389648438,1
3652,18.506999969482422,1
3653,15.87399959564209,1
4073,19.045000076293945,1
4074,19.174999237060547,1
4075,19.174999237060547,1
4076,19.174999237060547,1
4106,23.98900032043457,1
4107,25.503999710083008,1
4108,27.416000366210938,1
4109,27.416000366210938,1
4110,27.416000366210938,1
4139,23.98900032043457,1
4140,25.503999710083008,1
4141,27.416000366210938,1
4142,27.416000366210938,1
4143,27.416000366210938,1
4147,17.549999237060547,1
4148,17.549999237060547,1
4172,23.98900032043457,1
4173,25.503999710083008,1
4174,27.416000366210938,1
4175,27.416000366210938,1
4176,27.416000366210938,1
4180,17.549999237060547,1
4181,17.549999237060547,1
4182,16.989999771118164,1
4205,15.916999816894531,1
4206,25.31100082397461,1
4207,25.31100082397461,1
4208,25.31100082397461,1
4209,22.156999588012695,1
4211,21.82900047302246,1
4212,21.82900047302246,1
4213,21.82900047302246,1
4214,18.832000732421875,1
4215,17.840999603271484,1
4241,18.788000106811523,1
4244,21.82900047302246,1
4245,21.82900047302246,1
4246,21.82900047302246,1
4247,19.823999404907227,1
4248,17.840999603271484,1
4276,19.30500030517578,1
4277,21.82900047302246,1
4278,21.82900047302246,1
4279,21.82900047302246,1
4280,19.823999404907227,1
4281,17.840999603271484,1
4310,18.506999969482422,1
4311,19.823999404907227,1
4312,19.823999404907227,1
4313,19.823999404907227,1
4732,19.3799991607666,1
4733,19.850000381469727,1
4734,19.850000381469727,1
4735,19.850000381469727,1
4736,19.174999237060547,1
4765,19.3799991607666,1
4766,23.98900032043457,1
4767,25.503999710083008,1
4768,27.416000366210938,1
4769,27.416000366210938,1
4770,27.416000366210938,1
4798,19.3799991607666,1
4799,23.98900032043457,1
4800,25.503999710083008,1
4801,27.416000366210938,1
4802,27.416000366210938,1
4803,27.416000366210938,1
4806,17.549999237060547,1
4807,17.549999237060547,1
4808,17.549999237060547,1
4831,18.211999893188477,1
4832,23.98900032043457,1
4833,25.503999710083008,1
4834,27.416000366210938,1
4835,27.416000366210938,1
4836,27.416000366210938,1
4841,17.549999237060547,1
4842,16.989999771118164,1
4864,17.06599998474121,1
4865,18.847999572753906,1
4866,25.31100082397461,1
4867,25.31100082397461,1
4868,25.31100082397461,1
4869,22.156999588012695,1
4871,20.559999465942383,1
4872,20.559999465942383,1
4873,20.559999465942383,1
4874,18.832000732421875,1
4875,17.840999603271484,1
4904,20.559999465942383,1
4905,20.559999465942383,1
4906,20.559999465942383,1
4907,19.823999404907227,1
4908,17.840999603271484,1
4937,20.559999465942383,1
4938,20.559999465942383,1
4939,20.559999465942383,1
4940,19.823999404907227,1
4941,17.840999603271484,1
4970,18.506999969482422,1
4971,19.823999404907227,1
4972,19.823999404907227,1
4973,19.823999404907227,1
5358,15.0600004196167,1
5359,15.0600004196167,1
5360,15.0600004196167,1
5389,16.047000885009766,1
5390,18.270999908447266,1
5391,20.63599967956543,1
5392,20.63599967956543,1
5393,20.63599967956543,1
5394,19.850000381469727,1
5395,19.850000381469727,1
5396,19.174999237060547,1
5422,16.047000885009766,1
5423,18.270999908447266,1
5424,20.63599967956543,1
5425,20.63599967956543,1
5426,23.98900032043457,1
5427,25.503999710083008,1
5428,27.416000366210938,1
5429,27.416000366210938,1
5430,27.416000366210938,1
5455,16.047000885009766,1
5456,18.270999908447266,1
5457,20.63599967956543,1
5458,20.63599967956543,1
5459,23.98900032043457,1
5460,25.503999710083008,1
5461,27.416000366210938,1
5462,27.416000366210938,1
5463,27.416000366210938,1
5488,15.935999870300293,1
5489,17.2810001373291,1
5490,18.259000778198242,1
5491,18.31399917602539,1
5492,23.98900032043457,1
5493,25.503999710083008,1
5494,27.416000366210938,1
5495,27.416000366210938,1
5496,27.416000366210938,1
5525,18.847999572753906,1
5526,23.079999923706055,1
5527,23.079999923706055,1
5528,23.079999923706055,1
5529,21.016000747680664,1
5534,18.832000732421875,1
5535,17.840999603271484,1
5567,19.823999404907227,1
5568,17.840999603271484,1
5600,19.823999404907227,1
5601,17.840999603271484,1
5630,15.585000038146973,1
5631,19.823999404907227,1
5632,19.823999404907227,1
5633,19.823999404907227,1
6020,15.0600004196167,1
6050,18.270999908447266,1
6051,20.63599967956543,1
6052,20.63599967956543,1
6053,20.63599967956543,1
6054,19.850000381469727,1
6055,19.850000381469727,1
6056,18.034000396728516,1
6083,18.270999908447266,1
6084,20.63599967956543,1
6085,20.63599967956543,1
6086,20.875,1
6087,24.458999633789062,1
6088,24.458999633789062,1
6089,24.458999633789062,1
6116,18.270999908447266,1
6117,20.63599967956543,1
6118,20.63599967956543,1
6119,20.875,1
6120,24.458999633789062,1
6121,24.458999633789062,1
6122,24.458999633789062,1
6148,15.935999870300293,1
6149,17.2810001373291,1
6150,18.259000778198242,1
6151,18.31399917602539,1
6152,20.875,1
6153,24.458999633789062,1
6154,24.458999633789062,1
6155,24.458999633789062,1
6185,18.847999572753906,1
6186,19.062999725341797,1
6261,16.895000457763672,1
6710,18.270999908447266,1
6711,20.63599967956543,1
6712,20.63599967956543,1
6713,20.63599967956543,1
6714,18.42799949645996,1
6743,18.270999908447266,1
6744,20.63599967956543,1
6745,20.63599967956543,1
6746,20.63599967956543,1
6776,18.270999908447266,1
6777,20.63599967956543,1
6778,20.63599967956543,1
6779,20.63599967956543,1
6808,15.935999870300293,1
6809,17.2810001373291,1
6810,18.259000778198242,1
6811,18.31399917602539,1
9566,15.166999816894531,1
9596,16.308000564575195,1
9597,16.902000427246094,1
9598,16.902000427246094,1
9599,16.902000427246094,1
9629,16.308000564575195,1
9630,16.902000427246094,1
9631,16.902000427246094,1
9632,16.902000427246094,1
9662,16.308000564575195,1
9663,16.902000427246094,1
9664,16.902000427246094,1
9665,16.902000427246094,1
10222,15.739999771118164,1
10223,17.742000579833984,1
10224,17.742000579833984,1
10225,17.742000579833984,1
10226,16.332000732421875,1
10255,15.739999771118164,1
10256,17.742000579833984,1
10257,17.742000579833984,1
10258,17.742000579833984,1
10259,17.562000274658203,1
10260,15.059000015258789,1
10288,15.739999771118164,1
10289,17.742000579833984,1
10290,17.742000579833984,1
10291,17.742000579833984,1
10292,17.562000274658203,1
10293,15.059000015258789,1
10322,16.839000701904297,1
10323,17.562000274658203,1
10324,17.562000274658203,1
10325,17.562000274658203,1
10326,15.059000015258789,1
10851,14.680999755859375,1
10852,14.680999755859375,1
10882,16.17300033569336,1
10883,17.986000061035156,1
10884,17.986000061035156,1
10885,17.986000061035156,1
10886,17.658000946044922,1
10915,16.17300033569336,1
10916,17.986000061035156,1
10917,18.05299949645996,1
10918,18.05299949645996,1
10919,18.05299949645996,1
10920,15.059000015258789,1
10948,16.17300033569336,1
10949,17.986000061035156,1
10950,18.05299949645996,1
10951,18.05299949645996,1
10952,18.05299949645996,1
10953,15.059000015258789,1
10981,14.82800006866455,1
10982,16.839000701904297,1
10983,18.05299949645996,1
10984,18.05299949645996,1
10985,18.05299949645996,1
10986,15.059000015258789,1
11511,14.680999755859375,1
11512,14.680999755859375,1
11542,16.17300033569336,1
11543,17.986000061035156,1
11544,17.986000061035156,1
11545,17.986000061035156,1
11546,17.658000946044922,1
11547,14.553999900817871,1
11575,16.17300033569336,1
11576,17.986000061035156,1
11577,18.05299949645996,1
11578,18.05299949645996,1
11579,18.05299949645996,1
11580,15.059000015258789,1
11607,14.508000373840332,1
11608,16.17300033569336,1
11609,17.986000061035156,1
11610,18.05299949645996,1
11611,18.05299949645996,1
11612,18.05299949645996,1
11613,15.059000015258789,1
11641,14.82800006866455,1
11642,16.839000701904297,1
11643,18.05299949645996,1
11644,18.05299949645996,1
11645,18.05299949645996,1
11646,15.059000015258789,1
12172,14.680999755859375,1
12202,16.17300033569336,1
12203,17.986000061035156,1
12204,17.986000061035156,1
12205,17.986000061035156,1
12206,17.658000946044922,1
12207,14.553999900817871,1
12234,14.508000373840332,1
12235,16.17300033569336,1
12236,17.986000061035156,1
12237,18.05299949645996,1
12238,18.05299949645996,1
12239,18.05299949645996,1
12240,14.553999900817871,1
12267,14.508000373840332,1
12268,16.17300033569336,1
12269,17.986000061035156,1
12270,18.05299949645996,1
12271,18.05299949645996,1
12272,18.05299949645996,1
12273,14.553999900817871,1
12301,14.82800006866455,1
12302,16.836000442504883,1
12303,18.05299949645996,1
12304,18.05299949645996,1
12305,18.05299949645996,1
12862,15.890000343322754,1
12863,16.910999298095703,1
12864,16.910999298095703,1
12865,16.910999298095703,1
12866,16.43400001525879,1
12867,14.553999900817871,1
12895,15.890000343322754,1
12896,16.910999298095703,1
12897,16.910999298095703,1
12898,16.910999298095703,1
12899,16.43400001525879,1
12900,14.553999900817871,1
12928,15.890000343322754,1
12929,16.910999298095703,1
12930,16.910999298095703,1
12931,16.910999298095703,1
12932,16.43400001525879,1
12933,14.553999900817871,1
12961,14.531999588012695,1
12962,16.266000747680664,1
12963,16.266000747680664,1
12964,16.266000747680664,1
12965,15.789999961853027,1
13525,14.458999633789062,1
13558,14.458999633789062,1
13589,14.458999633789062,1
13590,14.458999633789062,1
13591,14.458999633789062,1
14095,15.880999565124512,1
14128,15.880999565124512,1
14755,15.880999565124512,1
14788,15.880999565124512,1
14862,35.167999267578125,1
14863,35.167999267578125,1
14864,35.167999267578125,1
14865,32.82400131225586,1
14895,35.167999267578125,1
