,scores,cavity
891,16.934999465942383,1
892,16.934999465942383,1
893,16.934999465942383,1
906,16.934999465942383,1
907,16.934999465942383,1
908,16.934999465942383,1
921,16.934999465942383,1
922,16.934999465942383,1
923,16.934999465942383,1
1251,16.934999465942383,1
1252,16.934999465942383,1
1253,16.934999465942383,1
1266,16.934999465942383,1
1267,16.934999465942383,1
1268,16.934999465942383,1
1281,16.934999465942383,1
1282,16.934999465942383,1
1283,16.934999465942383,1
1613,16.934999465942383,1
1628,16.934999465942383,1
1641,16.934999465942383,1
1642,16.934999465942383,1
1643,16.934999465942383,1
2717,16.91900062561035,1
2718,16.91900062561035,1
2732,16.91900062561035,1
2733,16.91900062561035,1
2734,16.91900062561035,1
2747,16.91900062561035,1
2748,16.91900062561035,1
2749,16.91900062561035,1
3077,16.91900062561035,1
3078,16.91900062561035,1
3092,16.91900062561035,1
3093,16.91900062561035,1
3094,16.91900062561035,1
3107,16.91900062561035,1
3108,16.91900062561035,1
3109,16.91900062561035,1
3156,17.569000244140625,1
3157,17.569000244140625,1
3158,17.569000244140625,1
3171,18.2810001373291,1
3172,18.2810001373291,1
3173,18.2810001373291,1
3174,17.010000228881836,1
3186,18.2810001373291,1
3187,18.2810001373291,1
3188,18.2810001373291,1
3201,18.2810001373291,1
3202,18.2810001373291,1
3203,18.2810001373291,1
3437,16.91900062561035,1
3438,16.91900062561035,1
3439,16.91900062561035,1
3452,16.91900062561035,1
3453,16.91900062561035,1
3454,16.91900062561035,1
3467,16.91900062561035,1
3468,16.91900062561035,1
3469,16.91900062561035,1
3516,17.983999252319336,1
3517,17.983999252319336,1
3518,17.983999252319336,1
3531,18.2810001373291,1
3532,18.2810001373291,1
3533,18.2810001373291,1
3534,17.010000228881836,1
3546,18.2810001373291,1
3547,18.2810001373291,1
3548,18.2810001373291,1
3561,18.2810001373291,1
3562,18.2810001373291,1
3563,18.2810001373291,1
3876,17.983999252319336,1
3877,17.983999252319336,1
3878,17.983999252319336,1
3891,18.2810001373291,1
3892,18.2810001373291,1
3893,18.2810001373291,1
3894,17.010000228881836,1
3906,18.2810001373291,1
3907,18.2810001373291,1
3908,18.2810001373291,1
3921,18.2810001373291,1
3922,18.2810001373291,1
3923,18.2810001373291,1
4236,17.983999252319336,1
4237,17.983999252319336,1
4238,17.983999252319336,1
4251,17.983999252319336,1
4252,17.983999252319336,1
4253,17.983999252319336,1
4266,17.983999252319336,1
4374,17.614999771118164,1
4375,17.614999771118164,1
4376,17.614999771118164,1
4389,19.361000061035156,1
4390,19.361000061035156,1
4391,19.361000061035156,1
4404,19.361000061035156,1
4405,19.361000061035156,1
4406,19.361000061035156,1
4419,19.361000061035156,1
4420,19.361000061035156,1
4421,19.361000061035156,1
4720,18.218000411987305,1
4721,18.218000411987305,1
4722,18.218000411987305,1
4734,17.614999771118164,1
4735,18.218000411987305,1
4736,18.218000411987305,1
4737,18.218000411987305,1
4749,19.361000061035156,1
4750,19.361000061035156,1
4751,19.361000061035156,1
4752,18.218000411987305,1
4764,19.361000061035156,1
4765,19.361000061035156,1
4766,19.361000061035156,1
4767,17.820999145507812,1
4779,19.361000061035156,1
4780,19.361000061035156,1
4781,19.361000061035156,1
5080,18.218000411987305,1
5081,18.218000411987305,1
5082,18.218000411987305,1
5094,17.614999771118164,1
5095,18.218000411987305,1
5096,18.218000411987305,1
5097,18.218000411987305,1
5109,19.361000061035156,1
5110,19.361000061035156,1
5111,19.361000061035156,1
5112,18.218000411987305,1
5124,19.361000061035156,1
5125,19.361000061035156,1
5126,19.361000061035156,1
5127,17.820999145507812,1
5139,19.361000061035156,1
5140,19.361000061035156,1
5141,19.361000061035156,1
5440,18.218000411987305,1
5441,18.218000411987305,1
5442,18.218000411987305,1
5455,18.218000411987305,1
5456,18.218000411987305,1
5457,18.218000411987305,1
5470,18.218000411987305,1
5471,18.218000411987305,1
5472,18.218000411987305,1
5485,17.820999145507812,1
5486,17.820999145507812,1
5487,17.820999145507812,1
8827,16.86199951171875,1
8828,16.86199951171875,1
8829,16.86199951171875,1
8847,16.86199951171875,1
8848,16.86199951171875,1
8849,16.86199951171875,1
8867,16.86199951171875,1
8868,16.86199951171875,1
8869,16.86199951171875,1
9707,16.86199951171875,1
9708,16.86199951171875,1
9709,16.86199951171875,1
9727,16.86199951171875,1
9728,16.86199951171875,1
9729,16.86199951171875,1
9747,16.86199951171875,1
9748,16.86199951171875,1
9749,16.86199951171875,1
10587,16.86199951171875,1
10588,16.86199951171875,1
10589,16.86199951171875,1
10607,16.93899917602539,1
10608,16.93899917602539,1
10609,16.93899917602539,1
10627,16.93899917602539,1
10628,16.93899917602539,1
10629,16.93899917602539,1
10647,16.93899917602539,1
10648,16.93899917602539,1
10649,16.93899917602539,1
11448,16.78700065612793,1
11449,16.78700065612793,1
11450,16.78700065612793,1
11467,16.86199951171875,1
11468,16.86199951171875,1
11469,16.86199951171875,1
