mol_id,atom_id,score
A:AS4201,C1,37.5859985352
A:AS4201,C2,33.9939994812
A:AS4201,C3,37.5859985352
A:AS4201,C4,37.0589981079
A:AS4201,C5,37.0589981079
A:AS4201,C6,35.4910011292
A:AS4201,C7,35.875
A:AS4201,C8,37.0589981079
A:AS4201,C9,37.5859985352
A:AS4201,C10,36.9179992676
A:AS4201,C11,35.188999176
A:AS4201,C12,34.3769989014
A:AS4201,C13,37.5859985352
A:AS4201,C14,37.5859985352
A:AS4201,C15,37.5859985352
A:AS4201,C16,37.3450012207
A:AS4201,C17,37.0589981079
A:AS4201,O18,30.7789993286
A:AS4201,O19,41.2210006714
A:AS4201,O20,35.9319992065
A:AS4201,C21,35.875
A:AS4201,C22,37.0589981079
A:AS4201,C23,35.4910011292
A:AS4201,C24,35.8709983826
A:AS4201,O25,34.7589988708
A:AS4201,O26,44.9420013428
A:SO4202,S1,12.6560001373
A:SO4202,O2,13.3520002365
A:SO4202,O3,10.5640001297
A:SO4202,O4,11.875
A:SO4202,O5,12.3819999695
A:GOL203,C1,0.0
A:GOL203,O2,0.0
A:GOL203,C3,0.0
A:GOL203,O4,0.0
A:GOL203,C5,0.0
A:GOL203,O6,0.0
A:GOL204,C1,17.5750007629
A:GOL204,O2,16.8649997711
A:GOL204,C3,17.6669998169
A:GOL204,O4,18.6819992065
A:GOL204,C5,17.6669998169
A:GOL204,O6,18.9459991455
A:BOG985,C1,0.0
A:BOG985,O2,0.0
A:BOG985,C3,0.0
A:BOG985,O4,0.0
A:BOG985,C5,0.0
A:BOG985,O6,0.0
A:BOG985,C7,0.0
A:BOG985,O8,0.0
A:BOG985,C9,0.0
A:BOG985,O10,0.0
A:BOG985,C11,0.0
A:BOG985,O12,0.0
A:BOG985,C13,0.0
A:BOG985,C14,0.0
A:BOG985,C15,0.0
A:BOG985,C16,0.0
A:BOG985,C17,0.0
A:BOG985,C18,0.0
A:BOG985,C19,0.0
A:BOG985,C20,0.0
