,scores
508,15.6599998474
509,15.6599998474
510,15.6599998474
519,16.9580001831
520,16.9580001831
521,16.9580001831
530,16.9580001831
531,16.9580001831
532,16.9580001831
706,16.9580001831
707,16.9580001831
708,16.9580001831
717,16.9580001831
718,16.9580001831
719,16.9580001831
1895,7.78100013733
1896,7.78100013733
1897,7.78100013733
1905,9.17899990082
1906,9.17899990082
1907,9.17899990082
1908,9.08300018311
1916,9.64799976349
1917,9.81000041962
1918,9.81000041962
1919,9.81000041962
1928,15.0869998932
1929,15.0869998932
1930,15.0869998932
1931,14.9280004501
1932,13.1520004272
1933,9.62300014496
1940,15.0869998932
1941,15.0869998932
1942,14.9280004501
1943,13.1520004272
1944,9.62300014496
1952,15.0869998932
1953,14.9280004501
1954,13.1520004272
2082,7.78100013733
2083,7.78100013733
2084,7.78100013733
2092,9.17899990082
2093,9.17899990082
2094,9.17899990082
2095,9.08300018311
2096,8.0640001297
2097,8.0640001297
2103,9.64799976349
2104,9.81000041962
2105,9.81000041962
2106,9.81000041962
2107,9.56900024414
2108,9.56900024414
2115,15.0869998932
2116,15.0869998932
2117,15.0869998932
2118,14.9280004501
2119,13.1520004272
2120,9.62300014496
2127,15.0869998932
2128,15.0869998932
2129,14.9280004501
2130,13.1520004272
2131,9.62300014496
2138,15.0869998932
2139,15.0869998932
2140,14.9280004501
2141,13.1520004272
2269,7.78100013733
2270,7.78100013733
2271,7.78100013733
2279,9.17899990082
2280,9.17899990082
2281,9.17899990082
2282,9.08300018311
2283,8.0640001297
2284,8.0640001297
2290,9.64799976349
2291,9.81000041962
2292,9.81000041962
2293,9.81000041962
2294,9.56900024414
2295,9.56900024414
2302,15.0869998932
2303,15.0869998932
2304,15.0869998932
2305,14.9280004501
2306,13.1520004272
2307,9.62300014496
2313,15.0869998932
2314,15.0869998932
2315,15.0869998932
2316,14.9280004501
2317,13.1520004272
2318,9.62300014496
2324,15.0869998932
2325,15.0869998932
2326,15.0869998932
2327,14.9280004501
2328,13.1520004272
2329,9.62300014496
2339,10.890999794
2468,7.61000013351
2469,8.0640001297
2470,8.0640001297
2471,8.0640001297
2480,9.56900024414
2481,9.56900024414
2482,9.56900024414
2491,9.56900024414
2492,9.56900024414
2493,9.56900024414
2503,9.56900024414
2504,9.56900024414
4518,2.62700009346
4519,3.6970000267
4520,3.6970000267
4521,3.6970000267
4522,1.65400004387
4523,1.47699999809
4539,3.25
4540,3.25
4541,3.6970000267
4542,3.6970000267
4543,3.6970000267
4544,2.37299990654
4545,1.83399999142
4561,4.3109998703
4562,4.7389998436
4563,4.7389998436
4564,4.7389998436
4565,3.6970000267
4566,2.37299990654
4567,1.85699999332
4583,4.3109998703
4584,4.7389998436
4585,4.7389998436
4586,4.7389998436
4587,3.52900004387
4588,2.37299990654
4589,1.85699999332
4605,4.3109998703
4606,4.7389998436
4607,4.7389998436
4608,4.7389998436
4609,3.52900004387
4610,2.09400010109
4611,1.85699999332
5068,2.55800008774
5069,5.61299991608
5070,5.61299991608
5071,5.61299991608
5072,3.3710000515
5073,1.58399999142
5089,1.10800004005
5090,5.57899999619
5091,6.78599977493
5092,8.14299964905
5093,8.14299964905
5094,8.14299964905
5095,5.82399988174
5096,2.86299991608
5111,2.59699988365
5112,7.97700023651
5113,10.779999733
5114,10.779999733
5115,10.779999733
5116,10.5509996414
5117,6.96000003815
5118,4.42999982834
5132,2.01699995995
5133,4.80100011826
5134,8.69499969482
5135,10.779999733
5136,10.779999733
5137,10.779999733
5138,10.5509996414
5139,7.07800006866
5140,4.42999982834
5154,3.37199997902
5155,5.57499980927
5156,8.69499969482
5157,10.779999733
5158,10.779999733
5159,10.779999733
5160,10.5509996414
5161,7.07800006866
5162,4.42999982834
5176,3.37199997902
5177,5.57499980927
5178,8.69499969482
5179,10.3219995499
5180,10.3219995499
5181,10.3219995499
5182,9.85200023651
