mol_id,atom_id,score
A:XYH499,O1,12.2239999771
A:XYH499,O2,11.1440000534
A:XYH499,C3,9.41300010681
A:XYH499,C4,9.41300010681
A:XYH499,O5,6.24100017548
A:XYH499,C6,9.41300010681
A:XYH499,O7,10.0850000381
A:XYH499,C8,9.41300010681
A:XYH499,O9,12.4409999847
A:XYH499,C10,9.17800045013
A:XYH499,O11,5.84800004959
A:XYH499,N12,4.40000009537
A:XYH499,O13,6.9279999733
A:IPA601,C1,0.0
A:IPA601,C2,0.0
A:IPA601,C3,0.0
A:IPA601,O4,0.0
A:IPA603,C1,0.0
A:IPA603,C2,0.0
A:IPA603,C3,0.0
A:IPA603,O4,0.0
B:XYH500,O1,18.2590007782
B:XYH500,O2,18.2590007782
B:XYH500,C3,12.0740003586
B:XYH500,C4,12.0740003586
B:XYH500,O5,11.0909996033
B:XYH500,C6,12.0740003586
B:XYH500,O7,10.6450004578
B:XYH500,C8,11.9930000305
B:XYH500,O9,16.3689994812
B:XYH500,C10,11.9930000305
B:XYH500,O11,8.04699993134
B:XYH500,N12,20.2989997864
B:XYH500,O13,20.2989997864
B:IPA604,C1,0.0
B:IPA604,C2,0.0
B:IPA604,C3,0.0
B:IPA604,O4,0.0
C:XYH501,O1,14.3179998398
C:XYH501,O2,16.7280006409
C:XYH501,C3,17.8180007935
C:XYH501,C4,17.8180007935
C:XYH501,O5,15.9949998856
C:XYH501,C6,17.8180007935
C:XYH501,O7,19.3719997406
C:XYH501,C8,10.9399995804
C:XYH501,O9,18.4009990692
C:XYH501,C10,9.13000011444
C:XYH501,O11,6.87400007248
C:XYH501,N12,17.8880004883
C:XYH501,O13,11.4139995575
D:XYH502,O1,9.86100006104
D:XYH502,O2,8.16699981689
D:XYH502,C3,6.86299991608
D:XYH502,C4,6.86299991608
D:XYH502,O5,8.21000003815
D:XYH502,C6,6.86299991608
D:XYH502,O7,11.1820001602
D:XYH502,C8,6.86299991608
D:XYH502,O9,9.27799987793
D:XYH502,C10,2.20799994469
D:XYH502,O11,4.96500015259
D:XYH502,N12,5.34299993515
D:XYH502,O13,6.33400011063
D:IPA602,C1,0.0
D:IPA602,C2,0.0
D:IPA602,C3,0.0
D:IPA602,O4,0.0
